,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,64.0,60.0,68.7,59.3,4.7,0,,,,,
1,Strongly disagree,2,9.6,13.0,14.3,4.9,4.7,0,,,,,
2,Strongly disagree,3,8.6,16.0,13.3,3.9,4.7,0,,,,,
3,Strongly disagree,4,16.9,18.0,21.6,12.2,4.7,0,,,,,
4,Strongly disagree,5,32.0,34.0,36.7,27.3,4.7,0,,,,,
5,Disagree,1,33.4,35.0,38.1,28.6,4.7,0,,,,,
6,Disagree,2,15.3,17.0,20.1,10.6,4.7,0,,,,,
7,Disagree,3,23.0,28.0,27.7,18.3,4.7,0,,,,,
8,Disagree,4,22.7,25.0,27.4,18.0,4.7,0,,,,,
9,Disagree,5,24.0,18.0,28.7,19.3,4.7,0,,,,,
10,Neither agree nor disagree,1,77.9,76.0,82.6,73.2,4.7,0,,,,,
11,Neither agree nor disagree,2,27.4,23.0,32.1,22.7,4.7,0,,,,,
12,Neither agree nor disagree,3,74.2,71.0,78.9,69.5,4.7,0,,,,,
13,Neither agree nor disagree,4,67.1,70.0,71.8,62.4,4.7,0,,,,,
14,Neither agree nor disagree,5,32.3,36.0,37.1,27.6,4.7,0,,,,,
15,Agree,1,36.5,45.0,41.2,31.8,4.7,0,,,,,
16,Agree,2,22.9,26.0,27.7,18.2,4.7,0,,,,,
17,Agree,3,148.5,129.0,153.2,143.7,4.7,0,,,,,
18,Agree,4,71.0,72.0,75.7,66.3,4.7,0,,,,,
19,Agree,5,29.5,27.0,34.2,24.7,4.7,0,,,,,
20,Strongly agree,1,38.1,38.0,42.8,33.4,4.7,0,,,,,
21,Strongly agree,2,21.4,14.0,26.1,16.6,4.7,0,,,,,
22,Strongly agree,3,52.9,58.0,57.7,48.2,4.7,0,,,,,
23,Strongly agree,4,30.8,31.0,35.5,26.0,4.7,0,,,,,
24,Strongly agree,5,15.8,20.0,20.5,11.1,4.7,0,,,,,
