,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,210.5,211.0,215.3,205.8,4.7,0,,,,,
1,0,2,0.1,10.0,4.8,-4.6,4.7,0,,,,,
2,0,3,30.3,30.0,35.1,25.6,4.7,0,,,,,
3,0,4,31.5,32.0,36.3,26.8,4.7,0,,,,,
4,0,5,19.4,20.0,24.1,14.7,4.7,0,,,,,
5,1,1,3.0,6.0,7.7,-1.7,4.7,0,,,,,
6,1,2,36.9,36.0,41.6,32.2,4.7,0,,,,,
7,1,3,83.3,85.0,88.0,78.6,4.7,0,,,,,
8,1,4,40.9,43.0,45.6,36.2,4.7,0,,,,,
9,1,5,30.9,30.0,35.6,26.2,4.7,0,,,,,
10,2,1,4.6,9.0,9.3,-0.1,4.7,0,,,,,
11,2,2,11.1,11.0,15.8,6.4,4.7,0,,,,,
12,2,3,55.7,59.0,60.4,51.0,4.7,0,,,,,
13,2,4,57.8,55.0,62.5,53.1,4.7,0,,,,,
14,2,5,23.1,19.0,27.8,18.4,4.7,0,,,,,
15,3,1,21.9,18.0,26.7,17.2,4.7,0,,,,,
16,3,2,11.9,18.0,16.6,7.2,4.7,0,,,,,
17,3,3,78.0,78.0,82.7,73.3,4.7,0,,,,,
18,3,4,55.2,62.0,59.9,50.5,4.7,0,,,,,
19,3,5,29.5,30.0,34.2,24.8,4.7,0,,,,,
20,4,1,5.4,10.0,10.2,0.7,4.7,0,,,,,
21,4,2,18.7,18.0,23.4,14.0,4.7,0,,,,,
22,4,3,47.4,50.0,52.1,42.6,4.7,0,,,,,
23,4,4,18.9,24.0,23.6,14.1,4.7,0,,,,,
24,4,5,33.3,36.0,38.0,28.6,4.7,0,,,,,
25,0,1,212.2,211.0,214.6,209.9,2.4,1,210.5,211.0,205.8,215.3,4.7
26,0,2,5.4,10.0,7.7,3.0,2.4,1,0.1,10.0,-4.6,4.8,4.7
27,0,3,28.3,30.0,30.7,25.9,2.4,1,30.3,30.0,25.6,35.1,4.7
28,0,4,32.6,32.0,35.0,30.3,2.4,1,31.5,32.0,26.8,36.3,4.7
29,0,5,24.1,20.0,26.5,21.8,2.4,1,19.4,20.0,14.7,24.1,4.7
30,1,1,7.0,6.0,9.4,4.7,2.4,1,3.0,6.0,-1.7,7.7,4.7
31,1,2,35.8,36.0,38.2,33.5,2.4,1,36.9,36.0,32.2,41.6,4.7
32,1,3,84.4,85.0,86.7,82.0,2.4,1,83.3,85.0,78.6,88.0,4.7
33,1,4,41.7,43.0,44.0,39.3,2.4,1,40.9,43.0,36.2,45.6,4.7
34,1,5,30.2,30.0,32.6,27.9,2.4,1,30.9,30.0,26.2,35.6,4.7
35,2,1,6.9,9.0,9.3,4.6,2.4,1,4.6,9.0,-0.1,9.3,4.7
36,2,2,15.0,11.0,17.4,12.7,2.4,1,11.1,11.0,6.4,15.8,4.7
37,2,3,57.5,59.0,59.8,55.1,2.4,1,55.7,59.0,51.0,60.4,4.7
38,2,4,53.4,55.0,55.8,51.0,2.4,1,57.8,55.0,53.1,62.5,4.7
39,2,5,20.5,19.0,22.9,18.2,2.4,1,23.1,19.0,18.4,27.8,4.7
40,3,1,19.6,18.0,22.0,17.3,2.4,1,21.9,18.0,17.2,26.7,4.7
41,3,2,10.1,18.0,12.4,7.7,2.4,1,11.9,18.0,7.2,16.6,4.7
42,3,3,76.8,78.0,79.2,74.5,2.4,1,78.0,78.0,73.3,82.7,4.7
43,3,4,55.3,62.0,57.6,52.9,2.4,1,55.2,62.0,50.5,59.9,4.7
44,3,5,37.1,30.0,39.4,34.7,2.4,1,29.5,30.0,24.8,34.2,4.7
45,4,1,9.2,10.0,11.6,6.9,2.4,1,5.4,10.0,0.7,10.2,4.7
46,4,2,18.7,18.0,21.1,16.4,2.4,1,18.7,18.0,14.0,23.4,4.7
47,4,3,49.9,50.0,52.3,47.6,2.4,1,47.4,50.0,42.6,52.1,4.7
48,4,4,19.6,24.0,22.0,17.3,2.4,1,18.9,24.0,14.1,23.6,4.7
49,4,5,33.7,36.0,36.1,31.4,2.4,1,33.3,36.0,28.6,38.0,4.7
50,0,1,211.1,211.0,212.7,209.5,1.6,2,212.2,211.0,209.9,214.6,2.4
51,0,2,6.6,10.0,8.2,5.0,1.6,2,5.4,10.0,3.0,7.7,2.4
52,0,3,30.1,30.0,31.6,28.5,1.6,2,28.3,30.0,25.9,30.7,2.4
53,0,4,33.1,32.0,34.7,31.6,1.6,2,32.6,32.0,30.3,35.0,2.4
54,0,5,22.4,20.0,24.0,20.9,1.6,2,24.1,20.0,21.8,26.5,2.4
55,1,1,7.7,6.0,9.3,6.1,1.6,2,7.0,6.0,4.7,9.4,2.4
56,1,2,35.2,36.0,36.8,33.6,1.6,2,35.8,36.0,33.5,38.2,2.4
57,1,3,84.8,85.0,86.4,83.2,1.6,2,84.4,85.0,82.0,86.7,2.4
58,1,4,38.8,43.0,40.4,37.3,1.6,2,41.7,43.0,39.3,44.0,2.4
59,1,5,30.6,30.0,32.2,29.0,1.6,2,30.2,30.0,27.9,32.6,2.4
60,2,1,7.6,9.0,9.2,6.0,1.6,2,6.9,9.0,4.6,9.3,2.4
61,2,2,13.5,11.0,15.0,11.9,1.6,2,15.0,11.0,12.7,17.4,2.4
62,2,3,57.6,59.0,59.2,56.0,1.6,2,57.5,59.0,55.1,59.8,2.4
63,2,4,54.1,55.0,55.6,52.5,1.6,2,53.4,55.0,51.0,55.8,2.4
64,2,5,23.3,19.0,24.8,21.7,1.6,2,20.5,19.0,18.2,22.9,2.4
65,3,1,18.6,18.0,20.1,17.0,1.6,2,19.6,18.0,17.3,22.0,2.4
66,3,2,10.0,18.0,11.5,8.4,1.6,2,10.1,18.0,7.7,12.4,2.4
67,3,3,77.9,78.0,79.5,76.4,1.6,2,76.8,78.0,74.5,79.2,2.4
68,3,4,57.9,62.0,59.5,56.4,1.6,2,55.3,62.0,52.9,57.6,2.4
69,3,5,33.8,30.0,35.3,32.2,1.6,2,37.1,30.0,34.7,39.4,2.4
70,4,1,9.9,10.0,11.4,8.3,1.6,2,9.2,10.0,6.9,11.6,2.4
71,4,2,18.9,18.0,20.5,17.4,1.6,2,18.7,18.0,16.4,21.1,2.4
72,4,3,48.8,50.0,50.3,47.2,1.6,2,49.9,50.0,47.6,52.3,2.4
73,4,4,22.7,24.0,24.3,21.1,1.6,2,19.6,24.0,17.3,22.0,2.4
74,4,5,35.4,36.0,37.0,33.8,1.6,2,33.7,36.0,31.4,36.1,2.4
75,0,1,211.2,211.0,212.4,210.1,1.2,3,211.1,211.0,209.5,212.7,1.6
76,0,2,7.2,10.0,8.3,6.0,1.2,3,6.6,10.0,5.0,8.2,1.6
77,0,3,29.5,30.0,30.7,28.3,1.2,3,30.1,30.0,28.5,31.6,1.6
78,0,4,34.3,32.0,35.5,33.1,1.2,3,33.1,32.0,31.6,34.7,1.6
79,0,5,21.7,20.0,22.9,20.5,1.2,3,22.4,20.0,20.9,24.0,1.6
80,1,1,7.5,6.0,8.6,6.3,1.2,3,7.7,6.0,6.1,9.3,1.6
81,1,2,36.3,36.0,37.5,35.1,1.2,3,35.2,36.0,33.6,36.8,1.6
82,1,3,85.1,85.0,86.3,83.9,1.2,3,84.8,85.0,83.2,86.4,1.6
83,1,4,39.0,43.0,40.2,37.8,1.2,3,38.8,43.0,37.3,40.4,1.6
84,1,5,30.6,30.0,31.8,29.4,1.2,3,30.6,30.0,29.0,32.2,1.6
85,2,1,8.0,9.0,9.2,6.9,1.2,3,7.6,9.0,6.0,9.2,1.6
86,2,2,13.3,11.0,14.5,12.1,1.2,3,13.5,11.0,11.9,15.0,1.6
87,2,3,57.4,59.0,58.5,56.2,1.2,3,57.6,59.0,56.0,59.2,1.6
88,2,4,53.5,55.0,54.6,52.3,1.2,3,54.1,55.0,52.5,55.6,1.6
89,2,5,20.9,19.0,22.1,19.8,1.2,3,23.3,19.0,21.7,24.8,1.6
90,3,1,15.2,18.0,16.4,14.0,1.2,3,18.6,18.0,17.0,20.1,1.6
91,3,2,12.2,18.0,13.4,11.0,1.2,3,10.0,18.0,8.4,11.5,1.6
92,3,3,77.5,78.0,78.7,76.3,1.2,3,77.9,78.0,76.4,79.5,1.6
93,3,4,58.1,62.0,59.3,56.9,1.2,3,57.9,62.0,56.4,59.5,1.6
94,3,5,31.4,30.0,32.6,30.3,1.2,3,33.8,30.0,32.2,35.3,1.6
95,4,1,9.2,10.0,10.4,8.0,1.2,3,9.9,10.0,8.3,11.4,1.6
96,4,2,18.2,18.0,19.4,17.0,1.2,3,18.9,18.0,17.4,20.5,1.6
97,4,3,49.0,50.0,50.2,47.8,1.2,3,48.8,50.0,47.2,50.3,1.6
98,4,4,23.1,24.0,24.3,21.9,1.2,3,22.7,24.0,21.1,24.3,1.6
