,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,224.6,220.0,229.3,219.9,4.7,0,,,,,
1,0,2,26.2,17.0,30.9,21.5,4.7,0,,,,,
2,0,3,47.5,43.0,52.2,42.8,4.7,0,,,,,
3,0,4,25.2,25.0,29.9,20.5,4.7,0,,,,,
4,0,5,17.5,20.0,22.2,12.7,4.7,0,,,,,
5,1,1,18.5,19.0,23.2,13.8,4.7,0,,,,,
6,1,2,31.3,32.0,36.0,26.6,4.7,0,,,,,
7,1,3,60.2,60.0,64.9,55.4,4.7,0,,,,,
8,1,4,37.9,38.0,42.6,33.1,4.7,0,,,,,
9,1,5,20.4,20.0,25.1,15.7,4.7,0,,,,,
10,2,1,10.5,8.0,15.2,5.7,4.7,0,,,,,
11,2,2,10.8,9.0,15.6,6.1,4.7,0,,,,,
12,2,3,57.9,57.0,62.6,53.2,4.7,0,,,,,
13,2,4,28.5,29.0,33.2,23.8,4.7,0,,,,,
14,2,5,20.2,22.0,24.9,15.5,4.7,0,,,,,
15,3,1,22.7,24.0,27.4,17.9,4.7,0,,,,,
16,3,2,19.2,22.0,24.0,14.5,4.7,0,,,,,
17,3,3,74.2,81.0,79.0,69.5,4.7,0,,,,,
18,3,4,80.2,69.0,85.0,75.5,4.7,0,,,,,
19,3,5,34.5,39.0,39.2,29.7,4.7,0,,,,,
20,4,1,8.5,15.0,13.2,3.8,4.7,0,,,,,
21,4,2,15.3,18.0,20.0,10.6,4.7,0,,,,,
22,4,3,51.2,52.0,55.9,46.5,4.7,0,,,,,
23,4,4,34.2,29.0,39.0,29.5,4.7,0,,,,,
24,4,5,30.8,32.0,35.5,26.1,4.7,0,,,,,
25,0,1,222.0,220.0,224.4,219.7,2.4,1,224.6,220.0,219.9,229.3,4.7
26,0,2,20.6,17.0,22.9,18.2,2.4,1,26.2,17.0,21.5,30.9,4.7
27,0,3,46.8,43.0,49.1,44.4,2.4,1,47.5,43.0,42.8,52.2,4.7
28,0,4,25.6,25.0,28.0,23.3,2.4,1,25.2,25.0,20.5,29.9,4.7
29,0,5,15.4,20.0,17.8,13.1,2.4,1,17.5,20.0,12.7,22.2,4.7
30,1,1,20.2,19.0,22.6,17.9,2.4,1,18.5,19.0,13.8,23.2,4.7
31,1,2,27.1,32.0,29.4,24.7,2.4,1,31.3,32.0,26.6,36.0,4.7
32,1,3,59.9,60.0,62.3,57.6,2.4,1,60.2,60.0,55.4,64.9,4.7
33,1,4,39.4,38.0,41.7,37.0,2.4,1,37.9,38.0,33.1,42.6,4.7
34,1,5,26.5,20.0,28.9,24.1,2.4,1,20.4,20.0,15.7,25.1,4.7
35,2,1,5.0,8.0,7.3,2.6,2.4,1,10.5,8.0,5.7,15.2,4.7
36,2,2,9.7,9.0,12.1,7.4,2.4,1,10.8,9.0,6.1,15.6,4.7
37,2,3,55.8,57.0,58.2,53.5,2.4,1,57.9,57.0,53.2,62.6,4.7
38,2,4,29.2,29.0,31.6,26.9,2.4,1,28.5,29.0,23.8,33.2,4.7
39,2,5,19.7,22.0,22.0,17.3,2.4,1,20.2,22.0,15.5,24.9,4.7
40,3,1,23.5,24.0,25.8,21.1,2.4,1,22.7,24.0,17.9,27.4,4.7
41,3,2,17.9,22.0,20.3,15.6,2.4,1,19.2,22.0,14.5,24.0,4.7
42,3,3,78.7,81.0,81.0,76.3,2.4,1,74.2,81.0,69.5,79.0,4.7
43,3,4,78.1,69.0,80.5,75.8,2.4,1,80.2,69.0,75.5,85.0,4.7
44,3,5,40.4,39.0,42.7,38.0,2.4,1,34.5,39.0,29.7,39.2,4.7
45,4,1,12.1,15.0,14.5,9.7,2.4,1,8.5,15.0,3.8,13.2,4.7
46,4,2,17.3,18.0,19.7,15.0,2.4,1,15.3,18.0,10.6,20.0,4.7
47,4,3,51.6,52.0,54.0,49.3,2.4,1,51.2,52.0,46.5,55.9,4.7
48,4,4,31.5,29.0,33.9,29.2,2.4,1,34.2,29.0,29.5,39.0,4.7
49,4,5,24.7,32.0,27.0,22.3,2.4,1,30.8,32.0,26.1,35.5,4.7
50,0,1,220.8,220.0,222.4,219.2,1.6,2,222.0,220.0,219.7,224.4,2.4
51,0,2,19.2,17.0,20.7,17.6,1.6,2,20.6,17.0,18.2,22.9,2.4
52,0,3,46.7,43.0,48.2,45.1,1.6,2,46.8,43.0,44.4,49.1,2.4
