,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,22.0,18.0,26.7,17.3,4.7,0,,,,,
1,Strongly disagree,Instructor 2,9.6,13.0,14.3,4.9,4.7,0,,,,,
2,Strongly disagree,Instructor 3,28.6,36.0,33.3,23.9,4.7,0,,,,,
3,Disagree,Instructor 1,35.9,37.0,40.6,31.2,4.7,0,,,,,
4,Disagree,Instructor 2,29.0,31.0,33.7,24.3,4.7,0,,,,,
5,Disagree,Instructor 3,16.4,18.0,21.1,11.6,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,17.3,19.0,22.1,12.6,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,48.0,53.0,52.7,43.3,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,86.7,89.0,91.4,82.0,4.7,0,,,,,
9,Agree,Instructor 1,50.0,44.0,54.7,45.3,4.7,0,,,,,
10,Agree,Instructor 2,106.9,105.0,111.6,102.2,4.7,0,,,,,
11,Agree,Instructor 3,95.4,91.0,100.1,90.7,4.7,0,,,,,
12,Strongly agree,Instructor 1,190.2,187.0,194.9,185.5,4.7,0,,,,,
13,Strongly agree,Instructor 2,170.1,173.0,174.8,165.4,4.7,0,,,,,
14,Strongly agree,Instructor 3,82.3,86.0,87.1,77.6,4.7,0,,,,,
15,Strongly disagree,Instructor 1,20.0,18.0,22.4,17.7,2.4,1,22.0,18.0,17.3,26.7,4.7
16,Strongly disagree,Instructor 2,15.0,13.0,17.3,12.6,2.4,1,9.6,13.0,4.9,14.3,4.7
17,Strongly disagree,Instructor 3,29.8,36.0,32.1,27.4,2.4,1,28.6,36.0,23.9,33.3,4.7
18,Disagree,Instructor 1,36.3,37.0,38.7,34.0,2.4,1,35.9,37.0,31.2,40.6,4.7
19,Disagree,Instructor 2,27.9,31.0,30.3,25.5,2.4,1,29.0,31.0,24.3,33.7,4.7
20,Disagree,Instructor 3,16.3,18.0,18.7,14.0,2.4,1,16.4,18.0,11.6,21.1,4.7
21,Neither agree nor disagree,Instructor 1,18.3,19.0,20.7,15.9,2.4,1,17.3,19.0,12.6,22.1,4.7
22,Neither agree nor disagree,Instructor 2,51.2,53.0,53.5,48.8,2.4,1,48.0,53.0,43.3,52.7,4.7
23,Neither agree nor disagree,Instructor 3,87.3,89.0,89.7,85.0,2.4,1,86.7,89.0,82.0,91.4,4.7
24,Agree,Instructor 1,47.5,44.0,49.8,45.1,2.4,1,50.0,44.0,45.3,54.7,4.7
25,Agree,Instructor 2,105.7,105.0,108.0,103.3,2.4,1,106.9,105.0,102.2,111.6,4.7
26,Agree,Instructor 3,92.8,91.0,95.2,90.5,2.4,1,95.4,91.0,90.7,100.1,4.7
27,Strongly agree,Instructor 1,188.2,187.0,190.5,185.8,2.4,1,190.2,187.0,185.5,194.9,4.7
28,Strongly agree,Instructor 2,171.2,173.0,173.6,168.9,2.4,1,170.1,173.0,165.4,174.8,4.7
29,Strongly agree,Instructor 3,81.1,86.0,83.5,78.8,2.4,1,82.3,86.0,77.6,87.1,4.7
30,Strongly disagree,Instructor 1,19.7,18.0,21.3,18.1,1.6,2,20.0,18.0,17.7,22.4,2.4
31,Strongly disagree,Instructor 2,14.2,13.0,15.8,12.6,1.6,2,15.0,13.0,12.6,17.3,2.4
32,Strongly disagree,Instructor 3,35.2,36.0,36.7,33.6,1.6,2,29.8,36.0,27.4,32.1,2.4
33,Disagree,Instructor 1,36.1,37.0,37.7,34.5,1.6,2,36.3,37.0,34.0,38.7,2.4
34,Disagree,Instructor 2,27.9,31.0,29.5,26.3,1.6,2,27.9,31.0,25.5,30.3,2.4
35,Disagree,Instructor 3,16.5,18.0,18.1,14.9,1.6,2,16.3,18.0,14.0,18.7,2.4
36,Neither agree nor disagree,Instructor 1,19.4,19.0,21.0,17.8,1.6,2,18.3,19.0,15.9,20.7,2.4
37,Neither agree nor disagree,Instructor 2,52.8,53.0,54.3,51.2,1.6,2,51.2,53.0,48.8,53.5,2.4
38,Neither agree nor disagree,Instructor 3,87.7,89.0,89.3,86.2,1.6,2,87.3,89.0,85.0,89.7,2.4
39,Agree,Instructor 1,45.6,44.0,47.2,44.1,1.6,2,47.5,44.0,45.1,49.8,2.4
40,Agree,Instructor 2,105.1,105.0,106.7,103.5,1.6,2,105.7,105.0,103.3,108.0,2.4
41,Agree,Instructor 3,90.4,91.0,92.0,88.8,1.6,2,92.8,91.0,90.5,95.2,2.4
42,Strongly agree,Instructor 1,188.5,187.0,190.0,186.9,1.6,2,188.2,187.0,185.8,190.5,2.4
43,Strongly agree,Instructor 2,171.7,173.0,173.3,170.1,1.6,2,171.2,173.0,168.9,173.6,2.4
44,Strongly agree,Instructor 3,82.8,86.0,84.4,81.2,1.6,2,81.1,86.0,78.8,83.5,2.4
45,Strongly disagree,Instructor 1,18.0,18.0,19.2,16.8,1.2,3,19.7,18.0,18.1,21.3,1.6
46,Strongly disagree,Instructor 2,10.8,13.0,12.0,9.6,1.2,3,14.2,13.0,12.6,15.8,1.6
47,Strongly disagree,Instructor 3,36.9,36.0,38.1,35.7,1.2,3,35.2,36.0,33.6,36.7,1.6
48,Disagree,Instructor 1,36.6,37.0,37.8,35.4,1.2,3,36.1,37.0,34.5,37.7,1.6
49,Disagree,Instructor 2,28.0,31.0,29.2,26.8,1.2,3,27.9,31.0,26.3,29.5,1.6
50,Disagree,Instructor 3,18.4,18.0,19.6,17.2,1.2,3,16.5,18.0,14.9,18.1,1.6
51,Neither agree nor disagree,Instructor 1,20.5,19.0,21.6,19.3,1.2,3,19.4,19.0,17.8,21.0,1.6
52,Neither agree nor disagree,Instructor 2,51.7,53.0,52.9,50.5,1.2,3,52.8,53.0,51.2,54.3,1.6
53,Neither agree nor disagree,Instructor 3,87.6,89.0,88.8,86.5,1.2,3,87.7,89.0,86.2,89.3,1.6
54,Agree,Instructor 1,44.8,44.0,46.0,43.6,1.2,3,45.6,44.0,44.1,47.2,1.6
55,Agree,Instructor 2,105.6,105.0,106.8,104.5,1.2,3,105.1,105.0,103.5,106.7,1.6
56,Agree,Instructor 3,90.2,91.0,91.4,89.0,1.2,3,90.4,91.0,88.8,92.0,1.6
57,Strongly agree,Instructor 1,188.3,187.0,189.5,187.1,1.2,3,188.5,187.0,186.9,190.0,1.6
58,Strongly agree,Instructor 2,172.1,173.0,173.2,170.9,1.2,3,171.7,173.0,170.1,173.3,1.6
59,Strongly agree,Instructor 3,85.1,86.0,86.3,83.9,1.2,3,82.8,86.0,81.2,84.4,1.6
60,Strongly disagree,Instructor 1,17.4,18.0,18.3,16.4,0.9,4,18.0,18.0,16.8,19.2,1.2
61,Strongly disagree,Instructor 2,11.1,13.0,12.1,10.2,0.9,4,10.8,13.0,9.6,12.0,1.2
62,Strongly disagree,Instructor 3,38.0,36.0,39.0,37.1,0.9,4,36.9,36.0,35.7,38.1,1.2
63,Disagree,Instructor 1,36.5,37.0,37.4,35.5,0.9,4,36.6,37.0,35.4,37.8,1.2
64,Disagree,Instructor 2,26.2,31.0,27.2,25.3,0.9,4,28.0,31.0,26.8,29.2,1.2
65,Disagree,Instructor 3,18.5,18.0,19.4,17.6,0.9,4,18.4,18.0,17.2,19.6,1.2
66,Neither agree nor disagree,Instructor 1,22.1,19.0,23.0,21.1,0.9,4,20.5,19.0,19.3,21.6,1.2
67,Neither agree nor disagree,Instructor 2,52.1,53.0,53.1,51.2,0.9,4,51.7,53.0,50.5,52.9,1.2
68,Neither agree nor disagree,Instructor 3,89.3,89.0,90.2,88.3,0.9,4,87.6,89.0,86.5,88.8,1.2
69,Agree,Instructor 1,44.8,44.0,45.7,43.8,0.9,4,44.8,44.0,43.6,46.0,1.2
70,Agree,Instructor 2,105.8,105.0,106.7,104.9,0.9,4,105.6,105.0,104.5,106.8,1.2
71,Agree,Instructor 3,90.4,91.0,91.4,89.5,0.9,4,90.2,91.0,89.0,91.4,1.2
72,Strongly agree,Instructor 1,185.4,187.0,186.3,184.4,0.9,4,188.3,187.0,187.1,189.5,1.2
73,Strongly agree,Instructor 2,172.8,173.0,173.7,171.8,0.9,4,172.1,173.0,170.9,173.2,1.2
74,Strongly agree,Instructor 3,84.3,86.0,85.3,83.4,0.9,4,85.1,86.0,83.9,86.3,1.2
75,Strongly disagree,Instructor 1,17.4,18.0,18.2,16.6,0.8,5,17.4,18.0,16.4,18.3,0.9
76,Strongly disagree,Instructor 2,11.5,13.0,12.3,10.7,0.8,5,11.1,13.0,10.2,12.1,0.9
77,Strongly disagree,Instructor 3,40.1,36.0,40.9,39.4,0.8,5,38.0,36.0,37.1,39.0,0.9
78,Disagree,Instructor 1,36.7,37.0,37.5,35.9,0.8,5,36.5,37.0,35.5,37.4,0.9
79,Disagree,Instructor 2,27.3,31.0,28.1,26.5,0.8,5,26.2,31.0,25.3,27.2,0.9
80,Disagree,Instructor 3,18.3,18.0,19.1,17.6,0.8,5,18.5,18.0,17.6,19.4,0.9
81,Neither agree nor disagree,Instructor 1,20.8,19.0,21.6,20.0,0.8,5,22.1,19.0,21.1,23.0,0.9
