,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,9.2,17.0,14.0,4.5,4.7,0,,,,,
1,Strongly disagree,Instructor 2,24.2,26.0,28.9,19.5,4.7,0,,,,,
2,Strongly disagree,Instructor 3,110.9,109.0,115.7,106.2,4.7,0,,,,,
3,Disagree,Instructor 1,12.0,15.0,16.8,7.3,4.7,0,,,,,
4,Disagree,Instructor 2,19.4,27.0,24.1,14.7,4.7,0,,,,,
5,Disagree,Instructor 3,88.3,90.0,93.0,83.6,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,30.4,32.0,35.1,25.7,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,67.6,67.0,72.3,62.9,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,183.4,190.0,188.1,178.7,4.7,0,,,,,
9,Agree,Instructor 1,29.6,34.0,34.3,24.9,4.7,0,,,,,
10,Agree,Instructor 2,77.6,81.0,82.3,72.8,4.7,0,,,,,
11,Agree,Instructor 3,143.0,143.0,147.7,138.3,4.7,0,,,,,
12,Strongly agree,Instructor 1,26.4,24.0,31.1,21.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,58.4,49.0,63.1,53.7,4.7,0,,,,,
14,Strongly agree,Instructor 3,98.4,96.0,103.2,93.7,4.7,0,,,,,
15,Strongly disagree,Instructor 1,16.0,17.0,18.4,13.7,2.4,1,9.2,17.0,4.5,14.0,4.7
16,Strongly disagree,Instructor 2,26.3,26.0,28.7,24.0,2.4,1,24.2,26.0,19.5,28.9,4.7
17,Strongly disagree,Instructor 3,110.0,109.0,112.4,107.7,2.4,1,110.9,109.0,106.2,115.7,4.7
18,Disagree,Instructor 1,12.7,15.0,15.0,10.3,2.4,1,12.0,15.0,7.3,16.8,4.7
19,Disagree,Instructor 2,22.2,27.0,24.6,19.9,2.4,1,19.4,27.0,14.7,24.1,4.7
20,Disagree,Instructor 3,88.5,90.0,90.8,86.1,2.4,1,88.3,90.0,83.6,93.0,4.7
21,Neither agree nor disagree,Instructor 1,31.3,32.0,33.7,29.0,2.4,1,30.4,32.0,25.7,35.1,4.7
22,Neither agree nor disagree,Instructor 2,65.9,67.0,68.3,63.6,2.4,1,67.6,67.0,62.9,72.3,4.7
23,Neither agree nor disagree,Instructor 3,188.2,190.0,190.6,185.9,2.4,1,183.4,190.0,178.7,188.1,4.7
24,Agree,Instructor 1,33.8,34.0,36.2,31.4,2.4,1,29.6,34.0,24.9,34.3,4.7
25,Agree,Instructor 2,78.2,81.0,80.6,75.9,2.4,1,77.6,81.0,72.8,82.3,4.7
26,Agree,Instructor 3,143.4,143.0,145.8,141.1,2.4,1,143.0,143.0,138.3,147.7,4.7
27,Strongly agree,Instructor 1,24.8,24.0,27.1,22.4,2.4,1,26.4,24.0,21.7,31.1,4.7
28,Strongly agree,Instructor 2,53.4,49.0,55.7,51.0,2.4,1,58.4,49.0,53.7,63.1,4.7
29,Strongly agree,Instructor 3,98.8,96.0,101.2,96.5,2.4,1,98.4,96.0,93.7,103.2,4.7
30,Strongly disagree,Instructor 1,17.3,17.0,18.9,15.7,1.6,2,16.0,17.0,13.7,18.4,2.4
31,Strongly disagree,Instructor 2,27.9,26.0,29.4,26.3,1.6,2,26.3,26.0,24.0,28.7,2.4
32,Strongly disagree,Instructor 3,110.2,109.0,111.8,108.7,1.6,2,110.0,109.0,107.7,112.4,2.4
33,Disagree,Instructor 1,12.9,15.0,14.5,11.3,1.6,2,12.7,15.0,10.3,15.0,2.4
34,Disagree,Instructor 2,25.0,27.0,26.5,23.4,1.6,2,22.2,27.0,19.9,24.6,2.4
35,Disagree,Instructor 3,87.6,90.0,89.1,86.0,1.6,2,88.5,90.0,86.1,90.8,2.4
36,Neither agree nor disagree,Instructor 1,30.7,32.0,32.3,29.1,1.6,2,31.3,32.0,29.0,33.7,2.4
37,Neither agree nor disagree,Instructor 2,66.5,67.0,68.1,64.9,1.6,2,65.9,67.0,63.6,68.3,2.4
38,Neither agree nor disagree,Instructor 3,190.5,190.0,192.0,188.9,1.6,2,188.2,190.0,185.9,190.6,2.4
39,Agree,Instructor 1,34.9,34.0,36.5,33.3,1.6,2,33.8,34.0,31.4,36.2,2.4
40,Agree,Instructor 2,80.2,81.0,81.7,78.6,1.6,2,78.2,81.0,75.9,80.6,2.4
41,Agree,Instructor 3,143.7,143.0,145.3,142.2,1.6,2,143.4,143.0,141.1,145.8,2.4
42,Strongly agree,Instructor 1,25.7,24.0,27.2,24.1,1.6,2,24.8,24.0,22.4,27.1,2.4
