,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,229.1,220.0,233.8,224.3,4.7,0,,,,,
1,0,2,17.3,17.0,22.0,12.6,4.7,0,,,,,
2,0,3,52.7,43.0,57.4,48.0,4.7,0,,,,,
3,0,4,26.9,25.0,31.6,22.2,4.7,0,,,,,
4,0,5,21.7,20.0,26.4,17.0,4.7,0,,,,,
5,1,1,29.2,19.0,33.9,24.4,4.7,0,,,,,
6,1,2,17.4,32.0,22.1,12.7,4.7,0,,,,,
7,1,3,57.7,60.0,62.4,53.0,4.7,0,,,,,
8,1,4,37.5,38.0,42.2,32.8,4.7,0,,,,,
9,1,5,22.7,20.0,27.4,18.0,4.7,0,,,,,
10,2,1,12.3,8.0,17.0,7.6,4.7,0,,,,,
11,2,2,20.4,9.0,25.1,15.6,4.7,0,,,,,
12,2,3,53.3,57.0,58.0,48.6,4.7,0,,,,,
13,2,4,29.7,29.0,34.4,25.0,4.7,0,,,,,
14,2,5,8.6,22.0,13.3,3.9,4.7,0,,,,,
15,3,1,15.9,24.0,20.6,11.2,4.7,0,,,,,
16,3,2,30.2,22.0,34.9,25.4,4.7,0,,,,,
17,3,3,80.5,81.0,85.3,75.8,4.7,0,,,,,
18,3,4,76.6,69.0,81.3,71.9,4.7,0,,,,,
19,3,5,41.8,39.0,46.5,37.1,4.7,0,,,,,
20,4,1,11.5,15.0,16.2,6.8,4.7,0,,,,,
21,4,2,11.7,18.0,16.4,7.0,4.7,0,,,,,
22,4,3,52.8,52.0,57.5,48.0,4.7,0,,,,,
23,4,4,25.4,29.0,30.1,20.6,4.7,0,,,,,
24,4,5,34.1,32.0,38.8,29.4,4.7,0,,,,,
25,0,1,224.6,220.0,227.0,222.3,2.4,1,229.1,220.0,224.3,233.8,4.7
26,0,2,17.7,17.0,20.1,15.3,2.4,1,17.3,17.0,12.6,22.0,4.7
27,0,3,47.5,43.0,49.8,45.1,2.4,1,52.7,43.0,48.0,57.4,4.7
28,0,4,26.5,25.0,28.9,24.2,2.4,1,26.9,25.0,22.2,31.6,4.7
29,0,5,20.5,20.0,22.8,18.1,2.4,1,21.7,20.0,17.0,26.4,4.7
30,1,1,25.4,19.0,27.7,23.0,2.4,1,29.2,19.0,24.4,33.9,4.7
31,1,2,23.0,32.0,25.3,20.6,2.4,1,17.4,32.0,12.7,22.1,4.7
32,1,3,58.4,60.0,60.7,56.0,2.4,1,57.7,60.0,53.0,62.4,4.7
33,1,4,37.8,38.0,40.1,35.4,2.4,1,37.5,38.0,32.8,42.2,4.7
34,1,5,22.1,20.0,24.5,19.8,2.4,1,22.7,20.0,18.0,27.4,4.7
35,2,1,10.4,8.0,12.7,8.0,2.4,1,12.3,8.0,7.6,17.0,4.7
36,2,2,15.2,9.0,17.5,12.8,2.4,1,20.4,9.0,15.6,25.1,4.7
37,2,3,57.7,57.0,60.1,55.4,2.4,1,53.3,57.0,48.6,58.0,4.7
38,2,4,28.8,29.0,31.2,26.5,2.4,1,29.7,29.0,25.0,34.4,4.7
39,2,5,15.8,22.0,18.2,13.5,2.4,1,8.6,22.0,3.9,13.3,4.7
40,3,1,19.9,24.0,22.3,17.6,2.4,1,15.9,24.0,11.2,20.6,4.7
41,3,2,24.4,22.0,26.8,22.0,2.4,1,30.2,22.0,25.4,34.9,4.7
42,3,3,83.8,81.0,86.2,81.4,2.4,1,80.5,81.0,75.8,85.3,4.7
43,3,4,72.6,69.0,74.9,70.2,2.4,1,76.6,69.0,71.9,81.3,4.7
44,3,5,42.2,39.0,44.6,39.9,2.4,1,41.8,39.0,37.1,46.5,4.7
45,4,1,16.0,15.0,18.4,13.6,2.4,1,11.5,15.0,6.8,16.2,4.7
46,4,2,14.5,18.0,16.8,12.1,2.4,1,11.7,18.0,7.0,16.4,4.7
47,4,3,51.7,52.0,54.0,49.3,2.4,1,52.8,52.0,48.0,57.5,4.7
48,4,4,27.4,29.0,29.8,25.1,2.4,1,25.4,29.0,20.6,30.1,4.7
49,4,5,35.0,32.0,37.4,32.6,2.4,1,34.1,32.0,29.4,38.8,4.7
50,0,1,223.1,220.0,224.7,221.5,1.6,2,224.6,220.0,222.3,227.0,2.4
51,0,2,17.7,17.0,19.3,16.2,1.6,2,17.7,17.0,15.3,20.1,2.4
52,0,3,43.7,43.0,45.3,42.1,1.6,2,47.5,43.0,45.1,49.8,2.4
53,0,4,26.1,25.0,27.7,24.5,1.6,2,26.5,25.0,24.2,28.9,2.4
54,0,5,18.8,20.0,20.4,17.2,1.6,2,20.5,20.0,18.1,22.8,2.4
55,1,1,22.9,19.0,24.5,21.3,1.6,2,25.4,19.0,23.0,27.7,2.4
56,1,2,26.8,32.0,28.4,25.3,1.6,2,23.0,32.0,20.6,25.3,2.4
57,1,3,56.3,60.0,57.9,54.8,1.6,2,58.4,60.0,56.0,60.7,2.4
58,1,4,36.2,38.0,37.7,34.6,1.6,2,37.8,38.0,35.4,40.1,2.4
59,1,5,21.9,20.0,23.5,20.4,1.6,2,22.1,20.0,19.8,24.5,2.4
60,2,1,9.7,8.0,11.3,8.2,1.6,2,10.4,8.0,8.0,12.7,2.4
61,2,2,14.4,9.0,16.0,12.8,1.6,2,15.2,9.0,12.8,17.5,2.4
62,2,3,57.5,57.0,59.0,55.9,1.6,2,57.7,57.0,55.4,60.1,2.4
63,2,4,30.0,29.0,31.5,28.4,1.6,2,28.8,29.0,26.5,31.2,2.4
64,2,5,17.9,22.0,19.5,16.3,1.6,2,15.8,22.0,13.5,18.2,2.4
65,3,1,21.8,24.0,23.3,20.2,1.6,2,19.9,24.0,17.6,22.3,2.4
66,3,2,22.2,22.0,23.8,20.7,1.6,2,24.4,22.0,22.0,26.8,2.4
67,3,3,82.5,81.0,84.1,80.9,1.6,2,83.8,81.0,81.4,86.2,2.4
68,3,4,72.8,69.0,74.4,71.3,1.6,2,72.6,69.0,70.2,74.9,2.4
69,3,5,40.7,39.0,42.3,39.2,1.6,2,42.2,39.0,39.9,44.6,2.4
70,4,1,15.6,15.0,17.2,14.0,1.6,2,16.0,15.0,13.6,18.4,2.4
71,4,2,15.4,18.0,17.0,13.8,1.6,2,14.5,18.0,12.1,16.8,2.4
72,4,3,52.1,52.0,53.7,50.5,1.6,2,51.7,52.0,49.3,54.0,2.4
73,4,4,27.8,29.0,29.4,26.2,1.6,2,27.4,29.0,25.1,29.8,2.4
74,4,5,33.3,32.0,34.9,31.7,1.6,2,35.0,32.0,32.6,37.4,2.4
75,0,1,222.7,220.0,223.9,221.5,1.2,3,223.1,220.0,221.5,224.7,1.6
76,0,2,18.4,17.0,19.6,17.2,1.2,3,17.7,17.0,16.2,19.3,1.6
77,0,3,43.2,43.0,44.4,42.1,1.2,3,43.7,43.0,42.1,45.3,1.6
78,0,4,24.1,25.0,25.2,22.9,1.2,3,26.1,25.0,24.5,27.7,1.6
79,0,5,19.3,20.0,20.5,18.1,1.2,3,18.8,20.0,17.2,20.4,1.6
80,1,1,22.5,19.0,23.7,21.3,1.2,3,22.9,19.0,21.3,24.5,1.6
81,1,2,28.9,32.0,30.0,27.7,1.2,3,26.8,32.0,25.3,28.4,1.6
