,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,215.9,214.0,220.7,211.2,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,58.1,86.0,62.8,53.3,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,51.3,53.0,56.0,46.6,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,23.9,28.0,28.6,19.2,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,5.4,11.0,10.1,0.7,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,4.7,8.0,9.4,-0.0,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,3.8,5.0,8.5,-0.9,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,2.2,3.0,6.9,-2.5,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,3.3,3.0,8.0,-1.4,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,12.4,13.0,17.1,7.7,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,-3.0,0.0,1.7,-7.7,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,25.7,21.0,30.4,21.0,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,-4.7,5.0,0.0,-9.4,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,4.4,3.0,9.1,-0.3,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,0.4,1.0,5.1,-4.3,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,0.4,0.0,5.1,-4.3,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-3.2,1.0,1.5,-7.9,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,4.1,1.0,8.8,-0.6,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,9.2,0.0,13.9,4.5,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,-0.6,1.0,4.2,-5.3,4.7,0,,,,,
22,Widowed,$-9k-$-1k,4.7,0.0,9.4,-0.1,4.7,0,,,,,
23,Widowed,$0k-$49k,53.2,48.0,57.9,48.5,4.7,0,,,,,
24,Widowed,$50k-$99k,4.1,10.0,8.8,-0.6,4.7,0,,,,,
25,Widowed,$100k-$149k,-5.5,3.0,-0.8,-10.2,4.7,0,,,,,
26,Widowed,$150k-$199k,-2.6,1.0,2.1,-7.3,4.7,0,,,,,
27,Widowed,$200k-$249k,4.7,0.0,9.4,-0.0,4.7,0,,,,,
28,Widowed,$250k-$299k,-4.4,1.0,0.3,-9.1,4.7,0,,,,,
29,Widowed,$300k-$349k,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
30,Widowed,$350k-$399k,8.2,0.0,13.0,3.5,4.7,0,,,,,
31,Widowed,$400k-$449k,1.2,1.0,5.9,-3.5,4.7,0,,,,,
32,Widowed,$450k-$1499k,1.6,0.0,6.3,-3.1,4.7,0,,,,,
33,Divorced,$-9k-$-1k,1.6,0.0,6.3,-3.2,4.7,0,,,,,
34,Divorced,$0k-$49k,68.7,65.0,73.4,64.0,4.7,0,,,,,
35,Divorced,$50k-$99k,7.0,18.0,11.7,2.3,4.7,0,,,,,
36,Divorced,$100k-$149k,9.3,7.0,14.0,4.6,4.7,0,,,,,
37,Divorced,$150k-$199k,15.7,3.0,20.4,11.0,4.7,0,,,,,
38,Divorced,$200k-$249k,3.3,1.0,8.0,-1.4,4.7,0,,,,,
39,Divorced,$250k-$299k,-1.9,0.0,2.8,-6.6,4.7,0,,,,,
40,Divorced,$300k-$349k,3.9,1.0,8.6,-0.8,4.7,0,,,,,
41,Divorced,$350k-$399k,-5.3,0.0,-0.5,-10.0,4.7,0,,,,,
42,Divorced,$400k-$449k,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
43,Divorced,$450k-$1499k,5.7,0.0,10.4,1.0,4.7,0,,,,,
44,Separated,$-9k-$-1k,-1.8,0.0,2.9,-6.6,4.7,0,,,,,
45,Separated,$0k-$49k,15.5,20.0,20.2,10.8,4.7,0,,,,,
46,Separated,$50k-$99k,-8.8,2.0,-4.1,-13.6,4.7,0,,,,,
47,Separated,$100k-$149k,2.5,1.0,7.2,-2.2,4.7,0,,,,,
48,Separated,$150k-$199k,-1.9,1.0,2.8,-6.6,4.7,0,,,,,
49,Separated,$200k-$249k,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
50,Separated,$250k-$299k,-0.1,0.0,4.7,-4.8,4.7,0,,,,,
51,Separated,$300k-$349k,-7.5,0.0,-2.7,-12.2,4.7,0,,,,,
52,Separated,$350k-$399k,0.5,0.0,5.2,-4.2,4.7,0,,,,,
53,Separated,$400k-$449k,-4.1,0.0,0.6,-8.8,4.7,0,,,,,
54,Separated,$450k-$1499k,0.7,0.0,5.4,-4.1,4.7,0,,,,,
55,Never married,$-9k-$-1k,-4.3,1.0,0.4,-9.0,4.7,0,,,,,
56,Never married,$0k-$49k,261.4,262.0,266.1,256.7,4.7,0,,,,,
57,Never married,$50k-$99k,64.6,63.0,69.4,59.9,4.7,0,,,,,
58,Never married,$100k-$149k,22.4,23.0,27.1,17.7,4.7,0,,,,,
59,Never married,$150k-$199k,-1.7,6.0,3.0,-6.4,4.7,0,,,,,
60,Never married,$200k-$249k,4.2,4.0,9.0,-0.5,4.7,0,,,,,
61,Never married,$250k-$299k,1.3,0.0,6.0,-3.4,4.7,0,,,,,
62,Never married,$300k-$349k,1.1,1.0,5.8,-3.6,4.7,0,,,,,
63,Never married,$350k-$399k,7.3,0.0,12.0,2.6,4.7,0,,,,,
64,Never married,$400k-$449k,0.6,0.0,5.3,-4.1,4.7,0,,,,,
65,Never married,$450k-$1499k,5.5,0.0,10.2,0.8,4.7,0,,,,,
66,"Now married, spouse present",$-9k-$-1k,-1.3,0.0,1.0,-3.7,2.4,1,-0.6,0.0,-5.3,4.1,4.7
67,"Now married, spouse present",$0k-$49k,217.6,214.0,219.9,215.2,2.4,1,215.9,214.0,211.2,220.7,4.7
68,"Now married, spouse present",$50k-$99k,71.8,86.0,74.1,69.4,2.4,1,58.1,86.0,53.3,62.8,4.7
69,"Now married, spouse present",$100k-$149k,56.6,53.0,58.9,54.2,2.4,1,51.3,53.0,46.6,56.0,4.7
70,"Now married, spouse present",$150k-$199k,26.6,28.0,29.0,24.3,2.4,1,23.9,28.0,19.2,28.6,4.7
71,"Now married, spouse present",$200k-$249k,8.6,11.0,11.0,6.3,2.4,1,5.4,11.0,0.7,10.1,4.7
72,"Now married, spouse present",$250k-$299k,3.9,8.0,6.3,1.5,2.4,1,4.7,8.0,-0.0,9.4,4.7
73,"Now married, spouse present",$300k-$349k,8.2,5.0,10.6,5.8,2.4,1,3.8,5.0,-0.9,8.5,4.7
74,"Now married, spouse present",$350k-$399k,2.4,3.0,4.8,0.1,2.4,1,2.2,3.0,-2.5,6.9,4.7
75,"Now married, spouse present",$400k-$449k,3.4,3.0,5.8,1.1,2.4,1,3.3,3.0,-1.4,8.0,4.7
76,"Now married, spouse present",$450k-$1499k,12.4,13.0,14.7,10.0,2.4,1,12.4,13.0,7.7,17.1,4.7
