,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,0.6,4.0,5.3,-4.1,4.7,0,,,,,
1,Emergency,10 - 19,-8.8,2.0,-4.1,-13.5,4.7,0,,,,,
2,Emergency,20 - 29,12.7,13.0,17.5,8.0,4.7,0,,,,,
3,Emergency,30 - 39,17.0,15.0,21.7,12.3,4.7,0,,,,,
4,Emergency,40 - 49,52.4,53.0,57.1,47.7,4.7,0,,,,,
5,Emergency,50 - 59,86.9,87.0,91.6,82.2,4.7,0,,,,,
6,Emergency,60 - 69,90.8,103.0,95.5,86.1,4.7,0,,,,,
7,Emergency,70 - 79,143.9,144.0,148.6,139.2,4.7,0,,,,,
8,Emergency,80 - 89,112.2,105.0,116.9,107.5,4.7,0,,,,,
9,Emergency,90 - 99,20.0,16.0,24.7,15.3,4.7,0,,,,,
10,Urgent,0 - 9,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
11,Urgent,10 - 19,5.2,0.0,9.9,0.5,4.7,0,,,,,
12,Urgent,20 - 29,5.2,1.0,9.9,0.5,4.7,0,,,,,
13,Urgent,30 - 39,1.3,5.0,6.0,-3.4,4.7,0,,,,,
14,Urgent,40 - 49,22.0,21.0,26.7,17.3,4.7,0,,,,,
15,Urgent,50 - 59,33.4,44.0,38.1,28.6,4.7,0,,,,,
16,Urgent,60 - 69,36.2,41.0,40.9,31.4,4.7,0,,,,,
17,Urgent,70 - 79,49.5,51.0,54.2,44.8,4.7,0,,,,,
18,Urgent,80 - 89,38.2,42.0,42.9,33.4,4.7,0,,,,,
19,Urgent,90 - 99,6.4,4.0,11.1,1.7,4.7,0,,,,,
20,Elective,0 - 9,-1.2,0.0,3.5,-6.0,4.7,0,,,,,
21,Elective,10 - 19,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
22,Elective,20 - 29,-2.0,3.0,2.7,-6.7,4.7,0,,,,,
23,Elective,30 - 39,0.1,6.0,4.8,-4.7,4.7,0,,,,,
24,Elective,40 - 49,17.8,16.0,22.6,13.1,4.7,0,,,,,
25,Elective,50 - 59,29.7,29.0,34.5,25.0,4.7,0,,,,,
26,Elective,60 - 69,45.7,53.0,50.4,41.0,4.7,0,,,,,
27,Elective,70 - 79,67.9,68.0,72.6,63.1,4.7,0,,,,,
28,Elective,80 - 89,22.3,23.0,27.0,17.6,4.7,0,,,,,
29,Elective,90 - 99,6.0,2.0,10.7,1.3,4.7,0,,,,,
30,Newborn,0 - 9,0.8,0.0,5.5,-4.0,4.7,0,,,,,
31,Newborn,10 - 19,0.4,0.0,5.1,-4.3,4.7,0,,,,,
32,Newborn,20 - 29,7.6,0.0,12.3,2.9,4.7,0,,,,,
33,Newborn,30 - 39,12.1,0.0,16.8,7.4,4.7,0,,,,,
34,Newborn,40 - 49,-1.3,0.0,3.4,-6.0,4.7,0,,,,,
35,Newborn,50 - 59,-2.4,0.0,2.3,-7.2,4.7,0,,,,,
36,Newborn,60 - 69,3.0,0.0,7.7,-1.7,4.7,0,,,,,
37,Newborn,70 - 79,-6.9,0.0,-2.2,-11.6,4.7,0,,,,,
38,Newborn,80 - 89,-1.1,0.0,3.7,-5.8,4.7,0,,,,,
39,Newborn,90 - 99,-6.6,0.0,-1.8,-11.3,4.7,0,,,,,
40,Not Available,0 - 9,-6.5,0.0,-1.8,-11.2,4.7,0,,,,,
41,Not Available,10 - 19,-1.8,0.0,2.9,-6.5,4.7,0,,,,,
42,Not Available,20 - 29,2.9,0.0,7.6,-1.8,4.7,0,,,,,
43,Not Available,30 - 39,7.5,2.0,12.3,2.8,4.7,0,,,,,
44,Not Available,40 - 49,6.9,4.0,11.6,2.2,4.7,0,,,,,
45,Not Available,50 - 59,8.4,8.0,13.2,3.7,4.7,0,,,,,
46,Not Available,60 - 69,6.9,6.0,11.6,2.2,4.7,0,,,,,
47,Not Available,70 - 79,10.9,12.0,15.6,6.2,4.7,0,,,,,
48,Not Available,80 - 89,6.4,10.0,11.1,1.7,4.7,0,,,,,
49,Not Available,90 - 99,0.5,1.0,5.3,-4.2,4.7,0,,,,,
50,Trauma Center,0 - 9,-6.9,0.0,-2.2,-11.6,4.7,0,,,,,
51,Trauma Center,10 - 19,-10.6,0.0,-5.9,-15.3,4.7,0,,,,,
52,Trauma Center,20 - 29,2.6,0.0,7.3,-2.1,4.7,0,,,,,
53,Trauma Center,30 - 39,-1.7,0.0,3.0,-6.4,4.7,0,,,,,
54,Trauma Center,40 - 49,1.7,0.0,6.4,-3.0,4.7,0,,,,,
55,Trauma Center,50 - 59,2.1,0.0,6.8,-2.6,4.7,0,,,,,
56,Trauma Center,60 - 69,6.7,0.0,11.4,2.0,4.7,0,,,,,
57,Trauma Center,70 - 79,-0.7,0.0,4.0,-5.5,4.7,0,,,,,
58,Trauma Center,80 - 89,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
59,Trauma Center,90 - 99,3.2,0.0,7.9,-1.5,4.7,0,,,,,
60,Not Mapped,0 - 9,1.2,0.0,5.9,-3.5,4.7,0,,,,,
61,Not Mapped,10 - 19,3.2,0.0,8.0,-1.5,4.7,0,,,,,
62,Not Mapped,20 - 29,2.1,1.0,6.8,-2.6,4.7,0,,,,,
63,Not Mapped,30 - 39,8.2,0.0,12.9,3.5,4.7,0,,,,,
64,Not Mapped,40 - 49,-0.3,1.0,4.4,-5.1,4.7,0,,,,,
65,Not Mapped,50 - 59,3.2,1.0,7.9,-1.6,4.7,0,,,,,
66,Not Mapped,60 - 69,7.7,0.0,12.4,3.0,4.7,0,,,,,
67,Not Mapped,70 - 79,0.7,2.0,5.4,-4.1,4.7,0,,,,,
68,Not Mapped,80 - 89,1.8,1.0,6.6,-2.9,4.7,0,,,,,
69,Not Mapped,90 - 99,-1.0,0.0,3.7,-5.8,4.7,0,,,,,
70,Emergency,0 - 9,3.4,4.0,5.7,1.0,2.4,1,0.6,4.0,-4.1,5.3,4.7
71,Emergency,10 - 19,-1.1,2.0,1.3,-3.5,2.4,1,-8.8,2.0,-13.5,-4.1,4.7
72,Emergency,20 - 29,13.5,13.0,15.8,11.1,2.4,1,12.7,13.0,8.0,17.5,4.7
73,Emergency,30 - 39,16.8,15.0,19.2,14.5,2.4,1,17.0,15.0,12.3,21.7,4.7
74,Emergency,40 - 49,51.1,53.0,53.5,48.8,2.4,1,52.4,53.0,47.7,57.1,4.7
75,Emergency,50 - 59,88.2,87.0,90.6,85.9,2.4,1,86.9,87.0,82.2,91.6,4.7
76,Emergency,60 - 69,96.2,103.0,98.6,93.9,2.4,1,90.8,103.0,86.1,95.5,4.7
77,Emergency,70 - 79,143.7,144.0,146.1,141.4,2.4,1,143.9,144.0,139.2,148.6,4.7
78,Emergency,80 - 89,107.8,105.0,110.2,105.5,2.4,1,112.2,105.0,107.5,116.9,4.7
79,Emergency,90 - 99,18.3,16.0,20.6,15.9,2.4,1,20.0,16.0,15.3,24.7,4.7
80,Urgent,0 - 9,-2.3,0.0,0.1,-4.6,2.4,1,-5.1,0.0,-9.8,-0.4,4.7
81,Urgent,10 - 19,1.8,0.0,4.2,-0.5,2.4,1,5.2,0.0,0.5,9.9,4.7
82,Urgent,20 - 29,1.7,1.0,4.1,-0.7,2.4,1,5.2,1.0,0.5,9.9,4.7
83,Urgent,30 - 39,5.1,5.0,7.5,2.7,2.4,1,1.3,5.0,-3.4,6.0,4.7
84,Urgent,40 - 49,20.7,21.0,23.0,18.3,2.4,1,22.0,21.0,17.3,26.7,4.7
85,Urgent,50 - 59,38.5,44.0,40.8,36.1,2.4,1,33.4,44.0,28.6,38.1,4.7
86,Urgent,60 - 69,35.7,41.0,38.1,33.4,2.4,1,36.2,41.0,31.4,40.9,4.7
87,Urgent,70 - 79,49.4,51.0,51.7,47.0,2.4,1,49.5,51.0,44.8,54.2,4.7
88,Urgent,80 - 89,37.1,42.0,39.5,34.8,2.4,1,38.2,42.0,33.4,42.9,4.7
89,Urgent,90 - 99,4.6,4.0,6.9,2.2,2.4,1,6.4,4.0,1.7,11.1,4.7
90,Elective,0 - 9,4.3,0.0,6.7,1.9,2.4,1,-1.2,0.0,-6.0,3.5,4.7
91,Elective,10 - 19,-0.3,0.0,2.1,-2.6,2.4,1,-1.5,0.0,-6.2,3.2,4.7
92,Elective,20 - 29,-0.5,3.0,1.8,-2.9,2.4,1,-2.0,3.0,-6.7,2.7,4.7
93,Elective,30 - 39,3.7,6.0,6.0,1.3,2.4,1,0.1,6.0,-4.7,4.8,4.7
94,Elective,40 - 49,17.4,16.0,19.8,15.1,2.4,1,17.8,16.0,13.1,22.6,4.7
95,Elective,50 - 59,31.1,29.0,33.5,28.8,2.4,1,29.7,29.0,25.0,34.5,4.7
96,Elective,60 - 69,49.5,53.0,51.8,47.1,2.4,1,45.7,53.0,41.0,50.4,4.7
97,Elective,70 - 79,70.8,68.0,73.2,68.5,2.4,1,67.9,68.0,63.1,72.6,4.7
98,Elective,80 - 89,22.3,23.0,24.7,20.0,2.4,1,22.3,23.0,17.6,27.0,4.7
99,Elective,90 - 99,3.1,2.0,5.4,0.7,2.4,1,6.0,2.0,1.3,10.7,4.7
100,Newborn,0 - 9,3.5,0.0,5.8,1.1,2.4,1,0.8,0.0,-4.0,5.5,4.7
101,Newborn,10 - 19,1.2,0.0,3.5,-1.2,2.4,1,0.4,0.0,-4.3,5.1,4.7
102,Newborn,20 - 29,3.8,0.0,6.1,1.4,2.4,1,7.6,0.0,2.9,12.3,4.7
103,Newborn,30 - 39,6.0,0.0,8.4,3.7,2.4,1,12.1,0.0,7.4,16.8,4.7
104,Newborn,40 - 49,-0.1,0.0,2.3,-2.4,2.4,1,-1.3,0.0,-6.0,3.4,4.7
105,Newborn,50 - 59,-1.4,0.0,0.9,-3.8,2.4,1,-2.4,0.0,-7.2,2.3,4.7
106,Newborn,60 - 69,1.7,0.0,4.0,-0.7,2.4,1,3.0,0.0,-1.7,7.7,4.7
107,Newborn,70 - 79,1.3,0.0,3.7,-1.0,2.4,1,-6.9,0.0,-11.6,-2.2,4.7
108,Newborn,80 - 89,2.8,0.0,5.2,0.5,2.4,1,-1.1,0.0,-5.8,3.7,4.7
109,Newborn,90 - 99,-1.4,0.0,1.0,-3.7,2.4,1,-6.6,0.0,-11.3,-1.8,4.7
110,Not Available,0 - 9,-3.1,0.0,-0.7,-5.4,2.4,1,-6.5,0.0,-11.2,-1.8,4.7
111,Not Available,10 - 19,-1.4,0.0,0.9,-3.8,2.4,1,-1.8,0.0,-6.5,2.9,4.7
112,Not Available,20 - 29,4.3,0.0,6.7,2.0,2.4,1,2.9,0.0,-1.8,7.6,4.7
113,Not Available,30 - 39,4.0,2.0,6.4,1.6,2.4,1,7.5,2.0,2.8,12.3,4.7
114,Not Available,40 - 49,8.8,4.0,11.1,6.4,2.4,1,6.9,4.0,2.2,11.6,4.7
115,Not Available,50 - 59,7.0,8.0,9.3,4.6,2.4,1,8.4,8.0,3.7,13.2,4.7
116,Not Available,60 - 69,6.2,6.0,8.5,3.8,2.4,1,6.9,6.0,2.2,11.6,4.7
117,Not Available,70 - 79,15.7,12.0,18.0,13.3,2.4,1,10.9,12.0,6.2,15.6,4.7
