,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,59.6,59.0,64.4,54.9,4.7,0,,,,,
1,African American,3-4,61.3,56.0,66.0,56.6,4.7,0,,,,,
2,African American,5-6,38.1,33.0,42.8,33.4,4.7,0,,,,,
3,African American,7-8,27.3,24.0,32.0,22.6,4.7,0,,,,,
4,African American,9-10,1.2,10.0,5.9,-3.5,4.7,0,,,,,
5,African American,11-12,11.6,10.0,16.3,6.9,4.7,0,,,,,
6,African American,13-14,2.1,3.0,6.8,-2.6,4.7,0,,,,,
7,Asian,1-2,5.3,4.0,10.0,0.6,4.7,0,,,,,
8,Asian,3-4,-3.2,0.0,1.6,-7.9,4.7,0,,,,,
9,Asian,5-6,-1.0,1.0,3.7,-5.7,4.7,0,,,,,
10,Asian,7-8,2.9,1.0,7.6,-1.8,4.7,0,,,,,
11,Asian,9-10,2.8,0.0,7.5,-1.9,4.7,0,,,,,
12,Asian,11-12,4.0,0.0,8.7,-0.7,4.7,0,,,,,
13,Asian,13-14,2.7,0.0,7.4,-2.0,4.7,0,,,,,
14,Caucasian,1-2,230.1,235.0,234.9,225.4,4.7,0,,,,,
15,Caucasian,3-4,243.3,241.0,248.0,238.6,4.7,0,,,,,
16,Caucasian,5-6,129.5,132.0,134.3,124.8,4.7,0,,,,,
17,Caucasian,7-8,79.8,82.0,84.5,75.0,4.7,0,,,,,
18,Caucasian,9-10,31.2,27.0,35.9,26.5,4.7,0,,,,,
19,Caucasian,11-12,29.7,22.0,34.4,24.9,4.7,0,,,,,
20,Caucasian,13-14,16.4,16.0,21.2,11.7,4.7,0,,,,,
21,Hispanic,1-2,13.6,11.0,18.3,8.9,4.7,0,,,,,
22,Hispanic,3-4,7.9,8.0,12.7,3.2,4.7,0,,,,,
23,Hispanic,5-6,5.0,4.0,9.7,0.3,4.7,0,,,,,
24,Hispanic,7-8,3.8,0.0,8.5,-0.9,4.7,0,,,,,
25,Hispanic,9-10,0.7,1.0,5.4,-4.0,4.7,0,,,,,
26,Hispanic,11-12,1.0,1.0,5.7,-3.7,4.7,0,,,,,
27,Hispanic,13-14,2.5,1.0,7.2,-2.2,4.7,0,,,,,
28,Other,1-2,2.9,5.0,7.6,-1.8,4.7,0,,,,,
29,Other,3-4,0.3,7.0,5.0,-4.4,4.7,0,,,,,
30,Other,5-6,3.6,1.0,8.3,-1.1,4.7,0,,,,,
31,Other,7-8,3.9,4.0,8.6,-0.8,4.7,0,,,,,
32,Other,9-10,-0.4,1.0,4.3,-5.1,4.7,0,,,,,
33,Other,11-12,0.1,0.0,4.8,-4.6,4.7,0,,,,,
34,Other,13-14,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
35,African American,1-2,61.1,59.0,63.4,58.7,2.4,1,59.6,59.0,54.9,64.4,4.7
36,African American,3-4,56.7,56.0,59.1,54.4,2.4,1,61.3,56.0,56.6,66.0,4.7
37,African American,5-6,36.6,33.0,39.0,34.2,2.4,1,38.1,33.0,33.4,42.8,4.7
38,African American,7-8,25.3,24.0,27.7,23.0,2.4,1,27.3,24.0,22.6,32.0,4.7
39,African American,9-10,7.0,10.0,9.3,4.6,2.4,1,1.2,10.0,-3.5,5.9,4.7
40,African American,11-12,12.4,10.0,14.7,10.0,2.4,1,11.6,10.0,6.9,16.3,4.7
41,African American,13-14,4.0,3.0,6.3,1.6,2.4,1,2.1,3.0,-2.6,6.8,4.7
42,Asian,1-2,5.3,4.0,7.7,2.9,2.4,1,5.3,4.0,0.6,10.0,4.7
43,Asian,3-4,-1.0,0.0,1.4,-3.4,2.4,1,-3.2,0.0,-7.9,1.6,4.7
44,Asian,5-6,-0.3,1.0,2.1,-2.6,2.4,1,-1.0,1.0,-5.7,3.7,4.7
45,Asian,7-8,2.0,1.0,4.4,-0.4,2.4,1,2.9,1.0,-1.8,7.6,4.7
46,Asian,9-10,1.4,0.0,3.8,-1.0,2.4,1,2.8,0.0,-1.9,7.5,4.7
47,Asian,11-12,-2.3,0.0,0.0,-4.7,2.4,1,4.0,0.0,-0.7,8.7,4.7
48,Asian,13-14,2.2,0.0,4.6,-0.1,2.4,1,2.7,0.0,-2.0,7.4,4.7
49,Caucasian,1-2,233.9,235.0,236.3,231.6,2.4,1,230.1,235.0,225.4,234.9,4.7
50,Caucasian,3-4,242.0,241.0,244.4,239.7,2.4,1,243.3,241.0,238.6,248.0,4.7
51,Caucasian,5-6,130.3,132.0,132.7,128.0,2.4,1,129.5,132.0,124.8,134.3,4.7
52,Caucasian,7-8,80.0,82.0,82.3,77.6,2.4,1,79.8,82.0,75.0,84.5,4.7
53,Caucasian,9-10,29.3,27.0,31.7,26.9,2.4,1,31.2,27.0,26.5,35.9,4.7
54,Caucasian,11-12,22.9,22.0,25.2,20.5,2.4,1,29.7,22.0,24.9,34.4,4.7
55,Caucasian,13-14,16.7,16.0,19.1,14.4,2.4,1,16.4,16.0,11.7,21.2,4.7
56,Hispanic,1-2,14.8,11.0,17.2,12.5,2.4,1,13.6,11.0,8.9,18.3,4.7
57,Hispanic,3-4,10.3,8.0,12.7,8.0,2.4,1,7.9,8.0,3.2,12.7,4.7
58,Hispanic,5-6,3.9,4.0,6.2,1.5,2.4,1,5.0,4.0,0.3,9.7,4.7
59,Hispanic,7-8,2.8,0.0,5.1,0.4,2.4,1,3.8,0.0,-0.9,8.5,4.7
60,Hispanic,9-10,1.0,1.0,3.3,-1.4,2.4,1,0.7,1.0,-4.0,5.4,4.7
61,Hispanic,11-12,1.6,1.0,4.0,-0.7,2.4,1,1.0,1.0,-3.7,5.7,4.7
62,Hispanic,13-14,0.7,1.0,3.1,-1.7,2.4,1,2.5,1.0,-2.2,7.2,4.7
63,Other,1-2,0.1,5.0,2.4,-2.3,2.4,1,2.9,5.0,-1.8,7.6,4.7
64,Other,3-4,4.5,7.0,6.8,2.1,2.4,1,0.3,7.0,-4.4,5.0,4.7
65,Other,5-6,1.4,1.0,3.8,-0.9,2.4,1,3.6,1.0,-1.1,8.3,4.7
66,Other,7-8,2.1,4.0,4.5,-0.3,2.4,1,3.9,4.0,-0.8,8.6,4.7
67,Other,9-10,-0.4,1.0,2.0,-2.7,2.4,1,-0.4,1.0,-5.1,4.3,4.7
68,Other,11-12,-1.8,0.0,0.5,-4.2,2.4,1,0.1,0.0,-4.6,4.8,4.7
69,Other,13-14,1.9,0.0,4.2,-0.5,2.4,1,-2.1,0.0,-6.8,2.6,4.7
70,African American,1-2,62.5,59.0,64.1,60.9,1.6,2,61.1,59.0,58.7,63.4,2.4
71,African American,3-4,56.7,56.0,58.2,55.1,1.6,2,56.7,56.0,54.4,59.1,2.4
72,African American,5-6,36.3,33.0,37.9,34.7,1.6,2,36.6,33.0,34.2,39.0,2.4
73,African American,7-8,24.7,24.0,26.3,23.1,1.6,2,25.3,24.0,23.0,27.7,2.4
74,African American,9-10,9.1,10.0,10.7,7.6,1.6,2,7.0,10.0,4.6,9.3,2.4
75,African American,11-12,11.3,10.0,12.9,9.7,1.6,2,12.4,10.0,10.0,14.7,2.4
76,African American,13-14,3.3,3.0,4.8,1.7,1.6,2,4.0,3.0,1.6,6.3,2.4
77,Asian,1-2,4.6,4.0,6.2,3.0,1.6,2,5.3,4.0,2.9,7.7,2.4
78,Asian,3-4,0.6,0.0,2.2,-0.9,1.6,2,-1.0,0.0,-3.4,1.4,2.4
79,Asian,5-6,-0.2,1.0,1.4,-1.7,1.6,2,-0.3,1.0,-2.6,2.1,2.4
