,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,6.6,2.0,11.3,1.9,4.7,0,,,,,
1,Emergency,10 - 19,13.2,4.0,17.9,8.5,4.7,0,,,,,
2,Emergency,20 - 29,15.5,11.0,20.2,10.8,4.7,0,,,,,
3,Emergency,30 - 39,29.2,29.0,33.9,24.5,4.7,0,,,,,
4,Emergency,40 - 49,68.5,71.0,73.2,63.7,4.7,0,,,,,
5,Emergency,50 - 59,79.4,92.0,84.1,74.7,4.7,0,,,,,
6,Emergency,60 - 69,105.5,106.0,110.2,100.8,4.7,0,,,,,
7,Emergency,70 - 79,143.3,144.0,148.0,138.6,4.7,0,,,,,
8,Emergency,80 - 89,101.2,101.0,105.9,96.4,4.7,0,,,,,
9,Emergency,90 - 99,16.9,17.0,21.6,12.1,4.7,0,,,,,
10,Urgent,0 - 9,1.3,1.0,6.0,-3.4,4.7,0,,,,,
11,Urgent,10 - 19,2.5,0.0,7.2,-2.3,4.7,0,,,,,
12,Urgent,20 - 29,5.8,4.0,10.6,1.1,4.7,0,,,,,
13,Urgent,30 - 39,5.9,5.0,10.6,1.2,4.7,0,,,,,
14,Urgent,40 - 49,23.5,24.0,28.2,18.8,4.7,0,,,,,
15,Urgent,50 - 59,34.2,36.0,38.9,29.5,4.7,0,,,,,
16,Urgent,60 - 69,52.8,43.0,57.6,48.1,4.7,0,,,,,
17,Urgent,70 - 79,48.7,50.0,53.4,43.9,4.7,0,,,,,
18,Urgent,80 - 89,34.2,37.0,39.0,29.5,4.7,0,,,,,
19,Urgent,90 - 99,-1.8,5.0,3.0,-6.5,4.7,0,,,,,
20,Elective,0 - 9,-3.5,1.0,1.2,-8.3,4.7,0,,,,,
21,Elective,10 - 19,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
22,Elective,20 - 29,-2.5,4.0,2.2,-7.2,4.7,0,,,,,
23,Elective,30 - 39,3.3,6.0,8.0,-1.4,4.7,0,,,,,
24,Elective,40 - 49,15.2,16.0,19.9,10.5,4.7,0,,,,,
25,Elective,50 - 59,32.2,27.0,37.0,27.5,4.7,0,,,,,
26,Elective,60 - 69,41.8,43.0,46.5,37.1,4.7,0,,,,,
27,Elective,70 - 79,56.6,45.0,61.3,51.9,4.7,0,,,,,
28,Elective,80 - 89,17.5,27.0,22.2,12.8,4.7,0,,,,,
29,Elective,90 - 99,-0.2,1.0,4.5,-4.9,4.7,0,,,,,
30,Newborn,0 - 9,2.5,0.0,7.2,-2.2,4.7,0,,,,,
31,Newborn,10 - 19,7.0,0.0,11.7,2.3,4.7,0,,,,,
32,Newborn,20 - 29,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
33,Newborn,30 - 39,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
34,Newborn,40 - 49,-2.1,0.0,2.7,-6.8,4.7,0,,,,,
35,Newborn,50 - 59,3.1,0.0,7.8,-1.6,4.7,0,,,,,
36,Newborn,60 - 69,1.1,0.0,5.8,-3.6,4.7,0,,,,,
37,Newborn,70 - 79,-6.6,0.0,-1.9,-11.3,4.7,0,,,,,
38,Newborn,80 - 89,0.8,0.0,5.5,-3.9,4.7,0,,,,,
39,Newborn,90 - 99,3.0,0.0,7.7,-1.7,4.7,0,,,,,
40,Not Available,0 - 9,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
41,Not Available,10 - 19,2.9,0.0,7.6,-1.8,4.7,0,,,,,
42,Not Available,20 - 29,12.6,0.0,17.3,7.9,4.7,0,,,,,
43,Not Available,30 - 39,3.6,3.0,8.3,-1.1,4.7,0,,,,,
44,Not Available,40 - 49,-7.5,1.0,-2.8,-12.2,4.7,0,,,,,
45,Not Available,50 - 59,1.6,2.0,6.3,-3.1,4.7,0,,,,,
46,Not Available,60 - 69,6.7,10.0,11.5,2.0,4.7,0,,,,,
47,Not Available,70 - 79,17.0,16.0,21.7,12.3,4.7,0,,,,,
48,Not Available,80 - 89,7.2,10.0,11.9,2.5,4.7,0,,,,,
49,Not Available,90 - 99,0.0,4.0,4.7,-4.7,4.7,0,,,,,
50,Trauma Center,0 - 9,-5.4,0.0,-0.6,-10.1,4.7,0,,,,,
51,Trauma Center,10 - 19,2.1,0.0,6.8,-2.6,4.7,0,,,,,
52,Trauma Center,20 - 29,7.0,0.0,11.8,2.3,4.7,0,,,,,
53,Trauma Center,30 - 39,7.3,0.0,12.0,2.5,4.7,0,,,,,
54,Trauma Center,40 - 49,-1.0,0.0,3.8,-5.7,4.7,0,,,,,
55,Trauma Center,50 - 59,0.7,0.0,5.4,-4.0,4.7,0,,,,,
56,Trauma Center,60 - 69,1.3,0.0,6.0,-3.4,4.7,0,,,,,
57,Trauma Center,70 - 79,0.1,0.0,4.8,-4.6,4.7,0,,,,,
58,Trauma Center,80 - 89,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
59,Trauma Center,90 - 99,-13.4,0.0,-8.7,-18.2,4.7,0,,,,,
60,Not Mapped,0 - 9,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
61,Not Mapped,10 - 19,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
62,Not Mapped,20 - 29,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
63,Not Mapped,30 - 39,0.2,0.0,4.9,-4.5,4.7,0,,,,,
64,Not Mapped,40 - 49,0.7,0.0,5.5,-4.0,4.7,0,,,,,
65,Not Mapped,50 - 59,2.9,1.0,7.7,-1.8,4.7,0,,,,,
66,Not Mapped,60 - 69,-1.6,0.0,3.1,-6.3,4.7,0,,,,,
67,Not Mapped,70 - 79,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
68,Not Mapped,80 - 89,4.5,1.0,9.2,-0.3,4.7,0,,,,,
69,Not Mapped,90 - 99,0.6,0.0,5.4,-4.1,4.7,0,,,,,
70,Emergency,0 - 9,7.8,2.0,10.2,5.4,2.4,1,6.6,2.0,1.9,11.3,4.7
71,Emergency,10 - 19,9.6,4.0,12.0,7.2,2.4,1,13.2,4.0,8.5,17.9,4.7
72,Emergency,20 - 29,11.5,11.0,13.9,9.2,2.4,1,15.5,11.0,10.8,20.2,4.7
73,Emergency,30 - 39,29.6,29.0,31.9,27.2,2.4,1,29.2,29.0,24.5,33.9,4.7
74,Emergency,40 - 49,69.9,71.0,72.3,67.6,2.4,1,68.5,71.0,63.7,73.2,4.7
75,Emergency,50 - 59,86.9,92.0,89.3,84.6,2.4,1,79.4,92.0,74.7,84.1,4.7
76,Emergency,60 - 69,107.3,106.0,109.7,105.0,2.4,1,105.5,106.0,100.8,110.2,4.7
77,Emergency,70 - 79,142.8,144.0,145.1,140.4,2.4,1,143.3,144.0,138.6,148.0,4.7
