,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,30.6,30.0,35.4,25.9,4.7,0,,,,,
1,Strongly disagree,Instructor 2,27.3,22.0,32.0,22.6,4.7,0,,,,,
2,Strongly disagree,Instructor 3,110.1,105.0,114.8,105.4,4.7,0,,,,,
3,Disagree,Instructor 1,-0.8,8.0,3.9,-5.5,4.7,0,,,,,
4,Disagree,Instructor 2,24.6,23.0,29.3,19.9,4.7,0,,,,,
5,Disagree,Instructor 3,66.1,67.0,70.8,61.4,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,38.3,37.0,43.0,33.6,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,61.8,65.0,66.6,57.1,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,191.0,193.0,195.7,186.3,4.7,0,,,,,
9,Agree,Instructor 1,56.8,54.0,61.5,52.1,4.7,0,,,,,
10,Agree,Instructor 2,87.0,83.0,91.7,82.3,4.7,0,,,,,
11,Agree,Instructor 3,145.7,143.0,150.4,141.0,4.7,0,,,,,
12,Strongly agree,Instructor 1,24.1,29.0,28.9,19.4,4.7,0,,,,,
13,Strongly agree,Instructor 2,52.3,50.0,57.0,47.6,4.7,0,,,,,
14,Strongly agree,Instructor 3,88.5,91.0,93.3,83.8,4.7,0,,,,,
15,Strongly disagree,Instructor 1,31.6,30.0,34.0,29.3,2.4,1,30.6,30.0,25.9,35.4,4.7
16,Strongly disagree,Instructor 2,24.6,22.0,27.0,22.3,2.4,1,27.3,22.0,22.6,32.0,4.7
17,Strongly disagree,Instructor 3,108.1,105.0,110.4,105.7,2.4,1,110.1,105.0,105.4,114.8,4.7
18,Disagree,Instructor 1,3.5,8.0,5.8,1.1,2.4,1,-0.8,8.0,-5.5,3.9,4.7
19,Disagree,Instructor 2,23.8,23.0,26.2,21.4,2.4,1,24.6,23.0,19.9,29.3,4.7
20,Disagree,Instructor 3,67.3,67.0,69.6,64.9,2.4,1,66.1,67.0,61.4,70.8,4.7
21,Neither agree nor disagree,Instructor 1,36.6,37.0,39.0,34.2,2.4,1,38.3,37.0,33.6,43.0,4.7
22,Neither agree nor disagree,Instructor 2,60.1,65.0,62.4,57.7,2.4,1,61.8,65.0,57.1,66.6,4.7
23,Neither agree nor disagree,Instructor 3,193.3,193.0,195.6,190.9,2.4,1,191.0,193.0,186.3,195.7,4.7
24,Agree,Instructor 1,54.7,54.0,57.1,52.3,2.4,1,56.8,54.0,52.1,61.5,4.7
25,Agree,Instructor 2,85.0,83.0,87.4,82.7,2.4,1,87.0,83.0,82.3,91.7,4.7
26,Agree,Instructor 3,143.3,143.0,145.6,140.9,2.4,1,145.7,143.0,141.0,150.4,4.7
27,Strongly agree,Instructor 1,27.1,29.0,29.4,24.7,2.4,1,24.1,29.0,19.4,28.9,4.7
28,Strongly agree,Instructor 2,51.4,50.0,53.7,49.0,2.4,1,52.3,50.0,47.6,57.0,4.7
29,Strongly agree,Instructor 3,89.0,91.0,91.4,86.7,2.4,1,88.5,91.0,83.8,93.3,4.7
30,Strongly disagree,Instructor 1,32.3,30.0,33.8,30.7,1.6,2,31.6,30.0,29.3,34.0,2.4
31,Strongly disagree,Instructor 2,22.5,22.0,24.0,20.9,1.6,2,24.6,22.0,22.3,27.0,2.4
32,Strongly disagree,Instructor 3,107.7,105.0,109.3,106.2,1.6,2,108.1,105.0,105.7,110.4,2.4
33,Disagree,Instructor 1,5.9,8.0,7.5,4.3,1.6,2,3.5,8.0,1.1,5.8,2.4
34,Disagree,Instructor 2,24.6,23.0,26.1,23.0,1.6,2,23.8,23.0,21.4,26.2,2.4
35,Disagree,Instructor 3,68.1,67.0,69.7,66.6,1.6,2,67.3,67.0,64.9,69.6,2.4
36,Neither agree nor disagree,Instructor 1,37.2,37.0,38.7,35.6,1.6,2,36.6,37.0,34.2,39.0,2.4
37,Neither agree nor disagree,Instructor 2,62.1,65.0,63.7,60.5,1.6,2,60.1,65.0,57.7,62.4,2.4
38,Neither agree nor disagree,Instructor 3,193.0,193.0,194.6,191.4,1.6,2,193.3,193.0,190.9,195.6,2.4
39,Agree,Instructor 1,54.5,54.0,56.0,52.9,1.6,2,54.7,54.0,52.3,57.1,2.4
40,Agree,Instructor 2,81.5,83.0,83.0,79.9,1.6,2,85.0,83.0,82.7,87.4,2.4
41,Agree,Instructor 3,143.8,143.0,145.3,142.2,1.6,2,143.3,143.0,140.9,145.6,2.4
42,Strongly agree,Instructor 1,28.6,29.0,30.2,27.0,1.6,2,27.1,29.0,24.7,29.4,2.4
43,Strongly agree,Instructor 2,50.8,50.0,52.4,49.2,1.6,2,51.4,50.0,49.0,53.7,2.4
44,Strongly agree,Instructor 3,89.4,91.0,90.9,87.8,1.6,2,89.0,91.0,86.7,91.4,2.4
45,Strongly disagree,Instructor 1,33.0,30.0,34.1,31.8,1.2,3,32.3,30.0,30.7,33.8,1.6
46,Strongly disagree,Instructor 2,23.5,22.0,24.7,22.3,1.2,3,22.5,22.0,20.9,24.0,1.6
47,Strongly disagree,Instructor 3,106.7,105.0,107.9,105.6,1.2,3,107.7,105.0,106.2,109.3,1.6
48,Disagree,Instructor 1,6.5,8.0,7.6,5.3,1.2,3,5.9,8.0,4.3,7.5,1.6
49,Disagree,Instructor 2,24.5,23.0,25.7,23.3,1.2,3,24.6,23.0,23.0,26.1,1.6
50,Disagree,Instructor 3,67.3,67.0,68.5,66.1,1.2,3,68.1,67.0,66.6,69.7,1.6
51,Neither agree nor disagree,Instructor 1,35.2,37.0,36.4,34.0,1.2,3,37.2,37.0,35.6,38.7,1.6
52,Neither agree nor disagree,Instructor 2,63.2,65.0,64.4,62.1,1.2,3,62.1,65.0,60.5,63.7,1.6
