,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,-1.9,2.0,2.8,-6.6,4.7,0,,,,,
1,Emergency,10 - 19,6.2,4.0,10.9,1.5,4.7,0,,,,,
2,Emergency,20 - 29,1.9,4.0,6.6,-2.9,4.7,0,,,,,
3,Emergency,30 - 39,12.2,12.0,16.9,7.5,4.7,0,,,,,
4,Emergency,40 - 49,51.2,63.0,55.9,46.5,4.7,0,,,,,
5,Emergency,50 - 59,90.1,84.0,94.8,85.3,4.7,0,,,,,
6,Emergency,60 - 69,106.4,101.0,111.1,101.7,4.7,0,,,,,
7,Emergency,70 - 79,130.0,139.0,134.7,125.3,4.7,0,,,,,
8,Emergency,80 - 89,109.2,101.0,113.9,104.5,4.7,0,,,,,
9,Emergency,90 - 99,20.7,25.0,25.4,16.0,4.7,0,,,,,
10,Urgent,0 - 9,1.8,1.0,6.5,-2.9,4.7,0,,,,,
11,Urgent,10 - 19,9.3,2.0,14.0,4.6,4.7,0,,,,,
12,Urgent,20 - 29,5.1,1.0,9.8,0.4,4.7,0,,,,,
13,Urgent,30 - 39,-12.0,6.0,-7.3,-16.7,4.7,0,,,,,
14,Urgent,40 - 49,13.1,13.0,17.9,8.4,4.7,0,,,,,
15,Urgent,50 - 59,30.4,30.0,35.1,25.7,4.7,0,,,,,
16,Urgent,60 - 69,55.9,56.0,60.6,51.2,4.7,0,,,,,
17,Urgent,70 - 79,54.6,52.0,59.3,49.8,4.7,0,,,,,
18,Urgent,80 - 89,27.2,31.0,31.9,22.5,4.7,0,,,,,
19,Urgent,90 - 99,6.5,4.0,11.2,1.8,4.7,0,,,,,
20,Elective,0 - 9,-4.4,0.0,0.4,-9.1,4.7,0,,,,,
21,Elective,10 - 19,-3.9,1.0,0.9,-8.6,4.7,0,,,,,
22,Elective,20 - 29,-0.6,1.0,4.1,-5.3,4.7,0,,,,,
23,Elective,30 - 39,12.4,11.0,17.1,7.7,4.7,0,,,,,
24,Elective,40 - 49,16.8,17.0,21.5,12.1,4.7,0,,,,,
