,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,12.6,18.0,17.3,7.8,4.7,0,,,,,
1,Strongly disagree,Instructor 2,23.5,21.0,28.2,18.7,4.7,0,,,,,
2,Strongly disagree,Instructor 3,112.6,115.0,117.4,107.9,4.7,0,,,,,
3,Disagree,Instructor 1,13.6,15.0,18.3,8.9,4.7,0,,,,,
4,Disagree,Instructor 2,14.0,20.0,18.7,9.3,4.7,0,,,,,
5,Disagree,Instructor 3,94.4,93.0,99.1,89.7,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,50.2,39.0,54.9,45.5,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,64.1,63.0,68.8,59.3,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,192.2,195.0,196.9,187.5,4.7,0,,,,,
9,Agree,Instructor 1,37.3,37.0,42.0,32.6,4.7,0,,,,,
10,Agree,Instructor 2,75.5,78.0,80.2,70.8,4.7,0,,,,,
11,Agree,Instructor 3,154.1,159.0,158.8,149.3,4.7,0,,,,,
12,Strongly agree,Instructor 1,22.0,26.0,26.7,17.3,4.7,0,,,,,
13,Strongly agree,Instructor 2,41.2,41.0,45.9,36.5,4.7,0,,,,,
14,Strongly agree,Instructor 3,79.1,80.0,83.9,74.4,4.7,0,,,,,
15,Strongly disagree,Instructor 1,15.7,18.0,18.1,13.4,2.4,1,12.6,18.0,7.8,17.3,4.7
16,Strongly disagree,Instructor 2,22.8,21.0,25.2,20.4,2.4,1,23.5,21.0,18.7,28.2,4.7
17,Strongly disagree,Instructor 3,112.8,115.0,115.1,110.4,2.4,1,112.6,115.0,107.9,117.4,4.7
18,Disagree,Instructor 1,13.4,15.0,15.7,11.0,2.4,1,13.6,15.0,8.9,18.3,4.7
19,Disagree,Instructor 2,17.9,20.0,20.3,15.6,2.4,1,14.0,20.0,9.3,18.7,4.7
20,Disagree,Instructor 3,90.3,93.0,92.7,87.9,2.4,1,94.4,93.0,89.7,99.1,4.7
21,Neither agree nor disagree,Instructor 1,44.8,39.0,47.2,42.4,2.4,1,50.2,39.0,45.5,54.9,4.7
22,Neither agree nor disagree,Instructor 2,63.7,63.0,66.1,61.4,2.4,1,64.1,63.0,59.3,68.8,4.7
23,Neither agree nor disagree,Instructor 3,193.0,195.0,195.3,190.6,2.4,1,192.2,195.0,187.5,196.9,4.7
24,Agree,Instructor 1,37.3,37.0,39.7,34.9,2.4,1,37.3,37.0,32.6,42.0,4.7
25,Agree,Instructor 2,73.0,78.0,75.3,70.6,2.4,1,75.5,78.0,70.8,80.2,4.7
26,Agree,Instructor 3,158.3,159.0,160.6,155.9,2.4,1,154.1,159.0,149.3,158.8,4.7
