,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,61.7,59.0,66.4,57.0,4.7,0,,,,,
1,African American,3-4,53.5,56.0,58.2,48.8,4.7,0,,,,,
2,African American,5-6,36.5,33.0,41.2,31.8,4.7,0,,,,,
3,African American,7-8,32.9,24.0,37.7,28.2,4.7,0,,,,,
4,African American,9-10,19.7,10.0,24.4,15.0,4.7,0,,,,,
5,African American,11-12,9.7,10.0,14.4,5.0,4.7,0,,,,,
6,African American,13-14,3.8,3.0,8.5,-0.9,4.7,0,,,,,
7,Asian,1-2,5.1,4.0,9.8,0.4,4.7,0,,,,,
8,Asian,3-4,2.0,0.0,6.7,-2.8,4.7,0,,,,,
9,Asian,5-6,-7.9,1.0,-3.1,-12.6,4.7,0,,,,,
10,Asian,7-8,-0.7,1.0,4.0,-5.4,4.7,0,,,,,
11,Asian,9-10,-7.2,0.0,-2.4,-11.9,4.7,0,,,,,
12,Asian,11-12,4.2,0.0,8.9,-0.5,4.7,0,,,,,
13,Asian,13-14,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
14,Caucasian,1-2,232.8,235.0,237.5,228.1,4.7,0,,,,,
15,Caucasian,3-4,239.8,241.0,244.5,235.1,4.7,0,,,,,
16,Caucasian,5-6,118.8,132.0,123.5,114.0,4.7,0,,,,,
17,Caucasian,7-8,80.9,82.0,85.6,76.2,4.7,0,,,,,
18,Caucasian,9-10,34.6,27.0,39.3,29.9,4.7,0,,,,,
19,Caucasian,11-12,19.2,22.0,23.9,14.5,4.7,0,,,,,
20,Caucasian,13-14,14.5,16.0,19.2,9.8,4.7,0,,,,,
21,Hispanic,1-2,1.8,11.0,6.5,-2.9,4.7,0,,,,,
22,Hispanic,3-4,1.2,8.0,5.9,-3.5,4.7,0,,,,,
23,Hispanic,5-6,5.0,4.0,9.7,0.3,4.7,0,,,,,
24,Hispanic,7-8,4.6,0.0,9.3,-0.1,4.7,0,,,,,
25,Hispanic,9-10,-12.5,1.0,-7.8,-17.2,4.7,0,,,,,
26,Hispanic,11-12,3.3,1.0,8.0,-1.4,4.7,0,,,,,
27,Hispanic,13-14,4.3,1.0,9.0,-0.4,4.7,0,,,,,
28,Other,1-2,6.3,5.0,11.0,1.5,4.7,0,,,,,
29,Other,3-4,7.1,7.0,11.8,2.3,4.7,0,,,,,
30,Other,5-6,0.9,1.0,5.6,-3.9,4.7,0,,,,,
31,Other,7-8,12.1,4.0,16.8,7.4,4.7,0,,,,,
32,Other,9-10,-34.4,1.0,-29.7,-39.2,4.7,0,,,,,
33,Other,11-12,-2.4,0.0,2.4,-7.1,4.7,0,,,,,
34,Other,13-14,1.8,0.0,6.6,-2.9,4.7,0,,,,,
35,African American,1-2,61.7,59.0,64.0,59.3,2.4,1,61.7,59.0,57.0,66.4,4.7
36,African American,3-4,51.4,56.0,53.8,49.1,2.4,1,53.5,56.0,48.8,58.2,4.7
37,African American,5-6,35.5,33.0,37.9,33.2,2.4,1,36.5,33.0,31.8,41.2,4.7
38,African American,7-8,28.6,24.0,31.0,26.3,2.4,1,32.9,24.0,28.2,37.7,4.7
39,African American,9-10,12.7,10.0,15.1,10.3,2.4,1,19.7,10.0,15.0,24.4,4.7
40,African American,11-12,7.1,10.0,9.5,4.8,2.4,1,9.7,10.0,5.0,14.4,4.7
41,African American,13-14,2.2,3.0,4.6,-0.1,2.4,1,3.8,3.0,-0.9,8.5,4.7
42,Asian,1-2,7.7,4.0,10.1,5.4,2.4,1,5.1,4.0,0.4,9.8,4.7
43,Asian,3-4,1.7,0.0,4.1,-0.6,2.4,1,2.0,0.0,-2.8,6.7,4.7
44,Asian,5-6,-4.7,1.0,-2.3,-7.0,2.4,1,-7.9,1.0,-12.6,-3.1,4.7
45,Asian,7-8,0.4,1.0,2.7,-2.0,2.4,1,-0.7,1.0,-5.4,4.0,4.7
46,Asian,9-10,-3.4,0.0,-1.0,-5.7,2.4,1,-7.2,0.0,-11.9,-2.4,4.7
47,Asian,11-12,-1.1,0.0,1.2,-3.5,2.4,1,4.2,0.0,-0.5,8.9,4.7
48,Asian,13-14,1.4,0.0,3.8,-1.0,2.4,1,-1.0,0.0,-5.7,3.7,4.7
49,Caucasian,1-2,231.8,235.0,234.2,229.5,2.4,1,232.8,235.0,228.1,237.5,4.7
50,Caucasian,3-4,238.8,241.0,241.1,236.4,2.4,1,239.8,241.0,235.1,244.5,4.7
51,Caucasian,5-6,125.3,132.0,127.7,123.0,2.4,1,118.8,132.0,114.0,123.5,4.7
52,Caucasian,7-8,82.4,82.0,84.7,80.0,2.4,1,80.9,82.0,76.2,85.6,4.7
53,Caucasian,9-10,36.6,27.0,39.0,34.3,2.4,1,34.6,27.0,29.9,39.3,4.7
54,Caucasian,11-12,22.9,22.0,25.3,20.6,2.4,1,19.2,22.0,14.5,23.9,4.7
55,Caucasian,13-14,15.2,16.0,17.6,12.9,2.4,1,14.5,16.0,9.8,19.2,4.7
56,Hispanic,1-2,9.3,11.0,11.7,7.0,2.4,1,1.8,11.0,-2.9,6.5,4.7
57,Hispanic,3-4,4.1,8.0,6.4,1.7,2.4,1,1.2,8.0,-3.5,5.9,4.7
58,Hispanic,5-6,3.2,4.0,5.5,0.8,2.4,1,5.0,4.0,0.3,9.7,4.7
59,Hispanic,7-8,4.6,0.0,6.9,2.2,2.4,1,4.6,0.0,-0.1,9.3,4.7
60,Hispanic,9-10,-7.9,1.0,-5.6,-10.3,2.4,1,-12.5,1.0,-17.2,-7.8,4.7
61,Hispanic,11-12,0.9,1.0,3.2,-1.5,2.4,1,3.3,1.0,-1.4,8.0,4.7
62,Hispanic,13-14,3.0,1.0,5.3,0.6,2.4,1,4.3,1.0,-0.4,9.0,4.7
63,Other,1-2,9.8,5.0,12.1,7.4,2.4,1,6.3,5.0,1.5,11.0,4.7
64,Other,3-4,6.9,7.0,9.2,4.5,2.4,1,7.1,7.0,2.3,11.8,4.7
65,Other,5-6,-1.3,1.0,1.0,-3.7,2.4,1,0.9,1.0,-3.9,5.6,4.7
66,Other,7-8,9.3,4.0,11.6,6.9,2.4,1,12.1,4.0,7.4,16.8,4.7
67,Other,9-10,-18.2,1.0,-15.9,-20.6,2.4,1,-34.4,1.0,-39.2,-29.7,4.7
68,Other,11-12,-2.9,0.0,-0.6,-5.3,2.4,1,-2.4,0.0,-7.1,2.4,4.7
69,Other,13-14,0.7,0.0,3.1,-1.7,2.4,1,1.8,0.0,-2.9,6.6,4.7
70,African American,1-2,58.8,59.0,60.3,57.2,1.6,2,61.7,59.0,59.3,64.0,2.4
71,African American,3-4,52.3,56.0,53.8,50.7,1.6,2,51.4,56.0,49.1,53.8,2.4
72,African American,5-6,35.1,33.0,36.6,33.5,1.6,2,35.5,33.0,33.2,37.9,2.4
73,African American,7-8,27.2,24.0,28.8,25.6,1.6,2,28.6,24.0,26.3,31.0,2.4
74,African American,9-10,12.4,10.0,13.9,10.8,1.6,2,12.7,10.0,10.3,15.1,2.4
75,African American,11-12,11.0,10.0,12.6,9.4,1.6,2,7.1,10.0,4.8,9.5,2.4
76,African American,13-14,1.8,3.0,3.4,0.3,1.6,2,2.2,3.0,-0.1,4.6,2.4
77,Asian,1-2,7.8,4.0,9.4,6.2,1.6,2,7.7,4.0,5.4,10.1,2.4
78,Asian,3-4,0.3,0.0,1.8,-1.3,1.6,2,1.7,0.0,-0.6,4.1,2.4
79,Asian,5-6,-2.3,1.0,-0.7,-3.8,1.6,2,-4.7,1.0,-7.0,-2.3,2.4
80,Asian,7-8,-0.7,1.0,0.9,-2.3,1.6,2,0.4,1.0,-2.0,2.7,2.4
81,Asian,9-10,-3.2,0.0,-1.7,-4.8,1.6,2,-3.4,0.0,-5.7,-1.0,2.4
82,Asian,11-12,-3.0,0.0,-1.4,-4.5,1.6,2,-1.1,0.0,-3.5,1.2,2.4
83,Asian,13-14,1.7,0.0,3.3,0.1,1.6,2,1.4,0.0,-1.0,3.8,2.4
84,Caucasian,1-2,231.3,235.0,232.9,229.8,1.6,2,231.8,235.0,229.5,234.2,2.4
85,Caucasian,3-4,238.6,241.0,240.2,237.1,1.6,2,238.8,241.0,236.4,241.1,2.4
86,Caucasian,5-6,126.9,132.0,128.5,125.3,1.6,2,125.3,132.0,123.0,127.7,2.4
87,Caucasian,7-8,79.3,82.0,80.8,77.7,1.6,2,82.4,82.0,80.0,84.7,2.4
88,Caucasian,9-10,32.7,27.0,34.3,31.1,1.6,2,36.6,27.0,34.3,39.0,2.4
89,Caucasian,11-12,23.1,22.0,24.6,21.5,1.6,2,22.9,22.0,20.6,25.3,2.4
90,Caucasian,13-14,16.3,16.0,17.9,14.7,1.6,2,15.2,16.0,12.9,17.6,2.4
91,Hispanic,1-2,10.2,11.0,11.7,8.6,1.6,2,9.3,11.0,7.0,11.7,2.4
92,Hispanic,3-4,7.3,8.0,8.9,5.7,1.6,2,4.1,8.0,1.7,6.4,2.4
93,Hispanic,5-6,3.6,4.0,5.1,2.0,1.6,2,3.2,4.0,0.8,5.5,2.4
94,Hispanic,7-8,2.7,0.0,4.3,1.2,1.6,2,4.6,0.0,2.2,6.9,2.4
95,Hispanic,9-10,-9.0,1.0,-7.4,-10.6,1.6,2,-7.9,1.0,-10.3,-5.6,2.4
96,Hispanic,11-12,2.1,1.0,3.7,0.5,1.6,2,0.9,1.0,-1.5,3.2,2.4
97,Hispanic,13-14,3.4,1.0,5.0,1.9,1.6,2,3.0,1.0,0.6,5.3,2.4
98,Other,1-2,7.0,5.0,8.6,5.4,1.6,2,9.8,5.0,7.4,12.1,2.4
99,Other,3-4,8.2,7.0,9.7,6.6,1.6,2,6.9,7.0,4.5,9.2,2.4
100,Other,5-6,-0.4,1.0,1.2,-2.0,1.6,2,-1.3,1.0,-3.7,1.0,2.4
101,Other,7-8,7.1,4.0,8.7,5.5,1.6,2,9.3,4.0,6.9,11.6,2.4
102,Other,9-10,-13.2,1.0,-11.6,-14.8,1.6,2,-18.2,1.0,-20.6,-15.9,2.4
103,Other,11-12,-3.8,0.0,-2.2,-5.3,1.6,2,-2.9,0.0,-5.3,-0.6,2.4
104,Other,13-14,0.6,0.0,2.2,-1.0,1.6,2,0.7,0.0,-1.7,3.1,2.4
105,African American,1-2,58.6,59.0,59.8,57.4,1.2,3,58.8,59.0,57.2,60.3,1.6
106,African American,3-4,52.3,56.0,53.4,51.1,1.2,3,52.3,56.0,50.7,53.8,1.6
107,African American,5-6,34.1,33.0,35.2,32.9,1.2,3,35.1,33.0,33.5,36.6,1.6
108,African American,7-8,25.7,24.0,26.9,24.6,1.2,3,27.2,24.0,25.6,28.8,1.6
109,African American,9-10,11.4,10.0,12.5,10.2,1.2,3,12.4,10.0,10.8,13.9,1.6
110,African American,11-12,9.7,10.0,10.8,8.5,1.2,3,11.0,10.0,9.4,12.6,1.6
111,African American,13-14,2.5,3.0,3.7,1.4,1.2,3,1.8,3.0,0.3,3.4,1.6
112,Asian,1-2,7.0,4.0,8.2,5.8,1.2,3,7.8,4.0,6.2,9.4,1.6
113,Asian,3-4,-0.7,0.0,0.5,-1.8,1.2,3,0.3,0.0,-1.3,1.8,1.6
114,Asian,5-6,-1.4,1.0,-0.2,-2.6,1.2,3,-2.3,1.0,-3.8,-0.7,1.6
115,Asian,7-8,-0.8,1.0,0.4,-1.9,1.2,3,-0.7,1.0,-2.3,0.9,1.6
116,Asian,9-10,-2.7,0.0,-1.5,-3.9,1.2,3,-3.2,0.0,-4.8,-1.7,1.6
117,Asian,11-12,-2.2,0.0,-1.0,-3.4,1.2,3,-3.0,0.0,-4.5,-1.4,1.6
118,Asian,13-14,0.1,0.0,1.3,-1.1,1.2,3,1.7,0.0,0.1,3.3,1.6
119,Caucasian,1-2,233.2,235.0,234.4,232.0,1.2,3,231.3,235.0,229.8,232.9,1.6
120,Caucasian,3-4,239.0,241.0,240.2,237.8,1.2,3,238.6,241.0,237.1,240.2,1.6
121,Caucasian,5-6,127.3,132.0,128.5,126.1,1.2,3,126.9,132.0,125.3,128.5,1.6
122,Caucasian,7-8,80.7,82.0,81.9,79.5,1.2,3,79.3,82.0,77.7,80.8,1.6
123,Caucasian,9-10,32.7,27.0,33.9,31.5,1.2,3,32.7,27.0,31.1,34.3,1.6
124,Caucasian,11-12,23.7,22.0,24.9,22.5,1.2,3,23.1,22.0,21.5,24.6,1.6
125,Caucasian,13-14,16.7,16.0,17.9,15.5,1.2,3,16.3,16.0,14.7,17.9,1.6
126,Hispanic,1-2,11.8,11.0,13.0,10.7,1.2,3,10.2,11.0,8.6,11.7,1.6
127,Hispanic,3-4,7.6,8.0,8.8,6.5,1.2,3,7.3,8.0,5.7,8.9,1.6
128,Hispanic,5-6,5.0,4.0,6.2,3.8,1.2,3,3.6,4.0,2.0,5.1,1.6
129,Hispanic,7-8,2.2,0.0,3.3,1.0,1.2,3,2.7,0.0,1.2,4.3,1.6
130,Hispanic,9-10,-9.8,1.0,-8.6,-10.9,1.2,3,-9.0,1.0,-10.6,-7.4,1.6
131,Hispanic,11-12,5.6,1.0,6.7,4.4,1.2,3,2.1,1.0,0.5,3.7,1.6
132,Hispanic,13-14,1.7,1.0,2.9,0.5,1.2,3,3.4,1.0,1.9,5.0,1.6
133,Other,1-2,6.2,5.0,7.3,5.0,1.2,3,7.0,5.0,5.4,8.6,1.6
134,Other,3-4,7.0,7.0,8.2,5.8,1.2,3,8.2,7.0,6.6,9.7,1.6
135,Other,5-6,-1.1,1.0,0.1,-2.3,1.2,3,-0.4,1.0,-2.0,1.2,1.6
136,Other,7-8,6.7,4.0,7.9,5.5,1.2,3,7.1,4.0,5.5,8.7,1.6
137,Other,9-10,-10.1,1.0,-8.9,-11.2,1.2,3,-13.2,1.0,-14.8,-11.6,1.6
138,Other,11-12,-2.6,0.0,-1.4,-3.8,1.2,3,-3.8,0.0,-5.3,-2.2,1.6
139,Other,13-14,2.2,0.0,3.3,1.0,1.2,3,0.6,0.0,-1.0,2.2,1.6
140,African American,1-2,58.4,59.0,59.3,57.4,0.9,4,58.6,59.0,57.4,59.8,1.2
141,African American,3-4,53.6,56.0,54.5,52.7,0.9,4,52.3,56.0,51.1,53.4,1.2
142,African American,5-6,32.7,33.0,33.7,31.8,0.9,4,34.1,33.0,32.9,35.2,1.2
143,African American,7-8,26.3,24.0,27.2,25.3,0.9,4,25.7,24.0,24.6,26.9,1.2
144,African American,9-10,11.8,10.0,12.8,10.9,0.9,4,11.4,10.0,10.2,12.5,1.2
145,African American,11-12,10.0,10.0,11.0,9.1,0.9,4,9.7,10.0,8.5,10.8,1.2
146,African American,13-14,2.3,3.0,3.2,1.3,0.9,4,2.5,3.0,1.4,3.7,1.2
147,Asian,1-2,7.6,4.0,8.6,6.7,0.9,4,7.0,4.0,5.8,8.2,1.2
148,Asian,3-4,-1.8,0.0,-0.9,-2.8,0.9,4,-0.7,0.0,-1.8,0.5,1.2
149,Asian,5-6,-1.0,1.0,-0.0,-1.9,0.9,4,-1.4,1.0,-2.6,-0.2,1.2
150,Asian,7-8,-0.6,1.0,0.3,-1.6,0.9,4,-0.8,1.0,-1.9,0.4,1.2
151,Asian,9-10,-2.9,0.0,-2.0,-3.9,0.9,4,-2.7,0.0,-3.9,-1.5,1.2
152,Asian,11-12,0.1,0.0,1.0,-0.9,0.9,4,-2.2,0.0,-3.4,-1.0,1.2
153,Asian,13-14,-0.5,0.0,0.5,-1.4,0.9,4,0.1,0.0,-1.1,1.3,1.2
154,Caucasian,1-2,234.5,235.0,235.5,233.6,0.9,4,233.2,235.0,232.0,234.4,1.2
155,Caucasian,3-4,239.7,241.0,240.6,238.8,0.9,4,239.0,241.0,237.8,240.2,1.2
156,Caucasian,5-6,127.4,132.0,128.3,126.5,0.9,4,127.3,132.0,126.1,128.5,1.2
157,Caucasian,7-8,81.6,82.0,82.5,80.6,0.9,4,80.7,82.0,79.5,81.9,1.2
158,Caucasian,9-10,31.0,27.0,31.9,30.0,0.9,4,32.7,27.0,31.5,33.9,1.2
159,Caucasian,11-12,25.0,22.0,25.9,24.0,0.9,4,23.7,22.0,22.5,24.9,1.2
160,Caucasian,13-14,15.4,16.0,16.3,14.4,0.9,4,16.7,16.0,15.5,17.9,1.2
161,Hispanic,1-2,11.8,11.0,12.8,10.9,0.9,4,11.8,11.0,10.7,13.0,1.2
162,Hispanic,3-4,7.7,8.0,8.6,6.7,0.9,4,7.6,8.0,6.5,8.8,1.2
163,Hispanic,5-6,4.1,4.0,5.0,3.1,0.9,4,5.0,4.0,3.8,6.2,1.2
164,Hispanic,7-8,1.3,0.0,2.2,0.3,0.9,4,2.2,0.0,1.0,3.3,1.2
165,Hispanic,9-10,-7.2,1.0,-6.3,-8.1,0.9,4,-9.8,1.0,-10.9,-8.6,1.2
166,Hispanic,11-12,6.3,1.0,7.3,5.4,0.9,4,5.6,1.0,4.4,6.7,1.2
167,Hispanic,13-14,2.9,1.0,3.8,1.9,0.9,4,1.7,1.0,0.5,2.9,1.2
168,Other,1-2,5.4,5.0,6.4,4.5,0.9,4,6.2,5.0,5.0,7.3,1.2
169,Other,3-4,7.5,7.0,8.5,6.6,0.9,4,7.0,7.0,5.8,8.2,1.2
170,Other,5-6,-1.0,1.0,-0.1,-2.0,0.9,4,-1.1,1.0,-2.3,0.1,1.2
171,Other,7-8,5.8,4.0,6.7,4.8,0.9,4,6.7,4.0,5.5,7.9,1.2
