,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",7.1,2.0,11.8,2.4,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",-0.4,1.0,4.3,-5.1,4.7,0,,,,,
2,15-24,Widowed,3.4,0.0,8.1,-1.3,4.7,0,,,,,
3,15-24,Divorced,-8.3,0.0,-3.6,-13.0,4.7,0,,,,,
4,15-24,Separated,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
5,15-24,Never married,140.7,140.0,145.4,136.0,4.7,0,,,,,
6,25-34,"Now married, spouse present",48.4,49.0,53.1,43.7,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",3.7,5.0,8.4,-1.0,4.7,0,,,,,
8,25-34,Widowed,0.9,0.0,5.7,-3.8,4.7,0,,,,,
9,25-34,Divorced,4.6,5.0,9.3,-0.2,4.7,0,,,,,
10,25-34,Separated,4.1,2.0,8.8,-0.6,4.7,0,,,,,
11,25-34,Never married,114.1,114.0,118.8,109.4,4.7,0,,,,,
12,35-44,"Now married, spouse present",73.1,72.0,77.9,68.4,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",19.1,6.0,23.8,14.4,4.7,0,,,,,
14,35-44,Widowed,5.4,2.0,10.1,0.7,4.7,0,,,,,
15,35-44,Divorced,9.4,10.0,14.1,4.7,4.7,0,,,,,
16,35-44,Separated,8.7,4.0,13.4,3.9,4.7,0,,,,,
17,35-44,Never married,41.5,38.0,46.2,36.8,4.7,0,,,,,
18,45-54,"Now married, spouse present",87.9,86.0,92.6,83.2,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",9.1,6.0,13.8,4.4,4.7,0,,,,,
20,45-54,Widowed,2.1,0.0,6.8,-2.6,4.7,0,,,,,
21,45-54,Divorced,22.8,21.0,27.5,18.1,4.7,0,,,,,
22,45-54,Separated,5.3,5.0,10.0,0.6,4.7,0,,,,,
23,45-54,Never married,29.4,34.0,34.1,24.7,4.7,0,,,,,
24,55-64,"Now married, spouse present",76.3,77.0,81.0,71.6,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",3.2,6.0,7.9,-1.5,4.7,0,,,,,
26,55-64,Widowed,12.9,11.0,17.6,8.2,4.7,0,,,,,
27,55-64,Divorced,48.9,34.0,53.6,44.1,4.7,0,,,,,
28,55-64,Separated,1.8,4.0,6.5,-3.0,4.7,0,,,,,
29,55-64,Never married,28.4,27.0,33.1,23.7,4.7,0,,,,,
30,65-74,"Now married, spouse present",76.9,75.0,81.6,72.2,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",10.9,4.0,15.6,6.2,4.7,0,,,,,
32,65-74,Widowed,14.8,16.0,19.5,10.1,4.7,0,,,,,
33,65-74,Divorced,14.7,17.0,19.5,10.0,4.7,0,,,,,
34,65-74,Separated,3.3,4.0,8.0,-1.4,4.7,0,,,,,
35,65-74,Never married,19.3,17.0,24.0,14.6,4.7,0,,,,,
36,75-84,"Now married, spouse present",39.3,40.0,44.0,34.6,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",15.8,3.0,20.6,11.1,4.7,0,,,,,
38,75-84,Widowed,14.7,15.0,19.4,9.9,4.7,0,,,,,
39,75-84,Divorced,11.0,12.0,15.7,6.3,4.7,0,,,,,
40,75-84,Separated,2.8,1.0,7.5,-1.9,4.7,0,,,,,
41,75-84,Never married,-3.0,3.0,1.7,-7.7,4.7,0,,,,,
42,85-99,"Now married, spouse present",13.6,11.0,18.3,8.9,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",2.5,0.0,7.2,-2.2,4.7,0,,,,,
44,85-99,Widowed,14.1,16.0,18.8,9.4,4.7,0,,,,,
45,85-99,Divorced,-1.2,2.0,3.5,-5.9,4.7,0,,,,,
46,85-99,Separated,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
47,85-99,Never married,1.7,3.0,6.4,-3.1,4.7,0,,,,,
48,15-24,"Now married, spouse present",2.9,2.0,5.2,0.5,2.4,1,7.1,2.0,2.4,11.8,4.7
49,15-24,"Now Married, spouse absent",0.8,1.0,3.1,-1.6,2.4,1,-0.4,1.0,-5.1,4.3,4.7
50,15-24,Widowed,1.6,0.0,4.0,-0.7,2.4,1,3.4,0.0,-1.3,8.1,4.7
51,15-24,Divorced,-4.5,0.0,-2.1,-6.9,2.4,1,-8.3,0.0,-13.0,-3.6,4.7
52,15-24,Separated,-1.5,0.0,0.9,-3.8,2.4,1,-5.1,0.0,-9.8,-0.4,4.7
53,15-24,Never married,142.1,140.0,144.5,139.8,2.4,1,140.7,140.0,136.0,145.4,4.7
54,25-34,"Now married, spouse present",46.6,49.0,48.9,44.2,2.4,1,48.4,49.0,43.7,53.1,4.7
55,25-34,"Now Married, spouse absent",5.2,5.0,7.6,2.8,2.4,1,3.7,5.0,-1.0,8.4,4.7
56,25-34,Widowed,-3.1,0.0,-0.7,-5.5,2.4,1,0.9,0.0,-3.8,5.7,4.7
57,25-34,Divorced,3.2,5.0,5.5,0.8,2.4,1,4.6,5.0,-0.2,9.3,4.7
58,25-34,Separated,6.2,2.0,8.6,3.9,2.4,1,4.1,2.0,-0.6,8.8,4.7
59,25-34,Never married,113.7,114.0,116.1,111.4,2.4,1,114.1,114.0,109.4,118.8,4.7
