,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,6.7,4.0,11.4,2.0,4.7,0,,,,,
1,0 - 9,10-19,-2.5,0.0,2.2,-7.2,4.7,0,,,,,
2,0 - 9,20-29,3.5,0.0,8.2,-1.2,4.7,0,,,,,
3,0 - 9,30-39,8.9,0.0,13.7,4.2,4.7,0,,,,,
4,0 - 9,40-49,9.7,0.0,14.4,5.0,4.7,0,,,,,
5,0 - 9,50-89,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
6,10 - 19,1-9,5.7,3.0,10.4,1.0,4.7,0,,,,,
7,10 - 19,10-19,2.1,1.0,6.8,-2.6,4.7,0,,,,,
8,10 - 19,20-29,2.0,0.0,6.7,-2.8,4.7,0,,,,,
9,10 - 19,30-39,-8.9,0.0,-4.1,-13.6,4.7,0,,,,,
10,10 - 19,40-49,-1.7,0.0,3.0,-6.4,4.7,0,,,,,
11,10 - 19,50-89,-7.2,0.0,-2.4,-11.9,4.7,0,,,,,
12,20 - 29,1-9,10.0,11.0,14.7,5.3,4.7,0,,,,,
13,20 - 29,10-19,6.5,5.0,11.2,1.8,4.7,0,,,,,
14,20 - 29,20-29,-0.2,2.0,4.5,-4.9,4.7,0,,,,,
15,20 - 29,30-39,-0.2,1.0,4.5,-4.9,4.7,0,,,,,
16,20 - 29,40-49,-13.2,0.0,-8.5,-18.0,4.7,0,,,,,
17,20 - 29,50-89,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
18,30 - 39,1-9,8.2,11.0,12.9,3.5,4.7,0,,,,,
19,30 - 39,10-19,18.5,20.0,23.2,13.8,4.7,0,,,,,
20,30 - 39,20-29,15.0,9.0,19.7,10.3,4.7,0,,,,,
21,30 - 39,30-39,-7.2,2.0,-2.5,-11.9,4.7,0,,,,,
22,30 - 39,40-49,-6.8,0.0,-2.1,-11.5,4.7,0,,,,,
23,30 - 39,50-89,2.0,1.0,6.7,-2.7,4.7,0,,,,,
24,40 - 49,1-9,13.5,27.0,18.2,8.8,4.7,0,,,,,
25,40 - 49,10-19,57.3,55.0,62.0,52.6,4.7,0,,,,,
26,40 - 49,20-29,29.3,26.0,34.0,24.6,4.7,0,,,,,
27,40 - 49,30-39,-3.3,3.0,1.4,-8.0,4.7,0,,,,,
28,40 - 49,40-49,1.3,0.0,6.0,-3.5,4.7,0,,,,,
29,40 - 49,50-89,1.1,1.0,5.8,-3.7,4.7,0,,,,,
30,50 - 59,1-9,40.1,32.0,44.8,35.4,4.7,0,,,,,
31,50 - 59,10-19,44.6,80.0,49.3,39.8,4.7,0,,,,,
32,50 - 59,20-29,30.6,33.0,35.4,25.9,4.7,0,,,,,
33,50 - 59,30-39,11.8,10.0,16.6,7.1,4.7,0,,,,,
34,50 - 59,40-49,1.6,3.0,6.3,-3.2,4.7,0,,,,,
35,50 - 59,50-89,-2.0,0.0,2.7,-6.7,4.7,0,,,,,
36,60 - 69,1-9,42.0,36.0,46.8,37.3,4.7,0,,,,,
37,60 - 69,10-19,86.6,89.0,91.3,81.9,4.7,0,,,,,
38,60 - 69,20-29,57.7,58.0,62.4,53.0,4.7,0,,,,,
39,60 - 69,30-39,12.7,15.0,17.4,8.0,4.7,0,,,,,
40,60 - 69,40-49,1.1,2.0,5.8,-3.6,4.7,0,,,,,
41,60 - 69,50-89,2.8,2.0,7.5,-1.9,4.7,0,,,,,
42,70 - 79,1-9,43.3,50.0,48.1,38.6,4.7,0,,,,,
43,70 - 79,10-19,146.6,145.0,151.3,141.8,4.7,0,,,,,
44,70 - 79,20-29,46.3,46.0,51.1,41.6,4.7,0,,,,,
45,70 - 79,30-39,7.7,12.0,12.4,3.0,4.7,0,,,,,
46,70 - 79,40-49,-4.4,1.0,0.3,-9.1,4.7,0,,,,,
47,70 - 79,50-89,-1.4,1.0,3.3,-6.1,4.7,0,,,,,
48,80 - 89,1-9,47.4,41.0,52.1,42.7,4.7,0,,,,,
49,80 - 89,10-19,102.5,101.0,107.2,97.8,4.7,0,,,,,
50,80 - 89,20-29,28.5,31.0,33.2,23.8,4.7,0,,,,,
51,80 - 89,30-39,2.5,2.0,7.2,-2.2,4.7,0,,,,,
52,80 - 89,40-49,1.4,1.0,6.1,-3.3,4.7,0,,,,,
53,80 - 89,50-89,-6.4,0.0,-1.7,-11.1,4.7,0,,,,,
54,90 - 99,1-9,9.3,10.0,14.0,4.6,4.7,0,,,,,
55,90 - 99,10-19,5.9,10.0,10.6,1.2,4.7,0,,,,,
56,90 - 99,20-29,2.8,6.0,7.5,-1.9,4.7,0,,,,,
57,90 - 99,30-39,0.9,1.0,5.7,-3.8,4.7,0,,,,,
58,90 - 99,40-49,1.8,0.0,6.6,-2.9,4.7,0,,,,,
59,90 - 99,50-89,11.7,0.0,16.4,7.0,4.7,0,,,,,
60,0 - 9,1-9,4.1,4.0,6.5,1.7,2.4,1,6.7,4.0,2.0,11.4,4.7
61,0 - 9,10-19,-0.9,0.0,1.5,-3.2,2.4,1,-2.5,0.0,-7.2,2.2,4.7
62,0 - 9,20-29,2.0,0.0,4.3,-0.4,2.4,1,3.5,0.0,-1.2,8.2,4.7
63,0 - 9,30-39,8.6,0.0,11.0,6.3,2.4,1,8.9,0.0,4.2,13.7,4.7
64,0 - 9,40-49,4.7,0.0,7.0,2.3,2.4,1,9.7,0.0,5.0,14.4,4.7
65,0 - 9,50-89,-2.4,0.0,-0.1,-4.8,2.4,1,-0.3,0.0,-5.0,4.4,4.7
66,10 - 19,1-9,2.8,3.0,5.2,0.5,2.4,1,5.7,3.0,1.0,10.4,4.7
67,10 - 19,10-19,-0.2,1.0,2.2,-2.5,2.4,1,2.1,1.0,-2.6,6.8,4.7
68,10 - 19,20-29,0.8,0.0,3.1,-1.6,2.4,1,2.0,0.0,-2.8,6.7,4.7
69,10 - 19,30-39,-5.1,0.0,-2.7,-7.4,2.4,1,-8.9,0.0,-13.6,-4.1,4.7
70,10 - 19,40-49,3.7,0.0,6.0,1.3,2.4,1,-1.7,0.0,-6.4,3.0,4.7
71,10 - 19,50-89,-5.7,0.0,-3.3,-8.0,2.4,1,-7.2,0.0,-11.9,-2.4,4.7
72,20 - 29,1-9,11.2,11.0,13.6,8.8,2.4,1,10.0,11.0,5.3,14.7,4.7
73,20 - 29,10-19,3.2,5.0,5.6,0.9,2.4,1,6.5,5.0,1.8,11.2,4.7
74,20 - 29,20-29,-2.0,2.0,0.4,-4.4,2.4,1,-0.2,2.0,-4.9,4.5,4.7
75,20 - 29,30-39,4.9,1.0,7.3,2.5,2.4,1,-0.2,1.0,-4.9,4.5,4.7
76,20 - 29,40-49,-8.2,0.0,-5.8,-10.6,2.4,1,-13.2,0.0,-18.0,-8.5,4.7
77,20 - 29,50-89,-3.6,0.0,-1.2,-5.9,2.4,1,-1.1,0.0,-5.8,3.6,4.7
78,30 - 39,1-9,10.2,11.0,12.6,7.9,2.4,1,8.2,11.0,3.5,12.9,4.7
79,30 - 39,10-19,19.4,20.0,21.8,17.1,2.4,1,18.5,20.0,13.8,23.2,4.7
80,30 - 39,20-29,12.8,9.0,15.2,10.5,2.4,1,15.0,9.0,10.3,19.7,4.7
81,30 - 39,30-39,1.8,2.0,4.1,-0.6,2.4,1,-7.2,2.0,-11.9,-2.5,4.7
82,30 - 39,40-49,-4.4,0.0,-2.0,-6.7,2.4,1,-6.8,0.0,-11.5,-2.1,4.7
83,30 - 39,50-89,0.2,1.0,2.6,-2.1,2.4,1,2.0,1.0,-2.7,6.7,4.7
84,40 - 49,1-9,18.9,27.0,21.3,16.6,2.4,1,13.5,27.0,8.8,18.2,4.7
85,40 - 49,10-19,56.9,55.0,59.3,54.6,2.4,1,57.3,55.0,52.6,62.0,4.7
86,40 - 49,20-29,25.7,26.0,28.0,23.3,2.4,1,29.3,26.0,24.6,34.0,4.7
87,40 - 49,30-39,-1.6,3.0,0.7,-4.0,2.4,1,-3.3,3.0,-8.0,1.4,4.7
88,40 - 49,40-49,-2.7,0.0,-0.4,-5.1,2.4,1,1.3,0.0,-3.5,6.0,4.7
89,40 - 49,50-89,2.2,1.0,4.5,-0.2,2.4,1,1.1,1.0,-3.7,5.8,4.7
90,50 - 59,1-9,33.7,32.0,36.1,31.4,2.4,1,40.1,32.0,35.4,44.8,4.7
91,50 - 59,10-19,60.9,80.0,63.3,58.6,2.4,1,44.6,80.0,39.8,49.3,4.7
92,50 - 59,20-29,30.9,33.0,33.2,28.5,2.4,1,30.6,33.0,25.9,35.4,4.7
93,50 - 59,30-39,6.4,10.0,8.8,4.1,2.4,1,11.8,10.0,7.1,16.6,4.7
94,50 - 59,40-49,1.2,3.0,3.5,-1.2,2.4,1,1.6,3.0,-3.2,6.3,4.7
95,50 - 59,50-89,-0.3,0.0,2.1,-2.7,2.4,1,-2.0,0.0,-6.7,2.7,4.7
96,60 - 69,1-9,37.7,36.0,40.1,35.3,2.4,1,42.0,36.0,37.3,46.8,4.7
97,60 - 69,10-19,88.2,89.0,90.6,85.9,2.4,1,86.6,89.0,81.9,91.3,4.7
98,60 - 69,20-29,60.8,58.0,63.1,58.4,2.4,1,57.7,58.0,53.0,62.4,4.7
99,60 - 69,30-39,14.0,15.0,16.4,11.7,2.4,1,12.7,15.0,8.0,17.4,4.7
100,60 - 69,40-49,1.1,2.0,3.4,-1.3,2.4,1,1.1,2.0,-3.6,5.8,4.7
101,60 - 69,50-89,-3.7,2.0,-1.3,-6.0,2.4,1,2.8,2.0,-1.9,7.5,4.7
102,70 - 79,1-9,48.3,50.0,50.7,46.0,2.4,1,43.3,50.0,38.6,48.1,4.7
103,70 - 79,10-19,142.7,145.0,145.1,140.4,2.4,1,146.6,145.0,141.8,151.3,4.7
104,70 - 79,20-29,44.4,46.0,46.7,42.0,2.4,1,46.3,46.0,41.6,51.1,4.7
105,70 - 79,30-39,11.7,12.0,14.1,9.4,2.4,1,7.7,12.0,3.0,12.4,4.7
106,70 - 79,40-49,-1.5,1.0,0.9,-3.8,2.4,1,-4.4,1.0,-9.1,0.3,4.7
107,70 - 79,50-89,-0.8,1.0,1.6,-3.1,2.4,1,-1.4,1.0,-6.1,3.3,4.7
108,80 - 89,1-9,41.5,41.0,43.8,39.1,2.4,1,47.4,41.0,42.7,52.1,4.7
109,80 - 89,10-19,102.0,101.0,104.3,99.6,2.4,1,102.5,101.0,97.8,107.2,4.7
110,80 - 89,20-29,30.7,31.0,33.0,28.3,2.4,1,28.5,31.0,23.8,33.2,4.7
111,80 - 89,30-39,6.1,2.0,8.5,3.8,2.4,1,2.5,2.0,-2.2,7.2,4.7
112,80 - 89,40-49,2.3,1.0,4.7,-0.0,2.4,1,1.4,1.0,-3.3,6.1,4.7
113,80 - 89,50-89,-3.7,0.0,-1.3,-6.1,2.4,1,-6.4,0.0,-11.1,-1.7,4.7
114,90 - 99,1-9,6.4,10.0,8.8,4.0,2.4,1,9.3,10.0,4.6,14.0,4.7
115,90 - 99,10-19,8.4,10.0,10.8,6.0,2.4,1,5.9,10.0,1.2,10.6,4.7
116,90 - 99,20-29,5.4,6.0,7.7,3.0,2.4,1,2.8,6.0,-1.9,7.5,4.7
117,90 - 99,30-39,-3.2,1.0,-0.8,-5.5,2.4,1,0.9,1.0,-3.8,5.7,4.7
118,90 - 99,40-49,0.5,0.0,2.9,-1.8,2.4,1,1.8,0.0,-2.9,6.6,4.7
119,90 - 99,50-89,4.0,0.0,6.3,1.6,2.4,1,11.7,0.0,7.0,16.4,4.7
120,0 - 9,1-9,4.1,4.0,5.7,2.5,1.6,2,4.1,4.0,1.7,6.5,2.4
121,0 - 9,10-19,-1.2,0.0,0.3,-2.8,1.6,2,-0.9,0.0,-3.2,1.5,2.4
122,0 - 9,20-29,1.0,0.0,2.6,-0.6,1.6,2,2.0,0.0,-0.4,4.3,2.4
123,0 - 9,30-39,5.8,0.0,7.3,4.2,1.6,2,8.6,0.0,6.3,11.0,2.4
124,0 - 9,40-49,1.6,0.0,3.1,-0.0,1.6,2,4.7,0.0,2.3,7.0,2.4
125,0 - 9,50-89,-3.1,0.0,-1.5,-4.7,1.6,2,-2.4,0.0,-4.8,-0.1,2.4
126,10 - 19,1-9,2.6,3.0,4.2,1.0,1.6,2,2.8,3.0,0.5,5.2,2.4
127,10 - 19,10-19,-1.0,1.0,0.6,-2.6,1.6,2,-0.2,1.0,-2.5,2.2,2.4
128,10 - 19,20-29,1.5,0.0,3.1,-0.0,1.6,2,0.8,0.0,-1.6,3.1,2.4
129,10 - 19,30-39,-1.5,0.0,0.1,-3.0,1.6,2,-5.1,0.0,-7.4,-2.7,2.4
130,10 - 19,40-49,3.7,0.0,5.2,2.1,1.6,2,3.7,0.0,1.3,6.0,2.4
131,10 - 19,50-89,-3.2,0.0,-1.6,-4.7,1.6,2,-5.7,0.0,-8.0,-3.3,2.4
132,20 - 29,1-9,13.1,11.0,14.7,11.5,1.6,2,11.2,11.0,8.8,13.6,2.4
133,20 - 29,10-19,4.0,5.0,5.6,2.4,1.6,2,3.2,5.0,0.9,5.6,2.4
134,20 - 29,20-29,1.1,2.0,2.7,-0.4,1.6,2,-2.0,2.0,-4.4,0.4,2.4
135,20 - 29,30-39,3.7,1.0,5.3,2.2,1.6,2,4.9,1.0,2.5,7.3,2.4
136,20 - 29,40-49,-9.8,0.0,-8.3,-11.4,1.6,2,-8.2,0.0,-10.6,-5.8,2.4
137,20 - 29,50-89,2.6,0.0,4.2,1.0,1.6,2,-3.6,0.0,-5.9,-1.2,2.4
138,30 - 39,1-9,11.0,11.0,12.6,9.4,1.6,2,10.2,11.0,7.9,12.6,2.4
139,30 - 39,10-19,19.2,20.0,20.7,17.6,1.6,2,19.4,20.0,17.1,21.8,2.4
140,30 - 39,20-29,10.4,9.0,12.0,8.9,1.6,2,12.8,9.0,10.5,15.2,2.4
141,30 - 39,30-39,0.4,2.0,2.0,-1.1,1.6,2,1.8,2.0,-0.6,4.1,2.4
142,30 - 39,40-49,-2.5,0.0,-0.9,-4.0,1.6,2,-4.4,0.0,-6.7,-2.0,2.4
143,30 - 39,50-89,-0.1,1.0,1.5,-1.6,1.6,2,0.2,1.0,-2.1,2.6,2.4
144,40 - 49,1-9,23.9,27.0,25.5,22.3,1.6,2,18.9,27.0,16.6,21.3,2.4
145,40 - 49,10-19,55.3,55.0,56.9,53.7,1.6,2,56.9,55.0,54.6,59.3,2.4
146,40 - 49,20-29,24.2,26.0,25.8,22.6,1.6,2,25.7,26.0,23.3,28.0,2.4
147,40 - 49,30-39,-0.4,3.0,1.2,-1.9,1.6,2,-1.6,3.0,-4.0,0.7,2.4
148,40 - 49,40-49,-1.3,0.0,0.3,-2.8,1.6,2,-2.7,0.0,-5.1,-0.4,2.4
149,40 - 49,50-89,4.2,1.0,5.8,2.7,1.6,2,2.2,1.0,-0.2,4.5,2.4
150,50 - 59,1-9,33.0,32.0,34.6,31.5,1.6,2,33.7,32.0,31.4,36.1,2.4
151,50 - 59,10-19,66.6,80.0,68.2,65.1,1.6,2,60.9,80.0,58.6,63.3,2.4
152,50 - 59,20-29,30.6,33.0,32.1,29.0,1.6,2,30.9,33.0,28.5,33.2,2.4
153,50 - 59,30-39,7.1,10.0,8.7,5.5,1.6,2,6.4,10.0,4.1,8.8,2.4
154,50 - 59,40-49,2.8,3.0,4.3,1.2,1.6,2,1.2,3.0,-1.2,3.5,2.4
155,50 - 59,50-89,-2.1,0.0,-0.5,-3.6,1.6,2,-0.3,0.0,-2.7,2.1,2.4
156,60 - 69,1-9,38.4,36.0,39.9,36.8,1.6,2,37.7,36.0,35.3,40.1,2.4
157,60 - 69,10-19,89.0,89.0,90.6,87.4,1.6,2,88.2,89.0,85.9,90.6,2.4
158,60 - 69,20-29,59.3,58.0,60.8,57.7,1.6,2,60.8,58.0,58.4,63.1,2.4
159,60 - 69,30-39,13.1,15.0,14.7,11.5,1.6,2,14.0,15.0,11.7,16.4,2.4
160,60 - 69,40-49,3.4,2.0,5.0,1.8,1.6,2,1.1,2.0,-1.3,3.4,2.4
161,60 - 69,50-89,-3.9,2.0,-2.4,-5.5,1.6,2,-3.7,2.0,-6.0,-1.3,2.4
162,70 - 79,1-9,48.5,50.0,50.1,47.0,1.6,2,48.3,50.0,46.0,50.7,2.4
163,70 - 79,10-19,142.2,145.0,143.8,140.6,1.6,2,142.7,145.0,140.4,145.1,2.4
