,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,63.4,64.0,68.1,58.7,4.7,0,,,,,
1,Strongly disagree,2,12.9,11.0,17.7,8.2,4.7,0,,,,,
2,Strongly disagree,3,1.1,29.0,5.8,-3.7,4.7,0,,,,,
3,Strongly disagree,4,14.3,16.0,19.0,9.6,4.7,0,,,,,
4,Strongly disagree,5,24.9,29.0,29.6,20.2,4.7,0,,,,,
5,Disagree,1,22.7,26.0,27.4,18.0,4.7,0,,,,,
6,Disagree,2,13.8,15.0,18.5,9.1,4.7,0,,,,,
7,Disagree,3,25.2,26.0,29.9,20.5,4.7,0,,,,,
8,Disagree,4,29.3,29.0,34.0,24.6,4.7,0,,,,,
9,Disagree,5,15.4,16.0,20.1,10.7,4.7,0,,,,,
10,Neither agree nor disagree,1,57.0,60.0,61.7,52.3,4.7,0,,,,,
11,Neither agree nor disagree,2,29.7,25.0,34.4,25.0,4.7,0,,,,,
12,Neither agree nor disagree,3,61.3,71.0,66.0,56.6,4.7,0,,,,,
13,Neither agree nor disagree,4,72.4,71.0,77.1,67.7,4.7,0,,,,,
14,Neither agree nor disagree,5,44.4,45.0,49.1,39.7,4.7,0,,,,,
15,Agree,1,55.8,60.0,60.5,51.1,4.7,0,,,,,
16,Agree,2,20.9,24.0,25.6,16.2,4.7,0,,,,,
17,Agree,3,121.1,118.0,125.8,116.4,4.7,0,,,,,
18,Agree,4,84.2,75.0,88.9,79.5,4.7,0,,,,,
19,Agree,5,15.4,17.0,20.2,10.7,4.7,0,,,,,
20,Strongly agree,1,50.7,46.0,55.4,45.9,4.7,0,,,,,
21,Strongly agree,2,23.2,18.0,27.9,18.5,4.7,0,,,,,
22,Strongly agree,3,52.1,58.0,56.8,47.4,4.7,0,,,,,
23,Strongly agree,4,22.5,31.0,27.2,17.8,4.7,0,,,,,
24,Strongly agree,5,16.4,20.0,21.1,11.7,4.7,0,,,,,
25,Strongly disagree,1,64.5,64.0,66.8,62.1,2.4,1,63.4,64.0,58.7,68.1,4.7
26,Strongly disagree,2,13.8,11.0,16.2,11.5,2.4,1,12.9,11.0,8.2,17.7,4.7
27,Strongly disagree,3,9.5,29.0,11.9,7.2,2.4,1,1.1,29.0,-3.7,5.8,4.7
28,Strongly disagree,4,16.3,16.0,18.7,14.0,2.4,1,14.3,16.0,9.6,19.0,4.7
29,Strongly disagree,5,33.3,29.0,35.7,30.9,2.4,1,24.9,29.0,20.2,29.6,4.7
