,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,199.6,195.0,204.3,194.9,4.7,0,,,,,
1,Emergency,3-4,187.2,178.0,191.9,182.5,4.7,0,,,,,
2,Emergency,5-6,106.5,102.0,111.2,101.8,4.7,0,,,,,
3,Emergency,7-8,56.2,56.0,60.9,51.5,4.7,0,,,,,
4,Emergency,9-10,16.5,19.0,21.2,11.7,4.7,0,,,,,
5,Emergency,11-12,4.4,17.0,9.1,-0.3,4.7,0,,,,,
6,Emergency,13-14,9.5,10.0,14.2,4.8,4.7,0,,,,,
7,Urgent,1-2,53.2,53.0,57.9,48.4,4.7,0,,,,,
8,Urgent,3-4,60.9,61.0,65.6,56.1,4.7,0,,,,,
9,Urgent,5-6,36.4,36.0,41.1,31.7,4.7,0,,,,,
10,Urgent,7-8,30.3,30.0,35.0,25.6,4.7,0,,,,,
11,Urgent,9-10,13.5,11.0,18.2,8.7,4.7,0,,,,,
12,Urgent,11-12,9.8,8.0,14.6,5.1,4.7,0,,,,,
13,Urgent,13-14,6.9,6.0,11.6,2.2,4.7,0,,,,,
14,Elective,1-2,48.2,50.0,52.9,43.5,4.7,0,,,,,
15,Elective,3-4,68.8,59.0,73.6,64.1,4.7,0,,,,,
16,Elective,5-6,21.7,23.0,26.4,16.9,4.7,0,,,,,
17,Elective,7-8,17.2,20.0,22.0,12.5,4.7,0,,,,,
18,Elective,9-10,1.2,8.0,6.0,-3.5,4.7,0,,,,,
19,Elective,11-12,18.2,7.0,23.0,13.5,4.7,0,,,,,
20,Elective,13-14,-1.5,3.0,3.2,-6.3,4.7,0,,,,,
21,Newborn,1-2,-6.5,0.0,-1.8,-11.2,4.7,0,,,,,
22,Newborn,3-4,-2.7,0.0,2.0,-7.4,4.7,0,,,,,
23,Newborn,5-6,-0.8,0.0,3.9,-5.5,4.7,0,,,,,
24,Newborn,7-8,5.2,0.0,10.0,0.5,4.7,0,,,,,
25,Newborn,9-10,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
26,Newborn,11-12,11.6,0.0,16.3,6.9,4.7,0,,,,,
27,Newborn,13-14,-9.5,0.0,-4.8,-14.2,4.7,0,,,,,
