,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,3.4,3.0,8.1,-1.4,4.7,0,,,,,
1,0 - 9,10-19,1.8,0.0,6.5,-2.9,4.7,0,,,,,
2,0 - 9,20-29,-1.8,0.0,2.9,-6.5,4.7,0,,,,,
3,0 - 9,30-39,0.1,0.0,4.8,-4.6,4.7,0,,,,,
4,0 - 9,40-49,5.1,0.0,9.9,0.4,4.7,0,,,,,
5,0 - 9,50-89,5.2,0.0,10.0,0.5,4.7,0,,,,,
6,10 - 19,1-9,1.1,4.0,5.8,-3.6,4.7,0,,,,,
7,10 - 19,10-19,-5.6,2.0,-0.9,-10.3,4.7,0,,,,,
8,10 - 19,20-29,0.6,1.0,5.3,-4.1,4.7,0,,,,,
9,10 - 19,30-39,-9.4,0.0,-4.7,-14.1,4.7,0,,,,,
10,10 - 19,40-49,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
11,10 - 19,50-89,1.2,0.0,5.9,-3.5,4.7,0,,,,,
12,20 - 29,1-9,4.4,3.0,9.2,-0.3,4.7,0,,,,,
13,20 - 29,10-19,4.7,4.0,9.4,-0.0,4.7,0,,,,,
14,20 - 29,20-29,-10.1,0.0,-5.4,-14.8,4.7,0,,,,,
15,20 - 29,30-39,0.4,0.0,5.1,-4.3,4.7,0,,,,,
16,20 - 29,40-49,-2.2,0.0,2.5,-6.9,4.7,0,,,,,
17,20 - 29,50-89,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
18,30 - 39,1-9,2.6,1.0,7.3,-2.1,4.7,0,,,,,
19,30 - 39,10-19,24.6,25.0,29.3,19.9,4.7,0,,,,,
20,30 - 39,20-29,1.1,5.0,5.9,-3.6,4.7,0,,,,,
21,30 - 39,30-39,1.3,1.0,6.0,-3.4,4.7,0,,,,,
22,30 - 39,40-49,2.7,0.0,7.5,-2.0,4.7,0,,,,,
23,30 - 39,50-89,-1.6,0.0,3.1,-6.3,4.7,0,,,,,
24,40 - 49,1-9,21.2,22.0,25.9,16.4,4.7,0,,,,,
25,40 - 49,10-19,53.9,47.0,58.6,49.2,4.7,0,,,,,
26,40 - 49,20-29,30.1,20.0,34.8,25.4,4.7,0,,,,,
27,40 - 49,30-39,8.4,7.0,13.1,3.7,4.7,0,,,,,
28,40 - 49,40-49,7.5,2.0,12.2,2.7,4.7,0,,,,,
29,40 - 49,50-89,3.9,0.0,8.6,-0.8,4.7,0,,,,,
30,50 - 59,1-9,30.4,36.0,35.1,25.7,4.7,0,,,,,
31,50 - 59,10-19,79.2,78.0,83.9,74.5,4.7,0,,,,,
32,50 - 59,20-29,36.4,36.0,41.1,31.7,4.7,0,,,,,
33,50 - 59,30-39,7.9,9.0,12.6,3.2,4.7,0,,,,,
34,50 - 59,40-49,-1.7,1.0,3.1,-6.4,4.7,0,,,,,
35,50 - 59,50-89,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
36,60 - 69,1-9,28.9,31.0,33.7,24.2,4.7,0,,,,,
37,60 - 69,10-19,96.2,98.0,100.9,91.5,4.7,0,,,,,
38,60 - 69,20-29,70.7,71.0,75.4,66.0,4.7,0,,,,,
39,60 - 69,30-39,19.3,15.0,24.0,14.5,4.7,0,,,,,
40,60 - 69,40-49,4.6,4.0,9.3,-0.1,4.7,0,,,,,
41,60 - 69,50-89,1.1,3.0,5.8,-3.6,4.7,0,,,,,
42,70 - 79,1-9,40.7,41.0,45.4,36.0,4.7,0,,,,,
43,70 - 79,10-19,148.0,151.0,152.7,143.3,4.7,0,,,,,
44,70 - 79,20-29,52.0,55.0,56.7,47.3,4.7,0,,,,,
45,70 - 79,30-39,13.1,13.0,17.8,8.4,4.7,0,,,,,
46,70 - 79,40-49,-3.8,2.0,0.9,-8.5,4.7,0,,,,,
47,70 - 79,50-89,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
48,80 - 89,1-9,47.8,46.0,52.5,43.1,4.7,0,,,,,
49,80 - 89,10-19,92.3,90.0,97.0,87.6,4.7,0,,,,,
50,80 - 89,20-29,30.6,29.0,35.3,25.9,4.7,0,,,,,
51,80 - 89,30-39,10.6,9.0,15.3,5.9,4.7,0,,,,,
52,80 - 89,40-49,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
53,80 - 89,50-89,1.4,0.0,6.1,-3.3,4.7,0,,,,,
54,90 - 99,1-9,7.5,7.0,12.2,2.8,4.7,0,,,,,
55,90 - 99,10-19,19.6,21.0,24.3,14.9,4.7,0,,,,,
56,90 - 99,20-29,5.6,6.0,10.3,0.9,4.7,0,,,,,
57,90 - 99,30-39,-7.0,0.0,-2.3,-11.7,4.7,0,,,,,
58,90 - 99,40-49,-1.4,1.0,3.3,-6.1,4.7,0,,,,,
59,90 - 99,50-89,9.6,0.0,14.3,4.8,4.7,0,,,,,
