,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,55.4,55.0,60.1,50.6,4.7,0,,,,,
1,African American,3-4,48.8,47.0,53.5,44.1,4.7,0,,,,,
2,African American,5-6,27.2,29.0,31.9,22.5,4.7,0,,,,,
3,African American,7-8,27.1,27.0,31.8,22.4,4.7,0,,,,,
4,African American,9-10,18.1,13.0,22.9,13.4,4.7,0,,,,,
5,African American,11-12,9.2,4.0,14.0,4.5,4.7,0,,,,,
6,African American,13-14,4.4,9.0,9.1,-0.3,4.7,0,,,,,
7,Asian,1-2,-5.6,2.0,-0.9,-10.3,4.7,0,,,,,
8,Asian,3-4,1.6,2.0,6.3,-3.1,4.7,0,,,,,
9,Asian,5-6,-9.4,0.0,-4.7,-14.1,4.7,0,,,,,
10,Asian,7-8,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
11,Asian,9-10,1.2,0.0,5.9,-3.5,4.7,0,,,,,
12,Asian,11-12,-2.0,0.0,2.8,-6.7,4.7,0,,,,,
13,Asian,13-14,1.4,0.0,6.2,-3.3,4.7,0,,,,,
14,Caucasian,1-2,215.9,226.0,220.6,211.2,4.7,0,,,,,
15,Caucasian,3-4,248.4,248.0,253.1,243.7,4.7,0,,,,,
16,Caucasian,5-6,140.8,143.0,145.5,136.1,4.7,0,,,,,
17,Caucasian,7-8,69.4,70.0,74.1,64.7,4.7,0,,,,,
18,Caucasian,9-10,36.1,38.0,40.8,31.4,4.7,0,,,,,
19,Caucasian,11-12,42.6,41.0,47.3,37.9,4.7,0,,,,,
20,Caucasian,13-14,10.6,11.0,15.3,5.9,4.7,0,,,,,
21,Hispanic,1-2,6.3,6.0,11.0,1.6,4.7,0,,,,,
22,Hispanic,3-4,10.7,8.0,15.5,6.0,4.7,0,,,,,
23,Hispanic,5-6,2.4,4.0,7.1,-2.3,4.7,0,,,,,
24,Hispanic,7-8,-1.7,1.0,3.0,-6.4,4.7,0,,,,,
25,Hispanic,9-10,0.2,1.0,4.9,-4.6,4.7,0,,,,,
26,Hispanic,11-12,7.9,1.0,12.6,3.2,4.7,0,,,,,
27,Hispanic,13-14,11.1,1.0,15.8,6.4,4.7,0,,,,,
28,Other,1-2,8.5,3.0,13.2,3.7,4.7,0,,,,,
29,Other,3-4,8.9,5.0,13.6,4.2,4.7,0,,,,,
30,Other,5-6,1.1,2.0,5.8,-3.6,4.7,0,,,,,
31,Other,7-8,-3.6,2.0,1.1,-8.3,4.7,0,,,,,
32,Other,9-10,1.2,0.0,5.9,-3.5,4.7,0,,,,,
33,Other,11-12,0.4,0.0,5.1,-4.3,4.7,0,,,,,
34,Other,13-14,-0.1,1.0,4.6,-4.8,4.7,0,,,,,
35,African American,1-2,54.2,55.0,56.6,51.8,2.4,1,55.4,55.0,50.6,60.1,4.7
36,African American,3-4,47.7,47.0,50.1,45.4,2.4,1,48.8,47.0,44.1,53.5,4.7
37,African American,5-6,26.6,29.0,29.0,24.3,2.4,1,27.2,29.0,22.5,31.9,4.7
38,African American,7-8,25.5,27.0,27.9,23.2,2.4,1,27.1,27.0,22.4,31.8,4.7
39,African American,9-10,15.6,13.0,18.0,13.3,2.4,1,18.1,13.0,13.4,22.9,4.7
40,African American,11-12,3.7,4.0,6.1,1.4,2.4,1,9.2,4.0,4.5,14.0,4.7
41,African American,13-14,6.6,9.0,9.0,4.3,2.4,1,4.4,9.0,-0.3,9.1,4.7
42,Asian,1-2,-0.9,2.0,1.5,-3.3,2.4,1,-5.6,2.0,-10.3,-0.9,4.7
43,Asian,3-4,2.9,2.0,5.3,0.6,2.4,1,1.6,2.0,-3.1,6.3,4.7
44,Asian,5-6,-3.9,0.0,-1.5,-6.3,2.4,1,-9.4,0.0,-14.1,-4.7,4.7
45,Asian,7-8,0.6,0.0,3.0,-1.7,2.4,1,-0.3,0.0,-5.0,4.4,4.7
46,Asian,9-10,0.1,0.0,2.5,-2.3,2.4,1,1.2,0.0,-3.5,5.9,4.7
47,Asian,11-12,-0.3,0.0,2.1,-2.6,2.4,1,-2.0,0.0,-6.7,2.8,4.7
48,Asian,13-14,0.1,0.0,2.4,-2.3,2.4,1,1.4,0.0,-3.3,6.2,4.7
49,Caucasian,1-2,220.2,226.0,222.6,217.9,2.4,1,215.9,226.0,211.2,220.6,4.7
50,Caucasian,3-4,248.0,248.0,250.4,245.7,2.4,1,248.4,248.0,243.7,253.1,4.7
51,Caucasian,5-6,138.4,143.0,140.8,136.1,2.4,1,140.8,143.0,136.1,145.5,4.7
52,Caucasian,7-8,68.5,70.0,70.8,66.1,2.4,1,69.4,70.0,64.7,74.1,4.7
53,Caucasian,9-10,41.8,38.0,44.2,39.5,2.4,1,36.1,38.0,31.4,40.8,4.7
54,Caucasian,11-12,40.5,41.0,42.9,38.2,2.4,1,42.6,41.0,37.9,47.3,4.7
55,Caucasian,13-14,11.6,11.0,14.0,9.2,2.4,1,10.6,11.0,5.9,15.3,4.7
56,Hispanic,1-2,7.1,6.0,9.5,4.8,2.4,1,6.3,6.0,1.6,11.0,4.7
57,Hispanic,3-4,9.3,8.0,11.6,6.9,2.4,1,10.7,8.0,6.0,15.5,4.7
58,Hispanic,5-6,3.5,4.0,5.9,1.2,2.4,1,2.4,4.0,-2.3,7.1,4.7
59,Hispanic,7-8,-3.7,1.0,-1.3,-6.1,2.4,1,-1.7,1.0,-6.4,3.0,4.7
60,Hispanic,9-10,-2.6,1.0,-0.3,-5.0,2.4,1,0.2,1.0,-4.6,4.9,4.7
61,Hispanic,11-12,2.9,1.0,5.3,0.5,2.4,1,7.9,1.0,3.2,12.6,4.7
62,Hispanic,13-14,4.1,1.0,6.4,1.7,2.4,1,11.1,1.0,6.4,15.8,4.7
63,Other,1-2,3.5,3.0,5.8,1.1,2.4,1,8.5,3.0,3.7,13.2,4.7
64,Other,3-4,7.1,5.0,9.5,4.8,2.4,1,8.9,5.0,4.2,13.6,4.7
65,Other,5-6,-0.1,2.0,2.3,-2.5,2.4,1,1.1,2.0,-3.6,5.8,4.7
66,Other,7-8,3.1,2.0,5.4,0.7,2.4,1,-3.6,2.0,-8.3,1.1,4.7
67,Other,9-10,1.4,0.0,3.7,-1.0,2.4,1,1.2,0.0,-3.5,5.9,4.7
68,Other,11-12,0.3,0.0,2.7,-2.0,2.4,1,0.4,0.0,-4.3,5.1,4.7
69,Other,13-14,1.4,1.0,3.7,-1.0,2.4,1,-0.1,1.0,-4.8,4.6,4.7
70,African American,1-2,54.8,55.0,56.4,53.2,1.6,2,54.2,55.0,51.8,56.6,2.4
71,African American,3-4,47.1,47.0,48.7,45.6,1.6,2,47.7,47.0,45.4,50.1,2.4
72,African American,5-6,27.5,29.0,29.1,26.0,1.6,2,26.6,29.0,24.3,29.0,2.4
73,African American,7-8,25.0,27.0,26.5,23.4,1.6,2,25.5,27.0,23.2,27.9,2.4
74,African American,9-10,13.7,13.0,15.3,12.1,1.6,2,15.6,13.0,13.3,18.0,2.4
