,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,22.0,18.0,26.7,17.3,4.7,0,,,,,
1,Strongly disagree,Instructor 2,17.6,21.0,22.3,12.9,4.7,0,,,,,
2,Strongly disagree,Instructor 3,107.6,115.0,112.3,102.9,4.7,0,,,,,
3,Disagree,Instructor 1,13.0,15.0,17.7,8.3,4.7,0,,,,,
4,Disagree,Instructor 2,20.2,20.0,24.9,15.5,4.7,0,,,,,
5,Disagree,Instructor 3,91.4,93.0,96.1,86.6,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,34.0,39.0,38.7,29.3,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,60.7,63.0,65.4,56.0,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,201.0,195.0,205.7,196.3,4.7,0,,,,,
9,Agree,Instructor 1,38.9,37.0,43.6,34.2,4.7,0,,,,,
10,Agree,Instructor 2,82.4,78.0,87.1,77.7,4.7,0,,,,,
11,Agree,Instructor 3,162.2,159.0,166.9,157.5,4.7,0,,,,,
12,Strongly agree,Instructor 1,22.3,26.0,27.1,17.6,4.7,0,,,,,
13,Strongly agree,Instructor 2,33.1,41.0,37.8,28.4,4.7,0,,,,,
14,Strongly agree,Instructor 3,71.5,80.0,76.2,66.8,4.7,0,,,,,
15,Strongly disagree,Instructor 1,20.0,18.0,22.4,17.7,2.4,1,22.0,18.0,17.3,26.7,4.7
16,Strongly disagree,Instructor 2,23.0,21.0,25.3,20.6,2.4,1,17.6,21.0,12.9,22.3,4.7
17,Strongly disagree,Instructor 3,108.8,115.0,111.1,106.4,2.4,1,107.6,115.0,102.9,112.3,4.7
18,Disagree,Instructor 1,11.9,15.0,14.3,9.5,2.4,1,13.0,15.0,8.3,17.7,4.7
19,Disagree,Instructor 2,20.2,20.0,22.6,17.9,2.4,1,20.2,20.0,15.5,24.9,4.7
20,Disagree,Instructor 3,91.3,93.0,93.7,89.0,2.4,1,91.4,93.0,86.6,96.1,4.7
21,Neither agree nor disagree,Instructor 1,37.2,39.0,39.5,34.8,2.4,1,34.0,39.0,29.3,38.7,4.7
22,Neither agree nor disagree,Instructor 2,61.3,63.0,63.7,59.0,2.4,1,60.7,63.0,56.0,65.4,4.7
23,Neither agree nor disagree,Instructor 3,198.5,195.0,200.8,196.1,2.4,1,201.0,195.0,196.3,205.7,4.7
24,Agree,Instructor 1,37.7,37.0,40.0,35.3,2.4,1,38.9,37.0,34.2,43.6,4.7
25,Agree,Instructor 2,79.8,78.0,82.2,77.5,2.4,1,82.4,78.0,77.7,87.1,4.7
26,Agree,Instructor 3,160.2,159.0,162.5,157.8,2.4,1,162.2,159.0,157.5,166.9,4.7
27,Strongly agree,Instructor 1,21.1,26.0,23.5,18.8,2.4,1,22.3,26.0,17.6,27.1,4.7
28,Strongly agree,Instructor 2,33.4,41.0,35.8,31.1,2.4,1,33.1,41.0,28.4,37.8,4.7
29,Strongly agree,Instructor 3,72.7,80.0,75.0,70.3,2.4,1,71.5,80.0,66.8,76.2,4.7
30,Strongly disagree,Instructor 1,19.7,18.0,21.3,18.1,1.6,2,20.0,18.0,17.7,22.4,2.4
31,Strongly disagree,Instructor 2,22.2,21.0,23.8,20.6,1.6,2,23.0,21.0,20.6,25.3,2.4
32,Strongly disagree,Instructor 3,114.2,115.0,115.7,112.6,1.6,2,108.8,115.0,106.4,111.1,2.4
33,Disagree,Instructor 1,11.9,15.0,13.5,10.3,1.6,2,11.9,15.0,9.5,14.3,2.4
34,Disagree,Instructor 2,20.7,20.0,22.2,19.1,1.6,2,20.2,20.0,17.9,22.6,2.4
35,Disagree,Instructor 3,91.5,93.0,93.1,89.9,1.6,2,91.3,93.0,89.0,93.7,2.4
36,Neither agree nor disagree,Instructor 1,38.8,39.0,40.3,37.2,1.6,2,37.2,39.0,34.8,39.5,2.4
37,Neither agree nor disagree,Instructor 2,61.7,63.0,63.3,60.2,1.6,2,61.3,63.0,59.0,63.7,2.4
38,Neither agree nor disagree,Instructor 3,196.6,195.0,198.2,195.1,1.6,2,198.5,195.0,196.1,200.8,2.4
39,Agree,Instructor 1,37.1,37.0,38.7,35.5,1.6,2,37.7,37.0,35.3,40.0,2.4
40,Agree,Instructor 2,77.4,78.0,79.0,75.8,1.6,2,79.8,78.0,77.5,82.2,2.4
41,Agree,Instructor 3,160.5,159.0,162.0,158.9,1.6,2,160.2,159.0,157.8,162.5,2.4
42,Strongly agree,Instructor 1,22.8,26.0,24.4,21.2,1.6,2,21.1,26.0,18.8,23.5,2.4
43,Strongly agree,Instructor 2,36.5,41.0,38.0,34.9,1.6,2,33.4,41.0,31.1,35.8,2.4
44,Strongly agree,Instructor 3,74.9,80.0,76.5,73.4,1.6,2,72.7,80.0,70.3,75.0,2.4
45,Strongly disagree,Instructor 1,18.0,18.0,19.2,16.8,1.2,3,19.7,18.0,18.1,21.3,1.6
46,Strongly disagree,Instructor 2,18.8,21.0,20.0,17.6,1.2,3,22.2,21.0,20.6,23.8,1.6
47,Strongly disagree,Instructor 3,115.9,115.0,117.1,114.7,1.2,3,114.2,115.0,112.6,115.7,1.6
48,Disagree,Instructor 1,12.0,15.0,13.2,10.8,1.2,3,11.9,15.0,10.3,13.5,1.6
49,Disagree,Instructor 2,20.6,20.0,21.8,19.4,1.2,3,20.7,20.0,19.1,22.2,1.6
50,Disagree,Instructor 3,93.4,93.0,94.6,92.2,1.2,3,91.5,93.0,89.9,93.1,1.6
51,Neither agree nor disagree,Instructor 1,37.7,39.0,38.9,36.5,1.2,3,38.8,39.0,37.2,40.3,1.6
52,Neither agree nor disagree,Instructor 2,61.6,63.0,62.8,60.5,1.2,3,61.7,63.0,60.2,63.3,1.6
53,Neither agree nor disagree,Instructor 3,195.8,195.0,197.0,194.6,1.2,3,196.6,195.0,195.1,198.2,1.6
54,Agree,Instructor 1,37.6,37.0,38.8,36.5,1.2,3,37.1,37.0,35.5,38.7,1.6
55,Agree,Instructor 2,77.2,78.0,78.4,76.0,1.2,3,77.4,78.0,75.8,79.0,1.6
56,Agree,Instructor 3,160.3,159.0,161.5,159.1,1.2,3,160.5,159.0,158.9,162.0,1.6
57,Strongly agree,Instructor 1,25.1,26.0,26.3,23.9,1.2,3,22.8,26.0,21.2,24.4,1.6
58,Strongly agree,Instructor 2,36.8,41.0,38.0,35.7,1.2,3,36.5,41.0,34.9,38.0,1.6
59,Strongly agree,Instructor 3,71.4,80.0,72.6,70.3,1.2,3,74.9,80.0,73.4,76.5,1.6
60,Strongly disagree,Instructor 1,17.4,18.0,18.3,16.4,0.9,4,18.0,18.0,16.8,19.2,1.2
61,Strongly disagree,Instructor 2,19.1,21.0,20.1,18.2,0.9,4,18.8,21.0,17.6,20.0,1.2
62,Strongly disagree,Instructor 3,117.0,115.0,118.0,116.1,0.9,4,115.9,115.0,114.7,117.1,1.2
63,Disagree,Instructor 1,10.2,15.0,11.2,9.3,0.9,4,12.0,15.0,10.8,13.2,1.2
64,Disagree,Instructor 2,21.5,20.0,22.5,20.6,0.9,4,20.6,20.0,19.4,21.8,1.2
65,Disagree,Instructor 3,93.5,93.0,94.4,92.6,0.9,4,93.4,93.0,92.2,94.6,1.2
66,Neither agree nor disagree,Instructor 1,38.1,39.0,39.1,37.2,0.9,4,37.7,39.0,36.5,38.9,1.2
67,Neither agree nor disagree,Instructor 2,63.3,63.0,64.2,62.3,0.9,4,61.6,63.0,60.5,62.8,1.2
68,Neither agree nor disagree,Instructor 3,195.8,195.0,196.7,194.8,0.9,4,195.8,195.0,194.6,197.0,1.2
69,Agree,Instructor 1,37.8,37.0,38.7,36.9,0.9,4,37.6,37.0,36.5,38.8,1.2
70,Agree,Instructor 2,77.4,78.0,78.4,76.5,0.9,4,77.2,78.0,76.0,78.4,1.2
71,Agree,Instructor 3,157.4,159.0,158.3,156.4,0.9,4,160.3,159.0,159.1,161.5,1.2
72,Strongly agree,Instructor 1,24.3,26.0,25.3,23.4,0.9,4,25.1,26.0,23.9,26.3,1.2
73,Strongly agree,Instructor 2,37.7,41.0,38.6,36.8,0.9,4,36.8,41.0,35.7,38.0,1.2
74,Strongly agree,Instructor 3,73.4,80.0,74.4,72.5,0.9,4,71.4,80.0,70.3,72.6,1.2
75,Strongly disagree,Instructor 1,17.4,18.0,18.2,16.6,0.8,5,17.4,18.0,16.4,18.3,0.9
76,Strongly disagree,Instructor 2,19.5,21.0,20.3,18.7,0.8,5,19.1,21.0,18.2,20.1,0.9
77,Strongly disagree,Instructor 3,119.1,115.0,119.9,118.4,0.8,5,117.0,115.0,116.1,118.0,0.9
78,Disagree,Instructor 1,11.3,15.0,12.1,10.5,0.8,5,10.2,15.0,9.3,11.2,0.9
