,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,74.7,72.0,79.4,70.0,4.7,0,,,,,
1,Strongly disagree,2,8.5,11.0,13.2,3.8,4.7,0,,,,,
2,Strongly disagree,3,24.5,21.0,29.2,19.8,4.7,0,,,,,
3,Strongly disagree,4,25.9,17.0,30.7,21.2,4.7,0,,,,,
4,Strongly disagree,5,38.7,29.0,43.4,34.0,4.7,0,,,,,
5,Disagree,1,27.8,27.0,32.5,23.1,4.7,0,,,,,
6,Disagree,2,8.7,6.0,13.4,4.0,4.7,0,,,,,
7,Disagree,3,27.1,26.0,31.8,22.4,4.7,0,,,,,
8,Disagree,4,18.0,16.0,22.7,13.2,4.7,0,,,,,
9,Disagree,5,5.1,14.0,9.9,0.4,4.7,0,,,,,
10,Neither agree nor disagree,1,75.8,83.0,80.6,71.1,4.7,0,,,,,
11,Neither agree nor disagree,2,31.2,27.0,35.9,26.5,4.7,0,,,,,
12,Neither agree nor disagree,3,75.0,76.0,79.7,70.3,4.7,0,,,,,
13,Neither agree nor disagree,4,55.5,54.0,60.2,50.8,4.7,0,,,,,
14,Neither agree nor disagree,5,37.8,40.0,42.5,33.1,4.7,0,,,,,
15,Agree,1,45.8,59.0,50.5,41.0,4.7,0,,,,,
16,Agree,2,31.9,33.0,36.6,27.2,4.7,0,,,,,
17,Agree,3,119.6,112.0,124.3,114.9,4.7,0,,,,,
18,Agree,4,60.2,63.0,64.9,55.5,4.7,0,,,,,
19,Agree,5,26.5,28.0,31.2,21.8,4.7,0,,,,,
20,Strongly agree,1,35.8,45.0,40.5,31.1,4.7,0,,,,,
21,Strongly agree,2,14.2,21.0,18.9,9.5,4.7,0,,,,,
22,Strongly agree,3,59.0,58.0,63.7,54.3,4.7,0,,,,,
23,Strongly agree,4,44.6,40.0,49.3,39.9,4.7,0,,,,,
24,Strongly agree,5,8.5,22.0,13.2,3.8,4.7,0,,,,,
25,Strongly disagree,1,55.6,72.0,58.0,53.3,2.4,1,74.7,72.0,70.0,79.4,4.7
26,Strongly disagree,2,8.6,11.0,10.9,6.2,2.4,1,8.5,11.0,3.8,13.2,4.7
27,Strongly disagree,3,23.7,21.0,26.0,21.3,2.4,1,24.5,21.0,19.8,29.2,4.7
28,Strongly disagree,4,20.7,17.0,23.1,18.4,2.4,1,25.9,17.0,21.2,30.7,4.7
29,Strongly disagree,5,32.9,29.0,35.2,30.5,2.4,1,38.7,29.0,34.0,43.4,4.7
30,Disagree,1,30.4,27.0,32.8,28.1,2.4,1,27.8,27.0,23.1,32.5,4.7
31,Disagree,2,6.1,6.0,8.5,3.8,2.4,1,8.7,6.0,4.0,13.4,4.7
32,Disagree,3,26.4,26.0,28.8,24.1,2.4,1,27.1,26.0,22.4,31.8,4.7
33,Disagree,4,15.8,16.0,18.2,13.5,2.4,1,18.0,16.0,13.2,22.7,4.7
34,Disagree,5,9.1,14.0,11.5,6.8,2.4,1,5.1,14.0,0.4,9.9,4.7
35,Neither agree nor disagree,1,80.7,83.0,83.1,78.4,2.4,1,75.8,83.0,71.1,80.6,4.7
36,Neither agree nor disagree,2,25.8,27.0,28.1,23.4,2.4,1,31.2,27.0,26.5,35.9,4.7
37,Neither agree nor disagree,3,76.3,76.0,78.6,73.9,2.4,1,75.0,76.0,70.3,79.7,4.7
38,Neither agree nor disagree,4,54.9,54.0,57.3,52.6,2.4,1,55.5,54.0,50.8,60.2,4.7
39,Neither agree nor disagree,5,36.7,40.0,39.1,34.4,2.4,1,37.8,40.0,33.1,42.5,4.7
40,Agree,1,51.2,59.0,53.6,48.8,2.4,1,45.8,59.0,41.0,50.5,4.7
41,Agree,2,30.5,33.0,32.8,28.1,2.4,1,31.9,33.0,27.2,36.6,4.7
42,Agree,3,119.0,112.0,121.3,116.6,2.4,1,119.6,112.0,114.9,124.3,4.7
43,Agree,4,62.4,63.0,64.7,60.0,2.4,1,60.2,63.0,55.5,64.9,4.7
44,Agree,5,26.0,28.0,28.4,23.7,2.4,1,26.5,28.0,21.8,31.2,4.7
45,Strongly agree,1,40.6,45.0,43.0,38.3,2.4,1,35.8,45.0,31.1,40.5,4.7
46,Strongly agree,2,14.4,21.0,16.7,12.0,2.4,1,14.2,21.0,9.5,18.9,4.7
47,Strongly agree,3,60.4,58.0,62.8,58.0,2.4,1,59.0,58.0,54.3,63.7,4.7
48,Strongly agree,4,41.9,40.0,44.3,39.6,2.4,1,44.6,40.0,39.9,49.3,4.7
49,Strongly agree,5,13.2,22.0,15.5,10.8,2.4,1,8.5,22.0,3.8,13.2,4.7
50,Strongly disagree,1,63.0,72.0,64.6,61.5,1.6,2,55.6,72.0,53.3,58.0,2.4
51,Strongly disagree,2,9.0,11.0,10.6,7.5,1.6,2,8.6,11.0,6.2,10.9,2.4
