,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,24.2,26.0,29.0,19.5,4.7,0,,,,,
1,Strongly disagree,Instructor 2,10.2,10.0,14.9,5.5,4.7,0,,,,,
2,Strongly disagree,Instructor 3,28.8,32.0,33.5,24.1,4.7,0,,,,,
3,Disagree,Instructor 1,48.3,55.0,53.1,43.6,4.7,0,,,,,
4,Disagree,Instructor 2,37.8,35.0,42.6,33.1,4.7,0,,,,,
5,Disagree,Instructor 3,23.1,22.0,27.8,18.4,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,17.5,17.0,22.3,12.8,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,56.5,65.0,61.2,51.8,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,84.9,86.0,89.6,80.2,4.7,0,,,,,
9,Agree,Instructor 1,60.4,53.0,65.1,55.7,4.7,0,,,,,
10,Agree,Instructor 2,106.3,102.0,111.1,101.6,4.7,0,,,,,
11,Agree,Instructor 3,66.7,62.0,71.4,62.0,4.7,0,,,,,
12,Strongly agree,Instructor 1,175.4,183.0,180.1,170.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,155.2,154.0,159.9,150.5,4.7,0,,,,,
14,Strongly agree,Instructor 3,98.4,98.0,103.1,93.7,4.7,0,,,,,
15,Strongly disagree,Instructor 1,24.8,26.0,27.2,22.5,2.4,1,24.2,26.0,19.5,29.0,4.7
16,Strongly disagree,Instructor 2,8.0,10.0,10.4,5.7,2.4,1,10.2,10.0,5.5,14.9,4.7
17,Strongly disagree,Instructor 3,28.4,32.0,30.8,26.0,2.4,1,28.8,32.0,24.1,33.5,4.7
18,Disagree,Instructor 1,48.0,55.0,50.4,45.6,2.4,1,48.3,55.0,43.6,53.1,4.7
19,Disagree,Instructor 2,37.4,35.0,39.7,35.0,2.4,1,37.8,35.0,33.1,42.6,4.7
20,Disagree,Instructor 3,21.0,22.0,23.4,18.6,2.4,1,23.1,22.0,18.4,27.8,4.7
21,Neither agree nor disagree,Instructor 1,19.1,17.0,21.4,16.7,2.4,1,17.5,17.0,12.8,22.3,4.7
22,Neither agree nor disagree,Instructor 2,61.0,65.0,63.4,58.6,2.4,1,56.5,65.0,51.8,61.2,4.7
23,Neither agree nor disagree,Instructor 3,82.4,86.0,84.8,80.1,2.4,1,84.9,86.0,80.2,89.6,4.7
24,Agree,Instructor 1,56.9,53.0,59.2,54.5,2.4,1,60.4,53.0,55.7,65.1,4.7
25,Agree,Instructor 2,104.9,102.0,107.3,102.5,2.4,1,106.3,102.0,101.6,111.1,4.7
26,Agree,Instructor 3,61.9,62.0,64.3,59.6,2.4,1,66.7,62.0,62.0,71.4,4.7
27,Strongly agree,Instructor 1,179.0,183.0,181.4,176.7,2.4,1,175.4,183.0,170.7,180.1,4.7
28,Strongly agree,Instructor 2,157.1,154.0,159.5,154.7,2.4,1,155.2,154.0,150.5,159.9,4.7
29,Strongly agree,Instructor 3,99.7,98.0,102.0,97.3,2.4,1,98.4,98.0,93.7,103.1,4.7
