,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,34.6,30.0,39.3,29.9,4.7,0,,,,,
1,Strongly disagree,Instructor 2,31.2,22.0,35.9,26.5,4.7,0,,,,,
2,Strongly disagree,Instructor 3,109.5,105.0,114.2,104.8,4.7,0,,,,,
3,Disagree,Instructor 1,5.5,8.0,10.2,0.7,4.7,0,,,,,
4,Disagree,Instructor 2,10.4,23.0,15.1,5.7,4.7,0,,,,,
5,Disagree,Instructor 3,66.5,67.0,71.2,61.8,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,37.2,37.0,41.9,32.4,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,64.9,65.0,69.6,60.1,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,193.4,193.0,198.1,188.7,4.7,0,,,,,
9,Agree,Instructor 1,56.5,54.0,61.2,51.7,4.7,0,,,,,
10,Agree,Instructor 2,84.8,83.0,89.6,80.1,4.7,0,,,,,
11,Agree,Instructor 3,143.9,143.0,148.6,139.2,4.7,0,,,,,
12,Strongly agree,Instructor 1,27.2,29.0,31.9,22.5,4.7,0,,,,,
13,Strongly agree,Instructor 2,59.8,50.0,64.6,55.1,4.7,0,,,,,
14,Strongly agree,Instructor 3,89.7,91.0,94.4,84.9,4.7,0,,,,,
15,Strongly disagree,Instructor 1,29.0,30.0,31.4,26.7,2.4,1,34.6,30.0,29.9,39.3,4.7
16,Strongly disagree,Instructor 2,25.3,22.0,27.6,22.9,2.4,1,31.2,22.0,26.5,35.9,4.7
17,Strongly disagree,Instructor 3,106.8,105.0,109.2,104.5,2.4,1,109.5,105.0,104.8,114.2,4.7
18,Disagree,Instructor 1,6.1,8.0,8.5,3.8,2.4,1,5.5,8.0,0.7,10.2,4.7
19,Disagree,Instructor 2,22.5,23.0,24.9,20.2,2.4,1,10.4,23.0,5.7,15.1,4.7
20,Disagree,Instructor 3,62.0,67.0,64.3,59.6,2.4,1,66.5,67.0,61.8,71.2,4.7
21,Neither agree nor disagree,Instructor 1,36.6,37.0,39.0,34.3,2.4,1,37.2,37.0,32.4,41.9,4.7
22,Neither agree nor disagree,Instructor 2,66.2,65.0,68.5,63.8,2.4,1,64.9,65.0,60.1,69.6,4.7
23,Neither agree nor disagree,Instructor 3,196.7,193.0,199.1,194.3,2.4,1,193.4,193.0,188.7,198.1,4.7
24,Agree,Instructor 1,55.0,54.0,57.3,52.6,2.4,1,56.5,54.0,51.7,61.2,4.7
25,Agree,Instructor 2,82.9,83.0,85.3,80.5,2.4,1,84.8,83.0,80.1,89.6,4.7
26,Agree,Instructor 3,145.0,143.0,147.3,142.6,2.4,1,143.9,143.0,139.2,148.6,4.7
27,Strongly agree,Instructor 1,24.8,29.0,27.1,22.4,2.4,1,27.2,29.0,22.5,31.9,4.7
28,Strongly agree,Instructor 2,55.3,50.0,57.7,52.9,2.4,1,59.8,50.0,55.1,64.6,4.7
29,Strongly agree,Instructor 3,91.8,91.0,94.2,89.5,2.4,1,89.7,91.0,84.9,94.4,4.7
30,Strongly disagree,Instructor 1,26.5,30.0,28.1,24.9,1.6,2,29.0,30.0,26.7,31.4,2.4
31,Strongly disagree,Instructor 2,24.1,22.0,25.6,22.5,1.6,2,25.3,22.0,22.9,27.6,2.4
32,Strongly disagree,Instructor 3,105.1,105.0,106.7,103.6,1.6,2,106.8,105.0,104.5,109.2,2.4
33,Disagree,Instructor 1,5.8,8.0,7.4,4.2,1.6,2,6.1,8.0,3.8,8.5,2.4
34,Disagree,Instructor 2,21.3,23.0,22.9,19.8,1.6,2,22.5,23.0,20.2,24.9,2.4
35,Disagree,Instructor 3,63.7,67.0,65.3,62.2,1.6,2,62.0,67.0,59.6,64.3,2.4
36,Neither agree nor disagree,Instructor 1,37.4,37.0,39.0,35.9,1.6,2,36.6,37.0,34.3,39.0,2.4
37,Neither agree nor disagree,Instructor 2,68.1,65.0,69.7,66.6,1.6,2,66.2,65.0,63.8,68.5,2.4
38,Neither agree nor disagree,Instructor 3,197.9,193.0,199.5,196.3,1.6,2,196.7,193.0,194.3,199.1,2.4
39,Agree,Instructor 1,54.9,54.0,56.5,53.3,1.6,2,55.0,54.0,52.6,57.3,2.4
40,Agree,Instructor 2,83.4,83.0,84.9,81.8,1.6,2,82.9,83.0,80.5,85.3,2.4
41,Agree,Instructor 3,144.4,143.0,145.9,142.8,1.6,2,145.0,143.0,142.6,147.3,2.4
42,Strongly agree,Instructor 1,21.7,29.0,23.3,20.1,1.6,2,24.8,29.0,22.4,27.1,2.4
43,Strongly agree,Instructor 2,51.3,50.0,52.9,49.7,1.6,2,55.3,50.0,52.9,57.7,2.4
44,Strongly agree,Instructor 3,91.4,91.0,93.0,89.8,1.6,2,91.8,91.0,89.5,94.2,2.4
45,Strongly disagree,Instructor 1,27.0,30.0,28.2,25.8,1.2,3,26.5,30.0,24.9,28.1,1.6
46,Strongly disagree,Instructor 2,23.4,22.0,24.5,22.2,1.2,3,24.1,22.0,22.5,25.6,1.6
47,Strongly disagree,Instructor 3,106.0,105.0,107.1,104.8,1.2,3,105.1,105.0,103.6,106.7,1.6
48,Disagree,Instructor 1,6.8,8.0,8.0,5.6,1.2,3,5.8,8.0,4.2,7.4,1.6
49,Disagree,Instructor 2,21.8,23.0,23.0,20.6,1.2,3,21.3,23.0,19.8,22.9,1.6
50,Disagree,Instructor 3,65.5,67.0,66.6,64.3,1.2,3,63.7,67.0,62.2,65.3,1.6
51,Neither agree nor disagree,Instructor 1,38.4,37.0,39.6,37.2,1.2,3,37.4,37.0,35.9,39.0,1.6
