,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,-0.7,2.0,4.0,-5.4,4.7,0,,,,,
1,Emergency,10 - 19,4.2,4.0,8.9,-0.6,4.7,0,,,,,
2,Emergency,20 - 29,4.4,4.0,9.1,-0.4,4.7,0,,,,,
3,Emergency,30 - 39,4.0,12.0,8.7,-0.7,4.7,0,,,,,
4,Emergency,40 - 49,61.9,63.0,66.6,57.2,4.7,0,,,,,
5,Emergency,50 - 59,81.3,84.0,86.0,76.6,4.7,0,,,,,
6,Emergency,60 - 69,102.6,101.0,107.3,97.9,4.7,0,,,,,
7,Emergency,70 - 79,135.3,139.0,140.0,130.6,4.7,0,,,,,
8,Emergency,80 - 89,94.5,101.0,99.2,89.7,4.7,0,,,,,
9,Emergency,90 - 99,32.1,25.0,36.8,27.4,4.7,0,,,,,
10,Urgent,0 - 9,-5.2,1.0,-0.5,-9.9,4.7,0,,,,,
11,Urgent,10 - 19,4.0,2.0,8.7,-0.7,4.7,0,,,,,
12,Urgent,20 - 29,-2.8,1.0,1.9,-7.5,4.7,0,,,,,
13,Urgent,30 - 39,3.7,6.0,8.4,-1.0,4.7,0,,,,,
14,Urgent,40 - 49,11.2,13.0,15.9,6.5,4.7,0,,,,,
15,Urgent,50 - 59,31.7,30.0,36.4,27.0,4.7,0,,,,,
16,Urgent,60 - 69,55.8,56.0,60.5,51.0,4.7,0,,,,,
17,Urgent,70 - 79,49.2,52.0,53.9,44.5,4.7,0,,,,,
18,Urgent,80 - 89,30.6,31.0,35.3,25.9,4.7,0,,,,,
19,Urgent,90 - 99,-0.7,4.0,4.0,-5.4,4.7,0,,,,,
20,Elective,0 - 9,0.5,0.0,5.2,-4.2,4.7,0,,,,,
21,Elective,10 - 19,0.8,1.0,5.5,-3.9,4.7,0,,,,,
22,Elective,20 - 29,-0.5,1.0,4.2,-5.3,4.7,0,,,,,
23,Elective,30 - 39,2.8,11.0,7.6,-1.9,4.7,0,,,,,
24,Elective,40 - 49,19.3,17.0,24.1,14.6,4.7,0,,,,,
25,Elective,50 - 59,36.3,36.0,41.0,31.6,4.7,0,,,,,
26,Elective,60 - 69,58.5,56.0,63.3,53.8,4.7,0,,,,,
27,Elective,70 - 79,54.9,52.0,59.6,50.2,4.7,0,,,,,
28,Elective,80 - 89,22.6,29.0,27.3,17.8,4.7,0,,,,,
29,Elective,90 - 99,5.3,4.0,10.0,0.6,4.7,0,,,,,
30,Newborn,0 - 9,1.5,0.0,6.3,-3.2,4.7,0,,,,,
31,Newborn,10 - 19,-0.4,0.0,4.3,-5.1,4.7,0,,,,,
32,Newborn,20 - 29,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
33,Newborn,30 - 39,1.3,0.0,6.0,-3.4,4.7,0,,,,,
34,Newborn,40 - 49,1.6,0.0,6.3,-3.1,4.7,0,,,,,
35,Newborn,50 - 59,-2.1,0.0,2.6,-6.9,4.7,0,,,,,
36,Newborn,60 - 69,-12.6,0.0,-7.9,-17.3,4.7,0,,,,,
37,Newborn,70 - 79,2.6,0.0,7.3,-2.1,4.7,0,,,,,
38,Newborn,80 - 89,3.3,0.0,8.0,-1.4,4.7,0,,,,,
39,Newborn,90 - 99,-4.3,0.0,0.5,-9.0,4.7,0,,,,,
40,Not Available,0 - 9,-1.3,0.0,3.4,-6.0,4.7,0,,,,,
41,Not Available,10 - 19,-2.6,0.0,2.2,-7.3,4.7,0,,,,,
42,Not Available,20 - 29,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
43,Not Available,30 - 39,1.0,3.0,5.7,-3.7,4.7,0,,,,,
44,Not Available,40 - 49,15.2,5.0,20.0,10.5,4.7,0,,,,,
45,Not Available,50 - 59,6.2,9.0,10.9,1.5,4.7,0,,,,,
46,Not Available,60 - 69,7.9,9.0,12.6,3.2,4.7,0,,,,,
47,Not Available,70 - 79,7.0,18.0,11.7,2.3,4.7,0,,,,,
48,Not Available,80 - 89,13.9,13.0,18.6,9.2,4.7,0,,,,,
49,Not Available,90 - 99,-0.6,2.0,4.1,-5.3,4.7,0,,,,,
50,Trauma Center,0 - 9,0.6,0.0,5.3,-4.1,4.7,0,,,,,
51,Trauma Center,10 - 19,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
52,Trauma Center,20 - 29,1.8,0.0,6.5,-2.9,4.7,0,,,,,
53,Trauma Center,30 - 39,9.6,0.0,14.3,4.9,4.7,0,,,,,
54,Trauma Center,40 - 49,3.2,0.0,7.9,-1.5,4.7,0,,,,,
55,Trauma Center,50 - 59,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
56,Trauma Center,60 - 69,8.2,0.0,12.9,3.5,4.7,0,,,,,
57,Trauma Center,70 - 79,-7.8,0.0,-3.1,-12.5,4.7,0,,,,,
58,Trauma Center,80 - 89,2.1,0.0,6.8,-2.6,4.7,0,,,,,
59,Trauma Center,90 - 99,1.4,0.0,6.2,-3.3,4.7,0,,,,,
60,Not Mapped,0 - 9,0.5,0.0,5.2,-4.2,4.7,0,,,,,
61,Not Mapped,10 - 19,2.0,0.0,6.7,-2.7,4.7,0,,,,,
62,Not Mapped,20 - 29,1.5,0.0,6.2,-3.2,4.7,0,,,,,
63,Not Mapped,30 - 39,3.0,0.0,7.7,-1.7,4.7,0,,,,,
64,Not Mapped,40 - 49,-5.0,0.0,-0.2,-9.7,4.7,0,,,,,
65,Not Mapped,50 - 59,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
66,Not Mapped,60 - 69,1.9,0.0,6.7,-2.8,4.7,0,,,,,
67,Not Mapped,70 - 79,0.2,1.0,4.9,-4.5,4.7,0,,,,,
68,Not Mapped,80 - 89,-1.3,0.0,3.4,-6.0,4.7,0,,,,,
69,Not Mapped,90 - 99,-3.9,0.0,0.8,-8.7,4.7,0,,,,,
70,Emergency,0 - 9,-2.7,2.0,-0.3,-5.0,2.4,1,-0.7,2.0,-5.4,4.0,4.7
71,Emergency,10 - 19,4.5,4.0,6.8,2.1,2.4,1,4.2,4.0,-0.6,8.9,4.7
72,Emergency,20 - 29,7.7,4.0,10.0,5.3,2.4,1,4.4,4.0,-0.4,9.1,4.7
73,Emergency,30 - 39,5.4,12.0,7.7,3.0,2.4,1,4.0,12.0,-0.7,8.7,4.7
74,Emergency,40 - 49,67.6,63.0,70.0,65.3,2.4,1,61.9,63.0,57.2,66.6,4.7
75,Emergency,50 - 59,82.1,84.0,84.4,79.7,2.4,1,81.3,84.0,76.6,86.0,4.7
76,Emergency,60 - 69,102.4,101.0,104.8,100.0,2.4,1,102.6,101.0,97.9,107.3,4.7
77,Emergency,70 - 79,134.8,139.0,137.2,132.4,2.4,1,135.3,139.0,130.6,140.0,4.7
78,Emergency,80 - 89,102.0,101.0,104.4,99.6,2.4,1,94.5,101.0,89.7,99.2,4.7
79,Emergency,90 - 99,29.2,25.0,31.5,26.8,2.4,1,32.1,25.0,27.4,36.8,4.7
80,Urgent,0 - 9,0.7,1.0,3.1,-1.6,2.4,1,-5.2,1.0,-9.9,-0.5,4.7
81,Urgent,10 - 19,2.8,2.0,5.1,0.4,2.4,1,4.0,2.0,-0.7,8.7,4.7
82,Urgent,20 - 29,2.4,1.0,4.8,0.1,2.4,1,-2.8,1.0,-7.5,1.9,4.7
83,Urgent,30 - 39,5.7,6.0,8.1,3.4,2.4,1,3.7,6.0,-1.0,8.4,4.7
84,Urgent,40 - 49,11.1,13.0,13.4,8.7,2.4,1,11.2,13.0,6.5,15.9,4.7
85,Urgent,50 - 59,29.1,30.0,31.5,26.8,2.4,1,31.7,30.0,27.0,36.4,4.7
86,Urgent,60 - 69,56.5,56.0,58.9,54.1,2.4,1,55.8,56.0,51.0,60.5,4.7
