,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,-7.8,0.0,-3.0,-12.5,4.7,0,,,,,
1,Emergency,10 - 19,5.2,7.0,9.9,0.5,4.7,0,,,,,
2,Emergency,20 - 29,9.9,8.0,14.7,5.2,4.7,0,,,,,
3,Emergency,30 - 39,27.5,38.0,32.2,22.8,4.7,0,,,,,
4,Emergency,40 - 49,50.0,53.0,54.8,45.3,4.7,0,,,,,
5,Emergency,50 - 59,84.4,92.0,89.1,79.7,4.7,0,,,,,
6,Emergency,60 - 69,104.3,106.0,109.0,99.6,4.7,0,,,,,
7,Emergency,70 - 79,132.3,131.0,137.0,127.6,4.7,0,,,,,
8,Emergency,80 - 89,84.4,86.0,89.1,79.7,4.7,0,,,,,
9,Emergency,90 - 99,18.6,18.0,23.3,13.9,4.7,0,,,,,
10,Urgent,0 - 9,4.4,0.0,9.1,-0.3,4.7,0,,,,,
11,Urgent,10 - 19,0.6,5.0,5.3,-4.1,4.7,0,,,,,
12,Urgent,20 - 29,-0.4,3.0,4.3,-5.2,4.7,0,,,,,
13,Urgent,30 - 39,6.0,6.0,10.7,1.3,4.7,0,,,,,
14,Urgent,40 - 49,21.3,17.0,26.0,16.6,4.7,0,,,,,
15,Urgent,50 - 59,46.4,44.0,51.1,41.7,4.7,0,,,,,
16,Urgent,60 - 69,46.4,37.0,51.1,41.7,4.7,0,,,,,
17,Urgent,70 - 79,46.4,44.0,51.2,41.7,4.7,0,,,,,
18,Urgent,80 - 89,46.1,47.0,50.8,41.4,4.7,0,,,,,
19,Urgent,90 - 99,3.3,4.0,8.0,-1.4,4.7,0,,,,,
20,Elective,0 - 9,-2.0,0.0,2.7,-6.8,4.7,0,,,,,
21,Elective,10 - 19,5.1,1.0,9.8,0.4,4.7,0,,,,,
22,Elective,20 - 29,7.8,2.0,12.5,3.1,4.7,0,,,,,
23,Elective,30 - 39,16.5,14.0,21.2,11.7,4.7,0,,,,,
24,Elective,40 - 49,21.1,21.0,25.8,16.4,4.7,0,,,,,
25,Elective,50 - 59,31.4,35.0,36.1,26.6,4.7,0,,,,,
26,Elective,60 - 69,45.3,47.0,50.0,40.6,4.7,0,,,,,
27,Elective,70 - 79,47.1,49.0,51.8,42.4,4.7,0,,,,,
28,Elective,80 - 89,25.6,27.0,30.3,20.9,4.7,0,,,,,
29,Elective,90 - 99,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
30,Newborn,0 - 9,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
31,Newborn,10 - 19,3.1,0.0,7.8,-1.7,4.7,0,,,,,
32,Newborn,20 - 29,2.0,0.0,6.7,-2.7,4.7,0,,,,,
33,Newborn,30 - 39,4.0,0.0,8.7,-0.7,4.7,0,,,,,
34,Newborn,40 - 49,-2.1,0.0,2.6,-6.8,4.7,0,,,,,
