,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,13.1,4.0,17.8,8.3,4.7,0,,,,,
1,0 - 9,10-19,0.3,0.0,5.0,-4.4,4.7,0,,,,,
2,0 - 9,20-29,9.7,0.0,14.4,5.0,4.7,0,,,,,
3,0 - 9,30-39,1.9,0.0,6.6,-2.8,4.7,0,,,,,
4,0 - 9,40-49,1.7,0.0,6.4,-3.0,4.7,0,,,,,
5,0 - 9,50-89,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
6,10 - 19,1-9,-11.6,3.0,-6.9,-16.3,4.7,0,,,,,
7,10 - 19,10-19,-1.3,1.0,3.4,-6.0,4.7,0,,,,,
8,10 - 19,20-29,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
9,10 - 19,30-39,2.7,0.0,7.4,-2.0,4.7,0,,,,,
10,10 - 19,40-49,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
11,10 - 19,50-89,4.3,0.0,9.0,-0.4,4.7,0,,,,,
12,20 - 29,1-9,7.3,11.0,12.0,2.6,4.7,0,,,,,
13,20 - 29,10-19,5.7,5.0,10.4,1.0,4.7,0,,,,,
14,20 - 29,20-29,-11.4,2.0,-6.7,-16.1,4.7,0,,,,,
15,20 - 29,30-39,0.1,1.0,4.9,-4.6,4.7,0,,,,,
16,20 - 29,40-49,-8.1,0.0,-3.4,-12.8,4.7,0,,,,,
17,20 - 29,50-89,8.2,0.0,12.9,3.4,4.7,0,,,,,
18,30 - 39,1-9,18.6,11.0,23.3,13.9,4.7,0,,,,,
19,30 - 39,10-19,22.8,20.0,27.5,18.1,4.7,0,,,,,
20,30 - 39,20-29,13.4,9.0,18.1,8.7,4.7,0,,,,,
21,30 - 39,30-39,-1.5,2.0,3.2,-6.2,4.7,0,,,,,
22,30 - 39,40-49,-6.3,0.0,-1.6,-11.0,4.7,0,,,,,
23,30 - 39,50-89,1.8,1.0,6.5,-3.0,4.7,0,,,,,
24,40 - 49,1-9,29.1,27.0,33.8,24.4,4.7,0,,,,,
25,40 - 49,10-19,54.3,55.0,59.0,49.6,4.7,0,,,,,
26,40 - 49,20-29,26.2,26.0,30.9,21.5,4.7,0,,,,,
27,40 - 49,30-39,9.9,3.0,14.6,5.2,4.7,0,,,,,
28,40 - 49,40-49,0.1,0.0,4.9,-4.6,4.7,0,,,,,
29,40 - 49,50-89,-4.1,1.0,0.6,-8.8,4.7,0,,,,,
30,50 - 59,1-9,32.3,32.0,37.0,27.6,4.7,0,,,,,
31,50 - 59,10-19,80.2,80.0,84.9,75.5,4.7,0,,,,,
32,50 - 59,20-29,34.1,33.0,38.8,29.4,4.7,0,,,,,
33,50 - 59,30-39,9.3,10.0,14.0,4.6,4.7,0,,,,,
34,50 - 59,40-49,4.2,3.0,8.9,-0.5,4.7,0,,,,,
35,50 - 59,50-89,-0.8,0.0,3.9,-5.5,4.7,0,,,,,
36,60 - 69,1-9,38.6,36.0,43.3,33.8,4.7,0,,,,,
37,60 - 69,10-19,85.6,89.0,90.3,80.9,4.7,0,,,,,
38,60 - 69,20-29,57.0,58.0,61.8,52.3,4.7,0,,,,,
39,60 - 69,30-39,15.0,15.0,19.7,10.3,4.7,0,,,,,
40,60 - 69,40-49,3.6,2.0,8.3,-1.2,4.7,0,,,,,
41,60 - 69,50-89,-0.3,2.0,4.5,-5.0,4.7,0,,,,,
42,70 - 79,1-9,51.0,50.0,55.7,46.2,4.7,0,,,,,
43,70 - 79,10-19,150.2,145.0,154.9,145.5,4.7,0,,,,,
44,70 - 79,20-29,44.9,46.0,49.6,40.2,4.7,0,,,,,
45,70 - 79,30-39,13.1,12.0,17.8,8.4,4.7,0,,,,,
46,70 - 79,40-49,-2.2,1.0,2.5,-6.9,4.7,0,,,,,
47,70 - 79,50-89,1.0,1.0,5.7,-3.7,4.7,0,,,,,
48,80 - 89,1-9,47.0,41.0,51.8,42.3,4.7,0,,,,,
49,80 - 89,10-19,100.5,101.0,105.2,95.8,4.7,0,,,,,
50,80 - 89,20-29,34.6,31.0,39.3,29.9,4.7,0,,,,,
51,80 - 89,30-39,1.4,2.0,6.1,-3.3,4.7,0,,,,,
52,80 - 89,40-49,6.5,1.0,11.2,1.8,4.7,0,,,,,
53,80 - 89,50-89,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
54,90 - 99,1-9,10.5,10.0,15.2,5.8,4.7,0,,,,,
55,90 - 99,10-19,13.9,10.0,18.6,9.2,4.7,0,,,,,
56,90 - 99,20-29,10.3,6.0,15.0,5.6,4.7,0,,,,,
57,90 - 99,30-39,1.7,1.0,6.4,-3.0,4.7,0,,,,,
58,90 - 99,40-49,-5.9,0.0,-1.2,-10.6,4.7,0,,,,,
59,90 - 99,50-89,0.7,0.0,5.4,-4.0,4.7,0,,,,,
60,0 - 9,1-9,9.0,4.0,11.3,6.6,2.4,1,13.1,4.0,8.3,17.8,4.7
61,0 - 9,10-19,-0.4,0.0,2.0,-2.7,2.4,1,0.3,0.0,-4.4,5.0,4.7
62,0 - 9,20-29,6.1,0.0,8.5,3.8,2.4,1,9.7,0.0,5.0,14.4,4.7
63,0 - 9,30-39,-3.0,0.0,-0.6,-5.3,2.4,1,1.9,0.0,-2.8,6.6,4.7
64,0 - 9,40-49,-1.7,0.0,0.7,-4.0,2.4,1,1.7,0.0,-3.0,6.4,4.7
65,0 - 9,50-89,-0.6,0.0,1.7,-3.0,2.4,1,-2.8,0.0,-7.5,1.9,4.7
66,10 - 19,1-9,-4.1,3.0,-1.7,-6.4,2.4,1,-11.6,3.0,-16.3,-6.9,4.7
67,10 - 19,10-19,1.8,1.0,4.2,-0.6,2.4,1,-1.3,1.0,-6.0,3.4,4.7
68,10 - 19,20-29,-0.3,0.0,2.1,-2.6,2.4,1,-0.5,0.0,-5.2,4.2,4.7
69,10 - 19,30-39,3.0,0.0,5.3,0.6,2.4,1,2.7,0.0,-2.0,7.4,4.7
70,10 - 19,40-49,-1.5,0.0,0.8,-3.9,2.4,1,-3.1,0.0,-7.8,1.6,4.7
71,10 - 19,50-89,5.4,0.0,7.7,3.0,2.4,1,4.3,0.0,-0.4,9.0,4.7
72,20 - 29,1-9,7.1,11.0,9.5,4.8,2.4,1,7.3,11.0,2.6,12.0,4.7
73,20 - 29,10-19,4.8,5.0,7.2,2.5,2.4,1,5.7,5.0,1.0,10.4,4.7
74,20 - 29,20-29,-2.5,2.0,-0.1,-4.9,2.4,1,-11.4,2.0,-16.1,-6.7,4.7
75,20 - 29,30-39,-0.0,1.0,2.3,-2.4,2.4,1,0.1,1.0,-4.6,4.9,4.7
76,20 - 29,40-49,-5.7,0.0,-3.3,-8.0,2.4,1,-8.1,0.0,-12.8,-3.4,4.7
77,20 - 29,50-89,4.0,0.0,6.3,1.6,2.4,1,8.2,0.0,3.4,12.9,4.7
78,30 - 39,1-9,15.3,11.0,17.6,12.9,2.4,1,18.6,11.0,13.9,23.3,4.7
79,30 - 39,10-19,21.2,20.0,23.5,18.8,2.4,1,22.8,20.0,18.1,27.5,4.7
80,30 - 39,20-29,10.1,9.0,12.5,7.8,2.4,1,13.4,9.0,8.7,18.1,4.7
81,30 - 39,30-39,-0.1,2.0,2.3,-2.4,2.4,1,-1.5,2.0,-6.2,3.2,4.7
82,30 - 39,40-49,-3.5,0.0,-1.1,-5.8,2.4,1,-6.3,0.0,-11.0,-1.6,4.7
83,30 - 39,50-89,4.1,1.0,6.5,1.7,2.4,1,1.8,1.0,-3.0,6.5,4.7
84,40 - 49,1-9,28.5,27.0,30.9,26.2,2.4,1,29.1,27.0,24.4,33.8,4.7
85,40 - 49,10-19,51.7,55.0,54.0,49.3,2.4,1,54.3,55.0,49.6,59.0,4.7
86,40 - 49,20-29,27.1,26.0,29.5,24.8,2.4,1,26.2,26.0,21.5,30.9,4.7
87,40 - 49,30-39,7.2,3.0,9.6,4.8,2.4,1,9.9,3.0,5.2,14.6,4.7
88,40 - 49,40-49,1.8,0.0,4.2,-0.5,2.4,1,0.1,0.0,-4.6,4.9,4.7
89,40 - 49,50-89,-2.2,1.0,0.2,-4.5,2.4,1,-4.1,1.0,-8.8,0.6,4.7
90,50 - 59,1-9,32.6,32.0,34.9,30.2,2.4,1,32.3,32.0,27.6,37.0,4.7
91,50 - 59,10-19,77.8,80.0,80.1,75.4,2.4,1,80.2,80.0,75.5,84.9,4.7
92,50 - 59,20-29,34.8,33.0,37.1,32.4,2.4,1,34.1,33.0,29.4,38.8,4.7
93,50 - 59,30-39,11.1,10.0,13.5,8.8,2.4,1,9.3,10.0,4.6,14.0,4.7
94,50 - 59,40-49,3.3,3.0,5.6,0.9,2.4,1,4.2,3.0,-0.5,8.9,4.7
95,50 - 59,50-89,3.3,0.0,5.6,0.9,2.4,1,-0.8,0.0,-5.5,3.9,4.7
96,60 - 69,1-9,40.9,36.0,43.2,38.5,2.4,1,38.6,36.0,33.8,43.3,4.7
97,60 - 69,10-19,87.2,89.0,89.5,84.8,2.4,1,85.6,89.0,80.9,90.3,4.7
98,60 - 69,20-29,58.8,58.0,61.1,56.4,2.4,1,57.0,58.0,52.3,61.8,4.7
99,60 - 69,30-39,16.2,15.0,18.5,13.8,2.4,1,15.0,15.0,10.3,19.7,4.7
100,60 - 69,40-49,8.2,2.0,10.6,5.9,2.4,1,3.6,2.0,-1.2,8.3,4.7
101,60 - 69,50-89,5.8,2.0,8.1,3.4,2.4,1,-0.3,2.0,-5.0,4.5,4.7
102,70 - 79,1-9,44.7,50.0,47.1,42.4,2.4,1,51.0,50.0,46.2,55.7,4.7
103,70 - 79,10-19,147.8,145.0,150.1,145.4,2.4,1,150.2,145.0,145.5,154.9,4.7
104,70 - 79,20-29,41.0,46.0,43.3,38.6,2.4,1,44.9,46.0,40.2,49.6,4.7
105,70 - 79,30-39,13.2,12.0,15.5,10.8,2.4,1,13.1,12.0,8.4,17.8,4.7
106,70 - 79,40-49,-0.5,1.0,1.9,-2.8,2.4,1,-2.2,1.0,-6.9,2.5,4.7
107,70 - 79,50-89,1.7,1.0,4.0,-0.7,2.4,1,1.0,1.0,-3.7,5.7,4.7
108,80 - 89,1-9,43.0,41.0,45.4,40.7,2.4,1,47.0,41.0,42.3,51.8,4.7
