,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,50.1,63.0,54.8,45.4,4.7,0,,,,,
1,African American,3-4,77.0,77.0,81.7,72.3,4.7,0,,,,,
2,African American,5-6,37.0,37.0,41.7,32.3,4.7,0,,,,,
3,African American,7-8,20.6,25.0,25.3,15.9,4.7,0,,,,,
4,African American,9-10,4.8,9.0,9.5,0.1,4.7,0,,,,,
5,African American,11-12,5.2,8.0,10.0,0.5,4.7,0,,,,,
6,African American,13-14,2.4,3.0,7.1,-2.3,4.7,0,,,,,
7,Asian,1-2,-4.9,1.0,-0.2,-9.7,4.7,0,,,,,
8,Asian,3-4,2.8,4.0,7.5,-1.9,4.7,0,,,,,
9,Asian,5-6,-1.7,2.0,3.1,-6.4,4.7,0,,,,,
10,Asian,7-8,4.7,0.0,9.4,0.0,4.7,0,,,,,
11,Asian,9-10,7.7,0.0,12.5,3.0,4.7,0,,,,,
12,Asian,11-12,-8.5,0.0,-3.8,-13.2,4.7,0,,,,,
13,Asian,13-14,1.7,0.0,6.4,-3.0,4.7,0,,,,,
14,Caucasian,1-2,231.3,226.0,236.0,226.6,4.7,0,,,,,
15,Caucasian,3-4,234.4,233.0,239.1,229.6,4.7,0,,,,,
16,Caucasian,5-6,132.3,132.0,137.0,127.6,4.7,0,,,,,
17,Caucasian,7-8,73.7,72.0,78.4,69.0,4.7,0,,,,,
18,Caucasian,9-10,37.1,38.0,41.9,32.4,4.7,0,,,,,
19,Caucasian,11-12,20.6,19.0,25.4,15.9,4.7,0,,,,,
20,Caucasian,13-14,17.5,14.0,22.2,12.8,4.7,0,,,,,
21,Hispanic,1-2,13.1,6.0,17.8,8.4,4.7,0,,,,,
22,Hispanic,3-4,6.1,3.0,10.8,1.4,4.7,0,,,,,
23,Hispanic,5-6,14.3,3.0,19.1,9.6,4.7,0,,,,,
24,Hispanic,7-8,2.4,6.0,7.1,-2.3,4.7,0,,,,,
25,Hispanic,9-10,2.1,2.0,6.9,-2.6,4.7,0,,,,,
26,Hispanic,11-12,8.4,1.0,13.1,3.7,4.7,0,,,,,
27,Hispanic,13-14,1.2,0.0,5.9,-3.5,4.7,0,,,,,
28,Other,1-2,19.5,10.0,24.2,14.8,4.7,0,,,,,
29,Other,3-4,-2.3,1.0,2.4,-7.0,4.7,0,,,,,
30,Other,5-6,-1.4,1.0,3.3,-6.1,4.7,0,,,,,
