,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",-3.8,4.0,1.0,-8.5,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",0.2,2.0,4.9,-4.5,4.7,0,,,,,
2,15-24,Widowed,1.9,0.0,6.7,-2.8,4.7,0,,,,,
3,15-24,Divorced,-10.5,0.0,-5.8,-15.2,4.7,0,,,,,
4,15-24,Separated,-3.0,0.0,1.8,-7.7,4.7,0,,,,,
5,15-24,Never married,129.4,137.0,134.1,124.7,4.7,0,,,,,
6,25-34,"Now married, spouse present",48.3,47.0,53.0,43.6,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",4.4,6.0,9.1,-0.3,4.7,0,,,,,
8,25-34,Widowed,0.6,0.0,5.3,-4.1,4.7,0,,,,,
9,25-34,Divorced,-4.6,2.0,0.1,-9.3,4.7,0,,,,,
10,25-34,Separated,5.4,1.0,10.1,0.7,4.7,0,,,,,
11,25-34,Never married,97.6,102.0,102.3,92.9,4.7,0,,,,,
12,35-44,"Now married, spouse present",84.0,84.0,88.7,79.3,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",12.3,8.0,17.0,7.6,4.7,0,,,,,
14,35-44,Widowed,2.4,0.0,7.1,-2.3,4.7,0,,,,,
15,35-44,Divorced,19.4,10.0,24.1,14.7,4.7,0,,,,,
16,35-44,Separated,9.4,7.0,14.2,4.7,4.7,0,,,,,
17,35-44,Never married,42.1,43.0,46.8,37.4,4.7,0,,,,,
18,45-54,"Now married, spouse present",83.9,82.0,88.6,79.1,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",2.0,4.0,6.7,-2.8,4.7,0,,,,,
20,45-54,Widowed,7.1,3.0,11.8,2.4,4.7,0,,,,,
21,45-54,Divorced,23.8,18.0,28.5,19.1,4.7,0,,,,,
22,45-54,Separated,9.5,7.0,14.2,4.7,4.7,0,,,,,
23,45-54,Never married,33.1,33.0,37.8,28.4,4.7,0,,,,,
24,55-64,"Now married, spouse present",90.3,92.0,95.0,85.6,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",5.1,7.0,9.8,0.4,4.7,0,,,,,
26,55-64,Widowed,6.6,8.0,11.3,1.9,4.7,0,,,,,
27,55-64,Divorced,24.7,25.0,29.4,20.0,4.7,0,,,,,
28,55-64,Separated,7.3,7.0,12.0,2.6,4.7,0,,,,,
29,55-64,Never married,22.2,25.0,26.9,17.5,4.7,0,,,,,
30,65-74,"Now married, spouse present",93.0,91.0,97.7,88.3,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",8.0,4.0,12.7,3.3,4.7,0,,,,,
32,65-74,Widowed,21.9,24.0,26.6,17.2,4.7,0,,,,,
33,65-74,Divorced,24.9,24.0,29.6,20.2,4.7,0,,,,,
34,65-74,Separated,2.2,1.0,6.9,-2.5,4.7,0,,,,,
35,65-74,Never married,16.1,17.0,20.9,11.4,4.7,0,,,,,
36,75-84,"Now married, spouse present",23.2,20.0,27.9,18.5,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",2.7,2.0,7.5,-2.0,4.7,0,,,,,
38,75-84,Widowed,20.3,15.0,25.0,15.6,4.7,0,,,,,
39,75-84,Divorced,12.9,13.0,17.6,8.2,4.7,0,,,,,
40,75-84,Separated,3.6,0.0,8.3,-1.2,4.7,0,,,,,
41,75-84,Never married,7.2,3.0,11.9,2.5,4.7,0,,,,,
42,85-99,"Now married, spouse present",9.0,4.0,13.7,4.3,4.7,0,,,,,
