,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,145.7,152.0,150.4,141.0,4.7,0,,,,,
1,Emergency,3-4,173.7,171.0,178.4,169.0,4.7,0,,,,,
2,Emergency,5-6,87.6,88.0,92.3,82.8,4.7,0,,,,,
3,Emergency,7-8,59.0,57.0,63.7,54.3,4.7,0,,,,,
4,Emergency,9-10,35.4,25.0,40.1,30.7,4.7,0,,,,,
5,Emergency,11-12,28.3,28.0,33.0,23.6,4.7,0,,,,,
6,Emergency,13-14,14.0,14.0,18.7,9.3,4.7,0,,,,,
7,Urgent,1-2,39.9,42.0,44.6,35.2,4.7,0,,,,,
8,Urgent,3-4,59.0,59.0,63.7,54.3,4.7,0,,,,,
9,Urgent,5-6,43.5,42.0,48.2,38.8,4.7,0,,,,,
10,Urgent,7-8,25.1,22.0,29.8,20.4,4.7,0,,,,,
11,Urgent,9-10,17.1,18.0,21.8,12.4,4.7,0,,,,,
12,Urgent,11-12,2.2,9.0,7.0,-2.5,4.7,0,,,,,
13,Urgent,13-14,2.2,4.0,6.9,-2.6,4.7,0,,,,,
14,Elective,1-2,70.2,73.0,74.9,65.4,4.7,0,,,,,
15,Elective,3-4,58.7,59.0,63.4,54.0,4.7,0,,,,,
16,Elective,5-6,48.6,42.0,53.3,43.9,4.7,0,,,,,
17,Elective,7-8,5.0,15.0,9.7,0.3,4.7,0,,,,,
18,Elective,9-10,7.7,7.0,12.5,3.0,4.7,0,,,,,
19,Elective,11-12,14.7,7.0,19.4,10.0,4.7,0,,,,,
20,Elective,13-14,1.4,4.0,6.1,-3.3,4.7,0,,,,,
21,Newborn,1-2,5.7,0.0,10.4,1.0,4.7,0,,,,,
22,Newborn,3-4,-4.4,0.0,0.3,-9.1,4.7,0,,,,,
23,Newborn,5-6,0.2,0.0,4.9,-4.6,4.7,0,,,,,
24,Newborn,7-8,2.3,0.0,7.0,-2.4,4.7,0,,,,,
25,Newborn,9-10,1.4,0.0,6.1,-3.3,4.7,0,,,,,
26,Newborn,11-12,-0.2,0.0,4.5,-4.9,4.7,0,,,,,
27,Newborn,13-14,-3.0,0.0,1.7,-7.7,4.7,0,,,,,
28,Not Available,1-2,24.0,25.0,28.7,19.3,4.7,0,,,,,
29,Not Available,3-4,18.8,19.0,23.6,14.1,4.7,0,,,,,
30,Not Available,5-6,5.0,6.0,9.7,0.2,4.7,0,,,,,
31,Not Available,7-8,9.8,6.0,14.5,5.0,4.7,0,,,,,
32,Not Available,9-10,4.6,2.0,9.3,-0.1,4.7,0,,,,,
33,Not Available,11-12,0.4,2.0,5.2,-4.3,4.7,0,,,,,
34,Not Available,13-14,0.5,0.0,5.2,-4.2,4.7,0,,,,,
35,Trauma Center,1-2,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
36,Trauma Center,3-4,-1.2,0.0,3.6,-5.9,4.7,0,,,,,
37,Trauma Center,5-6,1.3,0.0,6.0,-3.5,4.7,0,,,,,
38,Trauma Center,7-8,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
39,Trauma Center,9-10,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
40,Trauma Center,11-12,1.9,0.0,6.6,-2.8,4.7,0,,,,,
41,Trauma Center,13-14,-0.6,0.0,4.1,-5.4,4.7,0,,,,,
42,Not Mapped,1-2,-3.4,0.0,1.3,-8.1,4.7,0,,,,,
43,Not Mapped,3-4,4.2,2.0,8.9,-0.5,4.7,0,,,,,
44,Not Mapped,5-6,-0.6,0.0,4.2,-5.3,4.7,0,,,,,
45,Not Mapped,7-8,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
46,Not Mapped,9-10,1.0,0.0,5.8,-3.7,4.7,0,,,,,
47,Not Mapped,11-12,0.2,0.0,4.9,-4.6,4.7,0,,,,,
48,Not Mapped,13-14,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
49,Emergency,1-2,149.2,152.0,151.6,146.9,2.4,1,145.7,152.0,141.0,150.4,4.7
50,Emergency,3-4,171.1,171.0,173.5,168.8,2.4,1,173.7,171.0,169.0,178.4,4.7
51,Emergency,5-6,92.2,88.0,94.6,89.9,2.4,1,87.6,88.0,82.8,92.3,4.7
52,Emergency,7-8,61.7,57.0,64.0,59.3,2.4,1,59.0,57.0,54.3,63.7,4.7
53,Emergency,9-10,32.2,25.0,34.6,29.8,2.4,1,35.4,25.0,30.7,40.1,4.7
54,Emergency,11-12,28.0,28.0,30.4,25.7,2.4,1,28.3,28.0,23.6,33.0,4.7
55,Emergency,13-14,15.9,14.0,18.3,13.6,2.4,1,14.0,14.0,9.3,18.7,4.7
56,Urgent,1-2,40.2,42.0,42.5,37.8,2.4,1,39.9,42.0,35.2,44.6,4.7
57,Urgent,3-4,58.9,59.0,61.2,56.5,2.4,1,59.0,59.0,54.3,63.7,4.7
58,Urgent,5-6,43.8,42.0,46.2,41.5,2.4,1,43.5,42.0,38.8,48.2,4.7
59,Urgent,7-8,23.5,22.0,25.9,21.2,2.4,1,25.1,22.0,20.4,29.8,4.7
60,Urgent,9-10,15.4,18.0,17.7,13.0,2.4,1,17.1,18.0,12.4,21.8,4.7
61,Urgent,11-12,5.0,9.0,7.4,2.6,2.4,1,2.2,9.0,-2.5,7.0,4.7
62,Urgent,13-14,2.4,4.0,4.7,0.0,2.4,1,2.2,4.0,-2.6,6.9,4.7
63,Elective,1-2,69.7,73.0,72.1,67.4,2.4,1,70.2,73.0,65.4,74.9,4.7
64,Elective,3-4,58.5,59.0,60.9,56.2,2.4,1,58.7,59.0,54.0,63.4,4.7
65,Elective,5-6,45.1,42.0,47.5,42.8,2.4,1,48.6,42.0,43.9,53.3,4.7
66,Elective,7-8,11.3,15.0,13.7,9.0,2.4,1,5.0,15.0,0.3,9.7,4.7
67,Elective,9-10,8.9,7.0,11.2,6.5,2.4,1,7.7,7.0,3.0,12.5,4.7
68,Elective,11-12,10.9,7.0,13.3,8.6,2.4,1,14.7,7.0,10.0,19.4,4.7
69,Elective,13-14,2.6,4.0,4.9,0.2,2.4,1,1.4,4.0,-3.3,6.1,4.7
70,Newborn,1-2,5.3,0.0,7.7,3.0,2.4,1,5.7,0.0,1.0,10.4,4.7
71,Newborn,3-4,-1.5,0.0,0.9,-3.8,2.4,1,-4.4,0.0,-9.1,0.3,4.7
72,Newborn,5-6,1.6,0.0,4.0,-0.7,2.4,1,0.2,0.0,-4.6,4.9,4.7
73,Newborn,7-8,4.7,0.0,7.0,2.3,2.4,1,2.3,0.0,-2.4,7.0,4.7
74,Newborn,9-10,-3.5,0.0,-1.1,-5.9,2.4,1,1.4,0.0,-3.3,6.1,4.7
75,Newborn,11-12,2.2,0.0,4.6,-0.1,2.4,1,-0.2,0.0,-4.9,4.5,4.7
76,Newborn,13-14,-2.5,0.0,-0.1,-4.8,2.4,1,-3.0,0.0,-7.7,1.7,4.7
77,Not Available,1-2,26.0,25.0,28.4,23.7,2.4,1,24.0,25.0,19.3,28.7,4.7
78,Not Available,3-4,19.9,19.0,22.2,17.5,2.4,1,18.8,19.0,14.1,23.6,4.7
79,Not Available,5-6,3.4,6.0,5.8,1.1,2.4,1,5.0,6.0,0.2,9.7,4.7
80,Not Available,7-8,8.5,6.0,10.9,6.2,2.4,1,9.8,6.0,5.0,14.5,4.7
81,Not Available,9-10,-0.0,2.0,2.3,-2.4,2.4,1,4.6,2.0,-0.1,9.3,4.7
82,Not Available,11-12,0.7,2.0,3.0,-1.7,2.4,1,0.4,2.0,-4.3,5.2,4.7
83,Not Available,13-14,1.9,0.0,4.3,-0.5,2.4,1,0.5,0.0,-4.2,5.2,4.7
84,Trauma Center,1-2,0.2,0.0,2.6,-2.2,2.4,1,-0.3,0.0,-5.0,4.4,4.7
85,Trauma Center,3-4,0.4,0.0,2.8,-1.9,2.4,1,-1.2,0.0,-5.9,3.6,4.7
86,Trauma Center,5-6,2.3,0.0,4.7,-0.0,2.4,1,1.3,0.0,-3.5,6.0,4.7
87,Trauma Center,7-8,0.7,0.0,3.1,-1.6,2.4,1,-1.0,0.0,-5.7,3.7,4.7
88,Trauma Center,9-10,-7.2,0.0,-4.9,-9.6,2.4,1,-0.3,0.0,-5.0,4.4,4.7
89,Trauma Center,11-12,0.7,0.0,3.0,-1.7,2.4,1,1.9,0.0,-2.8,6.6,4.7
90,Trauma Center,13-14,-0.4,0.0,1.9,-2.8,2.4,1,-0.6,0.0,-5.4,4.1,4.7
91,Not Mapped,1-2,-1.6,0.0,0.8,-3.9,2.4,1,-3.4,0.0,-8.1,1.3,4.7
92,Not Mapped,3-4,3.5,2.0,5.9,1.1,2.4,1,4.2,2.0,-0.5,8.9,4.7
93,Not Mapped,5-6,1.5,0.0,3.9,-0.9,2.4,1,-0.6,0.0,-5.3,4.2,4.7
94,Not Mapped,7-8,3.3,0.0,5.7,1.0,2.4,1,-0.5,0.0,-5.2,4.2,4.7
95,Not Mapped,9-10,-1.7,0.0,0.6,-4.1,2.4,1,1.0,0.0,-3.7,5.8,4.7
96,Not Mapped,11-12,-1.2,0.0,1.1,-3.6,2.4,1,0.2,0.0,-4.6,4.9,4.7
97,Not Mapped,13-14,0.3,0.0,2.7,-2.0,2.4,1,-0.6,0.0,-5.3,4.1,4.7
98,Emergency,1-2,153.5,152.0,155.0,151.9,1.6,2,149.2,152.0,146.9,151.6,2.4
99,Emergency,3-4,170.4,171.0,172.0,168.8,1.6,2,171.1,171.0,168.8,173.5,2.4
100,Emergency,5-6,89.6,88.0,91.2,88.0,1.6,2,92.2,88.0,89.9,94.6,2.4
101,Emergency,7-8,61.7,57.0,63.2,60.1,1.6,2,61.7,57.0,59.3,64.0,2.4
102,Emergency,9-10,31.7,25.0,33.3,30.1,1.6,2,32.2,25.0,29.8,34.6,2.4
103,Emergency,11-12,27.0,28.0,28.6,25.4,1.6,2,28.0,28.0,25.7,30.4,2.4
104,Emergency,13-14,15.1,14.0,16.7,13.6,1.6,2,15.9,14.0,13.6,18.3,2.4
105,Urgent,1-2,42.1,42.0,43.6,40.5,1.6,2,40.2,42.0,37.8,42.5,2.4
106,Urgent,3-4,57.7,59.0,59.3,56.1,1.6,2,58.9,59.0,56.5,61.2,2.4
107,Urgent,5-6,43.7,42.0,45.2,42.1,1.6,2,43.8,42.0,41.5,46.2,2.4
108,Urgent,7-8,24.1,22.0,25.6,22.5,1.6,2,23.5,22.0,21.2,25.9,2.4
109,Urgent,9-10,16.4,18.0,17.9,14.8,1.6,2,15.4,18.0,13.0,17.7,2.4
110,Urgent,11-12,5.1,9.0,6.7,3.5,1.6,2,5.0,9.0,2.6,7.4,2.4
111,Urgent,13-14,-0.0,4.0,1.5,-1.6,1.6,2,2.4,4.0,0.0,4.7,2.4
112,Elective,1-2,71.9,73.0,73.5,70.3,1.6,2,69.7,73.0,67.4,72.1,2.4
113,Elective,3-4,56.0,59.0,57.6,54.4,1.6,2,58.5,59.0,56.2,60.9,2.4
114,Elective,5-6,39.5,42.0,41.1,37.9,1.6,2,45.1,42.0,42.8,47.5,2.4
115,Elective,7-8,12.2,15.0,13.8,10.6,1.6,2,11.3,15.0,9.0,13.7,2.4
116,Elective,9-10,6.0,7.0,7.5,4.4,1.6,2,8.9,7.0,6.5,11.2,2.4
117,Elective,11-12,8.3,7.0,9.8,6.7,1.6,2,10.9,7.0,8.6,13.3,2.4
118,Elective,13-14,-0.4,4.0,1.2,-1.9,1.6,2,2.6,4.0,0.2,4.9,2.4
