,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,19.1,19.0,23.8,14.4,4.7,0,,,,,
1,Strongly disagree,Instructor 2,11.6,9.0,16.3,6.9,4.7,0,,,,,
2,Strongly disagree,Instructor 3,38.5,34.0,43.2,33.8,4.7,0,,,,,
3,Disagree,Instructor 1,22.2,36.0,26.9,17.5,4.7,0,,,,,
4,Disagree,Instructor 2,22.4,24.0,27.1,17.7,4.7,0,,,,,
5,Disagree,Instructor 3,24.1,24.0,28.8,19.4,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,23.5,25.0,28.2,18.8,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,61.3,61.0,66.0,56.6,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,85.3,88.0,90.0,80.6,4.7,0,,,,,
9,Agree,Instructor 1,55.2,52.0,59.9,50.5,4.7,0,,,,,
10,Agree,Instructor 2,106.3,106.0,111.0,101.6,4.7,0,,,,,
11,Agree,Instructor 3,63.2,78.0,67.9,58.5,4.7,0,,,,,
12,Strongly agree,Instructor 1,178.4,177.0,183.1,173.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,167.1,170.0,171.8,162.4,4.7,0,,,,,
14,Strongly agree,Instructor 3,103.7,97.0,108.4,99.0,4.7,0,,,,,
15,Strongly disagree,Instructor 1,19.8,19.0,22.1,17.4,2.4,1,19.1,19.0,14.4,23.8,4.7
16,Strongly disagree,Instructor 2,9.2,9.0,11.6,6.9,2.4,1,11.6,9.0,6.9,16.3,4.7
17,Strongly disagree,Instructor 3,37.1,34.0,39.5,34.8,2.4,1,38.5,34.0,33.8,43.2,4.7
18,Disagree,Instructor 1,29.7,36.0,32.1,27.4,2.4,1,22.2,36.0,17.5,26.9,4.7
19,Disagree,Instructor 2,21.5,24.0,23.9,19.2,2.4,1,22.4,24.0,17.7,27.1,4.7
20,Disagree,Instructor 3,26.5,24.0,28.9,24.2,2.4,1,24.1,24.0,19.4,28.8,4.7
21,Neither agree nor disagree,Instructor 1,21.3,25.0,23.6,18.9,2.4,1,23.5,25.0,18.8,28.2,4.7
22,Neither agree nor disagree,Instructor 2,62.3,61.0,64.6,59.9,2.4,1,61.3,61.0,56.6,66.0,4.7
23,Neither agree nor disagree,Instructor 3,83.2,88.0,85.5,80.8,2.4,1,85.3,88.0,80.6,90.0,4.7
24,Agree,Instructor 1,54.6,52.0,57.0,52.3,2.4,1,55.2,52.0,50.5,59.9,4.7
25,Agree,Instructor 2,105.8,106.0,108.2,103.4,2.4,1,106.3,106.0,101.6,111.0,4.7
26,Agree,Instructor 3,77.4,78.0,79.7,75.0,2.4,1,63.2,78.0,58.5,67.9,4.7
27,Strongly agree,Instructor 1,177.5,177.0,179.9,175.2,2.4,1,178.4,177.0,173.7,183.1,4.7
28,Strongly agree,Instructor 2,166.9,170.0,169.3,164.6,2.4,1,167.1,170.0,162.4,171.8,4.7
29,Strongly agree,Instructor 3,99.8,97.0,102.1,97.4,2.4,1,103.7,97.0,99.0,108.4,4.7
30,Strongly disagree,Instructor 1,20.2,19.0,21.8,18.6,1.6,2,19.8,19.0,17.4,22.1,2.4
31,Strongly disagree,Instructor 2,11.6,9.0,13.1,10.0,1.6,2,9.2,9.0,6.9,11.6,2.4
32,Strongly disagree,Instructor 3,34.9,34.0,36.5,33.3,1.6,2,37.1,34.0,34.8,39.5,2.4
33,Disagree,Instructor 1,30.9,36.0,32.5,29.3,1.6,2,29.7,36.0,27.4,32.1,2.4
34,Disagree,Instructor 2,20.9,24.0,22.4,19.3,1.6,2,21.5,24.0,19.2,23.9,2.4
35,Disagree,Instructor 3,31.0,24.0,32.5,29.4,1.6,2,26.5,24.0,24.2,28.9,2.4
36,Neither agree nor disagree,Instructor 1,21.7,25.0,23.3,20.2,1.6,2,21.3,25.0,18.9,23.6,2.4
37,Neither agree nor disagree,Instructor 2,60.2,61.0,61.7,58.6,1.6,2,62.3,61.0,59.9,64.6,2.4
38,Neither agree nor disagree,Instructor 3,84.8,88.0,86.4,83.2,1.6,2,83.2,88.0,80.8,85.5,2.4
39,Agree,Instructor 1,53.6,52.0,55.2,52.1,1.6,2,54.6,52.0,52.3,57.0,2.4
40,Agree,Instructor 2,106.2,106.0,107.7,104.6,1.6,2,105.8,106.0,103.4,108.2,2.4
41,Agree,Instructor 3,77.9,78.0,79.5,76.3,1.6,2,77.4,78.0,75.0,79.7,2.4
42,Strongly agree,Instructor 1,176.0,177.0,177.6,174.5,1.6,2,177.5,177.0,175.2,179.9,2.4
43,Strongly agree,Instructor 2,168.0,170.0,169.6,166.5,1.6,2,166.9,170.0,164.6,169.3,2.4
44,Strongly agree,Instructor 3,97.3,97.0,98.8,95.7,1.6,2,99.8,97.0,97.4,102.1,2.4
45,Strongly disagree,Instructor 1,19.9,19.0,21.1,18.7,1.2,3,20.2,19.0,18.6,21.8,1.6
46,Strongly disagree,Instructor 2,11.1,9.0,12.2,9.9,1.2,3,11.6,9.0,10.0,13.1,1.6
47,Strongly disagree,Instructor 3,35.0,34.0,36.1,33.8,1.2,3,34.9,34.0,33.3,36.5,1.6
48,Disagree,Instructor 1,31.5,36.0,32.6,30.3,1.2,3,30.9,36.0,29.3,32.5,1.6
49,Disagree,Instructor 2,21.5,24.0,22.7,20.3,1.2,3,20.9,24.0,19.3,22.4,1.6
50,Disagree,Instructor 3,27.7,24.0,28.9,26.6,1.2,3,31.0,24.0,29.4,32.5,1.6
51,Neither agree nor disagree,Instructor 1,22.7,25.0,23.8,21.5,1.2,3,21.7,25.0,20.2,23.3,1.6
52,Neither agree nor disagree,Instructor 2,59.7,61.0,60.9,58.5,1.2,3,60.2,61.0,58.6,61.7,1.6
53,Neither agree nor disagree,Instructor 3,83.4,88.0,84.6,82.2,1.2,3,84.8,88.0,83.2,86.4,1.6
54,Agree,Instructor 1,55.4,52.0,56.6,54.3,1.2,3,53.6,52.0,52.1,55.2,1.6
55,Agree,Instructor 2,106.6,106.0,107.8,105.5,1.2,3,106.2,106.0,104.6,107.7,1.6
