,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,1.2,0.0,5.9,-3.5,4.7,0,,,,,
1,0 - 9,10-19,0.0,0.0,4.8,-4.7,4.7,0,,,,,
2,0 - 9,20-29,4.7,0.0,9.4,0.0,4.7,0,,,,,
3,0 - 9,30-39,-3.4,0.0,1.3,-8.1,4.7,0,,,,,
4,0 - 9,40-49,4.1,0.0,8.8,-0.7,4.7,0,,,,,
5,0 - 9,50-89,2.3,0.0,7.0,-2.4,4.7,0,,,,,
6,10 - 19,1-9,23.4,11.0,28.1,18.7,4.7,0,,,,,
7,10 - 19,10-19,-0.2,2.0,4.5,-4.9,4.7,0,,,,,
8,10 - 19,20-29,-9.6,0.0,-4.9,-14.3,4.7,0,,,,,
9,10 - 19,30-39,1.1,0.0,5.8,-3.7,4.7,0,,,,,
10,10 - 19,40-49,4.0,0.0,8.7,-0.8,4.7,0,,,,,
11,10 - 19,50-89,2.1,0.0,6.8,-2.6,4.7,0,,,,,
12,20 - 29,1-9,2.0,7.0,6.7,-2.7,4.7,0,,,,,
13,20 - 29,10-19,5.3,7.0,10.0,0.6,4.7,0,,,,,
14,20 - 29,20-29,1.6,0.0,6.3,-3.2,4.7,0,,,,,
15,20 - 29,30-39,4.3,0.0,9.0,-0.4,4.7,0,,,,,
16,20 - 29,40-49,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
17,20 - 29,50-89,1.3,0.0,6.0,-3.5,4.7,0,,,,,
18,30 - 39,1-9,13.8,15.0,18.5,9.1,4.7,0,,,,,
19,30 - 39,10-19,37.9,35.0,42.6,33.2,4.7,0,,,,,
20,30 - 39,20-29,12.3,9.0,17.0,7.6,4.7,0,,,,,
21,30 - 39,30-39,-0.1,3.0,4.6,-4.8,4.7,0,,,,,
22,30 - 39,40-49,7.6,0.0,12.4,2.9,4.7,0,,,,,
23,30 - 39,50-89,-0.2,0.0,4.6,-4.9,4.7,0,,,,,
24,40 - 49,1-9,18.1,21.0,22.8,13.4,4.7,0,,,,,
25,40 - 49,10-19,48.2,45.0,52.9,43.5,4.7,0,,,,,
26,40 - 49,20-29,18.5,20.0,23.2,13.8,4.7,0,,,,,
27,40 - 49,30-39,5.2,7.0,9.9,0.5,4.7,0,,,,,
28,40 - 49,40-49,-0.7,1.0,4.0,-5.4,4.7,0,,,,,
29,40 - 49,50-89,6.6,3.0,11.3,1.8,4.7,0,,,,,
30,50 - 59,1-9,29.8,33.0,34.5,25.1,4.7,0,,,,,
31,50 - 59,10-19,97.9,96.0,102.6,93.2,4.7,0,,,,,
32,50 - 59,20-29,35.1,34.0,39.8,30.4,4.7,0,,,,,
33,50 - 59,30-39,11.2,11.0,15.9,6.5,4.7,0,,,,,
34,50 - 59,40-49,4.5,4.0,9.2,-0.2,4.7,0,,,,,
35,50 - 59,50-89,-10.3,2.0,-5.6,-15.1,4.7,0,,,,,
36,60 - 69,1-9,39.2,39.0,44.0,34.5,4.7,0,,,,,
37,60 - 69,10-19,87.9,94.0,92.6,83.1,4.7,0,,,,,
38,60 - 69,20-29,38.0,50.0,42.7,33.3,4.7,0,,,,,
39,60 - 69,30-39,8.0,10.0,12.8,3.3,4.7,0,,,,,
40,60 - 69,40-49,22.5,5.0,27.2,17.8,4.7,0,,,,,
41,60 - 69,50-89,-1.7,1.0,3.1,-6.4,4.7,0,,,,,
42,70 - 79,1-9,24.6,36.0,29.3,19.9,4.7,0,,,,,
43,70 - 79,10-19,126.7,128.0,131.4,122.0,4.7,0,,,,,
44,70 - 79,20-29,66.2,63.0,70.9,61.5,4.7,0,,,,,
45,70 - 79,30-39,5.2,8.0,9.9,0.5,4.7,0,,,,,
46,70 - 79,40-49,12.8,6.0,17.5,8.1,4.7,0,,,,,
47,70 - 79,50-89,13.6,1.0,18.3,8.9,4.7,0,,,,,
48,80 - 89,1-9,24.8,22.0,29.5,20.1,4.7,0,,,,,
49,80 - 89,10-19,110.5,109.0,115.3,105.8,4.7,0,,,,,
50,80 - 89,20-29,35.1,35.0,39.8,30.4,4.7,0,,,,,
51,80 - 89,30-39,2.9,5.0,7.6,-1.8,4.7,0,,,,,
