,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",1.2,3.0,6.0,-3.5,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",1.2,1.0,5.9,-3.5,4.7,0,,,,,
2,15-24,Widowed,-2.2,1.0,2.5,-6.9,4.7,0,,,,,
3,15-24,Divorced,-6.7,0.0,-1.9,-11.4,4.7,0,,,,,
4,15-24,Separated,3.8,1.0,8.6,-0.9,4.7,0,,,,,
5,15-24,Never married,144.2,143.0,149.0,139.5,4.7,0,,,,,
6,25-34,"Now married, spouse present",45.5,45.0,50.3,40.8,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",-6.5,2.0,-1.8,-11.2,4.7,0,,,,,
8,25-34,Widowed,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
9,25-34,Divorced,14.4,7.0,19.1,9.7,4.7,0,,,,,
10,25-34,Separated,-6.1,1.0,-1.4,-10.8,4.7,0,,,,,
11,25-34,Never married,102.3,98.0,107.1,97.6,4.7,0,,,,,
12,35-44,"Now married, spouse present",79.4,87.0,84.1,74.7,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",7.2,6.0,11.9,2.5,4.7,0,,,,,
14,35-44,Widowed,0.4,0.0,5.1,-4.3,4.7,0,,,,,
15,35-44,Divorced,11.7,11.0,16.4,7.0,4.7,0,,,,,
16,35-44,Separated,2.9,3.0,7.6,-1.8,4.7,0,,,,,
17,35-44,Never married,37.1,39.0,41.8,32.4,4.7,0,,,,,
18,45-54,"Now married, spouse present",77.4,77.0,82.2,72.7,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",3.2,4.0,7.9,-1.5,4.7,0,,,,,
20,45-54,Widowed,6.9,4.0,11.6,2.2,4.7,0,,,,,
21,45-54,Divorced,18.4,19.0,23.1,13.7,4.7,0,,,,,
22,45-54,Separated,1.8,6.0,6.6,-2.9,4.7,0,,,,,
23,45-54,Never married,23.0,27.0,27.7,18.3,4.7,0,,,,,
24,55-64,"Now married, spouse present",100.9,99.0,105.6,96.2,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",7.2,9.0,11.9,2.5,4.7,0,,,,,
26,55-64,Widowed,6.9,10.0,11.6,2.2,4.7,0,,,,,
27,55-64,Divorced,36.6,33.0,41.3,31.9,4.7,0,,,,,
28,55-64,Separated,3.5,3.0,8.2,-1.2,4.7,0,,,,,
29,55-64,Never married,12.0,18.0,16.7,7.3,4.7,0,,,,,
30,65-74,"Now married, spouse present",76.2,80.0,80.9,71.5,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",4.5,3.0,9.2,-0.3,4.7,0,,,,,
32,65-74,Widowed,12.2,17.0,16.9,7.5,4.7,0,,,,,
33,65-74,Divorced,20.6,21.0,25.3,15.9,4.7,0,,,,,
34,65-74,Separated,11.0,6.0,15.7,6.3,4.7,0,,,,,
35,65-74,Never married,25.0,22.0,29.7,20.3,4.7,0,,,,,
36,75-84,"Now married, spouse present",39.5,31.0,44.2,34.8,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",3.3,2.0,8.0,-1.4,4.7,0,,,,,
38,75-84,Widowed,16.9,15.0,21.6,12.2,4.7,0,,,,,
39,75-84,Divorced,18.2,16.0,22.9,13.5,4.7,0,,,,,
40,75-84,Separated,8.0,3.0,12.7,3.3,4.7,0,,,,,
41,75-84,Never married,-0.4,4.0,4.3,-5.1,4.7,0,,,,,
42,85-99,"Now married, spouse present",8.8,5.0,13.5,4.0,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",4.6,1.0,9.3,-0.1,4.7,0,,,,,
44,85-99,Widowed,3.5,13.0,8.2,-1.2,4.7,0,,,,,
45,85-99,Divorced,3.2,4.0,7.9,-1.5,4.7,0,,,,,
46,85-99,Separated,-0.4,0.0,4.3,-5.2,4.7,0,,,,,
47,85-99,Never married,0.1,0.0,4.9,-4.6,4.7,0,,,,,
48,15-24,"Now married, spouse present",-0.9,3.0,1.5,-3.2,2.4,1,1.2,3.0,-3.5,6.0,4.7
