,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,51.1,64.0,55.8,46.4,4.7,0,,,,,
1,Strongly disagree,2,11.0,11.0,15.7,6.3,4.7,0,,,,,
2,Strongly disagree,3,29.0,29.0,33.7,24.3,4.7,0,,,,,
3,Strongly disagree,4,11.6,16.0,16.3,6.9,4.7,0,,,,,
4,Strongly disagree,5,24.8,29.0,29.5,20.1,4.7,0,,,,,
5,Disagree,1,25.4,26.0,30.1,20.7,4.7,0,,,,,
6,Disagree,2,12.7,15.0,17.4,8.0,4.7,0,,,,,
7,Disagree,3,20.1,26.0,24.8,15.3,4.7,0,,,,,
8,Disagree,4,27.8,29.0,32.5,23.1,4.7,0,,,,,
9,Disagree,5,12.3,16.0,17.1,7.6,4.7,0,,,,,
10,Neither agree nor disagree,1,67.7,60.0,72.5,63.0,4.7,0,,,,,
11,Neither agree nor disagree,2,16.5,25.0,21.2,11.8,4.7,0,,,,,
12,Neither agree nor disagree,3,72.7,71.0,77.4,68.0,4.7,0,,,,,
13,Neither agree nor disagree,4,71.5,71.0,76.2,66.8,4.7,0,,,,,
14,Neither agree nor disagree,5,50.3,45.0,55.0,45.6,4.7,0,,,,,
15,Agree,1,60.3,60.0,65.0,55.6,4.7,0,,,,,
16,Agree,2,25.7,24.0,30.4,21.0,4.7,0,,,,,
17,Agree,3,117.1,118.0,121.9,112.4,4.7,0,,,,,
18,Agree,4,76.6,75.0,81.4,71.9,4.7,0,,,,,
19,Agree,5,20.5,17.0,25.2,15.8,4.7,0,,,,,
20,Strongly agree,1,53.1,46.0,57.8,48.4,4.7,0,,,,,
21,Strongly agree,2,21.1,18.0,25.8,16.4,4.7,0,,,,,
22,Strongly agree,3,69.3,58.0,74.1,64.6,4.7,0,,,,,
23,Strongly agree,4,27.4,31.0,32.1,22.7,4.7,0,,,,,
24,Strongly agree,5,20.1,20.0,24.9,15.4,4.7,0,,,,,
