,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,222.7,220.0,227.4,218.0,4.7,0,,,,,
1,0,2,14.5,17.0,19.2,9.8,4.7,0,,,,,
2,0,3,46.5,43.0,51.2,41.8,4.7,0,,,,,
3,0,4,33.9,25.0,38.7,29.2,4.7,0,,,,,
4,0,5,29.7,20.0,34.4,25.0,4.7,0,,,,,
5,1,1,19.8,19.0,24.5,15.1,4.7,0,,,,,
6,1,2,34.7,32.0,39.4,30.0,4.7,0,,,,,
7,1,3,61.1,60.0,65.8,56.4,4.7,0,,,,,
8,1,4,40.0,38.0,44.7,35.2,4.7,0,,,,,
9,1,5,11.1,20.0,15.9,6.4,4.7,0,,,,,
10,2,1,0.8,8.0,5.6,-3.9,4.7,0,,,,,
11,2,2,13.2,9.0,17.9,8.5,4.7,0,,,,,
12,2,3,56.0,57.0,60.7,51.3,4.7,0,,,,,
13,2,4,30.5,29.0,35.2,25.8,4.7,0,,,,,
14,2,5,19.8,22.0,24.5,15.1,4.7,0,,,,,
15,3,1,10.8,24.0,15.5,6.0,4.7,0,,,,,
16,3,2,20.9,22.0,25.6,16.2,4.7,0,,,,,
17,3,3,88.6,81.0,93.3,83.9,4.7,0,,,,,
18,3,4,66.2,69.0,70.9,61.5,4.7,0,,,,,
19,3,5,37.5,39.0,42.2,32.8,4.7,0,,,,,
20,4,1,5.8,15.0,10.5,1.1,4.7,0,,,,,
21,4,2,11.2,18.0,15.9,6.5,4.7,0,,,,,
22,4,3,53.0,52.0,57.7,48.3,4.7,0,,,,,
23,4,4,33.6,29.0,38.3,28.9,4.7,0,,,,,
24,4,5,18.5,32.0,23.2,13.8,4.7,0,,,,,
25,0,1,203.6,220.0,206.0,201.3,2.4,1,222.7,220.0,218.0,227.4,4.7
26,0,2,14.6,17.0,16.9,12.2,2.4,1,14.5,17.0,9.8,19.2,4.7
27,0,3,45.7,43.0,48.0,43.3,2.4,1,46.5,43.0,41.8,51.2,4.7
28,0,4,28.7,25.0,31.1,26.4,2.4,1,33.9,25.0,29.2,38.7,4.7
29,0,5,23.9,20.0,26.2,21.5,2.4,1,29.7,20.0,25.0,34.4,4.7
30,1,1,22.4,19.0,24.8,20.1,2.4,1,19.8,19.0,15.1,24.5,4.7
31,1,2,32.1,32.0,34.5,29.8,2.4,1,34.7,32.0,30.0,39.4,4.7
32,1,3,60.4,60.0,62.8,58.1,2.4,1,61.1,60.0,56.4,65.8,4.7
33,1,4,37.8,38.0,40.2,35.5,2.4,1,40.0,38.0,35.2,44.7,4.7
34,1,5,15.1,20.0,17.5,12.8,2.4,1,11.1,20.0,6.4,15.9,4.7
35,2,1,5.7,8.0,8.1,3.4,2.4,1,0.8,8.0,-3.9,5.6,4.7
36,2,2,7.8,9.0,10.1,5.4,2.4,1,13.2,9.0,8.5,17.9,4.7
37,2,3,57.3,57.0,59.6,54.9,2.4,1,56.0,57.0,51.3,60.7,4.7
38,2,4,29.9,29.0,32.3,27.6,2.4,1,30.5,29.0,25.8,35.2,4.7
39,2,5,18.7,22.0,21.1,16.4,2.4,1,19.8,22.0,15.1,24.5,4.7
40,3,1,16.2,24.0,18.6,13.8,2.4,1,10.8,24.0,6.0,15.5,4.7
41,3,2,19.5,22.0,21.8,17.1,2.4,1,20.9,22.0,16.2,25.6,4.7
42,3,3,88.0,81.0,90.3,85.6,2.4,1,88.6,81.0,83.9,93.3,4.7
43,3,4,68.4,69.0,70.7,66.0,2.4,1,66.2,69.0,61.5,70.9,4.7
44,3,5,37.0,39.0,39.4,34.7,2.4,1,37.5,39.0,32.8,42.2,4.7
45,4,1,10.6,15.0,13.0,8.3,2.4,1,5.8,15.0,1.1,10.5,4.7
46,4,2,11.4,18.0,13.7,9.0,2.4,1,11.2,18.0,6.5,15.9,4.7
