,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,17.5,18.0,22.3,12.8,4.7,0,,,,,
1,Strongly disagree,Instructor 2,11.1,21.0,15.8,6.4,4.7,0,,,,,
2,Strongly disagree,Instructor 3,115.3,115.0,120.1,110.6,4.7,0,,,,,
3,Disagree,Instructor 1,14.4,15.0,19.1,9.7,4.7,0,,,,,
4,Disagree,Instructor 2,18.6,20.0,23.3,13.9,4.7,0,,,,,
5,Disagree,Instructor 3,90.0,93.0,94.7,85.3,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,37.3,39.0,42.0,32.6,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,60.9,63.0,65.6,56.2,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,195.9,195.0,200.6,191.2,4.7,0,,,,,
9,Agree,Instructor 1,32.6,37.0,37.3,27.9,4.7,0,,,,,
10,Agree,Instructor 2,78.1,78.0,82.8,73.4,4.7,0,,,,,
11,Agree,Instructor 3,155.7,159.0,160.4,151.0,4.7,0,,,,,
12,Strongly agree,Instructor 1,30.1,26.0,34.8,25.4,4.7,0,,,,,
13,Strongly agree,Instructor 2,41.0,41.0,45.7,36.2,4.7,0,,,,,
14,Strongly agree,Instructor 3,83.9,80.0,88.7,79.2,4.7,0,,,,,
15,Strongly disagree,Instructor 1,15.5,18.0,17.8,13.1,2.4,1,17.5,18.0,12.8,22.3,4.7
16,Strongly disagree,Instructor 2,16.4,21.0,18.8,14.1,2.4,1,11.1,21.0,6.4,15.8,4.7
17,Strongly disagree,Instructor 3,113.9,115.0,116.2,111.5,2.4,1,115.3,115.0,110.6,120.1,4.7
18,Disagree,Instructor 1,13.3,15.0,15.7,11.0,2.4,1,14.4,15.0,9.7,19.1,4.7
19,Disagree,Instructor 2,18.7,20.0,21.1,16.4,2.4,1,18.6,20.0,13.9,23.3,4.7
20,Disagree,Instructor 3,91.4,93.0,93.8,89.0,2.4,1,90.0,93.0,85.3,94.7,4.7
21,Neither agree nor disagree,Instructor 1,38.7,39.0,41.1,36.3,2.4,1,37.3,39.0,32.6,42.0,4.7
22,Neither agree nor disagree,Instructor 2,61.9,63.0,64.3,59.5,2.4,1,60.9,63.0,56.2,65.6,4.7
23,Neither agree nor disagree,Instructor 3,195.5,195.0,197.8,193.1,2.4,1,195.9,195.0,191.2,200.6,4.7
24,Agree,Instructor 1,36.3,37.0,38.6,33.9,2.4,1,32.6,37.0,27.9,37.3,4.7
25,Agree,Instructor 2,78.3,78.0,80.7,76.0,2.4,1,78.1,78.0,73.4,82.8,4.7
26,Agree,Instructor 3,155.5,159.0,157.8,153.1,2.4,1,155.7,159.0,151.0,160.4,4.7
27,Strongly agree,Instructor 1,32.5,26.0,34.8,30.1,2.4,1,30.1,26.0,25.4,34.8,4.7
28,Strongly agree,Instructor 2,41.0,41.0,43.3,38.6,2.4,1,41.0,41.0,36.2,45.7,4.7
29,Strongly agree,Instructor 3,84.5,80.0,86.8,82.1,2.4,1,83.9,80.0,79.2,88.7,4.7
30,Strongly disagree,Instructor 1,16.4,18.0,18.0,14.8,1.6,2,15.5,18.0,13.1,17.8,2.4
31,Strongly disagree,Instructor 2,20.6,21.0,22.2,19.0,1.6,2,16.4,21.0,14.1,18.8,2.4
32,Strongly disagree,Instructor 3,114.3,115.0,115.9,112.8,1.6,2,113.9,115.0,111.5,116.2,2.4
33,Disagree,Instructor 1,13.6,15.0,15.1,12.0,1.6,2,13.3,15.0,11.0,15.7,2.4
34,Disagree,Instructor 2,20.5,20.0,22.1,18.9,1.6,2,18.7,20.0,16.4,21.1,2.4
35,Disagree,Instructor 3,91.7,93.0,93.3,90.1,1.6,2,91.4,93.0,89.0,93.8,2.4
36,Neither agree nor disagree,Instructor 1,38.0,39.0,39.6,36.4,1.6,2,38.7,39.0,36.3,41.1,2.4
37,Neither agree nor disagree,Instructor 2,60.0,63.0,61.6,58.5,1.6,2,61.9,63.0,59.5,64.3,2.4
38,Neither agree nor disagree,Instructor 3,200.2,195.0,201.8,198.6,1.6,2,195.5,195.0,193.1,197.8,2.4
39,Agree,Instructor 1,37.5,37.0,39.1,36.0,1.6,2,36.3,37.0,33.9,38.6,2.4
40,Agree,Instructor 2,78.5,78.0,80.0,76.9,1.6,2,78.3,78.0,76.0,80.7,2.4
41,Agree,Instructor 3,157.5,159.0,159.1,155.9,1.6,2,155.5,159.0,153.1,157.8,2.4
42,Strongly agree,Instructor 1,29.7,26.0,31.3,28.1,1.6,2,32.5,26.0,30.1,34.8,2.4
43,Strongly agree,Instructor 2,41.0,41.0,42.6,39.5,1.6,2,41.0,41.0,38.6,43.3,2.4
44,Strongly agree,Instructor 3,82.6,80.0,84.2,81.0,1.6,2,84.5,80.0,82.1,86.8,2.4
45,Strongly disagree,Instructor 1,16.3,18.0,17.4,15.1,1.2,3,16.4,18.0,14.8,18.0,1.6
