,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",12.1,3.0,16.8,7.3,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",1.3,1.0,6.0,-3.4,4.7,0,,,,,
2,15-24,Widowed,10.7,1.0,15.4,6.0,4.7,0,,,,,
3,15-24,Divorced,1.9,0.0,6.6,-2.8,4.7,0,,,,,
4,15-24,Separated,2.7,1.0,7.4,-2.0,4.7,0,,,,,
5,15-24,Never married,140.2,143.0,144.9,135.5,4.7,0,,,,,
6,25-34,"Now married, spouse present",30.4,45.0,35.1,25.7,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",-0.3,2.0,4.4,-5.0,4.7,0,,,,,
8,25-34,Widowed,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
9,25-34,Divorced,9.7,7.0,14.4,5.0,4.7,0,,,,,
10,25-34,Separated,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
11,25-34,Never married,102.3,98.0,107.0,97.6,4.7,0,,,,,
12,35-44,"Now married, spouse present",83.3,87.0,88.0,78.6,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",6.7,6.0,11.4,2.0,4.7,0,,,,,
14,35-44,Widowed,-13.4,0.0,-8.7,-18.1,4.7,0,,,,,
15,35-44,Divorced,10.1,11.0,14.9,5.4,4.7,0,,,,,
16,35-44,Separated,-5.1,3.0,-0.4,-9.8,4.7,0,,,,,
17,35-44,Never married,47.2,39.0,51.9,42.4,4.7,0,,,,,
18,45-54,"Now married, spouse present",84.6,77.0,89.3,79.9,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",6.8,4.0,11.5,2.1,4.7,0,,,,,
20,45-54,Widowed,8.4,4.0,13.1,3.7,4.7,0,,,,,
21,45-54,Divorced,15.5,19.0,20.2,10.8,4.7,0,,,,,
22,45-54,Separated,-0.3,6.0,4.4,-5.0,4.7,0,,,,,
23,45-54,Never married,27.8,27.0,32.5,23.0,4.7,0,,,,,
24,55-64,"Now married, spouse present",101.1,99.0,105.8,96.4,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",8.3,9.0,13.0,3.6,4.7,0,,,,,
26,55-64,Widowed,10.2,10.0,14.9,5.5,4.7,0,,,,,
27,55-64,Divorced,39.9,33.0,44.6,35.2,4.7,0,,,,,
28,55-64,Separated,3.1,3.0,7.9,-1.6,4.7,0,,,,,
29,55-64,Never married,12.9,18.0,17.6,8.2,4.7,0,,,,,
30,65-74,"Now married, spouse present",80.3,80.0,85.0,75.6,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",3.2,3.0,7.9,-1.5,4.7,0,,,,,
32,65-74,Widowed,18.1,17.0,22.8,13.4,4.7,0,,,,,
33,65-74,Divorced,20.3,21.0,25.0,15.6,4.7,0,,,,,
34,65-74,Separated,7.2,6.0,11.9,2.5,4.7,0,,,,,
35,65-74,Never married,21.2,22.0,25.9,16.5,4.7,0,,,,,
36,75-84,"Now married, spouse present",33.6,31.0,38.3,28.8,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",-1.4,2.0,3.3,-6.1,4.7,0,,,,,
38,75-84,Widowed,14.0,15.0,18.8,9.3,4.7,0,,,,,
39,75-84,Divorced,16.0,16.0,20.7,11.3,4.7,0,,,,,
40,75-84,Separated,4.6,3.0,9.3,-0.2,4.7,0,,,,,
41,75-84,Never married,1.7,4.0,6.5,-3.0,4.7,0,,,,,
42,85-99,"Now married, spouse present",6.0,5.0,10.7,1.2,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",6.2,1.0,10.9,1.5,4.7,0,,,,,
44,85-99,Widowed,11.9,13.0,16.6,7.2,4.7,0,,,,,
45,85-99,Divorced,5.1,4.0,9.8,0.4,4.7,0,,,,,
46,85-99,Separated,-3.2,0.0,1.5,-7.9,4.7,0,,,,,
