,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",4.1,4.0,8.8,-0.6,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",4.6,2.0,9.3,-0.1,4.7,0,,,,,
2,15-24,Widowed,4.5,0.0,9.2,-0.2,4.7,0,,,,,
3,15-24,Divorced,-13.8,0.0,-9.1,-18.5,4.7,0,,,,,
4,15-24,Separated,-1.6,0.0,3.1,-6.3,4.7,0,,,,,
5,15-24,Never married,145.2,137.0,149.9,140.5,4.7,0,,,,,
6,25-34,"Now married, spouse present",45.5,47.0,50.2,40.8,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",6.3,6.0,11.0,1.6,4.7,0,,,,,
8,25-34,Widowed,-2.7,0.0,2.0,-7.4,4.7,0,,,,,
9,25-34,Divorced,5.2,2.0,9.9,0.5,4.7,0,,,,,
10,25-34,Separated,-0.3,1.0,4.5,-5.0,4.7,0,,,,,
11,25-34,Never married,102.3,102.0,107.0,97.6,4.7,0,,,,,
12,35-44,"Now married, spouse present",85.4,84.0,90.1,80.7,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",5.1,8.0,9.8,0.4,4.7,0,,,,,
14,35-44,Widowed,6.7,0.0,11.4,2.0,4.7,0,,,,,
15,35-44,Divorced,9.0,10.0,13.7,4.3,4.7,0,,,,,
16,35-44,Separated,9.3,7.0,14.1,4.6,4.7,0,,,,,
17,35-44,Never married,45.5,43.0,50.2,40.8,4.7,0,,,,,
18,45-54,"Now married, spouse present",77.0,82.0,81.7,72.2,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",2.3,4.0,7.0,-2.4,4.7,0,,,,,
20,45-54,Widowed,2.8,3.0,7.5,-1.9,4.7,0,,,,,
21,45-54,Divorced,19.4,18.0,24.1,14.7,4.7,0,,,,,
22,45-54,Separated,4.8,7.0,9.5,0.1,4.7,0,,,,,
23,45-54,Never married,34.7,33.0,39.4,30.0,4.7,0,,,,,
24,55-64,"Now married, spouse present",88.6,92.0,93.3,83.9,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",5.5,7.0,10.2,0.8,4.7,0,,,,,
26,55-64,Widowed,13.0,8.0,17.7,8.3,4.7,0,,,,,
27,55-64,Divorced,19.0,25.0,23.7,14.3,4.7,0,,,,,
28,55-64,Separated,9.3,7.0,14.0,4.6,4.7,0,,,,,
29,55-64,Never married,18.1,25.0,22.8,13.3,4.7,0,,,,,
30,65-74,"Now married, spouse present",93.2,91.0,97.9,88.5,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",3.3,4.0,8.0,-1.4,4.7,0,,,,,
32,65-74,Widowed,37.5,24.0,42.3,32.8,4.7,0,,,,,
33,65-74,Divorced,23.7,24.0,28.4,19.0,4.7,0,,,,,
34,65-74,Separated,-2.2,1.0,2.5,-6.9,4.7,0,,,,,
35,65-74,Never married,15.8,17.0,20.5,11.1,4.7,0,,,,,
36,75-84,"Now married, spouse present",18.9,20.0,23.6,14.2,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",-5.6,2.0,-0.9,-10.3,4.7,0,,,,,
38,75-84,Widowed,13.5,15.0,18.2,8.8,4.7,0,,,,,
39,75-84,Divorced,33.1,13.0,37.8,28.4,4.7,0,,,,,
40,75-84,Separated,-1.8,0.0,2.9,-6.6,4.7,0,,,,,
41,75-84,Never married,2.7,3.0,7.4,-2.0,4.7,0,,,,,
42,85-99,"Now married, spouse present",11.3,4.0,16.0,6.6,4.7,0,,,,,
