,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,159.2,158.0,163.9,154.5,4.7,0,,,,,
1,Emergency,3-4,185.0,185.0,189.8,180.3,4.7,0,,,,,
2,Emergency,5-6,98.7,94.0,103.4,94.0,4.7,0,,,,,
3,Emergency,7-8,44.6,48.0,49.3,39.9,4.7,0,,,,,
4,Emergency,9-10,36.1,32.0,40.8,31.3,4.7,0,,,,,
5,Emergency,11-12,16.3,14.0,21.0,11.6,4.7,0,,,,,
6,Emergency,13-14,9.3,8.0,14.1,4.6,4.7,0,,,,,
7,Urgent,1-2,55.8,58.0,60.5,51.1,4.7,0,,,,,
8,Urgent,3-4,40.4,50.0,45.1,35.7,4.7,0,,,,,
9,Urgent,5-6,45.1,44.0,49.8,40.3,4.7,0,,,,,
10,Urgent,7-8,40.0,36.0,44.7,35.2,4.7,0,,,,,
11,Urgent,9-10,11.1,9.0,15.8,6.4,4.7,0,,,,,
12,Urgent,11-12,-5.6,5.0,-0.9,-10.3,4.7,0,,,,,
13,Urgent,13-14,0.0,5.0,4.7,-4.7,4.7,0,,,,,
14,Elective,1-2,68.6,67.0,73.3,63.8,4.7,0,,,,,
15,Elective,3-4,65.3,61.0,70.0,60.6,4.7,0,,,,,
16,Elective,5-6,26.9,30.0,31.6,22.2,4.7,0,,,,,
17,Elective,7-8,17.3,16.0,22.0,12.5,4.7,0,,,,,
18,Elective,9-10,10.7,9.0,15.4,6.0,4.7,0,,,,,
19,Elective,11-12,6.8,8.0,11.5,2.1,4.7,0,,,,,
20,Elective,13-14,7.9,5.0,12.6,3.2,4.7,0,,,,,
21,Newborn,1-2,-3.1,0.0,1.6,-7.8,4.7,0,,,,,
22,Newborn,3-4,7.6,0.0,12.4,2.9,4.7,0,,,,,
23,Newborn,5-6,-0.2,0.0,4.6,-4.9,4.7,0,,,,,
24,Newborn,7-8,1.4,0.0,6.1,-3.4,4.7,0,,,,,
25,Newborn,9-10,-2.9,0.0,1.8,-7.6,4.7,0,,,,,
26,Newborn,11-12,3.2,0.0,7.9,-1.5,4.7,0,,,,,
27,Newborn,13-14,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
28,Not Available,1-2,16.3,18.0,21.0,11.6,4.7,0,,,,,
29,Not Available,3-4,24.6,21.0,29.3,19.8,4.7,0,,,,,
30,Not Available,5-6,7.4,7.0,12.1,2.7,4.7,0,,,,,
31,Not Available,7-8,1.8,5.0,6.5,-2.9,4.7,0,,,,,
32,Not Available,9-10,1.9,0.0,6.6,-2.8,4.7,0,,,,,
33,Not Available,11-12,2.1,1.0,6.8,-2.6,4.7,0,,,,,
34,Not Available,13-14,0.2,0.0,4.9,-4.5,4.7,0,,,,,
35,Trauma Center,1-2,-12.3,0.0,-7.6,-17.1,4.7,0,,,,,
36,Trauma Center,3-4,1.7,0.0,6.4,-3.1,4.7,0,,,,,
37,Trauma Center,5-6,0.2,0.0,5.0,-4.5,4.7,0,,,,,
38,Trauma Center,7-8,-6.1,0.0,-1.4,-10.9,4.7,0,,,,,
39,Trauma Center,9-10,-12.0,0.0,-7.3,-16.7,4.7,0,,,,,
40,Trauma Center,11-12,-2.0,0.0,2.8,-6.7,4.7,0,,,,,
41,Trauma Center,13-14,17.5,0.0,22.2,12.8,4.7,0,,,,,
42,Not Mapped,1-2,-0.2,5.0,4.5,-4.9,4.7,0,,,,,
43,Not Mapped,3-4,-10.4,1.0,-5.7,-15.1,4.7,0,,,,,
44,Not Mapped,5-6,-1.3,0.0,3.4,-6.0,4.7,0,,,,,
45,Not Mapped,7-8,3.2,0.0,7.9,-1.5,4.7,0,,,,,
46,Not Mapped,9-10,-2.8,0.0,1.9,-7.5,4.7,0,,,,,
47,Not Mapped,11-12,6.8,0.0,11.5,2.1,4.7,0,,,,,
48,Not Mapped,13-14,12.6,0.0,17.3,7.9,4.7,0,,,,,
49,Emergency,1-2,158.6,158.0,160.9,156.2,2.4,1,159.2,158.0,154.5,163.9,4.7
50,Emergency,3-4,185.7,185.0,188.1,183.4,2.4,1,185.0,185.0,180.3,189.8,4.7
51,Emergency,5-6,96.1,94.0,98.5,93.8,2.4,1,98.7,94.0,94.0,103.4,4.7
52,Emergency,7-8,45.2,48.0,47.6,42.9,2.4,1,44.6,48.0,39.9,49.3,4.7
53,Emergency,9-10,37.7,32.0,40.0,35.3,2.4,1,36.1,32.0,31.3,40.8,4.7
