,MSP,PINCP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,"Now married, spouse present",$-9k-$-1k,0.6,0.0,5.4,-4.1,4.7,0,,,,,
1,"Now married, spouse present",$0k-$49k,238.3,233.0,243.0,233.6,4.7,0,,,,,
2,"Now married, spouse present",$50k-$99k,93.1,88.0,97.8,88.4,4.7,0,,,,,
3,"Now married, spouse present",$100k-$149k,43.3,40.0,48.0,38.6,4.7,0,,,,,
4,"Now married, spouse present",$150k-$199k,17.2,26.0,21.9,12.5,4.7,0,,,,,
5,"Now married, spouse present",$200k-$249k,10.6,9.0,15.3,5.9,4.7,0,,,,,
6,"Now married, spouse present",$250k-$299k,6.1,7.0,10.8,1.4,4.7,0,,,,,
7,"Now married, spouse present",$300k-$349k,8.1,8.0,12.8,3.4,4.7,0,,,,,
8,"Now married, spouse present",$350k-$399k,4.3,3.0,9.0,-0.4,4.7,0,,,,,
9,"Now married, spouse present",$400k-$449k,-0.2,3.0,4.6,-4.9,4.7,0,,,,,
10,"Now married, spouse present",$450k-$1499k,8.0,10.0,12.7,3.3,4.7,0,,,,,
11,"Now Married, spouse absent",$-9k-$-1k,3.8,1.0,8.5,-0.9,4.7,0,,,,,
12,"Now Married, spouse absent",$0k-$49k,20.0,16.0,24.7,15.3,4.7,0,,,,,
13,"Now Married, spouse absent",$50k-$99k,8.7,6.0,13.4,4.0,4.7,0,,,,,
14,"Now Married, spouse absent",$100k-$149k,-5.7,3.0,-1.0,-10.4,4.7,0,,,,,
15,"Now Married, spouse absent",$150k-$199k,-3.9,1.0,0.9,-8.6,4.7,0,,,,,
16,"Now Married, spouse absent",$200k-$249k,2.3,0.0,7.0,-2.4,4.7,0,,,,,
17,"Now Married, spouse absent",$250k-$299k,-1.5,1.0,3.3,-6.2,4.7,0,,,,,
18,"Now Married, spouse absent",$300k-$349k,-2.2,0.0,2.5,-7.0,4.7,0,,,,,
19,"Now Married, spouse absent",$350k-$399k,4.2,0.0,8.9,-0.5,4.7,0,,,,,
20,"Now Married, spouse absent",$400k-$449k,7.7,0.0,12.4,2.9,4.7,0,,,,,
21,"Now Married, spouse absent",$450k-$1499k,0.4,0.0,5.2,-4.3,4.7,0,,,,,
22,Widowed,$-9k-$-1k,2.6,0.0,7.3,-2.1,4.7,0,,,,,
23,Widowed,$0k-$49k,42.9,43.0,47.7,38.2,4.7,0,,,,,
24,Widowed,$50k-$99k,12.0,11.0,16.7,7.3,4.7,0,,,,,
25,Widowed,$100k-$149k,5.8,2.0,10.5,1.1,4.7,0,,,,,
26,Widowed,$150k-$199k,0.7,1.0,5.4,-4.0,4.7,0,,,,,
27,Widowed,$200k-$249k,1.0,1.0,5.7,-3.7,4.7,0,,,,,
28,Widowed,$250k-$299k,1.5,0.0,6.2,-3.2,4.7,0,,,,,
