,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,65.2,64.0,69.9,60.5,4.7,0,,,,,
1,Strongly disagree,2,11.0,11.0,15.8,6.3,4.7,0,,,,,
2,Strongly disagree,3,33.7,29.0,38.4,29.0,4.7,0,,,,,
3,Strongly disagree,4,12.6,16.0,17.3,7.9,4.7,0,,,,,
4,Strongly disagree,5,33.1,29.0,37.8,28.3,4.7,0,,,,,
5,Disagree,1,27.3,26.0,32.1,22.6,4.7,0,,,,,
6,Disagree,2,27.4,15.0,32.1,22.7,4.7,0,,,,,
7,Disagree,3,23.8,26.0,28.5,19.1,4.7,0,,,,,
8,Disagree,4,19.4,29.0,24.1,14.7,4.7,0,,,,,
9,Disagree,5,17.1,16.0,21.8,12.3,4.7,0,,,,,
10,Neither agree nor disagree,1,62.1,60.0,66.8,57.4,4.7,0,,,,,
11,Neither agree nor disagree,2,14.4,25.0,19.1,9.7,4.7,0,,,,,
12,Neither agree nor disagree,3,66.0,71.0,70.7,61.3,4.7,0,,,,,
13,Neither agree nor disagree,4,69.3,71.0,74.0,64.6,4.7,0,,,,,
14,Neither agree nor disagree,5,46.6,45.0,51.3,41.8,4.7,0,,,,,
15,Agree,1,56.9,60.0,61.6,52.2,4.7,0,,,,,
16,Agree,2,25.3,24.0,30.0,20.5,4.7,0,,,,,
17,Agree,3,119.7,118.0,124.4,115.0,4.7,0,,,,,
18,Agree,4,73.8,75.0,78.5,69.1,4.7,0,,,,,
19,Agree,5,19.9,17.0,24.6,15.2,4.7,0,,,,,
20,Strongly agree,1,42.9,46.0,47.6,38.2,4.7,0,,,,,
21,Strongly agree,2,25.6,18.0,30.4,20.9,4.7,0,,,,,
22,Strongly agree,3,57.8,58.0,62.6,53.1,4.7,0,,,,,
23,Strongly agree,4,32.4,31.0,37.1,27.6,4.7,0,,,,,
24,Strongly agree,5,17.1,20.0,21.8,12.4,4.7,0,,,,,
25,Strongly disagree,1,65.5,64.0,67.9,63.2,2.4,1,65.2,64.0,60.5,69.9,4.7
26,Strongly disagree,2,11.6,11.0,13.9,9.2,2.4,1,11.0,11.0,6.3,15.8,4.7
27,Strongly disagree,3,31.5,29.0,33.8,29.1,2.4,1,33.7,29.0,29.0,38.4,4.7
28,Strongly disagree,4,14.6,16.0,16.9,12.2,2.4,1,12.6,16.0,7.9,17.3,4.7
29,Strongly disagree,5,24.9,29.0,27.2,22.5,2.4,1,33.1,29.0,28.3,37.8,4.7
30,Disagree,1,26.8,26.0,29.1,24.4,2.4,1,27.3,26.0,22.6,32.1,4.7
31,Disagree,2,18.1,15.0,20.5,15.8,2.4,1,27.4,15.0,22.7,32.1,4.7
32,Disagree,3,18.9,26.0,21.2,16.5,2.4,1,23.8,26.0,19.1,28.5,4.7
33,Disagree,4,23.2,29.0,25.6,20.9,2.4,1,19.4,29.0,14.7,24.1,4.7
34,Disagree,5,25.3,16.0,27.6,22.9,2.4,1,17.1,16.0,12.3,21.8,4.7
35,Neither agree nor disagree,1,58.5,60.0,60.8,56.1,2.4,1,62.1,60.0,57.4,66.8,4.7
36,Neither agree nor disagree,2,14.0,25.0,16.4,11.6,2.4,1,14.4,25.0,9.7,19.1,4.7
37,Neither agree nor disagree,3,67.9,71.0,70.2,65.5,2.4,1,66.0,71.0,61.3,70.7,4.7
38,Neither agree nor disagree,4,71.7,71.0,74.1,69.4,2.4,1,69.3,71.0,64.6,74.0,4.7
39,Neither agree nor disagree,5,44.4,45.0,46.7,42.0,2.4,1,46.6,45.0,41.8,51.3,4.7
40,Agree,1,64.7,60.0,67.1,62.4,2.4,1,56.9,60.0,52.2,61.6,4.7
41,Agree,2,18.3,24.0,20.6,15.9,2.4,1,25.3,24.0,20.5,30.0,4.7
42,Agree,3,120.3,118.0,122.6,117.9,2.4,1,119.7,118.0,115.0,124.4,4.7
43,Agree,4,75.2,75.0,77.5,72.8,2.4,1,73.8,75.0,69.1,78.5,4.7
44,Agree,5,18.5,17.0,20.9,16.1,2.4,1,19.9,17.0,15.2,24.6,4.7
45,Strongly agree,1,45.1,46.0,47.5,42.8,2.4,1,42.9,46.0,38.2,47.6,4.7
46,Strongly agree,2,23.2,18.0,25.5,20.8,2.4,1,25.6,18.0,20.9,30.4,4.7
47,Strongly agree,3,57.8,58.0,60.2,55.5,2.4,1,57.8,58.0,53.1,62.6,4.7
48,Strongly agree,4,37.9,31.0,40.2,35.5,2.4,1,32.4,31.0,27.6,37.1,4.7
49,Strongly agree,5,18.6,20.0,20.9,16.2,2.4,1,17.1,20.0,12.4,21.8,4.7
50,Strongly disagree,1,66.9,64.0,68.4,65.3,1.6,2,65.5,64.0,63.2,67.9,2.4
51,Strongly disagree,2,11.2,11.0,12.8,9.6,1.6,2,11.6,11.0,9.2,13.9,2.4
52,Strongly disagree,3,30.6,29.0,32.2,29.0,1.6,2,31.5,29.0,29.1,33.8,2.4
53,Strongly disagree,4,13.6,16.0,15.2,12.0,1.6,2,14.6,16.0,12.2,16.9,2.4
54,Strongly disagree,5,25.9,29.0,27.5,24.3,1.6,2,24.9,29.0,22.5,27.2,2.4
55,Disagree,1,25.2,26.0,26.7,23.6,1.6,2,26.8,26.0,24.4,29.1,2.4
56,Disagree,2,18.1,15.0,19.7,16.5,1.6,2,18.1,15.0,15.8,20.5,2.4
57,Disagree,3,21.3,26.0,22.9,19.7,1.6,2,18.9,26.0,16.5,21.2,2.4
58,Disagree,4,26.9,29.0,28.5,25.3,1.6,2,23.2,29.0,20.9,25.6,2.4
59,Disagree,5,23.2,16.0,24.7,21.6,1.6,2,25.3,16.0,22.9,27.6,2.4
60,Neither agree nor disagree,1,56.7,60.0,58.3,55.2,1.6,2,58.5,60.0,56.1,60.8,2.4
61,Neither agree nor disagree,2,18.6,25.0,20.2,17.0,1.6,2,14.0,25.0,11.6,16.4,2.4
62,Neither agree nor disagree,3,68.6,71.0,70.2,67.0,1.6,2,67.9,71.0,65.5,70.2,2.4
63,Neither agree nor disagree,4,71.4,71.0,73.0,69.8,1.6,2,71.7,71.0,69.4,74.1,2.4
64,Neither agree nor disagree,5,42.5,45.0,44.1,41.0,1.6,2,44.4,45.0,42.0,46.7,2.4
65,Agree,1,62.9,60.0,64.4,61.3,1.6,2,64.7,60.0,62.4,67.1,2.4
66,Agree,2,19.8,24.0,21.4,18.2,1.6,2,18.3,24.0,15.9,20.6,2.4
67,Agree,3,116.9,118.0,118.5,115.3,1.6,2,120.3,118.0,117.9,122.6,2.4
68,Agree,4,74.3,75.0,75.9,72.7,1.6,2,75.2,75.0,72.8,77.5,2.4
69,Agree,5,17.0,17.0,18.5,15.4,1.6,2,18.5,17.0,16.1,20.9,2.4
70,Strongly agree,1,46.6,46.0,48.2,45.1,1.6,2,45.1,46.0,42.8,47.5,2.4
71,Strongly agree,2,22.3,18.0,23.9,20.8,1.6,2,23.2,18.0,20.8,25.5,2.4
72,Strongly agree,3,58.9,58.0,60.5,57.4,1.6,2,57.8,58.0,55.5,60.2,2.4
73,Strongly agree,4,34.5,31.0,36.1,32.9,1.6,2,37.9,31.0,35.5,40.2,2.4
74,Strongly agree,5,19.5,20.0,21.0,17.9,1.6,2,18.6,20.0,16.2,20.9,2.4
75,Strongly disagree,1,66.4,64.0,67.6,65.2,1.2,3,66.9,64.0,65.3,68.4,1.6
76,Strongly disagree,2,11.3,11.0,12.5,10.1,1.2,3,11.2,11.0,9.6,12.8,1.6
77,Strongly disagree,3,29.6,29.0,30.8,28.5,1.2,3,30.6,29.0,29.0,32.2,1.6
78,Strongly disagree,4,14.8,16.0,16.0,13.6,1.2,3,13.6,16.0,12.0,15.2,1.6
79,Strongly disagree,5,26.7,29.0,27.9,25.6,1.2,3,25.9,29.0,24.3,27.5,1.6
80,Disagree,1,26.5,26.0,27.7,25.3,1.2,3,25.2,26.0,23.6,26.7,1.6
81,Disagree,2,14.2,15.0,15.4,13.0,1.2,3,18.1,15.0,16.5,19.7,1.6
82,Disagree,3,22.0,26.0,23.2,20.9,1.2,3,21.3,26.0,19.7,22.9,1.6
83,Disagree,4,30.6,29.0,31.8,29.4,1.2,3,26.9,29.0,25.3,28.5,1.6
84,Disagree,5,21.4,16.0,22.5,20.2,1.2,3,23.2,16.0,21.6,24.7,1.6
85,Neither agree nor disagree,1,54.8,60.0,56.0,53.6,1.2,3,56.7,60.0,55.2,58.3,1.6
86,Neither agree nor disagree,2,21.5,25.0,22.7,20.3,1.2,3,18.6,25.0,17.0,20.2,1.6
87,Neither agree nor disagree,3,68.0,71.0,69.2,66.8,1.2,3,68.6,71.0,67.0,70.2,1.6
88,Neither agree nor disagree,4,71.6,71.0,72.8,70.4,1.2,3,71.4,71.0,69.8,73.0,1.6
89,Neither agree nor disagree,5,44.4,45.0,45.6,43.2,1.2,3,42.5,45.0,41.0,44.1,1.6
90,Agree,1,61.9,60.0,63.1,60.8,1.2,3,62.9,60.0,61.3,64.4,1.6
91,Agree,2,20.9,24.0,22.1,19.7,1.2,3,19.8,24.0,18.2,21.4,1.6
92,Agree,3,117.1,118.0,118.3,115.9,1.2,3,116.9,118.0,115.3,118.5,1.6
93,Agree,4,75.0,75.0,76.2,73.9,1.2,3,74.3,75.0,72.7,75.9,1.6
94,Agree,5,17.1,17.0,18.3,15.9,1.2,3,17.0,17.0,15.4,18.5,1.6
95,Strongly agree,1,46.3,46.0,47.5,45.1,1.2,3,46.6,46.0,45.1,48.2,1.6
96,Strongly agree,2,20.7,18.0,21.9,19.5,1.2,3,22.3,18.0,20.8,23.9,1.6
97,Strongly agree,3,56.6,58.0,57.8,55.4,1.2,3,58.9,58.0,57.4,60.5,1.6
98,Strongly agree,4,34.5,31.0,35.6,33.3,1.2,3,34.5,31.0,32.9,36.1,1.6
99,Strongly agree,5,19.9,20.0,21.1,18.7,1.2,3,19.5,20.0,17.9,21.0,1.6
100,Strongly disagree,1,66.5,64.0,67.4,65.6,0.9,4,66.4,64.0,65.2,67.6,1.2
101,Strongly disagree,2,12.2,11.0,13.2,11.3,0.9,4,11.3,11.0,10.1,12.5,1.2
102,Strongly disagree,3,30.2,29.0,31.1,29.2,0.9,4,29.6,29.0,28.5,30.8,1.2
103,Strongly disagree,4,15.0,16.0,16.0,14.1,0.9,4,14.8,16.0,13.6,16.0,1.2
104,Strongly disagree,5,27.1,29.0,28.0,26.1,0.9,4,26.7,29.0,25.6,27.9,1.2
105,Disagree,1,26.4,26.0,27.4,25.5,0.9,4,26.5,26.0,25.3,27.7,1.2
106,Disagree,2,16.2,15.0,17.1,15.3,0.9,4,14.2,15.0,13.0,15.4,1.2
107,Disagree,3,24.1,26.0,25.1,23.2,0.9,4,22.0,26.0,20.9,23.2,1.2
108,Disagree,4,31.2,29.0,32.1,30.2,0.9,4,30.6,29.0,29.4,31.8,1.2
109,Disagree,5,20.0,16.0,21.0,19.1,0.9,4,21.4,16.0,20.2,22.5,1.2
110,Neither agree nor disagree,1,55.7,60.0,56.6,54.7,0.9,4,54.8,60.0,53.6,56.0,1.2
111,Neither agree nor disagree,2,19.4,25.0,20.3,18.5,0.9,4,21.5,25.0,20.3,22.7,1.2
112,Neither agree nor disagree,3,67.6,71.0,68.6,66.7,0.9,4,68.0,71.0,66.8,69.2,1.2
113,Neither agree nor disagree,4,71.8,71.0,72.7,70.8,0.9,4,71.6,71.0,70.4,72.8,1.2
114,Neither agree nor disagree,5,45.0,45.0,45.9,44.0,0.9,4,44.4,45.0,43.2,45.6,1.2
115,Agree,1,61.2,60.0,62.1,60.3,0.9,4,61.9,60.0,60.8,63.1,1.2
116,Agree,2,21.8,24.0,22.7,20.8,0.9,4,20.9,24.0,19.7,22.1,1.2
117,Agree,3,118.4,118.0,119.3,117.4,0.9,4,117.1,118.0,115.9,118.3,1.2
118,Agree,4,75.5,75.0,76.5,74.6,0.9,4,75.0,75.0,73.9,76.2,1.2
119,Agree,5,20.2,17.0,21.2,19.3,0.9,4,17.1,17.0,15.9,18.3,1.2
120,Strongly agree,1,47.2,46.0,48.1,46.2,0.9,4,46.3,46.0,45.1,47.5,1.2
121,Strongly agree,2,21.6,18.0,22.6,20.7,0.9,4,20.7,18.0,19.5,21.9,1.2
122,Strongly agree,3,57.2,58.0,58.2,56.3,0.9,4,56.6,58.0,55.4,57.8,1.2
123,Strongly agree,4,34.6,31.0,35.5,33.6,0.9,4,34.5,31.0,33.3,35.6,1.2
124,Strongly agree,5,19.7,20.0,20.6,18.7,0.9,4,19.9,20.0,18.7,21.1,1.2
125,Strongly disagree,1,66.4,64.0,67.2,65.6,0.8,5,66.5,64.0,65.6,67.4,0.9
126,Strongly disagree,2,12.1,11.0,12.9,11.3,0.8,5,12.2,11.0,11.3,13.2,0.9
127,Strongly disagree,3,30.1,29.0,30.9,29.4,0.8,5,30.2,29.0,29.2,31.1,0.9
128,Strongly disagree,4,13.8,16.0,14.6,13.0,0.8,5,15.0,16.0,14.1,16.0,0.9
129,Strongly disagree,5,27.9,29.0,28.7,27.1,0.8,5,27.1,29.0,26.1,28.0,0.9
130,Disagree,1,26.1,26.0,26.9,25.3,0.8,5,26.4,26.0,25.5,27.4,0.9
131,Disagree,2,16.1,15.0,16.9,15.4,0.8,5,16.2,15.0,15.3,17.1,0.9
132,Disagree,3,27.3,26.0,28.1,26.5,0.8,5,24.1,26.0,23.2,25.1,0.9
133,Disagree,4,30.7,29.0,31.5,29.9,0.8,5,31.2,29.0,30.2,32.1,0.9
134,Disagree,5,19.3,16.0,20.1,18.5,0.8,5,20.0,16.0,19.1,21.0,0.9
135,Neither agree nor disagree,1,56.2,60.0,57.0,55.4,0.8,5,55.7,60.0,54.7,56.6,0.9
136,Neither agree nor disagree,2,21.3,25.0,22.1,20.5,0.8,5,19.4,25.0,18.5,20.3,0.9
137,Neither agree nor disagree,3,67.9,71.0,68.7,67.2,0.8,5,67.6,71.0,66.7,68.6,0.9
138,Neither agree nor disagree,4,71.6,71.0,72.4,70.9,0.8,5,71.8,71.0,70.8,72.7,0.9
139,Neither agree nor disagree,5,44.4,45.0,45.2,43.6,0.8,5,45.0,45.0,44.0,45.9,0.9
140,Agree,1,60.9,60.0,61.7,60.1,0.8,5,61.2,60.0,60.3,62.1,0.9
141,Agree,2,23.4,24.0,24.2,22.6,0.8,5,21.8,24.0,20.8,22.7,0.9
142,Agree,3,117.4,118.0,118.2,116.6,0.8,5,118.4,118.0,117.4,119.3,0.9
143,Agree,4,75.0,75.0,75.8,74.2,0.8,5,75.5,75.0,74.6,76.5,0.9
144,Agree,5,19.8,17.0,20.5,19.0,0.8,5,20.2,17.0,19.3,21.2,0.9
145,Strongly agree,1,46.2,46.0,47.0,45.4,0.8,5,47.2,46.0,46.2,48.1,0.9
146,Strongly agree,2,21.3,18.0,22.1,20.6,0.8,5,21.6,18.0,20.7,22.6,0.9
147,Strongly agree,3,57.8,58.0,58.6,57.0,0.8,5,57.2,58.0,56.3,58.2,0.9
148,Strongly agree,4,34.0,31.0,34.8,33.2,0.8,5,34.6,31.0,33.6,35.5,0.9
149,Strongly agree,5,20.1,20.0,20.9,19.3,0.8,5,19.7,20.0,18.7,20.6,0.9
150,Strongly disagree,1,64.9,64.0,65.6,64.2,0.7,6,66.4,64.0,65.6,67.2,0.8
151,Strongly disagree,2,11.9,11.0,12.6,11.2,0.7,6,12.1,11.0,11.3,12.9,0.8
152,Strongly disagree,3,29.6,29.0,30.3,28.9,0.7,6,30.1,29.0,29.4,30.9,0.8
153,Strongly disagree,4,15.4,16.0,16.1,14.8,0.7,6,13.8,16.0,13.0,14.6,0.8
154,Strongly disagree,5,29.0,29.0,29.7,28.3,0.7,6,27.9,29.0,27.1,28.7,0.8
155,Disagree,1,24.8,26.0,25.5,24.1,0.7,6,26.1,26.0,25.3,26.9,0.8
156,Disagree,2,15.8,15.0,16.5,15.1,0.7,6,16.1,15.0,15.4,16.9,0.8
157,Disagree,3,27.4,26.0,28.1,26.7,0.7,6,27.3,26.0,26.5,28.1,0.8
158,Disagree,4,29.5,29.0,30.1,28.8,0.7,6,30.7,29.0,29.9,31.5,0.8
159,Disagree,5,18.6,16.0,19.3,17.9,0.7,6,19.3,16.0,18.5,20.1,0.8
160,Neither agree nor disagree,1,56.5,60.0,57.2,55.8,0.7,6,56.2,60.0,55.4,57.0,0.8
161,Neither agree nor disagree,2,21.9,25.0,22.5,21.2,0.7,6,21.3,25.0,20.5,22.1,0.8
162,Neither agree nor disagree,3,68.3,71.0,69.0,67.7,0.7,6,67.9,71.0,67.2,68.7,0.8
163,Neither agree nor disagree,4,69.8,71.0,70.5,69.2,0.7,6,71.6,71.0,70.9,72.4,0.8
164,Neither agree nor disagree,5,44.6,45.0,45.3,43.9,0.7,6,44.4,45.0,43.6,45.2,0.8
165,Agree,1,59.2,60.0,59.9,58.6,0.7,6,60.9,60.0,60.1,61.7,0.8
166,Agree,2,21.6,24.0,22.3,20.9,0.7,6,23.4,24.0,22.6,24.2,0.8
167,Agree,3,116.9,118.0,117.6,116.2,0.7,6,117.4,118.0,116.6,118.2,0.8
168,Agree,4,75.7,75.0,76.3,75.0,0.7,6,75.0,75.0,74.2,75.8,0.8
169,Agree,5,19.7,17.0,20.3,19.0,0.7,6,19.8,17.0,19.0,20.5,0.8
170,Strongly agree,1,47.2,46.0,47.9,46.6,0.7,6,46.2,46.0,45.4,47.0,0.8
171,Strongly agree,2,20.5,18.0,21.2,19.8,0.7,6,21.3,18.0,20.6,22.1,0.8
172,Strongly agree,3,57.9,58.0,58.6,57.2,0.7,6,57.8,58.0,57.0,58.6,0.8
173,Strongly agree,4,32.7,31.0,33.4,32.0,0.7,6,34.0,31.0,33.2,34.8,0.8
174,Strongly agree,5,20.5,20.0,21.1,19.8,0.7,6,20.1,20.0,19.3,20.9,0.8
