,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,197.7,195.0,202.4,193.0,4.7,0,,,,,
1,Emergency,3-4,175.5,178.0,180.2,170.8,4.7,0,,,,,
2,Emergency,5-6,105.5,102.0,110.2,100.8,4.7,0,,,,,
3,Emergency,7-8,64.9,56.0,69.7,60.2,4.7,0,,,,,
4,Emergency,9-10,28.7,19.0,33.4,24.0,4.7,0,,,,,
5,Emergency,11-12,16.7,17.0,21.4,12.0,4.7,0,,,,,
6,Emergency,13-14,10.8,10.0,15.5,6.1,4.7,0,,,,,
7,Urgent,1-2,54.1,53.0,58.8,49.4,4.7,0,,,,,
8,Urgent,3-4,63.0,61.0,67.7,58.2,4.7,0,,,,,
9,Urgent,5-6,27.1,36.0,31.9,22.4,4.7,0,,,,,
10,Urgent,7-8,28.3,30.0,33.0,23.6,4.7,0,,,,,
11,Urgent,9-10,3.8,11.0,8.6,-0.9,4.7,0,,,,,
12,Urgent,11-12,12.2,8.0,16.9,7.5,4.7,0,,,,,
13,Urgent,13-14,5.0,6.0,9.7,0.3,4.7,0,,,,,
14,Elective,1-2,47.8,50.0,52.5,43.1,4.7,0,,,,,
15,Elective,3-4,57.8,59.0,62.5,53.1,4.7,0,,,,,
16,Elective,5-6,9.8,23.0,14.5,5.0,4.7,0,,,,,
17,Elective,7-8,18.9,20.0,23.6,14.2,4.7,0,,,,,
18,Elective,9-10,15.6,8.0,20.3,10.9,4.7,0,,,,,
19,Elective,11-12,4.2,7.0,8.9,-0.5,4.7,0,,,,,
20,Elective,13-14,1.5,3.0,6.2,-3.2,4.7,0,,,,,
21,Newborn,1-2,-9.2,0.0,-4.5,-13.9,4.7,0,,,,,
22,Newborn,3-4,-6.8,0.0,-2.1,-11.5,4.7,0,,,,,
23,Newborn,5-6,1.0,0.0,5.7,-3.7,4.7,0,,,,,
24,Newborn,7-8,4.6,0.0,9.3,-0.1,4.7,0,,,,,
25,Newborn,9-10,-13.5,0.0,-8.8,-18.2,4.7,0,,,,,
26,Newborn,11-12,2.3,0.0,7.0,-2.4,4.7,0,,,,,
27,Newborn,13-14,3.3,0.0,8.0,-1.4,4.7,0,,,,,
28,Not Available,1-2,16.3,15.0,21.0,11.5,4.7,0,,,,,
29,Not Available,3-4,14.1,14.0,18.8,9.3,4.7,0,,,,,
30,Not Available,5-6,8.9,9.0,13.6,4.1,4.7,0,,,,,
31,Not Available,7-8,13.1,5.0,17.8,8.4,4.7,0,,,,,
32,Not Available,9-10,-34.4,1.0,-29.7,-39.2,4.7,0,,,,,
33,Not Available,11-12,-1.4,1.0,3.4,-6.1,4.7,0,,,,,
34,Not Available,13-14,2.8,1.0,7.6,-1.9,4.7,0,,,,,
35,Trauma Center,1-2,-2.0,0.0,2.7,-6.7,4.7,0,,,,,
36,Trauma Center,3-4,1.7,0.0,6.4,-3.1,4.7,0,,,,,
37,Trauma Center,5-6,6.0,0.0,10.8,1.3,4.7,0,,,,,
38,Trauma Center,7-8,-2.4,0.0,2.3,-7.1,4.7,0,,,,,
39,Trauma Center,9-10,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
40,Trauma Center,11-12,-2.3,0.0,2.4,-7.0,4.7,0,,,,,
41,Trauma Center,13-14,-0.9,0.0,3.8,-5.6,4.7,0,,,,,
42,Not Mapped,1-2,3.6,1.0,8.3,-1.1,4.7,0,,,,,
43,Not Mapped,3-4,-6.7,0.0,-1.9,-11.4,4.7,0,,,,,
44,Not Mapped,5-6,2.6,1.0,7.3,-2.2,4.7,0,,,,,
45,Not Mapped,7-8,0.3,0.0,5.1,-4.4,4.7,0,,,,,
46,Not Mapped,9-10,-4.3,0.0,0.4,-9.0,4.7,0,,,,,
47,Not Mapped,11-12,-5.4,0.0,-0.7,-10.1,4.7,0,,,,,
48,Not Mapped,13-14,-2.4,0.0,2.3,-7.1,4.7,0,,,,,
49,Emergency,1-2,194.3,195.0,196.6,191.9,2.4,1,197.7,195.0,193.0,202.4,4.7
50,Emergency,3-4,175.2,178.0,177.5,172.8,2.4,1,175.5,178.0,170.8,180.2,4.7
51,Emergency,5-6,103.7,102.0,106.1,101.4,2.4,1,105.5,102.0,100.8,110.2,4.7
52,Emergency,7-8,61.4,56.0,63.7,59.0,2.4,1,64.9,56.0,60.2,69.7,4.7
53,Emergency,9-10,29.7,19.0,32.0,27.3,2.4,1,28.7,19.0,24.0,33.4,4.7
54,Emergency,11-12,19.1,17.0,21.5,16.8,2.4,1,16.7,17.0,12.0,21.4,4.7
55,Emergency,13-14,10.4,10.0,12.8,8.0,2.4,1,10.8,10.0,6.1,15.5,4.7
56,Urgent,1-2,56.5,53.0,58.8,54.1,2.4,1,54.1,53.0,49.4,58.8,4.7
57,Urgent,3-4,61.5,61.0,63.8,59.1,2.4,1,63.0,61.0,58.2,67.7,4.7
58,Urgent,5-6,30.3,36.0,32.6,27.9,2.4,1,27.1,36.0,22.4,31.9,4.7
59,Urgent,7-8,31.4,30.0,33.8,29.1,2.4,1,28.3,30.0,23.6,33.0,4.7
60,Urgent,9-10,5.3,11.0,7.6,2.9,2.4,1,3.8,11.0,-0.9,8.6,4.7
61,Urgent,11-12,8.8,8.0,11.2,6.5,2.4,1,12.2,8.0,7.5,16.9,4.7
62,Urgent,13-14,5.9,6.0,8.2,3.5,2.4,1,5.0,6.0,0.3,9.7,4.7
63,Elective,1-2,53.1,50.0,55.4,50.7,2.4,1,47.8,50.0,43.1,52.5,4.7
64,Elective,3-4,58.2,59.0,60.6,55.9,2.4,1,57.8,59.0,53.1,62.5,4.7
65,Elective,5-6,14.1,23.0,16.5,11.8,2.4,1,9.8,23.0,5.0,14.5,4.7
66,Elective,7-8,20.7,20.0,23.0,18.3,2.4,1,18.9,20.0,14.2,23.6,4.7
67,Elective,9-10,10.3,8.0,12.7,7.9,2.4,1,15.6,8.0,10.9,20.3,4.7
68,Elective,11-12,3.9,7.0,6.2,1.5,2.4,1,4.2,7.0,-0.5,8.9,4.7
69,Elective,13-14,2.0,3.0,4.4,-0.3,2.4,1,1.5,3.0,-3.2,6.2,4.7
70,Newborn,1-2,-0.0,0.0,2.3,-2.4,2.4,1,-9.2,0.0,-13.9,-4.5,4.7
71,Newborn,3-4,-5.5,0.0,-3.1,-7.8,2.4,1,-6.8,0.0,-11.5,-2.1,4.7
72,Newborn,5-6,2.4,0.0,4.8,0.1,2.4,1,1.0,0.0,-3.7,5.7,4.7
73,Newborn,7-8,3.0,0.0,5.3,0.6,2.4,1,4.6,0.0,-0.1,9.3,4.7
74,Newborn,9-10,-9.3,0.0,-6.9,-11.6,2.4,1,-13.5,0.0,-18.2,-8.8,4.7
75,Newborn,11-12,-1.8,0.0,0.6,-4.1,2.4,1,2.3,0.0,-2.4,7.0,4.7
76,Newborn,13-14,6.1,0.0,8.5,3.8,2.4,1,3.3,0.0,-1.4,8.0,4.7
77,Not Available,1-2,12.6,15.0,15.0,10.3,2.4,1,16.3,15.0,11.5,21.0,4.7
78,Not Available,3-4,13.0,14.0,15.4,10.6,2.4,1,14.1,14.0,9.3,18.8,4.7
79,Not Available,5-6,9.5,9.0,11.9,7.2,2.4,1,8.9,9.0,4.1,13.6,4.7
80,Not Available,7-8,9.2,5.0,11.6,6.8,2.4,1,13.1,5.0,8.4,17.8,4.7
81,Not Available,9-10,-15.9,1.0,-13.5,-18.2,2.4,1,-34.4,1.0,-39.2,-29.7,4.7
82,Not Available,11-12,4.2,1.0,6.5,1.8,2.4,1,-1.4,1.0,-6.1,3.4,4.7
83,Not Available,13-14,0.9,1.0,3.3,-1.4,2.4,1,2.8,1.0,-1.9,7.6,4.7
84,Trauma Center,1-2,1.0,0.0,3.3,-1.4,2.4,1,-2.0,0.0,-6.7,2.7,4.7
85,Trauma Center,3-4,-0.5,0.0,1.8,-2.9,2.4,1,1.7,0.0,-3.1,6.4,4.7
