,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,0.1,0.0,4.8,-4.6,4.7,0,,,,,
1,0 - 9,10-19,2.6,0.0,7.3,-2.1,4.7,0,,,,,
2,0 - 9,20-29,4.5,0.0,9.2,-0.2,4.7,0,,,,,
3,0 - 9,30-39,-13.8,0.0,-9.1,-18.5,4.7,0,,,,,
4,0 - 9,40-49,-1.6,0.0,3.1,-6.3,4.7,0,,,,,
5,0 - 9,50-89,8.2,0.0,12.9,3.5,4.7,0,,,,,
6,10 - 19,1-9,9.5,11.0,14.2,4.8,4.7,0,,,,,
7,10 - 19,10-19,2.3,2.0,7.0,-2.4,4.7,0,,,,,
8,10 - 19,20-29,-2.7,0.0,2.0,-7.4,4.7,0,,,,,
9,10 - 19,30-39,3.2,0.0,7.9,-1.5,4.7,0,,,,,
10,10 - 19,40-49,-1.3,0.0,3.5,-6.0,4.7,0,,,,,
11,10 - 19,50-89,0.3,0.0,5.0,-4.4,4.7,0,,,,,
12,20 - 29,1-9,8.4,7.0,13.1,3.7,4.7,0,,,,,
13,20 - 29,10-19,4.1,7.0,8.8,-0.6,4.7,0,,,,,
14,20 - 29,20-29,6.7,0.0,11.4,2.0,4.7,0,,,,,
15,20 - 29,30-39,-1.0,0.0,3.7,-5.7,4.7,0,,,,,
16,20 - 29,40-49,2.3,0.0,7.1,-2.4,4.7,0,,,,,
17,20 - 29,50-89,2.5,0.0,7.2,-2.2,4.7,0,,,,,
18,30 - 39,1-9,10.0,15.0,14.7,5.2,4.7,0,,,,,
19,30 - 39,10-19,33.3,35.0,38.0,28.6,4.7,0,,,,,
20,30 - 39,20-29,8.8,9.0,13.5,4.1,4.7,0,,,,,
21,30 - 39,30-39,4.4,3.0,9.1,-0.3,4.7,0,,,,,
22,30 - 39,40-49,-2.2,0.0,2.5,-6.9,4.7,0,,,,,
23,30 - 39,50-89,1.7,0.0,6.4,-3.0,4.7,0,,,,,
24,40 - 49,1-9,17.6,21.0,22.3,12.9,4.7,0,,,,,
25,40 - 49,10-19,43.5,45.0,48.2,38.8,4.7,0,,,,,
26,40 - 49,20-29,25.0,20.0,29.7,20.3,4.7,0,,,,,
27,40 - 49,30-39,1.0,7.0,5.7,-3.7,4.7,0,,,,,
28,40 - 49,40-49,3.3,1.0,8.0,-1.4,4.7,0,,,,,
29,40 - 49,50-89,-3.9,3.0,0.8,-8.7,4.7,0,,,,,
30,50 - 59,1-9,35.2,33.0,39.9,30.5,4.7,0,,,,,
31,50 - 59,10-19,95.3,96.0,100.0,90.6,4.7,0,,,,,
32,50 - 59,20-29,47.5,34.0,52.3,42.8,4.7,0,,,,,
33,50 - 59,30-39,10.7,11.0,15.4,6.0,4.7,0,,,,,
34,50 - 59,40-49,0.8,4.0,5.5,-3.9,4.7,0,,,,,
35,50 - 59,50-89,0.8,2.0,5.5,-3.9,4.7,0,,,,,
36,60 - 69,1-9,37.9,39.0,42.6,33.2,4.7,0,,,,,
37,60 - 69,10-19,86.4,94.0,91.1,81.7,4.7,0,,,,,
38,60 - 69,20-29,48.5,50.0,53.2,43.8,4.7,0,,,,,
39,60 - 69,30-39,30.1,10.0,34.8,25.4,4.7,0,,,,,
40,60 - 69,40-49,3.2,5.0,7.9,-1.6,4.7,0,,,,,
41,60 - 69,50-89,0.7,1.0,5.4,-4.0,4.7,0,,,,,
42,70 - 79,1-9,43.3,36.0,48.0,38.6,4.7,0,,,,,
43,70 - 79,10-19,124.5,128.0,129.2,119.8,4.7,0,,,,,
44,70 - 79,20-29,60.1,63.0,64.9,55.4,4.7,0,,,,,
45,70 - 79,30-39,3.6,8.0,8.3,-1.1,4.7,0,,,,,
46,70 - 79,40-49,3.1,6.0,7.8,-1.6,4.7,0,,,,,
47,70 - 79,50-89,16.8,1.0,21.6,12.1,4.7,0,,,,,
48,80 - 89,1-9,17.0,22.0,21.7,12.2,4.7,0,,,,,
49,80 - 89,10-19,109.0,109.0,113.7,104.3,4.7,0,,,,,
50,80 - 89,20-29,34.7,35.0,39.4,30.0,4.7,0,,,,,
51,80 - 89,30-39,7.1,5.0,11.8,2.4,4.7,0,,,,,
52,80 - 89,40-49,0.9,0.0,5.6,-3.8,4.7,0,,,,,
53,80 - 89,50-89,0.9,0.0,5.6,-3.8,4.7,0,,,,,
54,90 - 99,1-9,8.3,8.0,13.0,3.6,4.7,0,,,,,
55,90 - 99,10-19,6.3,11.0,11.0,1.5,4.7,0,,,,,
56,90 - 99,20-29,-0.9,3.0,3.8,-5.7,4.7,0,,,,,
57,90 - 99,30-39,-0.3,0.0,4.4,-5.1,4.7,0,,,,,
58,90 - 99,40-49,-0.5,0.0,4.2,-5.2,4.7,0,,,,,
59,90 - 99,50-89,2.1,0.0,6.8,-2.6,4.7,0,,,,,
60,0 - 9,1-9,-0.1,0.0,2.3,-2.4,2.4,1,0.1,0.0,-4.6,4.8,4.7
61,0 - 9,10-19,-1.7,0.0,0.7,-4.0,2.4,1,2.6,0.0,-2.1,7.3,4.7
62,0 - 9,20-29,2.5,0.0,4.9,0.1,2.4,1,4.5,0.0,-0.2,9.2,4.7
63,0 - 9,30-39,-8.2,0.0,-5.8,-10.5,2.4,1,-13.8,0.0,-18.5,-9.1,4.7
64,0 - 9,40-49,-5.2,0.0,-2.8,-7.6,2.4,1,-1.6,0.0,-6.3,3.1,4.7
65,0 - 9,50-89,8.5,0.0,10.9,6.2,2.4,1,8.2,0.0,3.5,12.9,4.7
66,10 - 19,1-9,11.3,11.0,13.6,8.9,2.4,1,9.5,11.0,4.8,14.2,4.7
67,10 - 19,10-19,2.1,2.0,4.5,-0.2,2.4,1,2.3,2.0,-2.4,7.0,4.7
68,10 - 19,20-29,-4.2,0.0,-1.8,-6.5,2.4,1,-2.7,0.0,-7.4,2.0,4.7
69,10 - 19,30-39,1.7,0.0,4.0,-0.7,2.4,1,3.2,0.0,-1.5,7.9,4.7
70,10 - 19,40-49,-0.9,0.0,1.5,-3.2,2.4,1,-1.3,0.0,-6.0,3.5,4.7
71,10 - 19,50-89,0.3,0.0,2.7,-2.1,2.4,1,0.3,0.0,-4.4,5.0,4.7
72,20 - 29,1-9,15.4,7.0,17.8,13.0,2.4,1,8.4,7.0,3.7,13.1,4.7
73,20 - 29,10-19,6.2,7.0,8.6,3.9,2.4,1,4.1,7.0,-0.6,8.8,4.7
74,20 - 29,20-29,2.8,0.0,5.1,0.4,2.4,1,6.7,0.0,2.0,11.4,4.7
75,20 - 29,30-39,-0.7,0.0,1.7,-3.1,2.4,1,-1.0,0.0,-5.7,3.7,4.7
76,20 - 29,40-49,2.5,0.0,4.9,0.1,2.4,1,2.3,0.0,-2.4,7.1,4.7
77,20 - 29,50-89,1.7,0.0,4.1,-0.6,2.4,1,2.5,0.0,-2.2,7.2,4.7
78,30 - 39,1-9,13.1,15.0,15.4,10.7,2.4,1,10.0,15.0,5.2,14.7,4.7
79,30 - 39,10-19,38.8,35.0,41.1,36.4,2.4,1,33.3,35.0,28.6,38.0,4.7
80,30 - 39,20-29,7.7,9.0,10.0,5.3,2.4,1,8.8,9.0,4.1,13.5,4.7
81,30 - 39,30-39,3.3,3.0,5.7,0.9,2.4,1,4.4,3.0,-0.3,9.1,4.7
82,30 - 39,40-49,-4.1,0.0,-1.7,-6.5,2.4,1,-2.2,0.0,-6.9,2.5,4.7
83,30 - 39,50-89,2.6,0.0,5.0,0.2,2.4,1,1.7,0.0,-3.0,6.4,4.7
84,40 - 49,1-9,17.5,21.0,19.8,15.1,2.4,1,17.6,21.0,12.9,22.3,4.7
85,40 - 49,10-19,42.4,45.0,44.8,40.0,2.4,1,43.5,45.0,38.8,48.2,4.7
86,40 - 49,20-29,21.5,20.0,23.9,19.2,2.4,1,25.0,20.0,20.3,29.7,4.7
87,40 - 49,30-39,-3.1,7.0,-0.7,-5.4,2.4,1,1.0,7.0,-3.7,5.7,4.7
88,40 - 49,40-49,3.3,1.0,5.6,0.9,2.4,1,3.3,1.0,-1.4,8.0,4.7
89,40 - 49,50-89,1.6,3.0,3.9,-0.8,2.4,1,-3.9,3.0,-8.7,0.8,4.7
90,50 - 59,1-9,33.3,33.0,35.6,30.9,2.4,1,35.2,33.0,30.5,39.9,4.7
91,50 - 59,10-19,95.6,96.0,97.9,93.2,2.4,1,95.3,96.0,90.6,100.0,4.7
92,50 - 59,20-29,41.9,34.0,44.2,39.5,2.4,1,47.5,34.0,42.8,52.3,4.7
93,50 - 59,30-39,11.4,11.0,13.8,9.1,2.4,1,10.7,11.0,6.0,15.4,4.7
94,50 - 59,40-49,1.3,4.0,3.7,-1.0,2.4,1,0.8,4.0,-3.9,5.5,4.7
95,50 - 59,50-89,1.0,2.0,3.4,-1.4,2.4,1,0.8,2.0,-3.9,5.5,4.7
96,60 - 69,1-9,39.5,39.0,41.8,37.1,2.4,1,37.9,39.0,33.2,42.6,4.7
97,60 - 69,10-19,87.1,94.0,89.4,84.7,2.4,1,86.4,94.0,81.7,91.1,4.7
98,60 - 69,20-29,47.8,50.0,50.1,45.4,2.4,1,48.5,50.0,43.8,53.2,4.7
99,60 - 69,30-39,22.6,10.0,24.9,20.2,2.4,1,30.1,10.0,25.4,34.8,4.7
100,60 - 69,40-49,3.8,5.0,6.1,1.4,2.4,1,3.2,5.0,-1.6,7.9,4.7
101,60 - 69,50-89,-0.6,1.0,1.7,-3.0,2.4,1,0.7,1.0,-4.0,5.4,4.7
102,70 - 79,1-9,39.3,36.0,41.7,37.0,2.4,1,43.3,36.0,38.6,48.0,4.7
103,70 - 79,10-19,127.4,128.0,129.8,125.1,2.4,1,124.5,128.0,119.8,129.2,4.7
104,70 - 79,20-29,59.4,63.0,61.7,57.0,2.4,1,60.1,63.0,55.4,64.9,4.7
105,70 - 79,30-39,7.8,8.0,10.2,5.5,2.4,1,3.6,8.0,-1.1,8.3,4.7
106,70 - 79,40-49,4.1,6.0,6.4,1.7,2.4,1,3.1,6.0,-1.6,7.8,4.7
107,70 - 79,50-89,8.8,1.0,11.2,6.5,2.4,1,16.8,1.0,12.1,21.6,4.7
108,80 - 89,1-9,18.5,22.0,20.8,16.1,2.4,1,17.0,22.0,12.2,21.7,4.7
109,80 - 89,10-19,112.7,109.0,115.1,110.4,2.4,1,109.0,109.0,104.3,113.7,4.7
110,80 - 89,20-29,34.8,35.0,37.1,32.4,2.4,1,34.7,35.0,30.0,39.4,4.7
111,80 - 89,30-39,4.1,5.0,6.4,1.7,2.4,1,7.1,5.0,2.4,11.8,4.7
112,80 - 89,40-49,0.6,0.0,3.0,-1.7,2.4,1,0.9,0.0,-3.8,5.6,4.7
113,80 - 89,50-89,0.9,0.0,3.3,-1.4,2.4,1,0.9,0.0,-3.8,5.6,4.7
