,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,202.3,205.0,207.0,197.6,4.7,0,,,,,
1,0,2,20.5,16.0,25.2,15.8,4.7,0,,,,,
2,0,3,31.1,34.0,35.8,26.3,4.7,0,,,,,
3,0,4,28.1,22.0,32.8,23.3,4.7,0,,,,,
4,0,5,22.9,23.0,27.6,18.2,4.7,0,,,,,
5,1,1,18.5,16.0,23.2,13.8,4.7,0,,,,,
6,1,2,29.1,29.0,33.8,24.4,4.7,0,,,,,
7,1,3,60.3,62.0,65.0,55.5,4.7,0,,,,,
8,1,4,39.7,43.0,44.4,35.0,4.7,0,,,,,
9,1,5,17.9,24.0,22.6,13.2,4.7,0,,,,,
10,2,1,7.6,8.0,12.3,2.9,4.7,0,,,,,
11,2,2,13.2,17.0,17.9,8.5,4.7,0,,,,,
12,2,3,65.8,61.0,70.5,61.0,4.7,0,,,,,
13,2,4,36.0,38.0,40.7,31.3,4.7,0,,,,,
14,2,5,19.4,20.0,24.1,14.7,4.7,0,,,,,
15,3,1,16.0,15.0,20.7,11.3,4.7,0,,,,,
16,3,2,16.6,16.0,21.3,11.9,4.7,0,,,,,
17,3,3,101.7,101.0,106.5,97.0,4.7,0,,,,,
18,3,4,68.9,71.0,73.6,64.2,4.7,0,,,,,
19,3,5,29.1,31.0,33.8,24.4,4.7,0,,,,,
20,4,1,10.6,12.0,15.3,5.9,4.7,0,,,,,
21,4,2,10.9,15.0,15.6,6.1,4.7,0,,,,,
22,4,3,40.3,44.0,45.0,35.6,4.7,0,,,,,
23,4,4,56.8,48.0,61.5,52.0,4.7,0,,,,,
24,4,5,37.4,29.0,42.2,32.7,4.7,0,,,,,
25,0,1,194.1,205.0,196.5,191.8,2.4,1,202.3,205.0,197.6,207.0,4.7
26,0,2,18.3,16.0,20.7,15.9,2.4,1,20.5,16.0,15.8,25.2,4.7
27,0,3,33.1,34.0,35.4,30.7,2.4,1,31.1,34.0,26.3,35.8,4.7
28,0,4,30.9,22.0,33.3,28.6,2.4,1,28.1,22.0,23.3,32.8,4.7
29,0,5,21.9,23.0,24.2,19.5,2.4,1,22.9,23.0,18.2,27.6,4.7
30,1,1,19.5,16.0,21.9,17.2,2.4,1,18.5,16.0,13.8,23.2,4.7
31,1,2,32.2,29.0,34.5,29.8,2.4,1,29.1,29.0,24.4,33.8,4.7
32,1,3,52.1,62.0,54.5,49.7,2.4,1,60.3,62.0,55.5,65.0,4.7
33,1,4,41.3,43.0,43.6,38.9,2.4,1,39.7,43.0,35.0,44.4,4.7
34,1,5,26.5,24.0,28.8,24.1,2.4,1,17.9,24.0,13.2,22.6,4.7
35,2,1,9.4,8.0,11.8,7.1,2.4,1,7.6,8.0,2.9,12.3,4.7
36,2,2,15.2,17.0,17.6,12.9,2.4,1,13.2,17.0,8.5,17.9,4.7
37,2,3,64.7,61.0,67.0,62.3,2.4,1,65.8,61.0,61.0,70.5,4.7
38,2,4,36.9,38.0,39.3,34.6,2.4,1,36.0,38.0,31.3,40.7,4.7
39,2,5,14.9,20.0,17.3,12.6,2.4,1,19.4,20.0,14.7,24.1,4.7
40,3,1,13.0,15.0,15.4,10.6,2.4,1,16.0,15.0,11.3,20.7,4.7
41,3,2,15.1,16.0,17.5,12.8,2.4,1,16.6,16.0,11.9,21.3,4.7
42,3,3,105.8,101.0,108.2,103.4,2.4,1,101.7,101.0,97.0,106.5,4.7
43,3,4,70.5,71.0,72.8,68.1,2.4,1,68.9,71.0,64.2,73.6,4.7
44,3,5,31.7,31.0,34.1,29.4,2.4,1,29.1,31.0,24.4,33.8,4.7
45,4,1,11.8,12.0,14.2,9.5,2.4,1,10.6,12.0,5.9,15.3,4.7
46,4,2,14.6,15.0,16.9,12.2,2.4,1,10.9,15.0,6.1,15.6,4.7
47,4,3,45.4,44.0,47.7,43.0,2.4,1,40.3,44.0,35.6,45.0,4.7
48,4,4,55.3,48.0,57.6,52.9,2.4,1,56.8,48.0,52.0,61.5,4.7
49,4,5,35.0,29.0,37.3,32.6,2.4,1,37.4,29.0,32.7,42.2,4.7
50,0,1,197.4,205.0,199.0,195.8,1.6,2,194.1,205.0,191.8,196.5,2.4
51,0,2,16.7,16.0,18.3,15.2,1.6,2,18.3,16.0,15.9,20.7,2.4
52,0,3,34.4,34.0,35.9,32.8,1.6,2,33.1,34.0,30.7,35.4,2.4
53,0,4,27.6,22.0,29.1,26.0,1.6,2,30.9,22.0,28.6,33.3,2.4
54,0,5,22.6,23.0,24.2,21.0,1.6,2,21.9,23.0,19.5,24.2,2.4
55,1,1,18.5,16.0,20.1,17.0,1.6,2,19.5,16.0,17.2,21.9,2.4
56,1,2,33.5,29.0,35.0,31.9,1.6,2,32.2,29.0,29.8,34.5,2.4
57,1,3,57.8,62.0,59.4,56.3,1.6,2,52.1,62.0,49.7,54.5,2.4
58,1,4,40.2,43.0,41.7,38.6,1.6,2,41.3,43.0,38.9,43.6,2.4
59,1,5,26.9,24.0,28.5,25.4,1.6,2,26.5,24.0,24.1,28.8,2.4
60,2,1,7.2,8.0,8.8,5.6,1.6,2,9.4,8.0,7.1,11.8,2.4
