,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,14.3,17.0,19.0,9.6,4.7,0,,,,,
1,Strongly disagree,Instructor 2,30.5,26.0,35.2,25.8,4.7,0,,,,,
2,Strongly disagree,Instructor 3,106.1,109.0,110.8,101.3,4.7,0,,,,,
3,Disagree,Instructor 1,14.9,15.0,19.6,10.2,4.7,0,,,,,
4,Disagree,Instructor 2,27.8,27.0,32.6,23.1,4.7,0,,,,,
5,Disagree,Instructor 3,92.5,90.0,97.2,87.8,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,30.3,32.0,35.0,25.5,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,63.7,67.0,68.4,59.0,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,183.9,190.0,188.6,179.2,4.7,0,,,,,
9,Agree,Instructor 1,33.6,34.0,38.3,28.9,4.7,0,,,,,
10,Agree,Instructor 2,77.2,81.0,81.9,72.5,4.7,0,,,,,
11,Agree,Instructor 3,147.8,143.0,152.5,143.0,4.7,0,,,,,
12,Strongly agree,Instructor 1,23.4,24.0,28.1,18.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,47.3,49.0,52.0,42.5,4.7,0,,,,,
14,Strongly agree,Instructor 3,97.0,96.0,101.7,92.3,4.7,0,,,,,
15,Strongly disagree,Instructor 1,14.9,17.0,17.3,12.6,2.4,1,14.3,17.0,9.6,19.0,4.7
16,Strongly disagree,Instructor 2,26.2,26.0,28.5,23.8,2.4,1,30.5,26.0,25.8,35.2,4.7
17,Strongly disagree,Instructor 3,105.7,109.0,108.0,103.3,2.4,1,106.1,109.0,101.3,110.8,4.7
18,Disagree,Instructor 1,19.2,15.0,21.5,16.8,2.4,1,14.9,15.0,10.2,19.6,4.7
19,Disagree,Instructor 2,25.8,27.0,28.2,23.4,2.4,1,27.8,27.0,23.1,32.6,4.7
20,Disagree,Instructor 3,86.2,90.0,88.6,83.9,2.4,1,92.5,90.0,87.8,97.2,4.7
21,Neither agree nor disagree,Instructor 1,32.0,32.0,34.3,29.6,2.4,1,30.3,32.0,25.5,35.0,4.7
22,Neither agree nor disagree,Instructor 2,66.7,67.0,69.1,64.4,2.4,1,63.7,67.0,59.0,68.4,4.7
23,Neither agree nor disagree,Instructor 3,181.8,190.0,184.2,179.5,2.4,1,183.9,190.0,179.2,188.6,4.7
24,Agree,Instructor 1,24.3,34.0,26.6,21.9,2.4,1,33.6,34.0,28.9,38.3,4.7
25,Agree,Instructor 2,79.1,81.0,81.5,76.8,2.4,1,77.2,81.0,72.5,81.9,4.7
26,Agree,Instructor 3,145.9,143.0,148.3,143.6,2.4,1,147.8,143.0,143.0,152.5,4.7
27,Strongly agree,Instructor 1,22.6,24.0,24.9,20.2,2.4,1,23.4,24.0,18.7,28.1,4.7
28,Strongly agree,Instructor 2,49.7,49.0,52.0,47.3,2.4,1,47.3,49.0,42.5,52.0,4.7
29,Strongly agree,Instructor 3,98.7,96.0,101.1,96.4,2.4,1,97.0,96.0,92.3,101.7,4.7
30,Strongly disagree,Instructor 1,16.7,17.0,18.3,15.2,1.6,2,14.9,17.0,12.6,17.3,2.4
31,Strongly disagree,Instructor 2,26.2,26.0,27.8,24.7,1.6,2,26.2,26.0,23.8,28.5,2.4
32,Strongly disagree,Instructor 3,107.7,109.0,109.2,106.1,1.6,2,105.7,109.0,103.3,108.0,2.4
33,Disagree,Instructor 1,14.6,15.0,16.2,13.1,1.6,2,19.2,15.0,16.8,21.5,2.4
34,Disagree,Instructor 2,24.2,27.0,25.8,22.7,1.6,2,25.8,27.0,23.4,28.2,2.4
35,Disagree,Instructor 3,85.8,90.0,87.4,84.2,1.6,2,86.2,90.0,83.9,88.6,2.4
36,Neither agree nor disagree,Instructor 1,34.9,32.0,36.5,33.4,1.6,2,32.0,32.0,29.6,34.3,2.4
37,Neither agree nor disagree,Instructor 2,67.2,67.0,68.7,65.6,1.6,2,66.7,67.0,64.4,69.1,2.4
38,Neither agree nor disagree,Instructor 3,185.7,190.0,187.2,184.1,1.6,2,181.8,190.0,179.5,184.2,2.4
39,Agree,Instructor 1,27.9,34.0,29.4,26.3,1.6,2,24.3,34.0,21.9,26.6,2.4
40,Agree,Instructor 2,80.8,81.0,82.4,79.3,1.6,2,79.1,81.0,76.8,81.5,2.4
41,Agree,Instructor 3,147.1,143.0,148.7,145.5,1.6,2,145.9,143.0,143.6,148.3,2.4
42,Strongly agree,Instructor 1,24.2,24.0,25.8,22.7,1.6,2,22.6,24.0,20.2,24.9,2.4
43,Strongly agree,Instructor 2,47.6,49.0,49.2,46.0,1.6,2,49.7,49.0,47.3,52.0,2.4
44,Strongly agree,Instructor 3,97.5,96.0,99.0,95.9,1.6,2,98.7,96.0,96.4,101.1,2.4
45,Strongly disagree,Instructor 1,16.5,17.0,17.7,15.4,1.2,3,16.7,17.0,15.2,18.3,1.6
46,Strongly disagree,Instructor 2,25.6,26.0,26.8,24.4,1.2,3,26.2,26.0,24.7,27.8,1.6
47,Strongly disagree,Instructor 3,108.7,109.0,109.9,107.6,1.2,3,107.7,109.0,106.1,109.2,1.6
48,Disagree,Instructor 1,15.0,15.0,16.2,13.8,1.2,3,14.6,15.0,13.1,16.2,1.6
49,Disagree,Instructor 2,24.9,27.0,26.1,23.7,1.2,3,24.2,27.0,22.7,25.8,1.6
50,Disagree,Instructor 3,87.0,90.0,88.2,85.8,1.2,3,85.8,90.0,84.2,87.4,1.6
51,Neither agree nor disagree,Instructor 1,36.0,32.0,37.2,34.8,1.2,3,34.9,32.0,33.4,36.5,1.6
52,Neither agree nor disagree,Instructor 2,65.9,67.0,67.1,64.7,1.2,3,67.2,67.0,65.6,68.7,1.6
53,Neither agree nor disagree,Instructor 3,187.7,190.0,188.9,186.5,1.2,3,185.7,190.0,184.1,187.2,1.6
54,Agree,Instructor 1,28.1,34.0,29.2,26.9,1.2,3,27.9,34.0,26.3,29.4,1.6
55,Agree,Instructor 2,80.7,81.0,81.8,79.5,1.2,3,80.8,81.0,79.3,82.4,1.6
56,Agree,Instructor 3,146.1,143.0,147.3,144.9,1.2,3,147.1,143.0,145.5,148.7,1.6
57,Strongly agree,Instructor 1,23.9,24.0,25.1,22.7,1.2,3,24.2,24.0,22.7,25.8,1.6
58,Strongly agree,Instructor 2,44.9,49.0,46.0,43.7,1.2,3,47.6,49.0,46.0,49.2,1.6
59,Strongly agree,Instructor 3,98.2,96.0,99.3,97.0,1.2,3,97.5,96.0,95.9,99.0,1.6
