,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,1,81.1,72.0,85.8,76.3,4.7,0,,,,,
1,Strongly disagree,2,11.3,11.0,16.0,6.6,4.7,0,,,,,
2,Strongly disagree,3,30.7,21.0,35.4,26.0,4.7,0,,,,,
3,Strongly disagree,4,18.9,17.0,23.6,14.2,4.7,0,,,,,
4,Strongly disagree,5,30.7,29.0,35.4,26.0,4.7,0,,,,,
5,Disagree,1,37.2,27.0,41.9,32.4,4.7,0,,,,,
6,Disagree,2,-8.6,6.0,-3.9,-13.3,4.7,0,,,,,
7,Disagree,3,23.7,26.0,28.4,19.0,4.7,0,,,,,
8,Disagree,4,15.5,16.0,20.2,10.8,4.7,0,,,,,
9,Disagree,5,16.7,14.0,21.4,12.0,4.7,0,,,,,
10,Neither agree nor disagree,1,87.3,83.0,92.0,82.6,4.7,0,,,,,
11,Neither agree nor disagree,2,38.4,27.0,43.1,33.6,4.7,0,,,,,
12,Neither agree nor disagree,3,72.3,76.0,77.0,67.6,4.7,0,,,,,
13,Neither agree nor disagree,4,54.7,54.0,59.4,50.0,4.7,0,,,,,
14,Neither agree nor disagree,5,26.6,40.0,31.3,21.9,4.7,0,,,,,
15,Agree,1,50.9,59.0,55.6,46.2,4.7,0,,,,,
16,Agree,2,41.2,33.0,45.9,36.4,4.7,0,,,,,
17,Agree,3,111.5,112.0,116.3,106.8,4.7,0,,,,,
18,Agree,4,70.6,63.0,75.3,65.9,4.7,0,,,,,
19,Agree,5,30.8,28.0,35.5,26.1,4.7,0,,,,,
20,Strongly agree,1,41.5,45.0,46.2,36.8,4.7,0,,,,,
21,Strongly agree,2,14.7,21.0,19.4,10.0,4.7,0,,,,,
22,Strongly agree,3,58.8,58.0,63.5,54.0,4.7,0,,,,,
23,Strongly agree,4,36.4,40.0,41.1,31.6,4.7,0,,,,,
24,Strongly agree,5,24.1,22.0,28.8,19.4,4.7,0,,,,,
25,Strongly disagree,1,76.6,72.0,79.0,74.3,2.4,1,81.1,72.0,76.3,85.8,4.7
26,Strongly disagree,2,11.7,11.0,14.1,9.3,2.4,1,11.3,11.0,6.6,16.0,4.7
27,Strongly disagree,3,25.5,21.0,27.8,23.1,2.4,1,30.7,21.0,26.0,35.4,4.7
28,Strongly disagree,4,18.5,17.0,20.9,16.2,2.4,1,18.9,17.0,14.2,23.6,4.7
29,Strongly disagree,5,29.5,29.0,31.8,27.1,2.4,1,30.7,29.0,26.0,35.4,4.7
30,Disagree,1,33.4,27.0,35.7,31.0,2.4,1,37.2,27.0,32.4,41.9,4.7
31,Disagree,2,-3.0,6.0,-0.7,-5.4,2.4,1,-8.6,6.0,-13.3,-3.9,4.7
32,Disagree,3,24.4,26.0,26.7,22.0,2.4,1,23.7,26.0,19.0,28.4,4.7
