,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,197.2,205.0,202.0,192.5,4.7,0,,,,,
1,0,2,14.2,16.0,18.9,9.5,4.7,0,,,,,
2,0,3,35.9,34.0,40.7,31.2,4.7,0,,,,,
3,0,4,11.5,22.0,16.2,6.8,4.7,0,,,,,
4,0,5,20.0,23.0,24.8,15.3,4.7,0,,,,,
5,1,1,14.3,16.0,19.0,9.6,4.7,0,,,,,
6,1,2,30.3,29.0,35.0,25.6,4.7,0,,,,,
7,1,3,60.4,62.0,65.1,55.7,4.7,0,,,,,
8,1,4,43.6,43.0,48.3,38.9,4.7,0,,,,,
9,1,5,17.4,24.0,22.1,12.7,4.7,0,,,,,
10,2,1,3.6,8.0,8.3,-1.1,4.7,0,,,,,
11,2,2,13.6,17.0,18.3,8.8,4.7,0,,,,,
12,2,3,61.0,61.0,65.7,56.3,4.7,0,,,,,
13,2,4,42.3,38.0,47.0,37.6,4.7,0,,,,,
14,2,5,22.4,20.0,27.1,17.7,4.7,0,,,,,
15,3,1,17.4,15.0,22.2,12.7,4.7,0,,,,,
16,3,2,15.1,16.0,19.8,10.4,4.7,0,,,,,
17,3,3,100.3,101.0,105.0,95.6,4.7,0,,,,,
18,3,4,72.9,71.0,77.6,68.1,4.7,0,,,,,
19,3,5,29.0,31.0,33.7,24.2,4.7,0,,,,,
20,4,1,17.8,12.0,22.5,13.1,4.7,0,,,,,
21,4,2,17.5,15.0,22.2,12.7,4.7,0,,,,,
22,4,3,44.1,44.0,48.8,39.4,4.7,0,,,,,
23,4,4,44.4,48.0,49.1,39.6,4.7,0,,,,,
24,4,5,27.3,29.0,32.0,22.6,4.7,0,,,,,
25,0,1,203.1,205.0,205.5,200.8,2.4,1,197.2,205.0,192.5,202.0,4.7
26,0,2,14.0,16.0,16.4,11.7,2.4,1,14.2,16.0,9.5,18.9,4.7
