,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,145.1,158.0,149.8,140.4,4.7,0,,,,,
1,Emergency,3-4,185.0,185.0,189.7,180.3,4.7,0,,,,,
2,Emergency,5-6,94.0,94.0,98.7,89.3,4.7,0,,,,,
3,Emergency,7-8,43.6,48.0,48.3,38.9,4.7,0,,,,,
4,Emergency,9-10,27.8,32.0,32.5,23.1,4.7,0,,,,,
5,Emergency,11-12,11.2,14.0,16.0,6.5,4.7,0,,,,,
6,Emergency,13-14,7.4,8.0,12.1,2.7,4.7,0,,,,,
7,Urgent,1-2,52.1,58.0,56.8,47.3,4.7,0,,,,,
8,Urgent,3-4,48.8,50.0,53.5,44.1,4.7,0,,,,,
9,Urgent,5-6,40.3,44.0,45.1,35.6,4.7,0,,,,,
10,Urgent,7-8,40.7,36.0,45.4,36.0,4.7,0,,,,,
11,Urgent,9-10,16.7,9.0,21.5,12.0,4.7,0,,,,,
12,Urgent,11-12,-3.5,5.0,1.2,-8.2,4.7,0,,,,,
13,Urgent,13-14,6.7,5.0,11.4,2.0,4.7,0,,,,,
14,Elective,1-2,72.3,67.0,77.0,67.6,4.7,0,,,,,
15,Elective,3-4,62.4,61.0,67.1,57.6,4.7,0,,,,,
16,Elective,5-6,30.3,30.0,35.0,25.6,4.7,0,,,,,
17,Elective,7-8,17.7,16.0,22.4,13.0,4.7,0,,,,,
18,Elective,9-10,8.1,9.0,12.9,3.4,4.7,0,,,,,
19,Elective,11-12,9.6,8.0,14.4,4.9,4.7,0,,,,,
20,Elective,13-14,8.5,5.0,13.2,3.8,4.7,0,,,,,
21,Newborn,1-2,7.1,0.0,11.8,2.4,4.7,0,,,,,
22,Newborn,3-4,3.1,0.0,7.8,-1.6,4.7,0,,,,,
23,Newborn,5-6,11.3,0.0,16.1,6.6,4.7,0,,,,,
24,Newborn,7-8,-3.6,0.0,1.1,-8.3,4.7,0,,,,,
25,Newborn,9-10,0.1,0.0,4.9,-4.6,4.7,0,,,,,
26,Newborn,11-12,7.4,0.0,12.1,2.7,4.7,0,,,,,
27,Newborn,13-14,1.2,0.0,5.9,-3.5,4.7,0,,,,,
28,Not Available,1-2,27.5,18.0,32.2,22.8,4.7,0,,,,,
29,Not Available,3-4,17.7,21.0,22.4,13.0,4.7,0,,,,,
30,Not Available,5-6,4.6,7.0,9.3,-0.1,4.7,0,,,,,
31,Not Available,7-8,9.6,5.0,14.3,4.9,4.7,0,,,,,
32,Not Available,9-10,5.6,0.0,10.3,0.9,4.7,0,,,,,
33,Not Available,11-12,3.4,1.0,8.1,-1.3,4.7,0,,,,,
34,Not Available,13-14,-1.2,0.0,3.5,-5.9,4.7,0,,,,,
35,Trauma Center,1-2,0.8,0.0,5.5,-3.9,4.7,0,,,,,
36,Trauma Center,3-4,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
37,Trauma Center,5-6,-0.2,0.0,4.6,-4.9,4.7,0,,,,,
38,Trauma Center,7-8,-0.5,0.0,4.3,-5.2,4.7,0,,,,,
39,Trauma Center,9-10,4.5,0.0,9.2,-0.2,4.7,0,,,,,
40,Trauma Center,11-12,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
41,Trauma Center,13-14,1.6,0.0,6.3,-3.1,4.7,0,,,,,
42,Not Mapped,1-2,11.3,5.0,16.0,6.6,4.7,0,,,,,
43,Not Mapped,3-4,-7.5,1.0,-2.8,-12.2,4.7,0,,,,,
44,Not Mapped,5-6,1.2,0.0,5.9,-3.6,4.7,0,,,,,
45,Not Mapped,7-8,1.1,0.0,5.8,-3.6,4.7,0,,,,,
46,Not Mapped,9-10,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
47,Not Mapped,11-12,-7.5,0.0,-2.8,-12.2,4.7,0,,,,,
48,Not Mapped,13-14,-8.5,0.0,-3.8,-13.3,4.7,0,,,,,
49,Emergency,1-2,154.4,158.0,156.7,152.0,2.4,1,145.1,158.0,140.4,149.8,4.7
50,Emergency,3-4,179.9,185.0,182.2,177.5,2.4,1,185.0,185.0,180.3,189.7,4.7
51,Emergency,5-6,93.5,94.0,95.9,91.1,2.4,1,94.0,94.0,89.3,98.7,4.7
52,Emergency,7-8,44.3,48.0,46.6,41.9,2.4,1,43.6,48.0,38.9,48.3,4.7
53,Emergency,9-10,29.3,32.0,31.6,26.9,2.4,1,27.8,32.0,23.1,32.5,4.7
54,Emergency,11-12,12.4,14.0,14.8,10.1,2.4,1,11.2,14.0,6.5,16.0,4.7
55,Emergency,13-14,7.7,8.0,10.1,5.3,2.4,1,7.4,8.0,2.7,12.1,4.7
56,Urgent,1-2,53.6,58.0,56.0,51.3,2.4,1,52.1,58.0,47.3,56.8,4.7
57,Urgent,3-4,48.0,50.0,50.3,45.6,2.4,1,48.8,50.0,44.1,53.5,4.7
58,Urgent,5-6,40.9,44.0,43.2,38.5,2.4,1,40.3,44.0,35.6,45.1,4.7
59,Urgent,7-8,39.4,36.0,41.7,37.0,2.4,1,40.7,36.0,36.0,45.4,4.7
60,Urgent,9-10,12.6,9.0,14.9,10.2,2.4,1,16.7,9.0,12.0,21.5,4.7
61,Urgent,11-12,1.0,5.0,3.4,-1.3,2.4,1,-3.5,5.0,-8.2,1.2,4.7
62,Urgent,13-14,5.8,5.0,8.2,3.5,2.4,1,6.7,5.0,2.0,11.4,4.7
63,Elective,1-2,70.7,67.0,73.1,68.3,2.4,1,72.3,67.0,67.6,77.0,4.7
64,Elective,3-4,61.9,61.0,64.2,59.5,2.4,1,62.4,61.0,57.6,67.1,4.7
65,Elective,5-6,29.3,30.0,31.7,27.0,2.4,1,30.3,30.0,25.6,35.0,4.7
66,Elective,7-8,21.6,16.0,24.0,19.2,2.4,1,17.7,16.0,13.0,22.4,4.7
67,Elective,9-10,7.2,9.0,9.6,4.9,2.4,1,8.1,9.0,3.4,12.9,4.7
68,Elective,11-12,6.7,8.0,9.0,4.3,2.4,1,9.6,8.0,4.9,14.4,4.7
69,Elective,13-14,7.2,5.0,9.5,4.8,2.4,1,8.5,5.0,3.8,13.2,4.7
70,Newborn,1-2,1.9,0.0,4.2,-0.5,2.4,1,7.1,0.0,2.4,11.8,4.7
71,Newborn,3-4,-1.0,0.0,1.4,-3.3,2.4,1,3.1,0.0,-1.6,7.8,4.7
72,Newborn,5-6,5.8,0.0,8.2,3.5,2.4,1,11.3,0.0,6.6,16.1,4.7
73,Newborn,7-8,-2.7,0.0,-0.4,-5.1,2.4,1,-3.6,0.0,-8.3,1.1,4.7
74,Newborn,9-10,-2.6,0.0,-0.2,-4.9,2.4,1,0.1,0.0,-4.6,4.9,4.7
