,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,57.6,61.0,62.3,52.9,4.7,0,,,,,
1,African American,3-4,52.2,63.0,56.9,47.5,4.7,0,,,,,
2,African American,5-6,34.7,35.0,39.5,30.0,4.7,0,,,,,
3,African American,7-8,19.0,17.0,23.7,14.3,4.7,0,,,,,
4,African American,9-10,11.4,12.0,16.1,6.7,4.7,0,,,,,
5,African American,11-12,9.9,10.0,14.6,5.2,4.7,0,,,,,
6,African American,13-14,-8.2,4.0,-3.5,-12.9,4.7,0,,,,,
7,Asian,1-2,10.2,3.0,14.9,5.5,4.7,0,,,,,
8,Asian,3-4,8.0,4.0,12.7,3.3,4.7,0,,,,,
9,Asian,5-6,2.1,0.0,6.8,-2.7,4.7,0,,,,,
10,Asian,7-8,-5.1,0.0,-0.4,-9.8,4.7,0,,,,,
11,Asian,9-10,5.2,0.0,9.9,0.5,4.7,0,,,,,
12,Asian,11-12,4.2,0.0,8.9,-0.5,4.7,0,,,,,
13,Asian,13-14,-3.7,0.0,1.0,-8.4,4.7,0,,,,,
14,Caucasian,1-2,224.4,235.0,229.1,219.6,4.7,0,,,,,
15,Caucasian,3-4,230.2,235.0,234.9,225.4,4.7,0,,,,,
16,Caucasian,5-6,122.5,124.0,127.2,117.8,4.7,0,,,,,
17,Caucasian,7-8,67.2,71.0,71.9,62.4,4.7,0,,,,,
18,Caucasian,9-10,52.4,50.0,57.1,47.7,4.7,0,,,,,
19,Caucasian,11-12,32.4,29.0,37.1,27.7,4.7,0,,,,,
20,Caucasian,13-14,10.8,12.0,15.5,6.0,4.7,0,,,,,
21,Hispanic,1-2,1.0,6.0,5.7,-3.7,4.7,0,,,,,
22,Hispanic,3-4,2.1,8.0,6.8,-2.7,4.7,0,,,,,
23,Hispanic,5-6,5.8,4.0,10.6,1.1,4.7,0,,,,,
24,Hispanic,7-8,0.7,0.0,5.5,-4.0,4.7,0,,,,,
25,Hispanic,9-10,-6.3,1.0,-1.6,-11.0,4.7,0,,,,,
26,Hispanic,11-12,-0.1,0.0,4.6,-4.9,4.7,0,,,,,
27,Hispanic,13-14,-0.7,0.0,4.0,-5.4,4.7,0,,,,,
