,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,52.3,55.0,57.0,47.6,4.7,0,,,,,
1,African American,3-4,47.2,47.0,51.9,42.4,4.7,0,,,,,
2,African American,5-6,29.4,29.0,34.1,24.6,4.7,0,,,,,
3,African American,7-8,19.0,27.0,23.7,14.3,4.7,0,,,,,
4,African American,9-10,11.9,13.0,16.6,7.2,4.7,0,,,,,
5,African American,11-12,1.3,4.0,6.0,-3.4,4.7,0,,,,,
6,African American,13-14,10.6,9.0,15.3,5.9,4.7,0,,,,,
7,Asian,1-2,-4.5,2.0,0.2,-9.3,4.7,0,,,,,
8,Asian,3-4,9.1,2.0,13.8,4.4,4.7,0,,,,,
9,Asian,5-6,0.5,0.0,5.2,-4.3,4.7,0,,,,,
10,Asian,7-8,-6.2,0.0,-1.5,-10.9,4.7,0,,,,,
11,Asian,9-10,2.0,0.0,6.7,-2.7,4.7,0,,,,,
12,Asian,11-12,-3.8,0.0,0.9,-8.5,4.7,0,,,,,
13,Asian,13-14,-2.3,0.0,2.4,-7.0,4.7,0,,,,,
14,Caucasian,1-2,227.7,226.0,232.4,223.0,4.7,0,,,,,
15,Caucasian,3-4,247.8,248.0,252.5,243.0,4.7,0,,,,,
16,Caucasian,5-6,140.2,143.0,144.9,135.5,4.7,0,,,,,
17,Caucasian,7-8,69.6,70.0,74.3,64.9,4.7,0,,,,,
18,Caucasian,9-10,33.3,38.0,38.0,28.6,4.7,0,,,,,
19,Caucasian,11-12,47.0,41.0,51.7,42.3,4.7,0,,,,,
20,Caucasian,13-14,11.5,11.0,16.2,6.8,4.7,0,,,,,
21,Hispanic,1-2,4.5,6.0,9.2,-0.3,4.7,0,,,,,
22,Hispanic,3-4,-0.2,8.0,4.6,-4.9,4.7,0,,,,,
23,Hispanic,5-6,6.3,4.0,11.1,1.6,4.7,0,,,,,
24,Hispanic,7-8,1.3,1.0,6.0,-3.4,4.7,0,,,,,
25,Hispanic,9-10,3.5,1.0,8.3,-1.2,4.7,0,,,,,
26,Hispanic,11-12,3.9,1.0,8.6,-0.8,4.7,0,,,,,
27,Hispanic,13-14,-5.4,1.0,-0.7,-10.2,4.7,0,,,,,
28,Other,1-2,-4.5,3.0,0.3,-9.2,4.7,0,,,,,
29,Other,3-4,6.5,5.0,11.3,1.8,4.7,0,,,,,
30,Other,5-6,1.6,2.0,6.3,-3.1,4.7,0,,,,,
31,Other,7-8,1.8,2.0,6.5,-2.9,4.7,0,,,,,
32,Other,9-10,1.3,0.0,6.0,-3.4,4.7,0,,,,,
33,Other,11-12,1.6,0.0,6.3,-3.1,4.7,0,,,,,
34,Other,13-14,-1.1,1.0,3.6,-5.9,4.7,0,,,,,
35,African American,1-2,58.8,55.0,61.1,56.4,2.4,1,52.3,55.0,47.6,57.0,4.7
36,African American,3-4,45.7,47.0,48.0,43.3,2.4,1,47.2,47.0,42.4,51.9,4.7
37,African American,5-6,28.6,29.0,31.0,26.3,2.4,1,29.4,29.0,24.6,34.1,4.7
38,African American,7-8,17.5,27.0,19.9,15.1,2.4,1,19.0,27.0,14.3,23.7,4.7
