,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,216.1,211.0,220.8,211.4,4.7,0,,,,,
1,0,2,8.6,10.0,13.3,3.9,4.7,0,,,,,
2,0,3,33.4,30.0,38.1,28.7,4.7,0,,,,,
3,0,4,23.7,32.0,28.4,19.0,4.7,0,,,,,
4,0,5,14.9,20.0,19.6,10.2,4.7,0,,,,,
5,1,1,6.2,6.0,10.9,1.5,4.7,0,,,,,
6,1,2,35.4,36.0,40.1,30.7,4.7,0,,,,,
7,1,3,83.7,85.0,88.4,79.0,4.7,0,,,,,
8,1,4,43.9,43.0,48.7,39.2,4.7,0,,,,,
9,1,5,29.6,30.0,34.3,24.8,4.7,0,,,,,
10,2,1,9.1,9.0,13.8,4.4,4.7,0,,,,,
11,2,2,11.6,11.0,16.3,6.9,4.7,0,,,,,
12,2,3,60.1,59.0,64.9,55.4,4.7,0,,,,,
13,2,4,68.1,55.0,72.8,63.4,4.7,0,,,,,
14,2,5,22.4,19.0,27.1,17.7,4.7,0,,,,,
15,3,1,22.7,18.0,27.4,17.9,4.7,0,,,,,
16,3,2,21.5,18.0,26.2,16.8,4.7,0,,,,,
17,3,3,70.6,78.0,75.3,65.9,4.7,0,,,,,
18,3,4,63.9,62.0,68.6,59.2,4.7,0,,,,,
19,3,5,33.1,30.0,37.8,28.4,4.7,0,,,,,
20,4,1,11.8,10.0,16.5,7.1,4.7,0,,,,,
21,4,2,18.3,18.0,23.0,13.6,4.7,0,,,,,
22,4,3,45.4,50.0,50.1,40.7,4.7,0,,,,,
23,4,4,32.2,24.0,36.9,27.5,4.7,0,,,,,
24,4,5,35.3,36.0,40.0,30.6,4.7,0,,,,,
25,0,1,217.0,211.0,219.4,214.7,2.4,1,216.1,211.0,211.4,220.8,4.7
26,0,2,8.7,10.0,11.1,6.4,2.4,1,8.6,10.0,3.9,13.3,4.7
27,0,3,30.6,30.0,32.9,28.2,2.4,1,33.4,30.0,28.7,38.1,4.7
28,0,4,27.5,32.0,29.9,25.1,2.4,1,23.7,32.0,19.0,28.4,4.7
29,0,5,18.6,20.0,20.9,16.2,2.4,1,14.9,20.0,10.2,19.6,4.7
30,1,1,5.8,6.0,8.1,3.4,2.4,1,6.2,6.0,1.5,10.9,4.7
31,1,2,42.1,36.0,44.5,39.8,2.4,1,35.4,36.0,30.7,40.1,4.7
32,1,3,84.2,85.0,86.5,81.8,2.4,1,83.7,85.0,79.0,88.4,4.7
