,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,20.3,23.0,25.0,15.6,4.7,0,,,,,
1,Strongly disagree,Instructor 2,32.2,32.0,36.9,27.4,4.7,0,,,,,
2,Strongly disagree,Instructor 3,83.4,83.0,88.1,78.6,4.7,0,,,,,
3,Disagree,Instructor 1,17.9,19.0,22.6,13.2,4.7,0,,,,,
4,Disagree,Instructor 2,17.3,20.0,22.0,12.6,4.7,0,,,,,
5,Disagree,Instructor 3,76.6,75.0,81.3,71.9,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,24.5,31.0,29.2,19.7,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,75.1,68.0,79.8,70.4,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,217.5,217.0,222.2,212.7,4.7,0,,,,,
9,Agree,Instructor 1,41.0,39.0,45.7,36.3,4.7,0,,,,,
10,Agree,Instructor 2,72.2,76.0,76.9,67.5,4.7,0,,,,,
11,Agree,Instructor 3,143.7,146.0,148.4,139.0,4.7,0,,,,,
12,Strongly agree,Instructor 1,38.7,37.0,43.4,34.0,4.7,0,,,,,
13,Strongly agree,Instructor 2,53.8,54.0,58.5,49.0,4.7,0,,,,,
14,Strongly agree,Instructor 3,77.2,80.0,81.9,72.5,4.7,0,,,,,
15,Strongly disagree,Instructor 1,20.9,23.0,23.2,18.5,2.4,1,20.3,23.0,15.6,25.0,4.7
16,Strongly disagree,Instructor 2,28.0,32.0,30.4,25.6,2.4,1,32.2,32.0,27.4,36.9,4.7
17,Strongly disagree,Instructor 3,84.3,83.0,86.7,82.0,2.4,1,83.4,83.0,78.6,88.1,4.7
18,Disagree,Instructor 1,19.7,19.0,22.1,17.4,2.4,1,17.9,19.0,13.2,22.6,4.7
19,Disagree,Instructor 2,20.1,20.0,22.5,17.7,2.4,1,17.3,20.0,12.6,22.0,4.7
20,Disagree,Instructor 3,72.6,75.0,74.9,70.2,2.4,1,76.6,75.0,71.9,81.3,4.7
21,Neither agree nor disagree,Instructor 1,24.0,31.0,26.4,21.6,2.4,1,24.5,31.0,19.7,29.2,4.7
22,Neither agree nor disagree,Instructor 2,72.3,68.0,74.7,70.0,2.4,1,75.1,68.0,70.4,79.8,4.7
23,Neither agree nor disagree,Instructor 3,217.0,217.0,219.4,214.7,2.4,1,217.5,217.0,212.7,222.2,4.7
24,Agree,Instructor 1,40.6,39.0,43.0,38.3,2.4,1,41.0,39.0,36.3,45.7,4.7
25,Agree,Instructor 2,74.9,76.0,77.2,72.5,2.4,1,72.2,76.0,67.5,76.9,4.7
26,Agree,Instructor 3,143.8,146.0,146.1,141.4,2.4,1,143.7,146.0,139.0,148.4,4.7
27,Strongly agree,Instructor 1,39.1,37.0,41.5,36.8,2.4,1,38.7,37.0,34.0,43.4,4.7
28,Strongly agree,Instructor 2,55.5,54.0,57.9,53.2,2.4,1,53.8,54.0,49.0,58.5,4.7
29,Strongly agree,Instructor 3,76.5,80.0,78.8,74.1,2.4,1,77.2,80.0,72.5,81.9,4.7
30,Strongly disagree,Instructor 1,25.0,23.0,26.6,23.4,1.6,2,20.9,23.0,18.5,23.2,2.4
31,Strongly disagree,Instructor 2,28.4,32.0,30.0,26.8,1.6,2,28.0,32.0,25.6,30.4,2.4
32,Strongly disagree,Instructor 3,83.5,83.0,85.1,82.0,1.6,2,84.3,83.0,82.0,86.7,2.4
33,Disagree,Instructor 1,19.8,19.0,21.4,18.2,1.6,2,19.7,19.0,17.4,22.1,2.4
34,Disagree,Instructor 2,19.2,20.0,20.8,17.6,1.6,2,20.1,20.0,17.7,22.5,2.4
35,Disagree,Instructor 3,74.1,75.0,75.7,72.5,1.6,2,72.6,75.0,70.2,74.9,2.4
36,Neither agree nor disagree,Instructor 1,26.1,31.0,27.7,24.6,1.6,2,24.0,31.0,21.6,26.4,2.4
37,Neither agree nor disagree,Instructor 2,71.5,68.0,73.1,69.9,1.6,2,72.3,68.0,70.0,74.7,2.4
38,Neither agree nor disagree,Instructor 3,220.2,217.0,221.8,218.7,1.6,2,217.0,217.0,214.7,219.4,2.4
39,Agree,Instructor 1,39.9,39.0,41.5,38.3,1.6,2,40.6,39.0,38.3,43.0,2.4
40,Agree,Instructor 2,78.0,76.0,79.6,76.4,1.6,2,74.9,76.0,72.5,77.2,2.4
41,Agree,Instructor 3,141.9,146.0,143.5,140.3,1.6,2,143.8,146.0,141.4,146.1,2.4
42,Strongly agree,Instructor 1,38.9,37.0,40.5,37.3,1.6,2,39.1,37.0,36.8,41.5,2.4
43,Strongly agree,Instructor 2,55.1,54.0,56.7,53.5,1.6,2,55.5,54.0,53.2,57.9,2.4
44,Strongly agree,Instructor 3,77.8,80.0,79.4,76.2,1.6,2,76.5,80.0,74.1,78.8,2.4
45,Strongly disagree,Instructor 1,25.0,23.0,26.2,23.8,1.2,3,25.0,23.0,23.4,26.6,1.6
46,Strongly disagree,Instructor 2,29.1,32.0,30.3,27.9,1.2,3,28.4,32.0,26.8,30.0,1.6
47,Strongly disagree,Instructor 3,83.1,83.0,84.2,81.9,1.2,3,83.5,83.0,82.0,85.1,1.6
48,Disagree,Instructor 1,18.3,19.0,19.4,17.1,1.2,3,19.8,19.0,18.2,21.4,1.6
49,Disagree,Instructor 2,19.2,20.0,20.4,18.1,1.2,3,19.2,20.0,17.6,20.8,1.6
50,Disagree,Instructor 3,74.5,75.0,75.7,73.3,1.2,3,74.1,75.0,72.5,75.7,1.6
51,Neither agree nor disagree,Instructor 1,28.5,31.0,29.7,27.3,1.2,3,26.1,31.0,24.6,27.7,1.6
52,Neither agree nor disagree,Instructor 2,72.9,68.0,74.0,71.7,1.2,3,71.5,68.0,69.9,73.1,1.6
53,Neither agree nor disagree,Instructor 3,219.3,217.0,220.5,218.2,1.2,3,220.2,217.0,218.7,221.8,1.6
54,Agree,Instructor 1,39.3,39.0,40.4,38.1,1.2,3,39.9,39.0,38.3,41.5,1.6
55,Agree,Instructor 2,78.4,76.0,79.6,77.2,1.2,3,78.0,76.0,76.4,79.6,1.6
56,Agree,Instructor 3,144.4,146.0,145.5,143.2,1.2,3,141.9,146.0,140.3,143.5,1.6
57,Strongly agree,Instructor 1,36.8,37.0,37.9,35.6,1.2,3,38.9,37.0,37.3,40.5,1.6
58,Strongly agree,Instructor 2,55.0,54.0,56.2,53.8,1.2,3,55.1,54.0,53.5,56.7,1.6
59,Strongly agree,Instructor 3,80.1,80.0,81.3,78.9,1.2,3,77.8,80.0,76.2,79.4,1.6
60,Strongly disagree,Instructor 1,26.3,23.0,27.2,25.4,0.9,4,25.0,23.0,23.8,26.2,1.2
61,Strongly disagree,Instructor 2,29.9,32.0,30.9,29.0,0.9,4,29.1,32.0,27.9,30.3,1.2
62,Strongly disagree,Instructor 3,84.4,83.0,85.4,83.5,0.9,4,83.1,83.0,81.9,84.2,1.2
63,Disagree,Instructor 1,18.3,19.0,19.3,17.4,0.9,4,18.3,19.0,17.1,19.4,1.2
64,Disagree,Instructor 2,20.7,20.0,21.7,19.8,0.9,4,19.2,20.0,18.1,20.4,1.2
65,Disagree,Instructor 3,74.9,75.0,75.9,74.0,0.9,4,74.5,75.0,73.3,75.7,1.2
66,Neither agree nor disagree,Instructor 1,28.3,31.0,29.2,27.4,0.9,4,28.5,31.0,27.3,29.7,1.2
67,Neither agree nor disagree,Instructor 2,72.1,68.0,73.1,71.2,0.9,4,72.9,68.0,71.7,74.0,1.2
68,Neither agree nor disagree,Instructor 3,219.6,217.0,220.5,218.6,0.9,4,219.3,217.0,218.2,220.5,1.2
69,Agree,Instructor 1,39.4,39.0,40.3,38.5,0.9,4,39.3,39.0,38.1,40.4,1.2
