,admission_type_id,age,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,0 - 9,1.2,0.0,5.9,-3.5,4.7,0,,,,,
1,Emergency,10 - 19,7.0,7.0,11.8,2.3,4.7,0,,,,,
2,Emergency,20 - 29,12.7,8.0,17.4,8.0,4.7,0,,,,,
3,Emergency,30 - 39,34.6,38.0,39.3,29.9,4.7,0,,,,,
4,Emergency,40 - 49,57.1,53.0,61.8,52.3,4.7,0,,,,,
5,Emergency,50 - 59,94.3,92.0,99.0,89.6,4.7,0,,,,,
6,Emergency,60 - 69,107.3,106.0,112.1,102.6,4.7,0,,,,,
7,Emergency,70 - 79,143.4,131.0,148.1,138.7,4.7,0,,,,,
8,Emergency,80 - 89,83.8,86.0,88.5,79.1,4.7,0,,,,,
9,Emergency,90 - 99,8.4,18.0,13.1,3.7,4.7,0,,,,,
10,Urgent,0 - 9,4.0,0.0,8.7,-0.8,4.7,0,,,,,
11,Urgent,10 - 19,7.1,5.0,11.8,2.4,4.7,0,,,,,
12,Urgent,20 - 29,-7.6,3.0,-2.9,-12.3,4.7,0,,,,,
13,Urgent,30 - 39,1.0,6.0,5.7,-3.7,4.7,0,,,,,
14,Urgent,40 - 49,15.3,17.0,20.0,10.6,4.7,0,,,,,
15,Urgent,50 - 59,45.6,44.0,50.3,40.8,4.7,0,,,,,
16,Urgent,60 - 69,41.3,37.0,46.0,36.6,4.7,0,,,,,
17,Urgent,70 - 79,40.9,44.0,45.6,36.2,4.7,0,,,,,
18,Urgent,80 - 89,48.3,47.0,53.0,43.5,4.7,0,,,,,
19,Urgent,90 - 99,5.7,4.0,10.4,1.0,4.7,0,,,,,
20,Elective,0 - 9,2.9,0.0,7.6,-1.8,4.7,0,,,,,
21,Elective,10 - 19,4.3,1.0,9.0,-0.4,4.7,0,,,,,
22,Elective,20 - 29,-1.1,2.0,3.6,-5.8,4.7,0,,,,,
23,Elective,30 - 39,21.6,14.0,26.4,16.9,4.7,0,,,,,
24,Elective,40 - 49,20.8,21.0,25.6,16.1,4.7,0,,,,,
25,Elective,50 - 59,36.4,35.0,41.1,31.6,4.7,0,,,,,
26,Elective,60 - 69,44.1,47.0,48.8,39.4,4.7,0,,,,,
27,Elective,70 - 79,52.2,49.0,56.9,47.5,4.7,0,,,,,
28,Elective,80 - 89,25.5,27.0,30.2,20.8,4.7,0,,,,,
29,Elective,90 - 99,-1.8,0.0,2.9,-6.5,4.7,0,,,,,
30,Newborn,0 - 9,3.6,0.0,8.3,-1.2,4.7,0,,,,,
31,Newborn,10 - 19,0.4,0.0,5.1,-4.3,4.7,0,,,,,
32,Newborn,20 - 29,-3.2,0.0,1.5,-7.9,4.7,0,,,,,
33,Newborn,30 - 39,1.9,0.0,6.6,-2.8,4.7,0,,,,,
34,Newborn,40 - 49,1.1,0.0,5.8,-3.6,4.7,0,,,,,
35,Newborn,50 - 59,0.2,0.0,4.9,-4.5,4.7,0,,,,,
36,Newborn,60 - 69,0.5,0.0,5.2,-4.2,4.7,0,,,,,
37,Newborn,70 - 79,-12.3,0.0,-7.6,-17.1,4.7,0,,,,,
