,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,15-24,"Now married, spouse present",1.3,4.0,6.0,-3.4,4.7,0,,,,,
1,15-24,"Now Married, spouse absent",6.5,2.0,11.2,1.8,4.7,0,,,,,
2,15-24,Widowed,-2.9,0.0,1.8,-7.7,4.7,0,,,,,
3,15-24,Divorced,6.1,0.0,10.8,1.3,4.7,0,,,,,
4,15-24,Separated,-0.1,0.0,4.6,-4.8,4.7,0,,,,,
5,15-24,Never married,137.8,137.0,142.6,133.1,4.7,0,,,,,
6,25-34,"Now married, spouse present",47.1,47.0,51.8,42.4,4.7,0,,,,,
7,25-34,"Now Married, spouse absent",4.3,6.0,9.0,-0.5,4.7,0,,,,,
8,25-34,Widowed,-3.3,0.0,1.4,-8.0,4.7,0,,,,,
9,25-34,Divorced,-4.1,2.0,0.6,-8.8,4.7,0,,,,,
10,25-34,Separated,3.2,1.0,7.9,-1.6,4.7,0,,,,,
11,25-34,Never married,101.6,102.0,106.3,96.9,4.7,0,,,,,
12,35-44,"Now married, spouse present",88.8,84.0,93.5,84.0,4.7,0,,,,,
13,35-44,"Now Married, spouse absent",6.0,8.0,10.7,1.3,4.7,0,,,,,
14,35-44,Widowed,-0.6,0.0,4.1,-5.3,4.7,0,,,,,
15,35-44,Divorced,8.3,10.0,13.0,3.5,4.7,0,,,,,
16,35-44,Separated,8.0,7.0,12.7,3.3,4.7,0,,,,,
17,35-44,Never married,43.6,43.0,48.3,38.9,4.7,0,,,,,
18,45-54,"Now married, spouse present",79.9,82.0,84.6,75.2,4.7,0,,,,,
19,45-54,"Now Married, spouse absent",2.1,4.0,6.8,-2.6,4.7,0,,,,,
20,45-54,Widowed,0.7,3.0,5.5,-4.0,4.7,0,,,,,
21,45-54,Divorced,16.6,18.0,21.3,11.9,4.7,0,,,,,
22,45-54,Separated,2.9,7.0,7.6,-1.9,4.7,0,,,,,
23,45-54,Never married,29.3,33.0,34.0,24.6,4.7,0,,,,,
24,55-64,"Now married, spouse present",100.4,92.0,105.2,95.7,4.7,0,,,,,
25,55-64,"Now Married, spouse absent",3.7,7.0,8.5,-1.0,4.7,0,,,,,
26,55-64,Widowed,-2.1,8.0,2.6,-6.8,4.7,0,,,,,
27,55-64,Divorced,22.0,25.0,26.7,17.3,4.7,0,,,,,
28,55-64,Separated,8.7,7.0,13.4,4.0,4.7,0,,,,,
29,55-64,Never married,27.7,25.0,32.4,23.0,4.7,0,,,,,
30,65-74,"Now married, spouse present",91.6,91.0,96.3,86.8,4.7,0,,,,,
31,65-74,"Now Married, spouse absent",-15.1,4.0,-10.3,-19.8,4.7,0,,,,,
32,65-74,Widowed,24.1,24.0,28.8,19.4,4.7,0,,,,,
33,65-74,Divorced,25.1,24.0,29.8,20.4,4.7,0,,,,,
34,65-74,Separated,12.8,1.0,17.5,8.1,4.7,0,,,,,
35,65-74,Never married,14.8,17.0,19.5,10.1,4.7,0,,,,,
36,75-84,"Now married, spouse present",24.5,20.0,29.2,19.8,4.7,0,,,,,
37,75-84,"Now Married, spouse absent",8.2,2.0,12.9,3.5,4.7,0,,,,,
38,75-84,Widowed,-3.1,15.0,1.6,-7.8,4.7,0,,,,,
39,75-84,Divorced,12.8,13.0,17.5,8.1,4.7,0,,,,,
40,75-84,Separated,11.0,0.0,15.7,6.3,4.7,0,,,,,
41,75-84,Never married,2.2,3.0,7.0,-2.5,4.7,0,,,,,
42,85-99,"Now married, spouse present",4.3,4.0,9.0,-0.4,4.7,0,,,,,
43,85-99,"Now Married, spouse absent",2.6,0.0,7.3,-2.1,4.7,0,,,,,
44,85-99,Widowed,13.9,14.0,18.6,9.2,4.7,0,,,,,
45,85-99,Divorced,-6.5,3.0,-1.8,-11.2,4.7,0,,,,,
46,85-99,Separated,-4.8,1.0,-0.1,-9.6,4.7,0,,,,,
47,85-99,Never married,-5.0,0.0,-0.3,-9.7,4.7,0,,,,,
48,15-24,"Now married, spouse present",5.6,4.0,7.9,3.2,2.4,1,1.3,4.0,-3.4,6.0,4.7
49,15-24,"Now Married, spouse absent",6.0,2.0,8.4,3.6,2.4,1,6.5,2.0,1.8,11.2,4.7
50,15-24,Widowed,-4.3,0.0,-1.9,-6.6,2.4,1,-2.9,0.0,-7.7,1.8,4.7
51,15-24,Divorced,2.5,0.0,4.8,0.1,2.4,1,6.1,0.0,1.3,10.8,4.7
52,15-24,Separated,-4.4,0.0,-2.1,-6.8,2.4,1,-0.1,0.0,-4.8,4.6,4.7
53,15-24,Never married,137.6,137.0,139.9,135.2,2.4,1,137.8,137.0,133.1,142.6,4.7
54,25-34,"Now married, spouse present",43.3,47.0,45.6,40.9,2.4,1,47.1,47.0,42.4,51.8,4.7
55,25-34,"Now Married, spouse absent",3.5,6.0,5.9,1.1,2.4,1,4.3,6.0,-0.5,9.0,4.7
56,25-34,Widowed,-2.2,0.0,0.2,-4.5,2.4,1,-3.3,0.0,-8.0,1.4,4.7
57,25-34,Divorced,-2.2,2.0,0.1,-4.6,2.4,1,-4.1,2.0,-8.8,0.6,4.7
58,25-34,Separated,3.6,1.0,5.9,1.2,2.4,1,3.2,1.0,-1.6,7.9,4.7
59,25-34,Never married,101.2,102.0,103.6,98.9,2.4,1,101.6,102.0,96.9,106.3,4.7
60,35-44,"Now married, spouse present",86.4,84.0,88.7,84.0,2.4,1,88.8,84.0,84.0,93.5,4.7
61,35-44,"Now Married, spouse absent",7.3,8.0,9.7,4.9,2.4,1,6.0,8.0,1.3,10.7,4.7
62,35-44,Widowed,3.2,0.0,5.6,0.8,2.4,1,-0.6,0.0,-5.3,4.1,4.7
63,35-44,Divorced,12.8,10.0,15.1,10.4,2.4,1,8.3,10.0,3.5,13.0,4.7
64,35-44,Separated,5.0,7.0,7.4,2.6,2.4,1,8.0,7.0,3.3,12.7,4.7
65,35-44,Never married,45.2,43.0,47.6,42.9,2.4,1,43.6,43.0,38.9,48.3,4.7
66,45-54,"Now married, spouse present",78.3,82.0,80.6,75.9,2.4,1,79.9,82.0,75.2,84.6,4.7
67,45-54,"Now Married, spouse absent",2.6,4.0,5.0,0.3,2.4,1,2.1,4.0,-2.6,6.8,4.7
68,45-54,Widowed,1.9,3.0,4.3,-0.5,2.4,1,0.7,3.0,-4.0,5.5,4.7
69,45-54,Divorced,21.6,18.0,23.9,19.2,2.4,1,16.6,18.0,11.9,21.3,4.7
70,45-54,Separated,4.4,7.0,6.8,2.1,2.4,1,2.9,7.0,-1.9,7.6,4.7
71,45-54,Never married,25.0,33.0,27.3,22.6,2.4,1,29.3,33.0,24.6,34.0,4.7
72,55-64,"Now married, spouse present",93.7,92.0,96.1,91.4,2.4,1,100.4,92.0,95.7,105.2,4.7
73,55-64,"Now Married, spouse absent",5.3,7.0,7.7,2.9,2.4,1,3.7,7.0,-1.0,8.5,4.7
74,55-64,Widowed,5.0,8.0,7.3,2.6,2.4,1,-2.1,8.0,-6.8,2.6,4.7
75,55-64,Divorced,23.6,25.0,25.9,21.2,2.4,1,22.0,25.0,17.3,26.7,4.7
76,55-64,Separated,7.7,7.0,10.0,5.3,2.4,1,8.7,7.0,4.0,13.4,4.7
77,55-64,Never married,27.9,25.0,30.3,25.5,2.4,1,27.7,25.0,23.0,32.4,4.7
78,65-74,"Now married, spouse present",91.5,91.0,93.9,89.2,2.4,1,91.6,91.0,86.8,96.3,4.7
79,65-74,"Now Married, spouse absent",-5.9,4.0,-3.5,-8.2,2.4,1,-15.1,4.0,-19.8,-10.3,4.7
80,65-74,Widowed,29.9,24.0,32.3,27.6,2.4,1,24.1,24.0,19.4,28.8,4.7
81,65-74,Divorced,26.1,24.0,28.4,23.7,2.4,1,25.1,24.0,20.4,29.8,4.7
82,65-74,Separated,3.2,1.0,5.6,0.8,2.4,1,12.8,1.0,8.1,17.5,4.7
83,65-74,Never married,14.3,17.0,16.7,11.9,2.4,1,14.8,17.0,10.1,19.5,4.7
84,75-84,"Now married, spouse present",23.1,20.0,25.5,20.8,2.4,1,24.5,20.0,19.8,29.2,4.7
85,75-84,"Now Married, spouse absent",4.4,2.0,6.8,2.1,2.4,1,8.2,2.0,3.5,12.9,4.7
86,75-84,Widowed,5.4,15.0,7.8,3.1,2.4,1,-3.1,15.0,-7.8,1.6,4.7
87,75-84,Divorced,16.0,13.0,18.3,13.6,2.4,1,12.8,13.0,8.1,17.5,4.7
88,75-84,Separated,9.5,0.0,11.8,7.1,2.4,1,11.0,0.0,6.3,15.7,4.7
89,75-84,Never married,2.3,3.0,4.6,-0.1,2.4,1,2.2,3.0,-2.5,7.0,4.7
90,85-99,"Now married, spouse present",3.5,4.0,5.8,1.1,2.4,1,4.3,4.0,-0.4,9.0,4.7
91,85-99,"Now Married, spouse absent",-1.7,0.0,0.7,-4.1,2.4,1,2.6,0.0,-2.1,7.3,4.7
92,85-99,Widowed,14.0,14.0,16.4,11.7,2.4,1,13.9,14.0,9.2,18.6,4.7
93,85-99,Divorced,-1.1,3.0,1.3,-3.4,2.4,1,-6.5,3.0,-11.2,-1.8,4.7
94,85-99,Separated,0.6,1.0,3.0,-1.7,2.4,1,-4.8,1.0,-9.6,-0.1,4.7
95,85-99,Never married,1.9,0.0,4.3,-0.4,2.4,1,-5.0,0.0,-9.7,-0.3,4.7
96,15-24,"Now married, spouse present",4.2,4.0,5.8,2.6,1.6,2,5.6,4.0,3.2,7.9,2.4
97,15-24,"Now Married, spouse absent",3.8,2.0,5.3,2.2,1.6,2,6.0,2.0,3.6,8.4,2.4
98,15-24,Widowed,-3.2,0.0,-1.6,-4.8,1.6,2,-4.3,0.0,-6.6,-1.9,2.4
99,15-24,Divorced,2.7,0.0,4.3,1.2,1.6,2,2.5,0.0,0.1,4.8,2.4
100,15-24,Separated,-5.3,0.0,-3.7,-6.9,1.6,2,-4.4,0.0,-6.8,-2.1,2.4
101,15-24,Never married,137.3,137.0,138.8,135.7,1.6,2,137.6,137.0,135.2,139.9,2.4
102,25-34,"Now married, spouse present",43.8,47.0,45.4,42.2,1.6,2,43.3,47.0,40.9,45.6,2.4
103,25-34,"Now Married, spouse absent",2.0,6.0,3.6,0.5,1.6,2,3.5,6.0,1.1,5.9,2.4
104,25-34,Widowed,-2.2,0.0,-0.7,-3.8,1.6,2,-2.2,0.0,-4.5,0.2,2.4
105,25-34,Divorced,-2.8,2.0,-1.2,-4.4,1.6,2,-2.2,2.0,-4.6,0.1,2.4
106,25-34,Separated,3.8,1.0,5.3,2.2,1.6,2,3.6,1.0,1.2,5.9,2.4
107,25-34,Never married,100.3,102.0,101.8,98.7,1.6,2,101.2,102.0,98.9,103.6,2.4
108,35-44,"Now married, spouse present",86.7,84.0,88.2,85.1,1.6,2,86.4,84.0,84.0,88.7,2.4
109,35-44,"Now Married, spouse absent",8.6,8.0,10.2,7.0,1.6,2,7.3,8.0,4.9,9.7,2.4
110,35-44,Widowed,2.4,0.0,3.9,0.8,1.6,2,3.2,0.0,0.8,5.6,2.4
111,35-44,Divorced,13.8,10.0,15.4,12.2,1.6,2,12.8,10.0,10.4,15.1,2.4
112,35-44,Separated,3.3,7.0,4.9,1.7,1.6,2,5.0,7.0,2.6,7.4,2.4
113,35-44,Never married,47.4,43.0,49.0,45.9,1.6,2,45.2,43.0,42.9,47.6,2.4
114,45-54,"Now married, spouse present",79.0,82.0,80.5,77.4,1.6,2,78.3,82.0,75.9,80.6,2.4
115,45-54,"Now Married, spouse absent",4.3,4.0,5.8,2.7,1.6,2,2.6,4.0,0.3,5.0,2.4
116,45-54,Widowed,2.7,3.0,4.3,1.1,1.6,2,1.9,3.0,-0.5,4.3,2.4
117,45-54,Divorced,24.4,18.0,26.0,22.8,1.6,2,21.6,18.0,19.2,23.9,2.4
118,45-54,Separated,3.6,7.0,5.2,2.0,1.6,2,4.4,7.0,2.1,6.8,2.4
