,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,20.2,19.0,24.9,15.5,4.7,0,,,,,
1,Strongly disagree,Instructor 2,9.0,9.0,13.8,4.3,4.7,0,,,,,
2,Strongly disagree,Instructor 3,38.7,34.0,43.4,34.0,4.7,0,,,,,
3,Disagree,Instructor 1,32.6,36.0,37.3,27.9,4.7,0,,,,,
4,Disagree,Instructor 2,28.1,24.0,32.8,23.3,4.7,0,,,,,
5,Disagree,Instructor 3,25.3,24.0,30.1,20.6,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,37.4,25.0,42.1,32.7,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,58.8,61.0,63.5,54.1,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,78.4,88.0,83.1,73.7,4.7,0,,,,,
9,Agree,Instructor 1,53.1,52.0,57.8,48.3,4.7,0,,,,,
10,Agree,Instructor 2,108.1,106.0,112.8,103.4,4.7,0,,,,,
11,Agree,Instructor 3,67.4,78.0,72.1,62.7,4.7,0,,,,,
12,Strongly agree,Instructor 1,172.0,177.0,176.7,167.3,4.7,0,,,,,
13,Strongly agree,Instructor 2,168.3,170.0,173.0,163.6,4.7,0,,,,,
14,Strongly agree,Instructor 3,98.6,97.0,103.3,93.8,4.7,0,,,,,
15,Strongly disagree,Instructor 1,18.0,19.0,20.4,15.7,2.4,1,20.2,19.0,15.5,24.9,4.7
16,Strongly disagree,Instructor 2,12.8,9.0,15.2,10.5,2.4,1,9.0,9.0,4.3,13.8,4.7
17,Strongly disagree,Instructor 3,36.3,34.0,38.6,33.9,2.4,1,38.7,34.0,34.0,43.4,4.7
18,Disagree,Instructor 1,35.0,36.0,37.3,32.6,2.4,1,32.6,36.0,27.9,37.3,4.7
19,Disagree,Instructor 2,24.6,24.0,27.0,22.2,2.4,1,28.1,24.0,23.3,32.8,4.7
20,Disagree,Instructor 3,23.9,24.0,26.3,21.6,2.4,1,25.3,24.0,20.6,30.1,4.7
21,Neither agree nor disagree,Instructor 1,30.3,25.0,32.7,28.0,2.4,1,37.4,25.0,32.7,42.1,4.7
22,Neither agree nor disagree,Instructor 2,59.0,61.0,61.4,56.7,2.4,1,58.8,61.0,54.1,63.5,4.7
23,Neither agree nor disagree,Instructor 3,85.0,88.0,87.3,82.6,2.4,1,78.4,88.0,73.7,83.1,4.7
24,Agree,Instructor 1,52.7,52.0,55.1,50.4,2.4,1,53.1,52.0,48.3,57.8,4.7
25,Agree,Instructor 2,108.0,106.0,110.4,105.6,2.4,1,108.1,106.0,103.4,112.8,4.7
26,Agree,Instructor 3,73.2,78.0,75.6,70.9,2.4,1,67.4,78.0,62.7,72.1,4.7
27,Strongly agree,Instructor 1,174.6,177.0,177.0,172.3,2.4,1,172.0,177.0,167.3,176.7,4.7
28,Strongly agree,Instructor 2,169.4,170.0,171.8,167.0,2.4,1,168.3,170.0,163.6,173.0,4.7
29,Strongly agree,Instructor 3,91.6,97.0,94.0,89.3,2.4,1,98.6,97.0,93.8,103.3,4.7
30,Strongly disagree,Instructor 1,16.6,19.0,18.2,15.1,1.6,2,18.0,19.0,15.7,20.4,2.4
31,Strongly disagree,Instructor 2,7.8,9.0,9.3,6.2,1.6,2,12.8,9.0,10.5,15.2,2.4
32,Strongly disagree,Instructor 3,35.1,34.0,36.7,33.5,1.6,2,36.3,34.0,33.9,38.6,2.4
33,Disagree,Instructor 1,36.4,36.0,38.0,34.8,1.6,2,35.0,36.0,32.6,37.3,2.4
