,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,23.4,23.0,28.1,18.6,4.7,0,,,,,
1,Strongly disagree,Instructor 2,17.8,16.0,22.5,13.1,4.7,0,,,,,
2,Strongly disagree,Instructor 3,24.2,26.0,28.9,19.5,4.7,0,,,,,
3,Disagree,Instructor 1,43.1,43.0,47.8,38.4,4.7,0,,,,,
4,Disagree,Instructor 2,46.1,41.0,50.9,41.4,4.7,0,,,,,
5,Disagree,Instructor 3,21.4,26.0,26.1,16.7,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,20.1,23.0,24.8,15.4,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,51.4,59.0,56.1,46.7,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,90.6,91.0,95.3,85.9,4.7,0,,,,,
9,Agree,Instructor 1,41.6,51.0,46.3,36.9,4.7,0,,,,,
10,Agree,Instructor 2,87.2,86.0,91.9,82.5,4.7,0,,,,,
11,Agree,Instructor 3,65.0,67.0,69.8,60.3,4.7,0,,,,,
12,Strongly agree,Instructor 1,210.4,209.0,215.2,205.7,4.7,0,,,,,
13,Strongly agree,Instructor 2,159.7,159.0,164.4,155.0,4.7,0,,,,,
14,Strongly agree,Instructor 3,69.9,80.0,74.6,65.2,4.7,0,,,,,
15,Strongly disagree,Instructor 1,23.3,23.0,25.7,21.0,2.4,1,23.4,23.0,18.6,28.1,4.7
16,Strongly disagree,Instructor 2,18.3,16.0,20.6,15.9,2.4,1,17.8,16.0,13.1,22.5,4.7
17,Strongly disagree,Instructor 3,24.3,26.0,26.6,21.9,2.4,1,24.2,26.0,19.5,28.9,4.7
18,Disagree,Instructor 1,41.7,43.0,44.0,39.3,2.4,1,43.1,43.0,38.4,47.8,4.7
19,Disagree,Instructor 2,43.1,41.0,45.5,40.8,2.4,1,46.1,41.0,41.4,50.9,4.7
20,Disagree,Instructor 3,28.8,26.0,31.1,26.4,2.4,1,21.4,26.0,16.7,26.1,4.7
21,Neither agree nor disagree,Instructor 1,22.2,23.0,24.6,19.9,2.4,1,20.1,23.0,15.4,24.8,4.7
22,Neither agree nor disagree,Instructor 2,57.9,59.0,60.3,55.6,2.4,1,51.4,59.0,46.7,56.1,4.7
23,Neither agree nor disagree,Instructor 3,92.8,91.0,95.1,90.4,2.4,1,90.6,91.0,85.9,95.3,4.7
24,Agree,Instructor 1,45.8,51.0,48.2,43.5,2.4,1,41.6,51.0,36.9,46.3,4.7
25,Agree,Instructor 2,87.2,86.0,89.6,84.8,2.4,1,87.2,86.0,82.5,91.9,4.7
26,Agree,Instructor 3,66.2,67.0,68.6,63.9,2.4,1,65.0,67.0,60.3,69.8,4.7
27,Strongly agree,Instructor 1,209.2,209.0,211.5,206.8,2.4,1,210.4,209.0,205.7,215.2,4.7
28,Strongly agree,Instructor 2,158.0,159.0,160.4,155.6,2.4,1,159.7,159.0,155.0,164.4,4.7
29,Strongly agree,Instructor 3,74.6,80.0,76.9,72.2,2.4,1,69.9,80.0,65.2,74.6,4.7
30,Strongly disagree,Instructor 1,22.6,23.0,24.1,21.0,1.6,2,23.3,23.0,21.0,25.7,2.4
31,Strongly disagree,Instructor 2,17.4,16.0,19.0,15.8,1.6,2,18.3,16.0,15.9,20.6,2.4
32,Strongly disagree,Instructor 3,23.9,26.0,25.4,22.3,1.6,2,24.3,26.0,21.9,26.6,2.4
33,Disagree,Instructor 1,41.1,43.0,42.7,39.5,1.6,2,41.7,43.0,39.3,44.0,2.4
34,Disagree,Instructor 2,42.5,41.0,44.0,40.9,1.6,2,43.1,41.0,40.8,45.5,2.4
35,Disagree,Instructor 3,27.8,26.0,29.4,26.2,1.6,2,28.8,26.0,26.4,31.1,2.4
36,Neither agree nor disagree,Instructor 1,22.1,23.0,23.7,20.6,1.6,2,22.2,23.0,19.9,24.6,2.4
37,Neither agree nor disagree,Instructor 2,58.9,59.0,60.5,57.3,1.6,2,57.9,59.0,55.6,60.3,2.4
38,Neither agree nor disagree,Instructor 3,92.9,91.0,94.5,91.4,1.6,2,92.8,91.0,90.4,95.1,2.4
39,Agree,Instructor 1,48.1,51.0,49.7,46.5,1.6,2,45.8,51.0,43.5,48.2,2.4
40,Agree,Instructor 2,86.5,86.0,88.0,84.9,1.6,2,87.2,86.0,84.8,89.6,2.4
41,Agree,Instructor 3,66.9,67.0,68.5,65.4,1.6,2,66.2,67.0,63.9,68.6,2.4
42,Strongly agree,Instructor 1,208.7,209.0,210.3,207.1,1.6,2,209.2,209.0,206.8,211.5,2.4
