,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,57.2,59.0,62.0,52.5,4.7,0,,,,,
1,African American,3-4,56.2,56.0,60.9,51.5,4.7,0,,,,,
2,African American,5-6,29.8,33.0,34.5,25.1,4.7,0,,,,,
3,African American,7-8,17.3,24.0,22.1,12.6,4.7,0,,,,,
4,African American,9-10,12.8,10.0,17.6,8.1,4.7,0,,,,,
5,African American,11-12,11.2,10.0,16.0,6.5,4.7,0,,,,,
6,African American,13-14,4.1,3.0,8.8,-0.6,4.7,0,,,,,
7,Asian,1-2,-4.5,4.0,0.2,-9.2,4.7,0,,,,,
8,Asian,3-4,-1.1,0.0,3.6,-5.8,4.7,0,,,,,
9,Asian,5-6,8.4,1.0,13.1,3.7,4.7,0,,,,,
10,Asian,7-8,-6.1,1.0,-1.4,-10.8,4.7,0,,,,,
11,Asian,9-10,4.3,0.0,9.1,-0.4,4.7,0,,,,,
12,Asian,11-12,4.7,0.0,9.4,-0.0,4.7,0,,,,,
13,Asian,13-14,-7.6,0.0,-2.9,-12.3,4.7,0,,,,,
14,Caucasian,1-2,235.4,235.0,240.1,230.7,4.7,0,,,,,
15,Caucasian,3-4,241.7,241.0,246.4,237.0,4.7,0,,,,,
16,Caucasian,5-6,131.9,132.0,136.6,127.2,4.7,0,,,,,
17,Caucasian,7-8,80.1,82.0,84.8,75.4,4.7,0,,,,,
18,Caucasian,9-10,25.3,27.0,30.0,20.6,4.7,0,,,,,
19,Caucasian,11-12,22.4,22.0,27.2,17.7,4.7,0,,,,,
20,Caucasian,13-14,15.2,16.0,19.9,10.5,4.7,0,,,,,
21,Hispanic,1-2,10.4,11.0,15.1,5.7,4.7,0,,,,,
22,Hispanic,3-4,3.8,8.0,8.6,-0.9,4.7,0,,,,,
23,Hispanic,5-6,0.0,4.0,4.7,-4.7,4.7,0,,,,,
24,Hispanic,7-8,-7.3,0.0,-2.6,-12.1,4.7,0,,,,,
25,Hispanic,9-10,2.9,1.0,7.6,-1.8,4.7,0,,,,,
26,Hispanic,11-12,-0.8,1.0,3.9,-5.5,4.7,0,,,,,
27,Hispanic,13-14,-2.1,1.0,2.6,-6.8,4.7,0,,,,,
28,Other,1-2,5.5,5.0,10.2,0.8,4.7,0,,,,,
29,Other,3-4,1.0,7.0,5.7,-3.7,4.7,0,,,,,
30,Other,5-6,1.3,1.0,6.0,-3.4,4.7,0,,,,,
31,Other,7-8,0.2,4.0,4.9,-4.5,4.7,0,,,,,
