,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,23.4,23.0,28.1,18.6,4.7,0,,,,,
1,Strongly disagree,Instructor 2,33.8,32.0,38.5,29.1,4.7,0,,,,,
2,Strongly disagree,Instructor 3,81.2,83.0,85.9,76.5,4.7,0,,,,,
3,Disagree,Instructor 1,24.1,19.0,28.9,19.4,4.7,0,,,,,
4,Disagree,Instructor 2,25.2,20.0,30.0,20.5,4.7,0,,,,,
5,Disagree,Instructor 3,70.4,75.0,75.1,65.7,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,23.4,31.0,28.1,18.7,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,67.6,68.0,72.3,62.9,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,207.6,217.0,212.3,202.9,4.7,0,,,,,
9,Agree,Instructor 1,40.2,39.0,44.9,35.5,4.7,0,,,,,
10,Agree,Instructor 2,74.0,76.0,78.8,69.3,4.7,0,,,,,
11,Agree,Instructor 3,147.4,146.0,152.2,142.7,4.7,0,,,,,
12,Strongly agree,Instructor 1,26.9,37.0,31.6,22.2,4.7,0,,,,,
13,Strongly agree,Instructor 2,54.4,54.0,59.1,49.7,4.7,0,,,,,
14,Strongly agree,Instructor 3,77.8,80.0,82.5,73.1,4.7,0,,,,,
15,Strongly disagree,Instructor 1,23.3,23.0,25.7,21.0,2.4,1,23.4,23.0,18.6,28.1,4.7
16,Strongly disagree,Instructor 2,34.3,32.0,36.6,31.9,2.4,1,33.8,32.0,29.1,38.5,4.7
17,Strongly disagree,Instructor 3,81.3,83.0,83.6,78.9,2.4,1,81.2,83.0,76.5,85.9,4.7
18,Disagree,Instructor 1,21.1,19.0,23.5,18.8,2.4,1,24.1,19.0,19.4,28.9,4.7
19,Disagree,Instructor 2,26.1,20.0,28.4,23.7,2.4,1,25.2,20.0,20.5,30.0,4.7
20,Disagree,Instructor 3,77.8,75.0,80.1,75.4,2.4,1,70.4,75.0,65.7,75.1,4.7
21,Neither agree nor disagree,Instructor 1,29.9,31.0,32.3,27.6,2.4,1,23.4,31.0,18.7,28.1,4.7
22,Neither agree nor disagree,Instructor 2,69.8,68.0,72.1,67.4,2.4,1,67.6,68.0,62.9,72.3,4.7
23,Neither agree nor disagree,Instructor 3,211.8,217.0,214.2,209.5,2.4,1,207.6,217.0,202.9,212.3,4.7
24,Agree,Instructor 1,40.2,39.0,42.6,37.8,2.4,1,40.2,39.0,35.5,44.9,4.7
25,Agree,Instructor 2,75.2,76.0,77.6,72.9,2.4,1,74.0,76.0,69.3,78.8,4.7
26,Agree,Instructor 3,146.2,146.0,148.5,143.8,2.4,1,147.4,146.0,142.7,152.2,4.7
27,Strongly agree,Instructor 1,31.6,37.0,33.9,29.2,2.4,1,26.9,37.0,22.2,31.6,4.7
28,Strongly agree,Instructor 2,54.1,54.0,56.5,51.7,2.4,1,54.4,54.0,49.7,59.1,4.7
29,Strongly agree,Instructor 3,77.9,80.0,80.2,75.5,2.4,1,77.8,80.0,73.1,82.5,4.7
30,Strongly disagree,Instructor 1,22.6,23.0,24.1,21.0,1.6,2,23.3,23.0,21.0,25.7,2.4
31,Strongly disagree,Instructor 2,33.4,32.0,35.0,31.8,1.6,2,34.3,32.0,31.9,36.6,2.4
32,Strongly disagree,Instructor 3,80.9,83.0,82.4,79.3,1.6,2,81.3,83.0,78.9,83.6,2.4
33,Disagree,Instructor 1,20.5,19.0,22.0,18.9,1.6,2,21.1,19.0,18.8,23.5,2.4
34,Disagree,Instructor 2,22.1,20.0,23.7,20.5,1.6,2,26.1,20.0,23.7,28.4,2.4
35,Disagree,Instructor 3,76.8,75.0,78.4,75.2,1.6,2,77.8,75.0,75.4,80.1,2.4
36,Neither agree nor disagree,Instructor 1,30.9,31.0,32.5,29.3,1.6,2,29.9,31.0,27.6,32.3,2.4
