,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,218.2,220.0,223.0,213.5,4.7,0,,,,,
1,0,2,17.2,17.0,21.9,12.5,4.7,0,,,,,
2,0,3,39.8,43.0,44.5,35.1,4.7,0,,,,,
3,0,4,18.3,25.0,23.1,13.6,4.7,0,,,,,
4,0,5,22.8,20.0,27.6,18.1,4.7,0,,,,,
5,1,1,20.1,19.0,24.8,15.4,4.7,0,,,,,
6,1,2,32.5,32.0,37.3,27.8,4.7,0,,,,,
7,1,3,51.5,60.0,56.2,46.8,4.7,0,,,,,
8,1,4,36.9,38.0,41.6,32.2,4.7,0,,,,,
9,1,5,27.4,20.0,32.1,22.7,4.7,0,,,,,
10,2,1,12.3,8.0,17.1,7.6,4.7,0,,,,,
11,2,2,13.7,9.0,18.4,9.0,4.7,0,,,,,
12,2,3,49.4,57.0,54.1,44.7,4.7,0,,,,,
13,2,4,30.2,29.0,34.9,25.5,4.7,0,,,,,
14,2,5,22.4,22.0,27.1,17.7,4.7,0,,,,,
15,3,1,23.9,24.0,28.6,19.2,4.7,0,,,,,
16,3,2,20.1,22.0,24.8,15.4,4.7,0,,,,,
17,3,3,79.3,81.0,84.0,74.6,4.7,0,,,,,
18,3,4,69.4,69.0,74.2,64.7,4.7,0,,,,,
19,3,5,38.2,39.0,42.9,33.5,4.7,0,,,,,
20,4,1,14.4,15.0,19.1,9.7,4.7,0,,,,,
21,4,2,13.8,18.0,18.6,9.1,4.7,0,,,,,
22,4,3,48.0,52.0,52.7,43.3,4.7,0,,,,,
23,4,4,21.7,29.0,26.4,16.9,4.7,0,,,,,
24,4,5,33.9,32.0,38.6,29.2,4.7,0,,,,,
25,0,1,219.8,220.0,222.2,217.5,2.4,1,218.2,220.0,213.5,223.0,4.7
26,0,2,14.7,17.0,17.1,12.3,2.4,1,17.2,17.0,12.5,21.9,4.7
27,0,3,41.2,43.0,43.6,38.8,2.4,1,39.8,43.0,35.1,44.5,4.7
28,0,4,24.2,25.0,26.5,21.8,2.4,1,18.3,25.0,13.6,23.1,4.7
29,0,5,22.9,20.0,25.3,20.6,2.4,1,22.8,20.0,18.1,27.6,4.7
30,1,1,23.8,19.0,26.1,21.4,2.4,1,20.1,19.0,15.4,24.8,4.7
31,1,2,32.9,32.0,35.3,30.6,2.4,1,32.5,32.0,27.8,37.3,4.7
32,1,3,56.7,60.0,59.1,54.4,2.4,1,51.5,60.0,46.8,56.2,4.7
33,1,4,38.6,38.0,40.9,36.2,2.4,1,36.9,38.0,32.2,41.6,4.7
34,1,5,26.2,20.0,28.5,23.8,2.4,1,27.4,20.0,22.7,32.1,4.7
35,2,1,11.5,8.0,13.9,9.2,2.4,1,12.3,8.0,7.6,17.1,4.7
36,2,2,13.2,9.0,15.6,10.9,2.4,1,13.7,9.0,9.0,18.4,4.7
37,2,3,55.0,57.0,57.3,52.6,2.4,1,49.4,57.0,44.7,54.1,4.7
38,2,4,24.9,29.0,27.2,22.5,2.4,1,30.2,29.0,25.5,34.9,4.7
39,2,5,21.8,22.0,24.1,19.4,2.4,1,22.4,22.0,17.7,27.1,4.7
40,3,1,24.0,24.0,26.4,21.7,2.4,1,23.9,24.0,19.2,28.6,4.7
41,3,2,21.0,22.0,23.4,18.7,2.4,1,20.1,22.0,15.4,24.8,4.7
42,3,3,77.9,81.0,80.3,75.5,2.4,1,79.3,81.0,74.6,84.0,4.7
43,3,4,75.0,69.0,77.4,72.6,2.4,1,69.4,69.0,64.7,74.2,4.7
44,3,5,35.2,39.0,37.6,32.9,2.4,1,38.2,39.0,33.5,42.9,4.7
45,4,1,15.0,15.0,17.4,12.6,2.4,1,14.4,15.0,9.7,19.1,4.7
46,4,2,19.9,18.0,22.3,17.6,2.4,1,13.8,18.0,9.1,18.6,4.7
47,4,3,48.5,52.0,50.8,46.1,2.4,1,48.0,52.0,43.3,52.7,4.7
48,4,4,22.3,29.0,24.7,20.0,2.4,1,21.7,29.0,16.9,26.4,4.7
49,4,5,35.4,32.0,37.7,33.0,2.4,1,33.9,32.0,29.2,38.6,4.7
50,0,1,219.4,220.0,220.9,217.8,1.6,2,219.8,220.0,217.5,222.2,2.4
51,0,2,16.1,17.0,17.7,14.5,1.6,2,14.7,17.0,12.3,17.1,2.4
52,0,3,39.8,43.0,41.4,38.2,1.6,2,41.2,43.0,38.8,43.6,2.4
53,0,4,24.9,25.0,26.5,23.4,1.6,2,24.2,25.0,21.8,26.5,2.4
54,0,5,23.4,20.0,24.9,21.8,1.6,2,22.9,20.0,20.6,25.3,2.4
55,1,1,23.1,19.0,24.7,21.6,1.6,2,23.8,19.0,21.4,26.1,2.4
56,1,2,32.2,32.0,33.8,30.7,1.6,2,32.9,32.0,30.6,35.3,2.4
57,1,3,56.9,60.0,58.5,55.3,1.6,2,56.7,60.0,54.4,59.1,2.4
58,1,4,37.6,38.0,39.2,36.0,1.6,2,38.6,38.0,36.2,40.9,2.4
59,1,5,24.8,20.0,26.4,23.2,1.6,2,26.2,20.0,23.8,28.5,2.4
60,2,1,10.2,8.0,11.8,8.7,1.6,2,11.5,8.0,9.2,13.9,2.4
61,2,2,11.8,9.0,13.4,10.2,1.6,2,13.2,9.0,10.9,15.6,2.4
62,2,3,56.0,57.0,57.6,54.5,1.6,2,55.0,57.0,52.6,57.3,2.4
63,2,4,24.5,29.0,26.1,23.0,1.6,2,24.9,29.0,22.5,27.2,2.4
64,2,5,22.0,22.0,23.6,20.5,1.6,2,21.8,22.0,19.4,24.1,2.4
65,3,1,24.0,24.0,25.6,22.5,1.6,2,24.0,24.0,21.7,26.4,2.4
66,3,2,21.5,22.0,23.1,19.9,1.6,2,21.0,22.0,18.7,23.4,2.4
67,3,3,83.1,81.0,84.6,81.5,1.6,2,77.9,81.0,75.5,80.3,2.4
68,3,4,74.2,69.0,75.8,72.6,1.6,2,75.0,69.0,72.6,77.4,2.4
69,3,5,36.5,39.0,38.1,34.9,1.6,2,35.2,39.0,32.9,37.6,2.4
70,4,1,16.5,15.0,18.1,14.9,1.6,2,15.0,15.0,12.6,17.4,2.4
71,4,2,19.9,18.0,21.5,18.3,1.6,2,19.9,18.0,17.6,22.3,2.4
72,4,3,50.3,52.0,51.9,48.8,1.6,2,48.5,52.0,46.1,50.8,2.4
73,4,4,25.7,29.0,27.3,24.1,1.6,2,22.3,29.0,20.0,24.7,2.4
74,4,5,35.0,32.0,36.6,33.4,1.6,2,35.4,32.0,33.0,37.7,2.4
75,0,1,219.4,220.0,220.6,218.3,1.2,3,219.4,220.0,217.8,220.9,1.6
76,0,2,17.6,17.0,18.8,16.5,1.2,3,16.1,17.0,14.5,17.7,1.6
77,0,3,40.6,43.0,41.8,39.4,1.2,3,39.8,43.0,38.2,41.4,1.6
78,0,4,25.0,25.0,26.1,23.8,1.2,3,24.9,25.0,23.4,26.5,1.6
79,0,5,22.3,20.0,23.4,21.1,1.2,3,23.4,20.0,21.8,24.9,1.6
80,1,1,24.0,19.0,25.2,22.8,1.2,3,23.1,19.0,21.6,24.7,1.6
81,1,2,31.0,32.0,32.2,29.9,1.2,3,32.2,32.0,30.7,33.8,1.6
82,1,3,58.0,60.0,59.2,56.8,1.2,3,56.9,60.0,55.3,58.5,1.6
83,1,4,36.8,38.0,37.9,35.6,1.2,3,37.6,38.0,36.0,39.2,1.6
