,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Strongly disagree,Instructor 1,26.6,26.0,31.4,21.9,4.7,0,,,,,
1,Strongly disagree,Instructor 2,15.3,10.0,20.0,10.6,4.7,0,,,,,
2,Strongly disagree,Instructor 3,37.1,32.0,41.8,32.4,4.7,0,,,,,
3,Disagree,Instructor 1,58.3,55.0,63.0,53.6,4.7,0,,,,,
4,Disagree,Instructor 2,26.2,35.0,30.9,21.5,4.7,0,,,,,
5,Disagree,Instructor 3,21.1,22.0,25.8,16.4,4.7,0,,,,,
6,Neither agree nor disagree,Instructor 1,17.1,17.0,21.8,12.4,4.7,0,,,,,
7,Neither agree nor disagree,Instructor 2,66.3,65.0,71.0,61.6,4.7,0,,,,,
8,Neither agree nor disagree,Instructor 3,82.8,86.0,87.6,78.1,4.7,0,,,,,
9,Agree,Instructor 1,51.0,53.0,55.7,46.3,4.7,0,,,,,
10,Agree,Instructor 2,104.8,102.0,109.5,100.1,4.7,0,,,,,
11,Agree,Instructor 3,66.0,62.0,70.7,61.3,4.7,0,,,,,
12,Strongly agree,Instructor 1,185.7,183.0,190.4,181.0,4.7,0,,,,,
13,Strongly agree,Instructor 2,145.3,154.0,150.0,140.6,4.7,0,,,,,
14,Strongly agree,Instructor 3,93.1,98.0,97.9,88.4,4.7,0,,,,,
15,Strongly disagree,Instructor 1,27.6,26.0,30.0,25.3,2.4,1,26.6,26.0,21.9,31.4,4.7
16,Strongly disagree,Instructor 2,12.6,10.0,15.0,10.3,2.4,1,15.3,10.0,10.6,20.0,4.7
17,Strongly disagree,Instructor 3,35.1,32.0,37.4,32.7,2.4,1,37.1,32.0,32.4,41.8,4.7
18,Disagree,Instructor 1,58.6,55.0,60.9,56.2,2.4,1,58.3,55.0,53.6,63.0,4.7
19,Disagree,Instructor 2,30.5,35.0,32.8,28.1,2.4,1,26.2,35.0,21.5,30.9,4.7
20,Disagree,Instructor 3,22.3,22.0,24.6,19.9,2.4,1,21.1,22.0,16.4,25.8,4.7
21,Neither agree nor disagree,Instructor 1,17.7,17.0,20.0,15.3,2.4,1,17.1,17.0,12.4,21.8,4.7
22,Neither agree nor disagree,Instructor 2,64.6,65.0,67.0,62.2,2.4,1,66.3,65.0,61.6,71.0,4.7
23,Neither agree nor disagree,Instructor 3,81.1,86.0,83.4,78.7,2.4,1,82.8,86.0,78.1,87.6,4.7
