,admission_type_id,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,Emergency,1-2,195.6,195.0,200.4,190.9,4.7,0,,,,,
1,Emergency,3-4,183.3,178.0,188.0,178.6,4.7,0,,,,,
2,Emergency,5-6,107.1,102.0,111.8,102.4,4.7,0,,,,,
3,Emergency,7-8,59.3,56.0,64.0,54.6,4.7,0,,,,,
4,Emergency,9-10,10.2,19.0,14.9,5.5,4.7,0,,,,,
5,Emergency,11-12,18.6,17.0,23.3,13.9,4.7,0,,,,,
6,Emergency,13-14,9.1,10.0,13.8,4.4,4.7,0,,,,,
7,Urgent,1-2,54.3,53.0,59.0,49.6,4.7,0,,,,,
8,Urgent,3-4,57.8,61.0,62.6,53.1,4.7,0,,,,,
9,Urgent,5-6,34.0,36.0,38.7,29.3,4.7,0,,,,,
10,Urgent,7-8,31.9,30.0,36.6,27.2,4.7,0,,,,,
11,Urgent,9-10,13.8,11.0,18.5,9.1,4.7,0,,,,,
12,Urgent,11-12,12.0,8.0,16.7,7.3,4.7,0,,,,,
13,Urgent,13-14,8.7,6.0,13.4,4.0,4.7,0,,,,,
14,Elective,1-2,45.1,50.0,49.9,40.4,4.7,0,,,,,
15,Elective,3-4,61.3,59.0,66.0,56.6,4.7,0,,,,,
16,Elective,5-6,20.5,23.0,25.3,15.8,4.7,0,,,,,
17,Elective,7-8,17.8,20.0,22.5,13.0,4.7,0,,,,,
18,Elective,9-10,12.2,8.0,16.9,7.5,4.7,0,,,,,
19,Elective,11-12,14.7,7.0,19.4,9.9,4.7,0,,,,,
20,Elective,13-14,3.4,3.0,8.2,-1.3,4.7,0,,,,,
21,Newborn,1-2,2.6,0.0,7.3,-2.1,4.7,0,,,,,
22,Newborn,3-4,-0.1,0.0,4.7,-4.8,4.7,0,,,,,
23,Newborn,5-6,1.0,0.0,5.7,-3.7,4.7,0,,,,,
24,Newborn,7-8,3.8,0.0,8.5,-0.9,4.7,0,,,,,
25,Newborn,9-10,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
26,Newborn,11-12,-0.0,0.0,4.7,-4.7,4.7,0,,,,,
27,Newborn,13-14,1.5,0.0,6.2,-3.2,4.7,0,,,,,
28,Not Available,1-2,12.9,15.0,17.6,8.2,4.7,0,,,,,
29,Not Available,3-4,7.3,14.0,12.0,2.6,4.7,0,,,,,
30,Not Available,5-6,11.6,9.0,16.3,6.9,4.7,0,,,,,
31,Not Available,7-8,4.9,5.0,9.6,0.2,4.7,0,,,,,
32,Not Available,9-10,-0.4,1.0,4.3,-5.1,4.7,0,,,,,
33,Not Available,11-12,1.1,1.0,5.8,-3.6,4.7,0,,,,,
34,Not Available,13-14,-1.1,1.0,3.6,-5.8,4.7,0,,,,,
35,Trauma Center,1-2,1.0,0.0,5.7,-3.7,4.7,0,,,,,
36,Trauma Center,3-4,0.4,0.0,5.1,-4.3,4.7,0,,,,,
37,Trauma Center,5-6,-1.5,0.0,3.2,-6.2,4.7,0,,,,,
38,Trauma Center,7-8,-0.8,0.0,3.9,-5.5,4.7,0,,,,,
39,Trauma Center,9-10,-2.2,0.0,2.5,-6.9,4.7,0,,,,,
40,Trauma Center,11-12,0.6,0.0,5.3,-4.1,4.7,0,,,,,
41,Trauma Center,13-14,-3.8,0.0,0.9,-8.5,4.7,0,,,,,
