,age,num_medications,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0 - 9,1-9,-3.3,3.0,1.4,-8.0,4.7,0,,,,,
1,0 - 9,10-19,2.7,0.0,7.4,-2.0,4.7,0,,,,,
2,0 - 9,20-29,-0.4,0.0,4.3,-5.2,4.7,0,,,,,
3,0 - 9,30-39,2.0,0.0,6.7,-2.7,4.7,0,,,,,
4,0 - 9,40-49,10.4,0.0,15.1,5.7,4.7,0,,,,,
5,0 - 9,50-89,0.3,0.0,5.0,-4.4,4.7,0,,,,,
6,10 - 19,1-9,-2.5,4.0,2.3,-7.2,4.7,0,,,,,
7,10 - 19,10-19,-0.1,2.0,4.6,-4.8,4.7,0,,,,,
8,10 - 19,20-29,1.0,1.0,5.7,-3.7,4.7,0,,,,,
9,10 - 19,30-39,1.5,0.0,6.2,-3.2,4.7,0,,,,,
10,10 - 19,40-49,3.1,0.0,7.8,-1.6,4.7,0,,,,,
11,10 - 19,50-89,-0.9,0.0,3.8,-5.6,4.7,0,,,,,
12,20 - 29,1-9,1.2,3.0,5.9,-3.6,4.7,0,,,,,
13,20 - 29,10-19,9.7,4.0,14.4,5.0,4.7,0,,,,,
14,20 - 29,20-29,-2.8,0.0,1.9,-7.6,4.7,0,,,,,
15,20 - 29,30-39,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
16,20 - 29,40-49,6.6,0.0,11.3,1.9,4.7,0,,,,,
17,20 - 29,50-89,-10.0,0.0,-5.3,-14.7,4.7,0,,,,,
18,30 - 39,1-9,8.7,1.0,13.4,4.0,4.7,0,,,,,
19,30 - 39,10-19,22.4,25.0,27.1,17.7,4.7,0,,,,,
20,30 - 39,20-29,5.3,5.0,10.1,0.6,4.7,0,,,,,
21,30 - 39,30-39,6.7,1.0,11.4,2.0,4.7,0,,,,,
22,30 - 39,40-49,-4.4,0.0,0.3,-9.1,4.7,0,,,,,
23,30 - 39,50-89,0.2,0.0,4.9,-4.6,4.7,0,,,,,
24,40 - 49,1-9,23.4,22.0,28.1,18.7,4.7,0,,,,,
25,40 - 49,10-19,46.8,47.0,51.5,42.1,4.7,0,,,,,
26,40 - 49,20-29,17.0,20.0,21.7,12.3,4.7,0,,,,,
27,40 - 49,30-39,6.9,7.0,11.7,2.2,4.7,0,,,,,
28,40 - 49,40-49,1.0,2.0,5.7,-3.7,4.7,0,,,,,
29,40 - 49,50-89,-0.2,0.0,4.6,-4.9,4.7,0,,,,,
30,50 - 59,1-9,39.8,36.0,44.5,35.0,4.7,0,,,,,
31,50 - 59,10-19,80.6,78.0,85.3,75.9,4.7,0,,,,,
32,50 - 59,20-29,34.4,36.0,39.2,29.7,4.7,0,,,,,
33,50 - 59,30-39,9.5,9.0,14.2,4.8,4.7,0,,,,,
34,50 - 59,40-49,-1.0,1.0,3.7,-5.7,4.7,0,,,,,
35,50 - 59,50-89,-0.3,0.0,4.4,-5.0,4.7,0,,,,,
36,60 - 69,1-9,32.3,31.0,37.0,27.5,4.7,0,,,,,
37,60 - 69,10-19,97.0,98.0,101.7,92.3,4.7,0,,,,,
38,60 - 69,20-29,70.7,71.0,75.4,66.0,4.7,0,,,,,
39,60 - 69,30-39,16.9,15.0,21.6,12.2,4.7,0,,,,,
40,60 - 69,40-49,3.4,4.0,8.1,-1.4,4.7,0,,,,,
41,60 - 69,50-89,8.6,3.0,13.3,3.9,4.7,0,,,,,
42,70 - 79,1-9,43.2,41.0,47.9,38.5,4.7,0,,,,,
43,70 - 79,10-19,150.4,151.0,155.2,145.7,4.7,0,,,,,
44,70 - 79,20-29,54.5,55.0,59.2,49.8,4.7,0,,,,,
45,70 - 79,30-39,14.0,13.0,18.8,9.3,4.7,0,,,,,
