,race,time_in_hospital,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,African American,1-2,51.1,55.0,55.8,46.4,4.7,0,,,,,
1,African American,3-4,49.2,47.0,53.9,44.5,4.7,0,,,,,
2,African American,5-6,26.9,29.0,31.6,22.1,4.7,0,,,,,
3,African American,7-8,27.2,27.0,31.9,22.5,4.7,0,,,,,
4,African American,9-10,1.2,13.0,5.9,-3.5,4.7,0,,,,,
5,African American,11-12,10.1,4.0,14.8,5.3,4.7,0,,,,,
6,African American,13-14,14.4,9.0,19.1,9.7,4.7,0,,,,,
7,Asian,1-2,10.2,2.0,14.9,5.5,4.7,0,,,,,
8,Asian,3-4,-2.3,2.0,2.4,-7.0,4.7,0,,,,,
9,Asian,5-6,-1.9,0.0,2.8,-6.6,4.7,0,,,,,
10,Asian,7-8,0.8,0.0,5.5,-3.9,4.7,0,,,,,
11,Asian,9-10,7.3,0.0,12.0,2.6,4.7,0,,,,,
12,Asian,11-12,4.1,0.0,8.8,-0.6,4.7,0,,,,,
13,Asian,13-14,-18.0,0.0,-13.3,-22.7,4.7,0,,,,,
14,Caucasian,1-2,226.4,226.0,231.1,221.7,4.7,0,,,,,
15,Caucasian,3-4,247.9,248.0,252.6,243.2,4.7,0,,,,,
16,Caucasian,5-6,145.6,143.0,150.3,140.8,4.7,0,,,,,
17,Caucasian,7-8,66.2,70.0,70.9,61.5,4.7,0,,,,,
18,Caucasian,9-10,40.5,38.0,45.2,35.8,4.7,0,,,,,
19,Caucasian,11-12,30.4,41.0,35.1,25.7,4.7,0,,,,,
20,Caucasian,13-14,6.6,11.0,11.4,1.9,4.7,0,,,,,
21,Hispanic,1-2,4.4,6.0,9.1,-0.3,4.7,0,,,,,
22,Hispanic,3-4,9.4,8.0,14.1,4.7,4.7,0,,,,,
23,Hispanic,5-6,3.8,4.0,8.5,-0.9,4.7,0,,,,,
24,Hispanic,7-8,4.3,1.0,9.0,-0.4,4.7,0,,,,,
