,attendance,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
0,0,1,207.6,211.0,212.3,202.9,4.7,0,,,,,
1,0,2,-0.8,10.0,3.9,-5.5,4.7,0,,,,,
2,0,3,29.7,30.0,34.5,25.0,4.7,0,,,,,
3,0,4,34.0,32.0,38.7,29.3,4.7,0,,,,,
4,0,5,19.4,20.0,24.1,14.7,4.7,0,,,,,
5,1,1,-6.2,6.0,-1.5,-10.9,4.7,0,,,,,
6,1,2,35.9,36.0,40.6,31.2,4.7,0,,,,,
7,1,3,92.2,85.0,96.9,87.5,4.7,0,,,,,
8,1,4,47.0,43.0,51.7,42.3,4.7,0,,,,,
9,1,5,32.1,30.0,36.8,27.3,4.7,0,,,,,
10,2,1,14.2,9.0,18.9,9.5,4.7,0,,,,,
11,2,2,15.2,11.0,19.9,10.5,4.7,0,,,,,
12,2,3,55.3,59.0,60.0,50.6,4.7,0,,,,,
13,2,4,56.0,55.0,60.7,51.3,4.7,0,,,,,
14,2,5,8.4,19.0,13.1,3.6,4.7,0,,,,,
15,3,1,16.5,18.0,21.2,11.8,4.7,0,,,,,
16,3,2,14.2,18.0,18.9,9.4,4.7,0,,,,,
17,3,3,80.4,78.0,85.1,75.7,4.7,0,,,,,
18,3,4,65.4,62.0,70.1,60.7,4.7,0,,,,,
19,3,5,28.8,30.0,33.5,24.0,4.7,0,,,,,
20,4,1,5.0,10.0,9.7,0.3,4.7,0,,,,,
21,4,2,12.1,18.0,16.8,7.3,4.7,0,,,,,
22,4,3,51.8,50.0,56.6,47.1,4.7,0,,,,,
23,4,4,24.7,24.0,29.5,20.0,4.7,0,,,,,
24,4,5,28.7,36.0,33.4,24.0,4.7,0,,,,,
25,0,1,215.3,211.0,217.7,213.0,2.4,1,207.6,211.0,202.9,212.3,4.7
26,0,2,3.9,10.0,6.3,1.6,2.4,1,-0.8,10.0,-5.5,3.9,4.7
27,0,3,28.6,30.0,31.0,26.3,2.4,1,29.7,30.0,25.0,34.5,4.7
28,0,4,34.5,32.0,36.9,32.1,2.4,1,34.0,32.0,29.3,38.7,4.7
29,0,5,16.3,20.0,18.6,13.9,2.4,1,19.4,20.0,14.7,24.1,4.7
30,1,1,-3.4,6.0,-1.0,-5.7,2.4,1,-6.2,6.0,-10.9,-1.5,4.7
31,1,2,35.2,36.0,37.6,32.9,2.4,1,35.9,36.0,31.2,40.6,4.7
32,1,3,85.3,85.0,87.7,83.0,2.4,1,92.2,85.0,87.5,96.9,4.7
33,1,4,44.1,43.0,46.5,41.8,2.4,1,47.0,43.0,42.3,51.7,4.7
34,1,5,32.5,30.0,34.8,30.1,2.4,1,32.1,30.0,27.3,36.8,4.7
35,2,1,13.1,9.0,15.4,10.7,2.4,1,14.2,9.0,9.5,18.9,4.7
36,2,2,13.3,11.0,15.7,11.0,2.4,1,15.2,11.0,10.5,19.9,4.7
37,2,3,57.6,59.0,60.0,55.2,2.4,1,55.3,59.0,50.6,60.0,4.7
38,2,4,55.0,55.0,57.3,52.6,2.4,1,56.0,55.0,51.3,60.7,4.7
39,2,5,11.9,19.0,14.2,9.5,2.4,1,8.4,19.0,3.6,13.1,4.7
40,3,1,18.3,18.0,20.6,15.9,2.4,1,16.5,18.0,11.8,21.2,4.7
41,3,2,12.6,18.0,15.0,10.3,2.4,1,14.2,18.0,9.4,18.9,4.7
42,3,3,73.9,78.0,76.3,71.6,2.4,1,80.4,78.0,75.7,85.1,4.7
43,3,4,65.0,62.0,67.3,62.6,2.4,1,65.4,62.0,60.7,70.1,4.7
44,3,5,28.5,30.0,30.9,26.2,2.4,1,28.8,30.0,24.0,33.5,4.7
45,4,1,8.6,10.0,10.9,6.2,2.4,1,5.0,10.0,0.3,9.7,4.7
46,4,2,18.4,18.0,20.7,16.0,2.4,1,12.1,18.0,7.3,16.8,4.7
47,4,3,50.6,50.0,52.9,48.2,2.4,1,51.8,50.0,47.1,56.6,4.7
48,4,4,23.8,24.0,26.2,21.5,2.4,1,24.7,24.0,20.0,29.5,4.7
49,4,5,33.9,36.0,36.3,31.6,2.4,1,28.7,36.0,24.0,33.4,4.7
50,0,1,216.4,211.0,218.0,214.9,1.6,2,215.3,211.0,213.0,217.7,2.4
51,0,2,5.5,10.0,7.1,3.9,1.6,2,3.9,10.0,1.6,6.3,2.4
52,0,3,29.4,30.0,31.0,27.8,1.6,2,28.6,30.0,26.3,31.0,2.4
53,0,4,33.3,32.0,34.9,31.7,1.6,2,34.5,32.0,32.1,36.9,2.4
54,0,5,17.4,20.0,19.0,15.9,1.6,2,16.3,20.0,13.9,18.6,2.4
55,1,1,-3.9,6.0,-2.3,-5.4,1.6,2,-3.4,6.0,-5.7,-1.0,2.4
